,class predicted,prob_class_0,prob_class_1
0,1,0.0023,0.9977
1,1,0.0019,0.9981
2,1,0.009,0.991
3,1,0.0242,0.9758
4,1,0.2013,0.7987
5,0,0.91,0.09
6,1,0.2139,0.7861
7,0,0.5207,0.4793
8,1,0.0792,0.9208
9,0,0.6204,0.3796
10,1,0.1709,0.8291
11,1,0.0093,0.9907
12,1,0.4001,0.5999
13,1,0.44,0.56
14,1,0.0543,0.9457
15,1,0.0464,0.9536
16,1,0.0032,0.9968
17,1,0.0096,0.9904
18,1,0.0686,0.9314
19,1,0.007,0.993
20,1,0.1003,0.8997
21,1,0.0197,0.9803
22,1,0.0311,0.9689
23,1,0.0779,0.9221
24,0,0.7181,0.2819
25,1,0.1161,0.8839
26,1,0.1332,0.8668
27,1,0.0017,0.9983
28,1,0.004,0.996
29,1,0.0149,0.9851
30,1,0.0014,0.9986
31,1,0.0056,0.9944
32,1,0.025,0.975
33,1,0.0044,0.9956
34,1,0.0103,0.9897
35,1,0.0065,0.9935
36,1,0.0951,0.9049
37,0,0.608,0.392
38,0,0.7402,0.2598
39,0,0.95,0.05
40,0,0.6723,0.3277
41,0,0.9506,0.0494
42,1,0.3541,0.6459
43,1,0.114,0.886
44,1,0.3283,0.6717
45,1,0.4616,0.5384
46,1,0.4399,0.5601
47,1,0.0177,0.9823
48,1,0.2233,0.7767
49,1,0.1107,0.8893
50,1,0.032,0.968
51,1,0.0154,0.9846
52,1,0.0739,0.9261
53,1,0.0229,0.9771
54,1,0.0455,0.9545
55,1,0.0341,0.9659
56,1,0.3112,0.6888
57,0,0.7319,0.2681
58,1,0.0556,0.9444
59,0,0.6121,0.3879
60,0,0.9903,0.0097
61,0,0.9563,0.0437
62,0,0.9723,0.0277
63,0,0.6798,0.3202
64,1,0.0767,0.9233
65,1,0.0466,0.9534
66,1,0.015,0.985
67,1,0.0065,0.9935
68,1,0.1342,0.8658
69,1,0.0686,0.9314
70,1,0.023,0.977
71,1,0.0084,0.9916
72,1,0.001,0.999
73,1,0.0012,0.9988
74,1,0.0077,0.9923
75,1,0.0041,0.9959
76,1,0.0447,0.9553
77,1,0.0076,0.9924
78,1,0.1031,0.8969
79,1,0.1167,0.8833
80,1,0.0717,0.9283
81,1,0.019,0.981
82,1,0.0618,0.9382
83,1,0.0539,0.9461
84,1,0.0293,0.9707
85,1,0.1083,0.8917
86,1,0.2724,0.7276
87,1,0.1141,0.8859
88,1,0.1346,0.8654
89,1,0.0439,0.9561
90,1,0.0056,0.9944
91,1,0.0096,0.9904
92,1,0.0137,0.9863
93,1,0.0567,0.9433
94,1,0.0458,0.9542
95,1,0.3538,0.6462
96,1,0.0319,0.9681
97,1,0.2009,0.7991
98,1,0.1403,0.8597
99,1,0.2084,0.7916
100,1,0.1214,0.8786
101,1,0.0324,0.9676
102,1,0.1298,0.8702
103,1,0.0282,0.9718
104,1,0.0143,0.9857
105,1,0.1064,0.8936
106,1,0.1378,0.8622
107,1,0.0422,0.9578
108,1,0.0264,0.9736
109,1,0.0081,0.9919
110,1,0.0239,0.9761
111,1,0.0011,0.9989
112,1,0.0021,0.9979
113,1,0.0053,0.9947
114,1,0.0083,0.9917
115,1,0.0009,0.9991
116,1,0.0569,0.9431
117,1,0.2604,0.7396
118,1,0.4722,0.5278
119,1,0.0207,0.9793
120,1,0.0034,0.9966
121,1,0.0047,0.9953
122,1,0.0044,0.9956
123,1,0.0275,0.9725
124,1,0.0651,0.9349
125,1,0.0214,0.9786
126,1,0.1556,0.8444
127,1,0.0194,0.9806
128,1,0.0049,0.9951
129,1,0.0445,0.9555
130,1,0.0943,0.9057
131,1,0.0187,0.9813
132,1,0.0514,0.9486
133,1,0.0145,0.9855
134,1,0.028,0.972
135,1,0.0153,0.9847
136,1,0.0623,0.9377
137,1,0.0686,0.9314
138,1,0.4644,0.5356
139,1,0.4994,0.5006
140,1,0.2074,0.7926
141,1,0.1924,0.8076
142,0,0.728,0.272
143,0,0.8296,0.1704
144,0,0.9126,0.0874
145,1,0.1553,0.8447
146,1,0.0204,0.9796
147,1,0.1862,0.8138
148,1,0.3416,0.6584
149,1,0.1072,0.8928
150,1,0.065,0.935
151,1,0.1632,0.8368
152,1,0.0073,0.9927
153,1,0.2648,0.7352
154,1,0.1452,0.8548
155,1,0.2938,0.7062
156,1,0.0587,0.9413
157,1,0.0151,0.9849
158,1,0.1283,0.8717
