,class predicted,prob_class_0,prob_class_1
0,1,0.0192,0.9808
1,1,0.1259,0.8741
2,1,0.0366,0.9634
3,1,0.0135,0.9865
4,1,0.0162,0.9838
5,1,0.3465,0.6535
6,1,0.406,0.594
7,0,0.9667,0.0333
8,0,0.9998,0.0003
9,0,0.995,0.005
10,0,0.9976,0.0024
11,0,0.791,0.209
12,1,0.2295,0.7705
13,1,0.1369,0.8631
14,1,0.0164,0.9836
15,1,0.1555,0.8445
16,1,0.146,0.854
17,1,0.3107,0.6893
18,1,0.1249,0.8751
19,1,0.0326,0.9674
20,1,0.0253,0.9747
21,1,0.002,0.998
22,1,0.0906,0.9094
23,1,0.021,0.979
24,1,0.0104,0.9896
25,1,0.0009,0.9991
26,1,0.0066,0.9934
27,1,0.0251,0.9749
28,1,0.0025,0.9975
29,1,0.0046,0.9954
30,1,0.0189,0.9811
31,1,0.0954,0.9046
32,1,0.0147,0.9853
33,1,0.007,0.993
34,1,0.0185,0.9815
35,1,0.0081,0.9919
36,1,0.0015,0.9985
37,1,0.024,0.976
38,1,0.0061,0.9939
39,1,0.0092,0.9908
40,1,0.0992,0.9008
41,1,0.1381,0.8619
42,1,0.009,0.991
43,1,0.003,0.997
44,1,0.0024,0.9976
45,1,0.0015,0.9985
46,1,0.003,0.997
47,1,0.0108,0.9892
48,1,0.0045,0.9955
49,1,0.018,0.982
50,1,0.0157,0.9843
51,1,0.0217,0.9783
52,1,0.0044,0.9956
53,1,0.0069,0.9931
54,1,0.1098,0.8902
55,1,0.0435,0.9565
56,1,0.0323,0.9677
57,1,0.0055,0.9945
58,1,0.0056,0.9944
59,1,0.0468,0.9532
60,1,0.0048,0.9952
61,1,0.3773,0.6227
62,1,0.1803,0.8197
63,1,0.0618,0.9382
64,1,0.0244,0.9756
65,1,0.1908,0.8092
66,1,0.0841,0.9159
67,1,0.023,0.977
68,1,0.0467,0.9533
69,1,0.0017,0.9983
70,1,0.1982,0.8018
71,1,0.3837,0.6163
72,1,0.0094,0.9906
73,1,0.0167,0.9833
74,1,0.164,0.836
75,1,0.1036,0.8964
76,1,0.0448,0.9552
77,1,0.0482,0.9518
78,1,0.0141,0.9859
79,1,0.0069,0.9931
80,1,0.0038,0.9962
81,1,0.0162,0.9838
82,1,0.0019,0.9981
83,1,0.0184,0.9816
84,1,0.0236,0.9764
85,1,0.0611,0.9389
86,1,0.0238,0.9762
87,1,0.0176,0.9824
88,1,0.0121,0.9879
89,1,0.0098,0.9902
90,1,0.012,0.988
91,1,0.0158,0.9842
92,1,0.0028,0.9972
93,1,0.0063,0.9937
94,1,0.0014,0.9986
95,1,0.0017,0.9983
96,1,0.0202,0.9798
97,1,0.0086,0.9914
98,1,0.0042,0.9958
99,1,0.0013,0.9987
100,1,0.0005,0.9995
101,1,0.0004,0.9996
102,1,0.0058,0.9942
103,1,0.0005,0.9995
104,1,0.0002,0.9998
105,1,0.0025,0.9975
106,1,0.0009,0.9991
107,1,0.0003,0.9997
108,1,0.0029,0.9971
109,1,0.0054,0.9946
110,1,0.0195,0.9805
111,1,0.0734,0.9266
112,1,0.019,0.981
113,1,0.0017,0.9983
114,1,0.4268,0.5732
115,1,0.0015,0.9985
116,1,0.0047,0.9953
117,1,0.0452,0.9548
118,1,0.0189,0.9811
119,1,0.0146,0.9854
120,1,0.1079,0.8921
121,1,0.2664,0.7336
122,1,0.2743,0.7257
123,0,0.8197,0.1803
124,0,0.9503,0.0497
125,0,0.9715,0.0285
126,0,0.9824,0.0176
127,0,0.9933,0.0067
128,0,0.9017,0.0983
129,1,0.287,0.713
130,1,0.1067,0.8933
131,1,0.0526,0.9474
132,1,0.028,0.972
133,1,0.0304,0.9696
134,1,0.0907,0.9093
135,1,0.4963,0.5037
136,0,0.5211,0.4789
137,1,0.3671,0.6329
138,1,0.3679,0.6321
139,1,0.3396,0.6604
140,1,0.0172,0.9828
141,1,0.4949,0.5051
142,1,0.4594,0.5406
143,1,0.1363,0.8637
144,1,0.0125,0.9875
145,1,0.0134,0.9866
146,1,0.0029,0.9971
147,1,0.0028,0.9972
148,1,0.0051,0.9949
149,1,0.005,0.995
150,1,0.0011,0.9989
151,1,0.0041,0.9959
152,1,0.0043,0.9957
153,1,0.0035,0.9965
154,1,0.001,0.999
155,1,0.0135,0.9865
156,1,0.0015,0.9985
157,1,0.0136,0.9864
158,1,0.0281,0.9719
159,1,0.0496,0.9504
160,1,0.2487,0.7513
161,1,0.4287,0.5713
162,1,0.1173,0.8827
163,0,0.6553,0.3447
164,1,0.3692,0.6308
165,1,0.0251,0.9749
166,1,0.0966,0.9034
167,1,0.0121,0.9879
168,1,0.0179,0.9821
169,1,0.0485,0.9515
170,1,0.0155,0.9845
171,1,0.4993,0.5007
172,1,0.0107,0.9893
173,1,0.0013,0.9987
174,1,0.0032,0.9968
175,1,0.1727,0.8273
176,1,0.0054,0.9946
177,1,0.002,0.998
178,1,0.0297,0.9703
179,1,0.0732,0.9268
180,1,0.0156,0.9844
181,1,0.0365,0.9635
182,1,0.0202,0.9798
183,1,0.0403,0.9597
184,1,0.0962,0.9038
185,1,0.186,0.814
186,1,0.0994,0.9006
187,1,0.3528,0.6472
188,1,0.3653,0.6347
189,0,0.7388,0.2612
190,1,0.2869,0.7131
191,1,0.178,0.822
192,1,0.0558,0.9442
193,1,0.024,0.976
194,1,0.0417,0.9583
195,1,0.0444,0.9556
196,1,0.0777,0.9223
197,1,0.4261,0.5739
198,1,0.4592,0.5408
199,0,0.7496,0.2504
200,0,0.9837,0.0163
201,1,0.3596,0.6404
202,1,0.2749,0.7251
203,1,0.2477,0.7523
204,1,0.3233,0.6767
205,1,0.4751,0.5249
206,0,0.6668,0.3332
207,0,0.8556,0.1444
208,0,0.9327,0.0673
209,0,0.8721,0.1279
210,1,0.3015,0.6985
211,1,0.1191,0.8809
212,1,0.2525,0.7475
213,1,0.0363,0.9637
214,1,0.0016,0.9984
215,1,0.1127,0.8873
216,1,0.1188,0.8812
217,1,0.158,0.842
218,1,0.2454,0.7546
219,0,0.5905,0.4095
220,1,0.3366,0.6634
221,0,0.8351,0.1649
222,0,0.9742,0.0258
223,0,0.9661,0.0339
224,0,0.6392,0.3608
225,1,0.048,0.952
226,1,0.057,0.943
227,1,0.24,0.76
228,1,0.2352,0.7648
229,1,0.0148,0.9852
230,1,0.0124,0.9876
231,1,0.038,0.962
232,1,0.0321,0.9679
233,1,0.0028,0.9972
234,1,0.1245,0.8755
235,1,0.0805,0.9195
236,1,0.052,0.948
237,1,0.025,0.975
238,1,0.0263,0.9737
239,1,0.0743,0.9257
240,1,0.04,0.96
241,1,0.0028,0.9972
242,1,0.0027,0.9973
243,1,0.0889,0.9111
244,1,0.0097,0.9903
245,1,0.053,0.947
246,1,0.3253,0.6747
247,1,0.0612,0.9388
248,1,0.2593,0.7407
249,1,0.0419,0.9581
250,1,0.0638,0.9362
251,1,0.3808,0.6192
252,1,0.1673,0.8327
253,1,0.0345,0.9655
254,1,0.4228,0.5772
255,1,0.013,0.987
256,1,0.01,0.99
257,1,0.0144,0.9856
258,1,0.0063,0.9937
259,1,0.0048,0.9952
260,1,0.0092,0.9908
261,1,0.0013,0.9987
262,1,0.0029,0.9971
263,1,0.011,0.989
264,1,0.0547,0.9453
265,1,0.0172,0.9828
266,1,0.0033,0.9967
267,1,0.0085,0.9915
268,1,0.0167,0.9833
269,1,0.0219,0.9781
270,1,0.008,0.992
271,1,0.0019,0.9981
272,1,0.0075,0.9925
273,1,0.0033,0.9967
274,1,0.0072,0.9928
275,1,0.0086,0.9914
276,1,0.009,0.991
277,1,0.0035,0.9965
278,1,0.0376,0.9624
279,1,0.2744,0.7256
280,1,0.1071,0.8929
281,1,0.3078,0.6922
282,0,0.5848,0.4152
283,0,0.7479,0.2521
284,0,0.7373,0.2627
285,0,0.5161,0.4839
286,0,0.8247,0.1753
287,1,0.2484,0.7516
288,1,0.0048,0.9952
289,1,0.0022,0.9978
290,1,0.028,0.972
291,1,0.0163,0.9837
292,1,0.0139,0.9861
293,1,0.3903,0.6097
294,0,0.6924,0.3076
295,1,0.2312,0.7688
296,1,0.0392,0.9608
297,1,0.2142,0.7858
298,1,0.0765,0.9235
299,1,0.023,0.977
300,1,0.4346,0.5654
301,1,0.0274,0.9726
302,1,0.0641,0.9359
303,1,0.0486,0.9514
304,1,0.0413,0.9587
305,1,0.0329,0.9671
306,0,0.5058,0.4942
307,0,0.9125,0.0875
308,0,0.6415,0.3585
309,1,0.1631,0.8369
310,0,0.7163,0.2837
311,0,0.6558,0.3442
312,0,0.997,0.003
313,0,0.8344,0.1656
314,1,0.0987,0.9013
315,1,0.0083,0.9917
316,1,0.0045,0.9955
317,1,0.002,0.998
318,1,0.0042,0.9958
319,1,0.0063,0.9937
320,1,0.0037,0.9963
321,1,0.004,0.996
322,1,0.0109,0.9891
323,1,0.0024,0.9976
324,1,0.0038,0.9962
