,class predicted,prob_class_0,prob_class_1
0,0,0.9745,0.0255
1,0,0.9731,0.0269
2,0,0.9686,0.0314
3,0,0.9827,0.0173
4,0,0.9612,0.0388
5,0,0.9662,0.0338
6,0,0.9675,0.0325
7,0,0.9761,0.0239
8,0,0.9756,0.0244
9,0,0.8586,0.1414
10,0,0.981,0.019
11,0,0.9778,0.0222
12,0,0.9958,0.0042
13,0,0.9962,0.0038
14,0,0.9933,0.0067
15,0,0.9827,0.0173
16,0,0.922,0.078
17,0,0.9534,0.0466
18,0,0.9936,0.0064
19,0,0.992,0.008
20,0,0.9371,0.0629
21,0,0.7414,0.2586
22,0,0.9625,0.0375
23,0,0.8592,0.1408
24,0,0.9584,0.0416
25,0,0.9963,0.0037
26,0,0.9915,0.0085
27,0,0.9765,0.0235
28,1,0.4003,0.5997
29,1,0.212,0.788
30,0,0.607,0.393
31,1,0.3877,0.6123
32,0,0.9733,0.0267
33,0,0.9855,0.0145
34,0,0.9886,0.0114
35,0,0.9291,0.0709
36,0,0.8802,0.1198
37,0,0.7561,0.2439
38,0,0.7739,0.2261
39,0,0.8415,0.1585
40,0,0.9425,0.0575
41,0,0.9189,0.0811
42,0,0.9145,0.0855
43,0,0.9876,0.0124
44,0,0.9754,0.0246
45,0,0.9537,0.0463
46,0,0.9449,0.0551
47,0,0.9632,0.0368
48,0,0.939,0.061
49,0,0.9736,0.0264
50,0,0.9728,0.0272
51,0,0.905,0.095
52,0,0.9741,0.0259
53,0,0.9181,0.0819
54,0,0.8719,0.1281
55,0,0.9445,0.0555
56,0,0.932,0.068
57,0,0.9073,0.0927
58,0,0.9151,0.0849
59,0,0.9112,0.0888
60,0,0.9583,0.0417
61,0,0.9229,0.0771
62,0,0.9608,0.0392
63,0,0.9767,0.0233
64,0,0.7303,0.2697
65,1,0.4246,0.5754
66,0,0.8488,0.1512
67,0,0.8301,0.1699
68,0,0.8093,0.1907
69,1,0.4648,0.5352
70,1,0.2536,0.7464
71,0,0.8962,0.1038
72,0,0.7385,0.2615
73,0,0.7617,0.2383
74,0,0.9494,0.0506
75,0,0.9861,0.0139
76,0,0.9911,0.0089
77,0,0.996,0.004
78,0,0.9795,0.0205
79,0,0.9972,0.0028
80,0,0.9987,0.0013
81,0,0.9986,0.0014
82,0,0.9983,0.0017
83,0,0.9993,0.0007
84,0,0.9992,0.0008
85,0,0.9987,0.0013
86,0,0.9965,0.0035
87,0,0.9874,0.0126
88,0,0.9693,0.0307
89,0,0.9598,0.0402
90,0,0.9605,0.0395
91,0,0.6019,0.3981
92,0,0.9923,0.0077
93,0,0.9955,0.0045
94,0,0.9975,0.0025
95,0,0.9959,0.0041
96,0,0.9901,0.0099
97,0,0.9724,0.0276
98,0,0.6185,0.3815
99,0,0.6912,0.3088
100,1,0.3982,0.6018
101,1,0.1262,0.8738
102,1,0.1764,0.8236
103,1,0.0589,0.9411
104,0,0.6972,0.3028
105,0,0.9331,0.0669
106,0,0.9704,0.0296
107,0,0.9848,0.0152
108,0,0.992,0.008
109,0,0.9878,0.0122
110,0,0.9888,0.0112
111,0,0.9421,0.0579
112,0,0.9296,0.0704
113,0,0.7927,0.2073
114,1,0.3811,0.6189
115,1,0.3183,0.6817
116,0,0.936,0.064
117,0,0.9272,0.0728
118,0,0.7625,0.2375
119,0,0.5972,0.4028
120,1,0.0812,0.9188
121,1,0.0129,0.9871
122,1,0.0381,0.9619
123,1,0.1012,0.8988
124,1,0.3189,0.6811
125,1,0.3342,0.6658
126,0,0.7941,0.2059
127,0,0.8897,0.1103
128,0,0.9515,0.0485
129,0,0.9595,0.0405
130,0,0.899,0.101
131,0,0.8793,0.1207
132,0,0.8908,0.1092
133,0,0.9803,0.0197
134,0,0.9716,0.0284
135,0,0.918,0.082
136,0,0.9304,0.0696
137,0,0.9709,0.0291
138,0,0.9897,0.0103
139,0,0.9973,0.0027
140,0,0.9975,0.0025
141,0,0.9967,0.0033
142,0,0.9988,0.0012
143,0,0.9987,0.0013
144,0,0.9983,0.0017
145,0,0.9972,0.0028
146,0,0.9962,0.0038
147,0,0.986,0.014
148,0,0.9722,0.0278
149,0,0.9408,0.0592
150,0,0.9037,0.0963
151,0,0.969,0.031
152,0,0.9951,0.0049
153,0,0.9959,0.0041
154,0,0.9965,0.0035
155,0,0.996,0.004
156,0,0.9966,0.0034
157,0,0.9975,0.0025
158,0,0.9974,0.0026
159,0,0.9979,0.0021
160,0,0.9955,0.0045
161,0,0.9794,0.0206
162,0,0.9969,0.0031
163,0,0.9976,0.0024
164,0,0.9973,0.0027
165,0,0.9978,0.0022
166,0,0.9979,0.0021
167,0,0.9941,0.0059
168,0,0.9958,0.0042
169,0,0.9866,0.0134
170,0,0.9883,0.0117
171,0,0.9979,0.0021
172,0,0.9874,0.0126
173,0,0.9848,0.0152
174,0,0.9901,0.0099
175,0,0.8877,0.1123
176,0,0.6721,0.3279
177,0,0.9335,0.0665
178,0,0.9474,0.0526
179,0,0.8344,0.1656
180,0,0.8442,0.1558
181,0,0.8456,0.1544
182,1,0.3664,0.6336
183,1,0.0151,0.9849
184,0,0.8754,0.1246
185,0,0.9736,0.0264
186,0,0.8637,0.1363
187,0,0.8009,0.1991
188,1,0.0152,0.9848
189,1,0.0087,0.9913
190,1,0.1835,0.8165
191,0,0.8896,0.1104
192,0,0.883,0.117
193,0,0.9976,0.0024
