,class predicted,prob_class_0,prob_class_1
0,0,0.9415,0.0585
1,1,0.2063,0.7937
2,1,0.0547,0.9453
3,1,0.2396,0.7604
4,0,0.6271,0.3729
5,1,0.1416,0.8584
6,0,0.8461,0.1539
7,0,0.7935,0.2065
8,1,0.4524,0.5476
9,1,0.1168,0.8832
10,0,0.9197,0.0803
11,0,0.808,0.192
12,0,0.8815,0.1185
13,0,0.9254,0.0746
14,0,0.7496,0.2504
15,0,0.898,0.102
16,0,0.5721,0.4279
17,0,0.975,0.025
18,0,0.9665,0.0335
19,1,0.489,0.511
20,0,0.9837,0.0163
21,0,0.9788,0.0212
22,0,0.9833,0.0167
23,0,0.9761,0.0239
24,0,0.9928,0.0072
25,0,0.9881,0.0119
26,0,0.9901,0.0099
27,0,0.97,0.03
28,0,0.9273,0.0727
29,0,0.6479,0.3521
30,0,0.9177,0.0823
31,0,0.797,0.203
32,0,0.8338,0.1662
33,0,0.5941,0.4059
34,1,0.4954,0.5046
35,0,0.8193,0.1807
36,0,0.9596,0.0404
37,0,0.9704,0.0296
38,0,0.9746,0.0254
39,0,0.992,0.008
40,0,0.9828,0.0172
41,0,0.8185,0.1815
42,0,0.9867,0.0133
43,0,0.995,0.005
44,0,0.9945,0.0055
45,0,0.9863,0.0137
46,0,0.9942,0.0058
47,0,0.9928,0.0072
48,0,0.9892,0.0108
49,0,0.9956,0.0044
50,0,0.9935,0.0065
51,0,0.9934,0.0066
52,0,0.9952,0.0048
53,0,0.9935,0.0065
54,0,0.9946,0.0054
55,0,0.9968,0.0032
56,0,0.9948,0.0052
57,0,0.9969,0.0031
58,0,0.9987,0.0013
59,0,0.9963,0.0037
60,0,0.9957,0.0043
61,0,0.9894,0.0106
62,0,0.9785,0.0215
63,0,0.9922,0.0078
64,0,0.9903,0.0097
65,0,0.9795,0.0205
66,0,0.998,0.002
67,0,0.9962,0.0038
68,0,0.9955,0.0045
69,0,0.9892,0.0108
70,0,0.993,0.007
71,0,0.9976,0.0024
72,0,0.9972,0.0028
73,0,0.9975,0.0025
74,0,0.9933,0.0067
75,0,0.9919,0.0081
76,0,0.9971,0.0029
