,class predicted,prob_class_0,prob_class_1
0,1,0.035,0.965
1,1,0.0229,0.9771
2,1,0.1147,0.8853
3,0,0.9521,0.0479
4,0,0.986,0.014
5,0,0.9893,0.0107
6,0,0.9942,0.0058
7,0,0.9961,0.0039
8,0,0.9913,0.0087
9,0,0.9872,0.0128
10,0,0.9889,0.0111
11,0,0.9954,0.0046
12,0,0.9962,0.0038
13,0,0.9957,0.0043
14,0,0.9942,0.0058
15,0,0.9956,0.0044
16,0,0.9949,0.0051
17,0,0.9915,0.0085
18,1,0.0302,0.9698
19,1,0.0092,0.9908
20,1,0.0051,0.9949
21,1,0.0154,0.9846
22,1,0.028,0.972
23,1,0.2026,0.7974
24,1,0.0317,0.9683
25,1,0.1786,0.8214
26,1,0.2524,0.7476
27,1,0.3657,0.6343
28,0,0.7137,0.2863
29,1,0.2712,0.7288
30,0,0.8799,0.1201
31,1,0.0166,0.9834
32,1,0.3018,0.6982
33,0,0.9762,0.0238
34,0,0.7791,0.2209
35,0,0.9744,0.0256
36,0,0.9858,0.0142
37,0,0.9646,0.0354
38,0,0.965,0.035
39,0,0.9796,0.0204
40,0,0.7224,0.2776
41,0,0.9551,0.0449
42,0,0.9762,0.0238
43,0,0.9765,0.0235
44,0,0.991,0.009
45,0,0.9918,0.0082
46,0,0.97,0.03
47,0,0.9869,0.0131
48,0,0.9816,0.0184
49,0,0.9879,0.0121
50,0,0.9838,0.0162
51,0,0.9355,0.0645
52,0,0.9917,0.0083
53,0,0.9947,0.0053
54,0,0.9966,0.0034
55,0,0.9972,0.0028
56,0,0.9976,0.0024
57,0,0.9975,0.0025
58,0,0.9972,0.0028
59,0,0.997,0.003
60,0,0.997,0.003
61,0,0.9963,0.0037
62,0,0.9911,0.0089
63,0,0.993,0.007
64,0,0.9971,0.0029
65,0,0.993,0.007
66,0,0.9902,0.0098
67,0,0.9323,0.0677
68,0,0.9843,0.0157
69,0,0.5864,0.4136
70,1,0.4898,0.5102
71,0,0.9888,0.0112
72,0,0.9915,0.0085
73,0,0.9887,0.0113
74,0,0.9855,0.0145
75,0,0.9954,0.0046
76,0,0.9949,0.0051
77,0,0.9943,0.0057
78,0,0.9952,0.0048
79,0,0.9959,0.0041
80,0,0.9967,0.0033
81,0,0.9965,0.0035
82,0,0.9954,0.0046
83,0,0.9949,0.0051
84,0,0.9942,0.0058
85,0,0.9963,0.0037
86,0,0.996,0.004
87,0,0.9963,0.0037
88,0,0.9961,0.0039
89,0,0.9966,0.0034
90,0,0.9966,0.0034
91,0,0.9957,0.0043
92,0,0.9964,0.0036
93,0,0.9974,0.0026
94,0,0.9972,0.0028
95,0,0.9965,0.0035
96,0,0.9966,0.0034
97,0,0.997,0.003
98,0,0.997,0.003
99,0,0.997,0.003
100,0,0.9972,0.0028
101,0,0.9975,0.0025
102,0,0.9973,0.0027
103,0,0.9975,0.0025
104,0,0.9973,0.0027
105,0,0.9974,0.0026
106,0,0.9963,0.0037
107,0,0.9965,0.0035
108,0,0.9974,0.0026
109,0,0.9975,0.0025
110,0,0.9975,0.0025
111,0,0.9964,0.0036
112,0,0.9969,0.0031
113,0,0.9967,0.0033
114,0,0.9946,0.0054
115,0,0.9968,0.0032
116,0,0.9974,0.0026
117,0,0.9955,0.0045
118,0,0.997,0.003
119,0,0.9971,0.0029
120,0,0.9966,0.0034
121,0,0.9958,0.0042
122,0,0.9949,0.0051
123,0,0.9938,0.0062
124,0,0.9936,0.0064
125,0,0.9949,0.0051
126,0,0.995,0.005
127,0,0.9956,0.0044
128,0,0.9961,0.0039
129,0,0.9966,0.0034
130,0,0.9969,0.0031
131,0,0.9975,0.0025
132,0,0.9977,0.0023
133,0,0.9978,0.0022
134,0,0.9978,0.0022
135,0,0.9974,0.0026
136,0,0.9973,0.0027
137,0,0.9966,0.0034
138,0,0.9967,0.0033
139,0,0.9968,0.0032
140,0,0.9972,0.0028
141,0,0.9965,0.0035
142,0,0.9969,0.0031
143,0,0.9965,0.0035
144,0,0.9922,0.0078
145,0,0.9929,0.0071
146,0,0.996,0.004
147,0,0.9964,0.0036
148,0,0.9969,0.0031
149,0,0.9963,0.0037
150,0,0.9975,0.0025
151,0,0.9956,0.0044
152,0,0.9958,0.0042
153,0,0.9958,0.0042
154,0,0.9968,0.0032
155,0,0.9951,0.0049
156,0,0.9965,0.0035
157,0,0.9967,0.0033
158,0,0.9962,0.0038
159,0,0.9948,0.0052
160,0,0.9951,0.0049
161,0,0.9965,0.0035
162,0,0.9956,0.0044
163,0,0.9968,0.0032
164,0,0.997,0.003
165,0,0.9977,0.0023
166,0,0.9973,0.0027
167,0,0.9979,0.0021
168,0,0.9975,0.0025
169,0,0.9977,0.0023
170,0,0.9976,0.0024
171,0,0.9966,0.0034
172,0,0.9972,0.0028
173,0,0.9925,0.0075
174,0,0.9861,0.0139
175,0,0.6804,0.3196
176,0,0.9044,0.0956
177,0,0.9099,0.0901
178,0,0.528,0.472
179,1,0.2228,0.7772
180,0,0.9896,0.0104
181,0,0.9961,0.0039
182,0,0.9972,0.0028
183,0,0.997,0.003
184,0,0.997,0.003
185,0,0.9943,0.0057
186,0,0.9957,0.0043
187,0,0.9946,0.0054
188,0,0.9954,0.0046
189,0,0.9942,0.0058
190,0,0.994,0.006
191,0,0.9947,0.0053
192,0,0.9935,0.0065
193,0,0.9918,0.0082
194,0,0.9776,0.0224
195,0,0.9881,0.0119
196,0,0.987,0.013
197,0,0.9892,0.0108
198,0,0.9901,0.0099
199,0,0.9927,0.0073
200,0,0.9471,0.0529
201,0,0.9859,0.0141
202,0,0.9883,0.0117
203,0,0.9933,0.0067
204,0,0.9769,0.0231
205,0,0.9562,0.0438
206,0,0.6968,0.3032
207,0,0.9218,0.0782
208,0,0.8374,0.1626
209,1,0.2387,0.7613
210,0,0.5784,0.4216
211,0,0.9564,0.0436
212,0,0.9895,0.0105
213,0,0.9894,0.0106
214,0,0.982,0.018
215,0,0.9919,0.0081
216,0,0.9963,0.0037
217,0,0.9955,0.0045
218,0,0.9961,0.0039
219,0,0.9966,0.0034
220,0,0.9957,0.0043
221,0,0.9967,0.0033
222,0,0.9958,0.0042
223,0,0.9963,0.0037
224,0,0.9949,0.0051
225,0,0.9975,0.0025
226,0,0.9974,0.0026
227,0,0.9973,0.0027
228,0,0.9973,0.0027
229,0,0.9973,0.0027
230,0,0.9964,0.0036
231,0,0.9968,0.0032
232,0,0.9966,0.0034
233,0,0.9958,0.0042
234,0,0.9954,0.0046
235,0,0.995,0.005
236,0,0.9933,0.0067
237,0,0.9943,0.0057
238,0,0.9936,0.0064
239,0,0.9963,0.0037
240,0,0.9969,0.0031
241,0,0.9967,0.0033
242,0,0.9958,0.0042
243,0,0.9948,0.0052
244,0,0.994,0.006
245,0,0.9948,0.0052
246,0,0.9911,0.0089
247,0,0.9909,0.0091
248,0,0.9944,0.0056
249,0,0.9954,0.0046
250,0,0.9936,0.0064
251,0,0.995,0.005
252,0,0.9953,0.0047
253,0,0.9948,0.0052
254,0,0.9892,0.0108
255,0,0.9969,0.0031
256,0,0.9976,0.0024
257,0,0.9981,0.0019
258,0,0.9984,0.0016
259,0,0.9982,0.0018
260,0,0.9984,0.0016
261,0,0.9984,0.0016
262,0,0.9984,0.0016
263,0,0.9984,0.0016
264,0,0.9983,0.0017
265,0,0.998,0.002
266,0,0.9983,0.0017
267,0,0.9983,0.0017
268,0,0.9983,0.0017
269,0,0.9982,0.0018
270,0,0.9979,0.0021
271,0,0.9977,0.0023
272,0,0.9978,0.0022
273,0,0.9969,0.0031
274,0,0.9943,0.0057
275,0,0.9923,0.0077
276,0,0.9938,0.0062
277,0,0.9891,0.0109
278,0,0.9918,0.0082
279,0,0.9887,0.0113
280,0,0.9926,0.0074
281,0,0.9892,0.0108
282,0,0.9884,0.0116
283,0,0.7988,0.2012
284,0,0.9865,0.0135
285,0,0.9886,0.0114
286,0,0.5588,0.4412
287,1,0.4607,0.5393
288,1,0.0405,0.9595
289,1,0.0739,0.9261
290,0,0.5037,0.4963
291,0,0.7162,0.2838
292,1,0.0105,0.9895
293,1,0.1835,0.8165
294,1,0.1313,0.8687
295,0,0.9909,0.0091
296,0,0.9949,0.0051
297,0,0.9953,0.0047
298,0,0.9954,0.0046
299,0,0.9948,0.0052
300,0,0.997,0.003
301,0,0.996,0.004
302,0,0.9967,0.0033
303,0,0.9971,0.0029
304,0,0.9978,0.0022
305,0,0.9934,0.0066
306,0,0.9969,0.0031
307,0,0.9974,0.0026
308,0,0.9971,0.0029
309,0,0.9952,0.0048
310,0,0.996,0.004
311,0,0.9964,0.0036
312,0,0.9975,0.0025
313,0,0.9976,0.0024
314,0,0.9979,0.0021
315,0,0.998,0.002
316,0,0.998,0.002
317,0,0.9974,0.0026
318,0,0.9981,0.0019
319,0,0.998,0.002
320,0,0.9981,0.0019
321,0,0.9982,0.0018
322,0,0.9981,0.0019
323,0,0.9983,0.0017
324,0,0.9982,0.0018
