,class predicted,prob_class_0,prob_class_1
0,1,0.0139,0.9861
1,1,0.1506,0.8494
2,0,0.5184,0.4816
3,0,0.9946,0.0054
4,0,0.9974,0.0026
5,0,0.9975,0.0025
6,0,0.9975,0.0025
7,0,0.9979,0.0021
8,0,0.9979,0.0021
9,0,0.997,0.003
10,0,0.9971,0.0029
11,0,0.9968,0.0032
12,0,0.997,0.003
13,0,0.997,0.003
14,0,0.9964,0.0036
15,0,0.9968,0.0032
16,0,0.997,0.003
17,0,0.9973,0.0027
18,0,0.9957,0.0043
19,0,0.9944,0.0056
20,0,0.991,0.009
21,0,0.9922,0.0078
22,0,0.995,0.005
23,0,0.9919,0.0081
24,0,0.9943,0.0057
25,0,0.9891,0.0109
26,0,0.8828,0.1172
27,0,0.508,0.492
28,0,0.6809,0.3191
29,0,0.9914,0.0086
30,0,0.9963,0.0037
31,0,0.9953,0.0047
32,0,0.9948,0.0052
33,0,0.9948,0.0052
34,0,0.9909,0.0091
35,0,0.981,0.019
36,0,0.9765,0.0235
37,0,0.9909,0.0091
38,0,0.9958,0.0042
39,0,0.9964,0.0036
40,0,0.9941,0.0059
41,0,0.9945,0.0055
42,0,0.9278,0.0722
43,1,0.0975,0.9025
44,1,0.0557,0.9443
45,1,0.0239,0.9761
46,1,0.0077,0.9923
47,1,0.0136,0.9864
48,1,0.0265,0.9735
49,1,0.0024,0.9976
50,1,0.0022,0.9978
51,1,0.0032,0.9968
52,1,0.0038,0.9962
53,1,0.0086,0.9914
54,1,0.0088,0.9912
55,1,0.0112,0.9888
56,1,0.0563,0.9437
57,1,0.0247,0.9753
58,1,0.0106,0.9894
59,1,0.0575,0.9425
60,1,0.0608,0.9392
61,1,0.0225,0.9775
62,1,0.0294,0.9706
63,1,0.2737,0.7263
64,0,0.8933,0.1067
65,1,0.4639,0.5361
66,1,0.3793,0.6207
67,1,0.1667,0.8333
68,1,0.0575,0.9425
69,0,0.9924,0.0076
70,0,0.9961,0.0039
71,0,0.9951,0.0049
72,1,0.3617,0.6383
73,1,0.3896,0.6104
74,1,0.1969,0.8031
75,1,0.0328,0.9672
76,1,0.0609,0.9391
77,1,0.1899,0.8101
78,1,0.0553,0.9447
79,1,0.0943,0.9057
80,1,0.2395,0.7605
81,1,0.1393,0.8607
82,0,0.9456,0.0544
83,0,0.9792,0.0208
84,0,0.9944,0.0056
85,0,0.9827,0.0173
86,0,0.9931,0.0069
87,0,0.9945,0.0055
88,0,0.9944,0.0056
89,0,0.9936,0.0064
90,0,0.9961,0.0039
91,0,0.9969,0.0031
92,0,0.9975,0.0025
93,0,0.9974,0.0026
94,0,0.9977,0.0023
95,0,0.998,0.002
96,0,0.9976,0.0024
97,0,0.9963,0.0037
98,0,0.9963,0.0037
99,0,0.9964,0.0036
100,0,0.9963,0.0037
101,0,0.9949,0.0051
102,0,0.9883,0.0117
103,0,0.9756,0.0244
104,0,0.9843,0.0157
105,0,0.9836,0.0164
106,0,0.9684,0.0316
107,0,0.968,0.032
108,0,0.9361,0.0639
109,0,0.9949,0.0051
110,0,0.993,0.007
111,0,0.9945,0.0055
112,0,0.9964,0.0036
113,0,0.9946,0.0054
114,0,0.9943,0.0057
115,0,0.9964,0.0036
116,0,0.9957,0.0043
117,0,0.9956,0.0044
118,0,0.996,0.004
119,0,0.9935,0.0065
120,0,0.9939,0.0061
121,0,0.9923,0.0077
122,0,0.992,0.008
123,0,0.9931,0.0069
124,0,0.9926,0.0074
125,0,0.9798,0.0202
126,0,0.9947,0.0053
127,0,0.9934,0.0066
128,0,0.9974,0.0026
129,0,0.9978,0.0022
130,0,0.9978,0.0022
131,0,0.9977,0.0023
132,0,0.9977,0.0023
133,0,0.9976,0.0024
134,0,0.9973,0.0027
135,0,0.9959,0.0041
136,0,0.9959,0.0041
137,0,0.9957,0.0043
138,0,0.9951,0.0049
139,0,0.9954,0.0046
140,0,0.9936,0.0064
141,0,0.976,0.024
142,0,0.9962,0.0038
143,0,0.9967,0.0033
144,0,0.9916,0.0084
145,0,0.9964,0.0036
146,0,0.9968,0.0032
147,0,0.9971,0.0029
148,0,0.996,0.004
149,0,0.9943,0.0057
150,0,0.9909,0.0091
151,0,0.8966,0.1034
152,0,0.9868,0.0132
153,0,0.9293,0.0707
154,0,0.8479,0.1521
155,0,0.9852,0.0148
156,0,0.9964,0.0036
157,0,0.9961,0.0039
158,0,0.9829,0.0171
