,class predicted,prob_class_0,prob_class_1
0,1,0.2902,0.7098
1,1,0.3064,0.6936
2,1,0.3034,0.6966
3,1,0.2965,0.7035
4,1,0.2973,0.7027
5,1,0.3025,0.6975
6,1,0.3073,0.6927
7,1,0.2936,0.7064
8,1,0.3149,0.6851
9,1,0.3062,0.6938
10,1,0.321,0.679
11,1,0.2963,0.7037
12,1,0.3051,0.6949
13,1,0.3066,0.6934
14,1,0.2936,0.7064
15,1,0.2863,0.7137
16,1,0.2954,0.7046
17,1,0.2995,0.7005
18,1,0.292,0.708
19,1,0.2868,0.7132
20,1,0.2937,0.7063
21,1,0.2734,0.7266
22,1,0.2886,0.7114
23,1,0.2819,0.7181
24,1,0.2835,0.7165
25,1,0.2744,0.7256
26,1,0.2727,0.7273
27,1,0.2897,0.7103
28,1,0.2802,0.7198
29,1,0.2747,0.7253
30,1,0.2891,0.7109
31,1,0.3013,0.6987
32,1,0.303,0.697
33,1,0.2966,0.7034
34,1,0.3072,0.6928
35,1,0.2996,0.7004
36,1,0.2765,0.7235
37,1,0.2963,0.7037
38,1,0.2891,0.7109
39,1,0.283,0.717
40,1,0.2879,0.7121
41,1,0.2957,0.7043
42,1,0.2934,0.7066
43,1,0.2819,0.7181
44,1,0.2838,0.7162
45,1,0.2806,0.7194
46,1,0.2739,0.7261
47,1,0.2858,0.7142
48,1,0.2811,0.7189
49,1,0.2756,0.7244
50,1,0.2796,0.7204
51,1,0.2786,0.7214
52,1,0.2755,0.7245
53,1,0.2858,0.7142
54,1,0.2819,0.7181
55,1,0.2776,0.7224
56,1,0.2896,0.7104
57,1,0.2813,0.7187
58,1,0.2824,0.7176
59,1,0.3027,0.6973
60,1,0.2813,0.7187
61,1,0.2935,0.7065
62,1,0.2965,0.7035
63,1,0.2932,0.7068
64,1,0.281,0.719
65,1,0.29,0.71
66,1,0.292,0.708
67,1,0.2902,0.7098
68,1,0.3051,0.6949
69,1,0.2999,0.7001
70,1,0.3085,0.6915
71,1,0.3006,0.6994
72,1,0.2879,0.7121
73,1,0.287,0.713
74,1,0.2943,0.7057
75,1,0.2919,0.7081
76,1,0.2804,0.7196
77,1,0.2839,0.7161
78,1,0.2935,0.7065
79,1,0.2881,0.7119
80,1,0.2827,0.7173
81,1,0.2964,0.7036
82,1,0.2755,0.7245
83,1,0.2829,0.7171
84,1,0.2816,0.7184
85,1,0.2935,0.7065
86,1,0.2856,0.7144
87,1,0.2855,0.7145
88,1,0.2958,0.7042
89,1,0.294,0.706
90,1,0.2935,0.7065
91,1,0.2906,0.7094
92,1,0.2792,0.7208
93,1,0.2809,0.7191
94,1,0.279,0.721
95,1,0.2693,0.7307
96,1,0.2759,0.7241
97,1,0.2757,0.7243
98,1,0.2665,0.7335
99,1,0.272,0.728
100,1,0.2718,0.7282
101,1,0.263,0.737
102,1,0.267,0.733
103,1,0.2662,0.7338
104,1,0.2564,0.7436
105,1,0.2719,0.7281
106,1,0.2721,0.7279
107,1,0.2527,0.7473
108,1,0.2679,0.7321
109,1,0.2694,0.7306
