,class predicted,prob_class_0,prob_class_1
0,1,0.2859,0.7141
1,1,0.2883,0.7117
2,1,0.3098,0.6902
3,1,0.313,0.687
4,1,0.3148,0.6852
5,1,0.3302,0.6698
6,1,0.3125,0.6875
7,1,0.3156,0.6844
8,1,0.2987,0.7013
9,1,0.3121,0.6879
10,1,0.3107,0.6893
11,1,0.2833,0.7167
12,1,0.2948,0.7052
13,1,0.304,0.696
14,1,0.2965,0.7035
15,1,0.2926,0.7074
16,1,0.2942,0.7058
17,1,0.2969,0.7031
18,1,0.2997,0.7003
19,1,0.29,0.71
20,1,0.2987,0.7013
21,1,0.2898,0.7102
22,1,0.2878,0.7122
23,1,0.2841,0.7159
24,1,0.2989,0.7011
25,1,0.2808,0.7192
26,1,0.2994,0.7006
27,1,0.2725,0.7275
28,1,0.2798,0.7202
29,1,0.2831,0.7169
30,1,0.2704,0.7296
31,1,0.2768,0.7232
32,1,0.2883,0.7117
33,1,0.2847,0.7153
34,1,0.2869,0.7131
35,1,0.2871,0.7129
36,1,0.3094,0.6906
37,1,0.3129,0.6871
38,1,0.3257,0.6743
39,1,0.326,0.674
40,1,0.3249,0.6751
41,1,0.3233,0.6767
42,1,0.3181,0.6819
43,1,0.3042,0.6958
44,1,0.3047,0.6953
45,1,0.3089,0.6911
46,1,0.3049,0.6951
47,1,0.2883,0.7117
48,1,0.2902,0.7098
49,1,0.2857,0.7143
50,1,0.2864,0.7136
51,1,0.2843,0.7157
52,1,0.2974,0.7026
53,1,0.2908,0.7092
54,1,0.2969,0.7031
55,1,0.2813,0.7187
56,1,0.2941,0.7059
57,1,0.3064,0.6936
58,1,0.2872,0.7128
59,1,0.2837,0.7163
60,1,0.3053,0.6947
61,1,0.2874,0.7126
62,1,0.2959,0.7041
63,1,0.2979,0.7021
64,1,0.299,0.701
65,1,0.2956,0.7044
66,1,0.289,0.711
67,1,0.2862,0.7138
68,1,0.2948,0.7052
69,1,0.2795,0.7205
70,1,0.2896,0.7104
71,1,0.2847,0.7153
72,1,0.2847,0.7153
73,1,0.2812,0.7188
74,1,0.2895,0.7105
75,1,0.2854,0.7146
76,1,0.2867,0.7133
77,1,0.2706,0.7294
78,1,0.2836,0.7164
79,1,0.2957,0.7043
80,1,0.2844,0.7156
81,1,0.2859,0.7141
82,1,0.303,0.697
83,1,0.2963,0.7037
84,1,0.2832,0.7168
85,1,0.283,0.717
86,1,0.2885,0.7115
87,1,0.2838,0.7162
88,1,0.2882,0.7118
89,1,0.295,0.705
90,1,0.2921,0.7079
91,1,0.3016,0.6984
92,1,0.2898,0.7102
93,1,0.2973,0.7027
94,1,0.2896,0.7104
95,1,0.2987,0.7013
96,1,0.289,0.711
97,1,0.3001,0.6999
98,1,0.2894,0.7106
99,1,0.2976,0.7024
100,1,0.2968,0.7032
101,1,0.278,0.722
102,1,0.2873,0.7127
103,1,0.2885,0.7115
104,1,0.2738,0.7262
105,1,0.283,0.717
106,1,0.2877,0.7123
107,1,0.2853,0.7147
108,1,0.2794,0.7206
109,1,0.2735,0.7265
110,1,0.2868,0.7132
111,1,0.2675,0.7325
112,1,0.2684,0.7316
113,1,0.2828,0.7172
114,1,0.2752,0.7248
115,1,0.2652,0.7348
116,1,0.2827,0.7173
117,1,0.2838,0.7162
118,1,0.2932,0.7068
119,1,0.2755,0.7245
120,1,0.2803,0.7197
121,1,0.2904,0.7096
122,1,0.28,0.72
123,1,0.2828,0.7172
124,1,0.291,0.709
125,1,0.2789,0.7211
126,1,0.2785,0.7215
127,1,0.2868,0.7132
128,1,0.2789,0.7211
129,1,0.2776,0.7224
130,1,0.289,0.711
131,1,0.284,0.716
132,1,0.2848,0.7152
133,1,0.2839,0.7161
134,1,0.2897,0.7103
135,1,0.2865,0.7135
136,1,0.2909,0.7091
137,1,0.2894,0.7106
138,1,0.3045,0.6955
139,1,0.3081,0.6919
140,1,0.2988,0.7012
141,1,0.2923,0.7077
142,1,0.3118,0.6882
143,1,0.3097,0.6903
144,1,0.3132,0.6868
145,1,0.2987,0.7013
146,1,0.2965,0.7035
147,1,0.3059,0.6941
148,1,0.3077,0.6923
149,1,0.3012,0.6988
150,1,0.3125,0.6875
151,1,0.3149,0.6851
152,1,0.2886,0.7114
153,1,0.3001,0.6999
154,1,0.2971,0.7029
155,1,0.3076,0.6924
156,1,0.2966,0.7034
157,1,0.2888,0.7112
158,1,0.2978,0.7022
