,class predicted,prob_class_0,prob_class_1
0,1,0.0284,0.9716
1,1,0.028,0.972
2,1,0.0274,0.9726
3,1,0.0286,0.9714
4,1,0.0439,0.9561
5,1,0.0689,0.9311
6,1,0.1017,0.8983
7,1,0.0804,0.9196
8,1,0.2577,0.7423
9,1,0.3252,0.6748
10,1,0.4935,0.5065
11,1,0.3641,0.6359
12,0,0.9175,0.0825
13,0,0.9272,0.0728
14,0,0.7421,0.2579
15,1,0.464,0.536
16,0,0.6854,0.3146
17,0,0.6185,0.3815
18,0,0.779,0.221
19,1,0.4643,0.5357
20,1,0.4115,0.5885
21,1,0.2924,0.7076
22,0,0.5224,0.4776
23,0,0.8182,0.1818
24,0,0.7683,0.2317
25,0,0.9031,0.0969
26,0,0.9147,0.0853
27,0,0.9511,0.0489
28,0,0.9629,0.0371
29,0,0.9635,0.0365
30,0,0.9841,0.0159
31,0,0.983,0.017
32,0,0.9897,0.0103
33,0,0.9899,0.0101
34,0,0.9891,0.0109
35,0,0.99,0.01
36,0,0.9896,0.0104
37,0,0.9828,0.0172
38,0,0.9827,0.0173
39,0,0.9876,0.0124
40,0,0.9818,0.0182
41,0,0.9798,0.0202
42,0,0.9904,0.0096
43,0,0.9919,0.0081
44,0,0.9914,0.0086
45,0,0.9904,0.0096
46,0,0.9868,0.0132
47,0,0.9875,0.0125
48,0,0.987,0.013
49,0,0.9915,0.0085
50,0,0.9902,0.0098
51,0,0.9904,0.0096
52,0,0.9863,0.0137
53,0,0.9915,0.0085
54,0,0.9902,0.0098
55,0,0.987,0.013
56,0,0.9895,0.0105
57,0,0.9895,0.0105
58,0,0.9909,0.0091
59,0,0.9899,0.0101
60,0,0.9827,0.0173
61,0,0.9844,0.0156
62,0,0.9851,0.0149
63,0,0.9791,0.0209
64,0,0.9922,0.0078
65,0,0.9889,0.0111
66,0,0.9901,0.0099
67,0,0.9893,0.0107
68,0,0.972,0.028
69,0,0.9777,0.0223
70,0,0.978,0.022
71,0,0.9851,0.0149
72,0,0.9864,0.0136
73,0,0.9846,0.0154
74,0,0.9703,0.0297
75,0,0.9822,0.0178
76,0,0.9881,0.0119
77,0,0.9927,0.0073
78,0,0.9955,0.0045
79,0,0.9954,0.0046
80,0,0.9963,0.0037
81,0,0.9961,0.0039
82,0,0.9967,0.0033
83,0,0.9972,0.0028
84,0,0.9968,0.0032
85,0,0.9954,0.0046
86,0,0.9961,0.0039
87,0,0.9956,0.0044
88,0,0.9945,0.0055
89,0,0.9936,0.0064
90,0,0.995,0.005
91,0,0.9947,0.0053
92,0,0.9943,0.0057
93,0,0.9918,0.0082
94,0,0.9936,0.0064
95,0,0.9943,0.0057
96,0,0.9924,0.0076
97,0,0.9922,0.0078
98,0,0.9888,0.0112
99,0,0.9904,0.0096
100,0,0.9887,0.0113
101,0,0.9921,0.0079
102,0,0.9921,0.0079
103,0,0.9886,0.0114
104,0,0.9898,0.0102
105,0,0.9918,0.0082
106,0,0.9848,0.0152
107,0,0.9883,0.0117
108,0,0.9927,0.0073
109,0,0.9922,0.0078
110,0,0.9928,0.0072
111,0,0.9919,0.0081
112,0,0.9916,0.0084
113,0,0.9855,0.0145
114,0,0.9522,0.0478
115,0,0.97,0.03
116,0,0.9794,0.0206
117,0,0.9818,0.0182
118,0,0.982,0.018
119,0,0.9801,0.0199
120,0,0.8903,0.1097
121,0,0.9116,0.0884
122,0,0.8208,0.1792
123,0,0.9194,0.0806
124,0,0.9108,0.0892
125,0,0.9059,0.0941
126,0,0.9066,0.0934
127,0,0.9489,0.0511
