,class predicted,prob_class_0,prob_class_1
0,0,0.9172,0.0828
1,0,0.8586,0.1414
2,0,0.6382,0.3618
3,0,0.6742,0.3258
4,0,0.8983,0.1017
5,0,0.5304,0.4696
6,0,0.869,0.131
7,0,0.6593,0.3407
8,0,0.6924,0.3076
9,1,0.4091,0.5909
10,0,0.7606,0.2394
11,0,0.8764,0.1236
12,0,0.864,0.136
13,0,0.7825,0.2175
14,0,0.9269,0.0731
15,0,0.9526,0.0474
16,0,0.9145,0.0855
17,0,0.8673,0.1327
18,0,0.937,0.063
19,0,0.8848,0.1152
20,0,0.9079,0.0921
21,0,0.8805,0.1195
22,0,0.9602,0.0398
23,0,0.9578,0.0422
24,0,0.9598,0.0402
25,0,0.9249,0.0751
26,0,0.9776,0.0224
27,0,0.9621,0.0379
28,0,0.9117,0.0883
29,0,0.8168,0.1832
30,0,0.8684,0.1316
31,0,0.9119,0.0881
32,0,0.9534,0.0466
33,0,0.9534,0.0466
34,0,0.9491,0.0509
35,0,0.9401,0.0599
36,0,0.9481,0.0519
37,0,0.983,0.017
38,0,0.9882,0.0118
39,0,0.9895,0.0105
40,0,0.9886,0.0114
41,0,0.9799,0.0201
42,0,0.9736,0.0264
43,0,0.9811,0.0189
44,0,0.9753,0.0247
45,0,0.9502,0.0498
46,0,0.9793,0.0207
47,0,0.9318,0.0682
48,1,0.1046,0.8954
49,1,0.1893,0.8107
50,1,0.1471,0.8529
51,1,0.3704,0.6296
52,0,0.8327,0.1673
53,1,0.461,0.539
54,0,0.6416,0.3584
55,0,0.8645,0.1355
56,0,0.5107,0.4893
57,0,0.7194,0.2806
58,0,0.9819,0.0181
59,0,0.6255,0.3745
60,0,0.6444,0.3556
61,1,0.1524,0.8476
62,1,0.1605,0.8395
63,0,0.9615,0.0385
64,0,0.9619,0.0381
65,0,0.9739,0.0261
66,0,0.9821,0.0179
67,0,0.9783,0.0217
68,0,0.9837,0.0163
69,0,0.9614,0.0386
70,0,0.9696,0.0304
71,0,0.9766,0.0234
72,0,0.9801,0.0199
73,0,0.9845,0.0155
74,0,0.9699,0.0301
75,0,0.9775,0.0225
76,0,0.9825,0.0175
77,0,0.9805,0.0195
78,0,0.9785,0.0215
79,0,0.9905,0.0095
80,0,0.9804,0.0196
81,0,0.9772,0.0228
82,0,0.988,0.012
83,0,0.984,0.016
84,0,0.9748,0.0252
85,0,0.9406,0.0594
86,0,0.9418,0.0582
87,0,0.8282,0.1718
88,0,0.8533,0.1467
89,0,0.6758,0.3242
90,0,0.6081,0.3919
91,0,0.8121,0.1879
92,0,0.8728,0.1272
93,0,0.8654,0.1346
94,0,0.5004,0.4996
95,0,0.8199,0.1801
96,0,0.9276,0.0724
97,0,0.9235,0.0765
98,0,0.9628,0.0372
99,0,0.8526,0.1474
100,0,0.8571,0.1429
101,0,0.9402,0.0598
102,0,0.9441,0.0559
103,0,0.9403,0.0597
104,0,0.9825,0.0175
105,0,0.9872,0.0128
106,0,0.9855,0.0145
107,0,0.9835,0.0165
108,0,0.9792,0.0208
109,0,0.9695,0.0305
110,0,0.977,0.023
111,0,0.975,0.025
112,0,0.9718,0.0282
113,0,0.9876,0.0124
114,0,0.9863,0.0137
115,0,0.977,0.023
116,0,0.9147,0.0853
117,0,0.9413,0.0587
118,0,0.8666,0.1334
119,0,0.7063,0.2937
120,0,0.7003,0.2997
121,0,0.7175,0.2825
122,0,0.6951,0.3049
123,0,0.7253,0.2747
124,0,0.8991,0.1009
125,0,0.953,0.047
126,0,0.9513,0.0487
127,0,0.9608,0.0392
128,0,0.967,0.033
129,0,0.9825,0.0175
130,0,0.9886,0.0114
131,0,0.9889,0.0111
132,0,0.9801,0.0199
133,0,0.9834,0.0166
134,0,0.9768,0.0232
135,0,0.9663,0.0337
136,0,0.9378,0.0622
137,0,0.9556,0.0444
138,0,0.9634,0.0366
139,0,0.8344,0.1656
140,0,0.9063,0.0937
141,0,0.9445,0.0555
142,0,0.8709,0.1291
143,0,0.9446,0.0554
144,0,0.9137,0.0863
145,0,0.8616,0.1384
146,0,0.894,0.106
147,0,0.9248,0.0752
148,0,0.9627,0.0373
149,0,0.9777,0.0223
150,0,0.9795,0.0205
151,0,0.9714,0.0286
152,0,0.9732,0.0268
153,0,0.9789,0.0211
154,0,0.9848,0.0152
155,0,0.9871,0.0129
156,0,0.9856,0.0144
157,0,0.9882,0.0118
158,0,0.9914,0.0086
159,0,0.9918,0.0082
160,0,0.9919,0.0081
161,0,0.9908,0.0092
162,0,0.9792,0.0208
163,0,0.9807,0.0193
164,0,0.9392,0.0608
165,0,0.9584,0.0416
166,0,0.9537,0.0463
167,0,0.9871,0.0129
168,0,0.987,0.013
169,0,0.9915,0.0085
170,0,0.9872,0.0128
171,0,0.9887,0.0113
172,0,0.9883,0.0117
173,0,0.9819,0.0181
174,0,0.9688,0.0312
175,0,0.9742,0.0258
176,0,0.9781,0.0219
177,0,0.9787,0.0213
178,0,0.9682,0.0318
179,0,0.9656,0.0344
180,0,0.9703,0.0297
181,0,0.9444,0.0556
182,0,0.9217,0.0783
183,0,0.9077,0.0923
184,0,0.9498,0.0502
185,0,0.9807,0.0193
186,0,0.9804,0.0196
187,0,0.9631,0.0369
188,0,0.9539,0.0461
189,0,0.9615,0.0385
190,0,0.9439,0.0561
191,0,0.866,0.134
192,0,0.8004,0.1996
193,0,0.9317,0.0683
194,0,0.9524,0.0476
195,0,0.9593,0.0407
196,0,0.9792,0.0208
197,0,0.9687,0.0313
198,0,0.9633,0.0367
199,0,0.9748,0.0252
200,0,0.9708,0.0292
201,0,0.9741,0.0259
202,0,0.9333,0.0667
203,0,0.9524,0.0476
204,0,0.9541,0.0459
205,0,0.9577,0.0423
206,0,0.9666,0.0334
207,0,0.9574,0.0426
208,0,0.9151,0.0849
209,0,0.9261,0.0739
210,0,0.7376,0.2624
211,0,0.6055,0.3945
212,0,0.666,0.334
213,0,0.9416,0.0584
214,0,0.9447,0.0553
215,0,0.9052,0.0948
216,0,0.8911,0.1089
217,0,0.8557,0.1443
218,0,0.7253,0.2747
219,0,0.8448,0.1552
220,0,0.8481,0.1519
221,0,0.5732,0.4268
222,1,0.3401,0.6599
223,0,0.5811,0.4189
224,0,0.9069,0.0931
225,0,0.9687,0.0313
226,0,0.9803,0.0197
227,0,0.9789,0.0211
228,0,0.9839,0.0161
229,0,0.9849,0.0151
230,0,0.9884,0.0116
231,0,0.9893,0.0107
232,0,0.9831,0.0169
233,0,0.9811,0.0189
234,0,0.9855,0.0145
235,0,0.9844,0.0156
236,0,0.9816,0.0184
237,0,0.9695,0.0305
238,0,0.9503,0.0497
239,0,0.9846,0.0154
240,0,0.9796,0.0204
241,0,0.9793,0.0207
242,0,0.9599,0.0401
243,0,0.9364,0.0636
244,0,0.927,0.073
245,0,0.9449,0.0551
246,0,0.9297,0.0703
247,0,0.9017,0.0983
248,0,0.8322,0.1678
249,0,0.7261,0.2739
250,1,0.4029,0.5971
251,0,0.7204,0.2796
252,0,0.9626,0.0374
253,0,0.979,0.021
254,0,0.979,0.021
255,0,0.979,0.021
256,0,0.9601,0.0399
257,0,0.9651,0.0349
258,0,0.988,0.012
259,0,0.9857,0.0143
260,0,0.9732,0.0268
261,0,0.9736,0.0264
262,0,0.9695,0.0305
263,0,0.9737,0.0263
264,0,0.986,0.014
