,class predicted,prob_class_0,prob_class_1
0,0,0.989,0.011
1,0,0.9867,0.0133
2,0,0.9813,0.0187
3,0,0.9739,0.0261
4,0,0.9896,0.0104
5,0,0.9794,0.0206
6,0,0.8769,0.1231
7,0,0.8056,0.1944
8,0,0.9878,0.0122
9,0,0.9704,0.0296
10,0,0.9945,0.0055
11,0,0.9938,0.0062
12,0,0.9972,0.0028
13,0,0.9947,0.0053
14,0,0.9905,0.0095
15,0,0.9885,0.0115
16,0,0.9942,0.0058
17,0,0.9921,0.0079
18,0,0.9856,0.0144
19,0,0.9896,0.0104
20,0,0.9856,0.0144
21,0,0.968,0.032
22,0,0.9955,0.0045
23,0,0.9973,0.0027
24,0,0.9973,0.0027
25,0,0.9953,0.0047
26,0,0.9947,0.0053
27,0,0.9959,0.0041
28,0,0.9941,0.0059
29,0,0.9912,0.0088
30,0,0.9831,0.0169
31,0,0.9873,0.0127
32,0,0.9892,0.0108
33,0,0.9919,0.0081
34,0,0.9945,0.0055
35,0,0.9956,0.0044
36,0,0.9953,0.0047
37,0,0.995,0.005
38,0,0.9969,0.0031
39,0,0.9978,0.0022
40,0,0.9965,0.0035
41,0,0.9944,0.0056
42,0,0.9931,0.0069
43,0,0.9966,0.0034
44,0,0.9929,0.0071
45,0,0.9913,0.0087
46,0,0.9966,0.0034
47,0,0.9962,0.0038
48,0,0.9947,0.0053
49,0,0.995,0.005
50,0,0.9954,0.0046
51,0,0.9922,0.0078
52,0,0.9931,0.0069
53,0,0.9923,0.0077
54,0,0.9922,0.0078
55,0,0.9833,0.0167
56,0,0.9843,0.0157
57,0,0.9666,0.0334
58,0,0.8651,0.1349
59,0,0.9226,0.0774
60,0,0.7008,0.2992
61,0,0.8113,0.1887
62,0,0.8921,0.1079
63,0,0.8828,0.1172
64,0,0.9296,0.0704
65,0,0.9323,0.0677
66,0,0.6192,0.3808
67,0,0.8283,0.1717
68,1,0.4428,0.5572
69,1,0.0031,0.9969
70,1,1e-04,0.9999
71,1,1e-04,0.9999
72,1,0.0023,0.9977
73,1,0.0002,0.9998
74,1,1e-04,0.9999
75,1,0.0023,0.9977
76,1,1e-04,0.9999
77,1,1e-04,0.9999
78,1,1e-04,0.9999
79,1,1e-04,0.9999
80,1,0.0002,0.9998
81,1,0.0007,0.9993
82,1,0.0052,0.9948
83,0,0.717,0.283
84,0,0.9113,0.0887
85,0,0.975,0.025
86,0,0.9866,0.0134
87,0,0.9935,0.0065
88,0,0.9962,0.0038
89,0,0.9959,0.0041
90,0,0.9916,0.0084
91,0,0.9895,0.0105
92,0,0.9921,0.0079
93,0,0.9914,0.0086
94,0,0.9919,0.0081
95,0,0.991,0.009
96,0,0.9949,0.0051
97,0,0.9667,0.0333
98,0,0.9809,0.0191
99,0,0.9515,0.0485
100,0,0.9609,0.0391
101,0,0.9917,0.0083
102,0,0.9861,0.0139
103,0,0.9367,0.0633
104,0,0.9671,0.0329
105,0,0.9881,0.0119
106,0,0.9868,0.0132
107,0,0.992,0.008
108,0,0.9945,0.0055
109,0,0.9948,0.0052
110,0,0.9866,0.0134
111,0,0.9884,0.0116
112,0,0.9898,0.0102
113,0,0.9938,0.0062
114,0,0.9952,0.0048
115,0,0.9913,0.0087
116,0,0.9922,0.0078
117,0,0.9894,0.0106
118,0,0.9913,0.0087
119,0,0.9899,0.0101
120,0,0.9896,0.0104
121,0,0.9946,0.0054
122,0,0.9931,0.0069
123,0,0.99,0.01
124,0,0.9435,0.0565
125,0,0.9861,0.0139
126,0,0.9894,0.0106
127,0,0.9615,0.0385
128,0,0.9886,0.0114
129,0,0.992,0.008
130,0,0.9949,0.0051
131,0,0.9914,0.0086
132,0,0.9881,0.0119
133,0,0.9187,0.0813
134,0,0.9486,0.0514
135,0,0.8862,0.1138
136,0,0.7485,0.2515
137,0,0.8761,0.1239
138,0,0.9329,0.0671
139,0,0.9198,0.0802
140,0,0.9701,0.0299
141,0,0.9872,0.0128
142,0,0.9819,0.0181
143,0,0.9711,0.0289
144,0,0.9424,0.0576
145,0,0.8575,0.1425
146,1,0.4521,0.5479
147,0,0.9079,0.0921
148,1,0.0373,0.9627
149,1,0.0282,0.9718
150,1,0.2938,0.7062
151,0,0.7863,0.2137
152,0,0.7641,0.2359
153,0,0.9686,0.0314
154,0,0.8718,0.1282
155,0,0.981,0.019
156,0,0.9867,0.0133
157,0,0.9852,0.0148
158,0,0.989,0.011
159,0,0.9864,0.0136
160,0,0.9721,0.0279
161,0,0.9469,0.0531
162,0,0.9508,0.0492
163,0,0.7515,0.2485
164,0,0.8216,0.1784
165,1,0.4467,0.5533
166,0,0.5562,0.4438
167,0,0.6779,0.3221
168,1,0.2986,0.7014
169,0,0.8097,0.1903
170,0,0.5406,0.4594
171,0,0.9608,0.0392
