,class predicted,prob_class_0,prob_class_1
0,1,0.0088,0.9912
1,1,0.254,0.746
2,1,0.0091,0.9909
3,1,0.2441,0.7559
4,1,0.1167,0.8833
5,1,0.1162,0.8838
6,1,0.1843,0.8157
7,1,0.2504,0.7496
8,1,0.1109,0.8891
9,0,0.5632,0.4368
10,0,0.8756,0.1244
11,0,0.5314,0.4686
12,0,0.9626,0.0374
13,0,0.9848,0.0152
14,0,0.958,0.042
15,0,0.9648,0.0352
16,0,0.9893,0.0107
17,0,0.986,0.014
18,0,0.9899,0.0101
19,0,0.9922,0.0078
20,0,0.9885,0.0115
21,0,0.8849,0.1151
22,0,0.8443,0.1557
23,0,0.9724,0.0276
24,0,0.9589,0.0411
25,0,0.9245,0.0755
26,0,0.9739,0.0261
27,0,0.8696,0.1304
28,0,0.9699,0.0301
29,0,0.9818,0.0182
30,0,0.979,0.021
31,0,0.9791,0.0209
32,0,0.8694,0.1306
33,0,0.8674,0.1326
34,0,0.9607,0.0393
35,0,0.9438,0.0562
36,0,0.9737,0.0263
37,0,0.9885,0.0115
38,0,0.9357,0.0643
39,0,0.5582,0.4418
40,0,0.9267,0.0733
41,0,0.9424,0.0576
42,0,0.976,0.024
43,0,0.9632,0.0368
44,0,0.8952,0.1048
45,0,0.9704,0.0296
46,0,0.9818,0.0182
47,0,0.9934,0.0066
48,0,0.99,0.01
49,0,0.9694,0.0306
50,0,0.9442,0.0558
51,0,0.9941,0.0059
52,0,0.9948,0.0052
53,0,0.997,0.003
54,0,0.9966,0.0034
55,0,0.9876,0.0124
56,0,0.9908,0.0092
57,0,0.97,0.03
58,0,0.9766,0.0234
59,0,0.9808,0.0192
60,0,0.9785,0.0215
61,0,0.9818,0.0182
62,0,0.9621,0.0379
63,0,0.8793,0.1207
64,0,0.9518,0.0482
65,0,0.9307,0.0693
66,0,0.9534,0.0466
67,0,0.9762,0.0238
68,0,0.9818,0.0182
69,0,0.9783,0.0217
70,0,0.9662,0.0338
71,0,0.9652,0.0348
72,0,0.9776,0.0224
73,0,0.9788,0.0212
74,0,0.9794,0.0206
75,0,0.9763,0.0237
76,0,0.9151,0.0849
77,0,0.8277,0.1723
78,0,0.9199,0.0801
79,0,0.9325,0.0675
80,0,0.8958,0.1042
81,0,0.9258,0.0742
82,0,0.9274,0.0726
83,0,0.9597,0.0403
84,0,0.922,0.078
85,0,0.8953,0.1047
86,0,0.939,0.061
87,0,0.9589,0.0411
88,0,0.9611,0.0389
89,0,0.9574,0.0426
90,0,0.9575,0.0425
91,0,0.9631,0.0369
92,0,0.9573,0.0427
93,0,0.9581,0.0419
94,0,0.9583,0.0417
95,0,0.9627,0.0373
96,0,0.9773,0.0227
97,0,0.9796,0.0204
98,0,0.9751,0.0249
99,0,0.9694,0.0306
100,0,0.9641,0.0359
101,0,0.9609,0.0391
102,0,0.9429,0.0571
103,0,0.9126,0.0874
104,0,0.7617,0.2383
105,0,0.7358,0.2642
106,0,0.8365,0.1635
107,0,0.8808,0.1192
108,0,0.8645,0.1355
109,0,0.8792,0.1208
110,0,0.8871,0.1129
111,1,0.2916,0.7084
112,0,0.6952,0.3048
113,1,0.0167,0.9833
114,1,0.0335,0.9665
115,0,0.8663,0.1337
116,0,0.99,0.01
117,0,0.9805,0.0195
118,0,0.969,0.031
119,0,0.9593,0.0407
120,0,0.9862,0.0138
121,0,0.9887,0.0113
122,0,0.9837,0.0163
123,0,0.9916,0.0084
124,0,0.9932,0.0068
125,0,0.9971,0.0029
126,0,0.9967,0.0033
127,0,0.9941,0.0059
128,0,0.9956,0.0044
129,0,0.9973,0.0027
130,0,0.9971,0.0029
131,0,0.997,0.003
132,0,0.9973,0.0027
133,0,0.9925,0.0075
134,0,0.9919,0.0081
135,0,0.9923,0.0077
136,0,0.9947,0.0053
137,0,0.987,0.013
138,0,0.9911,0.0089
139,0,0.9926,0.0074
140,0,0.9878,0.0122
141,0,0.973,0.027
142,0,0.9809,0.0191
143,0,0.9807,0.0193
144,0,0.978,0.022
145,0,0.965,0.035
146,0,0.9765,0.0235
147,0,0.9805,0.0195
148,0,0.9774,0.0226
149,0,0.8969,0.1031
150,0,0.6732,0.3268
151,0,0.9265,0.0735
152,0,0.9058,0.0942
153,0,0.9259,0.0741
154,0,0.9097,0.0903
155,0,0.8935,0.1065
