,class predicted,prob_class_0,prob_class_1
0,1,0.407,0.593
1,1,0.4242,0.5758
2,1,0.423,0.577
3,1,0.4214,0.5786
4,1,0.4169,0.5831
5,1,0.4337,0.5663
6,1,0.4283,0.5717
7,1,0.4253,0.5747
8,1,0.4219,0.5781
9,1,0.4476,0.5524
10,1,0.4502,0.5498
11,1,0.4444,0.5556
12,1,0.4351,0.5649
13,1,0.4471,0.5529
14,1,0.4389,0.5611
15,1,0.4297,0.5703
16,1,0.4292,0.5708
17,1,0.4317,0.5683
18,1,0.4198,0.5802
19,1,0.4372,0.5628
20,1,0.4323,0.5677
21,1,0.4166,0.5834
22,1,0.4314,0.5686
23,1,0.4273,0.5727
24,1,0.4241,0.5759
25,1,0.4132,0.5868
26,1,0.4162,0.5838
27,1,0.4246,0.5754
28,1,0.4295,0.5705
29,1,0.4195,0.5805
30,1,0.4337,0.5663
31,1,0.452,0.548
32,1,0.4468,0.5532
33,1,0.4542,0.5458
34,1,0.4567,0.5433
35,1,0.4561,0.5439
36,1,0.437,0.563
37,1,0.445,0.555
38,1,0.4412,0.5588
39,1,0.4297,0.5703
40,1,0.4314,0.5686
41,1,0.4375,0.5625
42,1,0.4386,0.5614
43,1,0.4348,0.5652
44,1,0.4305,0.5695
45,1,0.4248,0.5752
46,1,0.4196,0.5804
47,1,0.4311,0.5689
48,1,0.4267,0.5733
49,1,0.4167,0.5833
50,1,0.427,0.573
51,1,0.4211,0.5789
52,1,0.4245,0.5755
53,1,0.4304,0.5696
54,1,0.4284,0.5716
55,1,0.4281,0.5719
56,1,0.4382,0.5618
57,1,0.4288,0.5712
58,1,0.4306,0.5694
59,1,0.4488,0.5512
60,1,0.426,0.574
61,1,0.4374,0.5626
62,1,0.4411,0.5589
63,1,0.4367,0.5633
64,1,0.4281,0.5719
65,1,0.4388,0.5612
66,1,0.434,0.566
67,1,0.435,0.565
68,1,0.4489,0.5511
69,1,0.4484,0.5516
70,1,0.4517,0.5483
71,1,0.4479,0.5521
72,1,0.4376,0.5624
73,1,0.4235,0.5765
74,1,0.4374,0.5626
75,1,0.4337,0.5663
76,1,0.4197,0.5803
77,1,0.4255,0.5745
78,1,0.4359,0.5641
79,1,0.4351,0.5649
80,1,0.4291,0.5709
81,1,0.4446,0.5554
82,1,0.4255,0.5745
83,1,0.4293,0.5707
84,1,0.4263,0.5737
85,1,0.436,0.564
86,1,0.4301,0.5699
87,1,0.4223,0.5777
88,1,0.4321,0.5679
89,1,0.4345,0.5655
90,1,0.4303,0.5697
91,1,0.4245,0.5755
92,1,0.4243,0.5757
93,1,0.4237,0.5763
94,1,0.4208,0.5792
95,1,0.4133,0.5867
96,1,0.4237,0.5763
97,1,0.4153,0.5847
98,1,0.4163,0.5837
99,1,0.415,0.585
100,1,0.423,0.577
101,1,0.4106,0.5894
102,1,0.4245,0.5755
103,1,0.4197,0.5803
104,1,0.4016,0.5984
105,1,0.4246,0.5754
