,class predicted,prob_class_0,prob_class_1
0,1,0.4287,0.5713
1,1,0.4342,0.5658
2,1,0.4461,0.5539
3,1,0.4418,0.5582
4,1,0.4439,0.5561
5,1,0.4535,0.5465
6,1,0.4459,0.5541
7,1,0.4279,0.5721
8,1,0.4462,0.5538
9,1,0.4237,0.5763
10,1,0.4297,0.5703
11,1,0.437,0.563
12,1,0.427,0.573
13,1,0.437,0.563
14,1,0.4317,0.5683
15,1,0.4373,0.5627
16,1,0.4326,0.5674
17,1,0.4418,0.5582
18,1,0.4442,0.5558
19,1,0.4272,0.5728
20,1,0.445,0.555
21,1,0.4535,0.5465
22,1,0.4342,0.5658
23,1,0.4278,0.5722
24,1,0.4253,0.5747
25,1,0.443,0.557
26,1,0.4217,0.5783
27,1,0.4354,0.5646
28,1,0.4323,0.5677
29,1,0.4344,0.5656
30,1,0.4288,0.5712
31,1,0.4306,0.5694
32,1,0.4349,0.5651
33,1,0.415,0.585
34,1,0.4095,0.5905
35,1,0.4233,0.5767
36,1,0.4238,0.5762
37,1,0.4107,0.5893
38,1,0.4326,0.5674
39,1,0.4492,0.5508
40,1,0.4371,0.5629
41,1,0.4283,0.5717
42,1,0.4446,0.5554
43,1,0.4311,0.5689
44,1,0.4369,0.5631
45,1,0.4302,0.5698
46,1,0.429,0.571
47,1,0.4259,0.5741
48,1,0.4281,0.5719
49,1,0.4329,0.5671
50,1,0.4279,0.5721
51,1,0.4345,0.5655
52,1,0.4299,0.5701
53,1,0.4403,0.5597
54,1,0.4392,0.5608
55,1,0.4333,0.5667
56,1,0.4344,0.5656
57,1,0.4358,0.5642
58,1,0.451,0.549
59,1,0.4315,0.5685
60,1,0.4303,0.5697
61,1,0.4461,0.5539
62,1,0.4363,0.5637
63,1,0.4198,0.5802
64,1,0.4334,0.5666
65,1,0.4286,0.5714
66,1,0.4213,0.5787
67,1,0.4342,0.5658
68,1,0.4407,0.5593
69,1,0.4348,0.5652
70,1,0.4418,0.5582
71,1,0.4474,0.5526
72,1,0.4461,0.5539
73,1,0.4462,0.5538
74,1,0.4469,0.5531
75,1,0.4426,0.5574
76,1,0.418,0.582
77,1,0.4471,0.5529
78,1,0.4315,0.5685
79,1,0.4199,0.5801
80,1,0.4402,0.5598
81,1,0.4456,0.5544
82,1,0.425,0.575
83,1,0.4318,0.5682
84,1,0.4393,0.5607
85,1,0.4303,0.5697
86,1,0.4252,0.5748
87,1,0.4288,0.5712
88,1,0.4409,0.5591
89,1,0.4172,0.5828
90,1,0.4135,0.5865
91,1,0.4351,0.5649
92,1,0.4278,0.5722
93,1,0.4175,0.5825
94,1,0.4342,0.5658
95,1,0.4287,0.5713
96,1,0.4315,0.5685
97,1,0.4348,0.5652
98,1,0.432,0.568
99,1,0.4304,0.5696
100,1,0.4398,0.5602
101,1,0.437,0.563
102,1,0.4363,0.5637
103,1,0.433,0.567
104,1,0.4431,0.5569
105,1,0.4303,0.5697
106,1,0.431,0.569
107,1,0.4325,0.5675
108,1,0.4273,0.5727
109,1,0.4209,0.5791
110,1,0.4395,0.5605
111,1,0.4287,0.5713
112,1,0.4303,0.5697
113,1,0.4237,0.5763
114,1,0.4292,0.5708
115,1,0.4421,0.5579
116,1,0.4149,0.5851
117,1,0.4245,0.5755
118,1,0.435,0.565
119,1,0.4272,0.5728
120,1,0.4238,0.5762
121,1,0.4356,0.5644
122,1,0.4242,0.5758
123,1,0.4374,0.5626
124,1,0.4453,0.5547
125,1,0.4366,0.5634
126,1,0.4297,0.5703
127,1,0.4465,0.5535
128,1,0.432,0.568
129,1,0.4344,0.5656
130,1,0.4255,0.5745
131,1,0.4195,0.5805
132,1,0.434,0.566
133,1,0.4376,0.5624
134,1,0.4258,0.5742
135,1,0.4341,0.5659
136,1,0.4348,0.5652
137,1,0.4247,0.5753
138,1,0.4272,0.5728
139,1,0.4348,0.5652
140,1,0.4311,0.5689
141,1,0.4268,0.5732
142,1,0.4243,0.5757
143,1,0.4214,0.5786
144,1,0.4406,0.5594
145,1,0.4134,0.5866
146,1,0.4291,0.5709
147,1,0.4416,0.5584
148,1,0.4301,0.5699
149,1,0.4472,0.5528
150,1,0.4442,0.5558
151,1,0.4394,0.5606
152,1,0.444,0.556
153,1,0.4395,0.5605
154,1,0.4331,0.5669
155,1,0.4471,0.5529
156,1,0.4397,0.5603
157,1,0.4414,0.5586
158,1,0.4458,0.5542
159,1,0.436,0.564
160,1,0.4481,0.5519
161,1,0.4435,0.5565
162,1,0.4364,0.5636
163,1,0.4408,0.5592
164,1,0.4452,0.5548
165,1,0.4266,0.5734
166,1,0.4434,0.5566
167,1,0.4399,0.5601
168,1,0.4423,0.5577
169,1,0.4407,0.5593
170,1,0.4388,0.5612
171,1,0.4234,0.5766
172,1,0.4348,0.5652
173,1,0.4218,0.5782
174,1,0.4284,0.5716
175,1,0.4313,0.5687
176,1,0.4375,0.5625
177,1,0.434,0.566
178,1,0.4404,0.5596
179,1,0.4489,0.5511
180,1,0.438,0.562
181,1,0.426,0.574
