,class predicted,prob_class_0,prob_class_1
0,1,0.0002,0.9998
1,1,1e-04,0.9999
2,1,0.0,1.0
3,1,0.0,1.0
4,1,1e-04,0.9999
5,1,0.0007,0.9993
6,1,0.0008,0.9992
7,1,0.0004,0.9996
8,1,0.0441,0.9559
9,0,0.7131,0.2869
10,0,0.9962,0.0038
11,0,0.9378,0.0622
12,0,0.9987,0.0013
13,0,0.9992,0.0008
14,0,0.9985,0.0015
15,0,0.9979,0.0021
16,0,0.9973,0.0027
17,0,0.9973,0.0027
18,0,0.968,0.032
19,0,0.9553,0.0447
20,0,0.5563,0.4437
21,1,0.3158,0.6842
22,0,0.8475,0.1525
23,0,0.9829,0.0171
24,0,0.9954,0.0046
25,0,0.9977,0.0023
26,0,0.9942,0.0058
27,0,0.9981,0.0019
28,0,0.9979,0.0021
29,0,0.9912,0.0088
30,0,0.9979,0.0021
31,0,0.9993,0.0007
32,0,0.9994,0.0006
33,0,0.9996,0.0004
34,0,0.9996,0.0004
35,0,0.9995,0.0005
36,0,0.9994,0.0006
37,0,0.9993,0.0007
38,0,0.9992,0.0008
39,0,0.9994,0.0006
40,0,0.9993,0.0007
41,0,0.9991,0.0009
42,0,0.9994,0.0006
43,0,0.9995,0.0005
44,0,0.9994,0.0006
45,0,0.9994,0.0006
46,0,0.9992,0.0008
47,0,0.9992,0.0008
48,0,0.9992,0.0008
49,0,0.9994,0.0006
50,0,0.9993,0.0007
51,0,0.9993,0.0007
52,0,0.9991,0.0009
53,0,0.9993,0.0007
54,0,0.9993,0.0007
55,0,0.9992,0.0008
56,0,0.9993,0.0007
57,0,0.9993,0.0007
58,0,0.9994,0.0006
59,0,0.9991,0.0009
60,0,0.9991,0.0009
61,0,0.9988,0.0012
62,0,0.9992,0.0008
63,0,0.9991,0.0009
64,0,0.9994,0.0006
65,0,0.9994,0.0006
66,0,0.9994,0.0006
67,0,0.9994,0.0006
68,0,0.9989,0.0011
69,0,0.9987,0.0013
70,0,0.9991,0.0009
71,0,0.9994,0.0006
72,0,0.9995,0.0005
73,0,0.9995,0.0005
74,0,0.9995,0.0005
75,0,0.9996,0.0004
76,0,0.9996,0.0004
77,0,0.9997,0.0003
78,0,0.9997,0.0003
79,0,0.9997,0.0003
80,0,0.9997,0.0003
81,0,0.9997,0.0003
82,0,0.9997,0.0003
83,0,0.9998,0.0002
84,0,0.9997,0.0003
85,0,0.9997,0.0003
86,0,0.9998,0.0002
87,0,0.9997,0.0003
88,0,0.9996,0.0004
89,0,0.9996,0.0004
90,0,0.9996,0.0004
91,0,0.9996,0.0004
92,0,0.9994,0.0006
93,0,0.9992,0.0008
94,0,0.9993,0.0007
95,0,0.9993,0.0007
96,0,0.9991,0.0009
97,0,0.9992,0.0008
98,0,0.9985,0.0015
99,0,0.9991,0.0009
100,0,0.9988,0.0012
101,0,0.999,0.001
102,0,0.9988,0.0012
103,0,0.9989,0.0011
104,0,0.9991,0.0009
105,0,0.9993,0.0007
106,0,0.9989,0.0011
107,0,0.9987,0.0013
108,0,0.9993,0.0007
109,0,0.9991,0.0009
110,0,0.9992,0.0008
111,0,0.999,0.001
112,0,0.999,0.001
113,0,0.9984,0.0016
114,0,0.9976,0.0024
115,0,0.9982,0.0018
