,class predicted,prob_class_0,prob_class_1
0,0,0.9997,0.0003
1,0,0.9996,0.0004
2,0,0.9997,0.0003
3,0,0.9996,0.0004
4,0,0.9994,0.0006
5,0,0.9992,0.0008
6,0,0.9993,0.0007
7,0,0.9989,0.0011
8,0,0.9991,0.0009
9,0,0.9995,0.0005
10,0,0.9994,0.0006
11,0,0.9994,0.0006
12,0,0.9994,0.0006
13,0,0.9993,0.0007
14,0,0.9993,0.0007
15,0,0.9992,0.0008
16,0,0.999,0.001
17,0,0.9986,0.0014
18,0,0.9987,0.0013
19,0,0.999,0.001
20,0,0.9988,0.0012
21,0,0.9987,0.0013
22,0,0.9989,0.0011
23,0,0.9988,0.0012
24,0,0.9985,0.0015
25,0,0.9989,0.0011
26,0,0.9988,0.0012
27,0,0.9991,0.0009
28,0,0.9984,0.0016
29,0,0.9989,0.0011
30,0,0.998,0.002
31,0,0.9985,0.0015
32,0,0.9986,0.0014
33,0,0.9978,0.0022
34,0,0.9986,0.0014
35,0,0.9966,0.0034
36,0,0.9974,0.0026
37,0,0.9989,0.0011
38,0,0.9991,0.0009
39,0,0.9994,0.0006
40,0,0.9991,0.0009
41,0,0.9991,0.0009
42,0,0.9991,0.0009
43,0,0.9991,0.0009
44,0,0.999,0.001
45,0,0.9989,0.0011
46,0,0.9985,0.0015
47,0,0.9989,0.0011
48,0,0.9979,0.0021
49,0,0.9981,0.0019
50,0,0.998,0.002
51,0,0.996,0.004
52,0,0.9993,0.0007
53,0,0.9994,0.0006
54,0,0.9982,0.0018
55,0,0.9988,0.0012
56,0,0.9984,0.0016
57,0,0.9972,0.0028
58,0,0.9878,0.0122
59,0,0.9968,0.0032
60,0,0.9944,0.0056
61,0,0.9964,0.0036
62,0,0.9973,0.0027
63,0,0.9976,0.0024
64,0,0.9985,0.0015
65,0,0.9984,0.0016
66,0,0.9983,0.0017
67,0,0.9986,0.0014
68,0,0.9639,0.0361
69,0,0.744,0.256
70,0,0.8862,0.1138
71,1,0.4954,0.5046
72,0,0.5574,0.4426
73,0,0.9348,0.0652
74,0,0.9963,0.0037
75,0,0.9925,0.0075
76,0,0.9951,0.0049
77,0,0.9982,0.0018
78,0,0.9982,0.0018
79,0,0.9965,0.0035
80,0,0.9927,0.0073
81,0,0.9961,0.0039
82,0,0.995,0.005
83,0,0.9948,0.0052
84,0,0.9939,0.0061
85,0,0.9903,0.0097
86,0,0.9943,0.0057
87,0,0.9967,0.0033
88,0,0.9933,0.0067
89,0,0.9976,0.0024
90,0,0.9902,0.0098
91,0,0.9973,0.0027
92,0,0.9954,0.0046
93,0,0.9975,0.0025
94,0,0.9946,0.0054
95,0,0.9967,0.0033
96,0,0.9947,0.0053
97,0,0.9957,0.0043
98,0,0.9974,0.0026
99,0,0.9992,0.0008
100,0,0.9994,0.0006
101,0,0.9995,0.0005
102,0,0.9995,0.0005
103,0,0.9995,0.0005
104,0,0.9996,0.0004
105,0,0.9996,0.0004
106,0,0.9995,0.0005
107,0,0.9994,0.0006
108,0,0.9994,0.0006
109,0,0.9994,0.0006
110,0,0.9992,0.0008
111,0,0.9993,0.0007
112,0,0.9987,0.0013
113,0,0.9984,0.0016
114,0,0.9984,0.0016
115,0,0.9989,0.0011
116,0,0.9948,0.0052
117,0,0.9974,0.0026
118,0,0.9976,0.0024
119,0,0.9979,0.0021
120,0,0.998,0.002
121,0,0.9973,0.0027
122,0,0.9963,0.0037
123,0,0.993,0.007
124,0,0.9902,0.0098
125,0,0.9962,0.0038
126,0,0.9973,0.0027
127,0,0.9983,0.0017
128,0,0.9977,0.0023
129,0,0.9979,0.0021
130,0,0.9969,0.0031
131,0,0.9824,0.0176
132,0,0.9975,0.0025
133,0,0.9967,0.0033
134,0,0.9972,0.0028
135,0,0.9957,0.0043
136,0,0.9984,0.0016
137,0,0.9986,0.0014
138,0,0.9988,0.0012
139,0,0.9988,0.0012
140,0,0.9992,0.0008
141,0,0.9991,0.0009
142,0,0.9991,0.0009
143,0,0.9991,0.0009
144,0,0.9989,0.0011
145,0,0.9988,0.0012
146,0,0.9993,0.0007
147,0,0.9994,0.0006
148,0,0.9995,0.0005
149,0,0.9995,0.0005
150,0,0.9994,0.0006
151,0,0.9993,0.0007
152,0,0.9993,0.0007
153,0,0.9989,0.0011
154,0,0.9986,0.0014
155,0,0.9991,0.0009
156,0,0.9994,0.0006
157,0,0.9994,0.0006
158,0,0.9995,0.0005
159,0,0.9996,0.0004
160,0,0.9995,0.0005
161,0,0.9995,0.0005
