,class predicted,prob_class_0,prob_class_1
0,0,0.976,0.024
1,0,0.984,0.016
2,0,0.986,0.014
3,0,1.0,0.0
4,0,0.994,0.006
5,0,0.966,0.034
6,0,0.982,0.018
7,0,0.974,0.026
8,0,0.956,0.044
9,0,0.996,0.004
10,0,0.994,0.006
11,0,0.992,0.008
12,0,0.996,0.004
13,0,0.986,0.014
14,0,0.988,0.012
15,0,0.976,0.024
16,0,0.996,0.004
17,0,0.99,0.01
18,0,1.0,0.0
19,0,1.0,0.0
20,0,0.998,0.002
21,0,0.996,0.004
22,0,0.994,0.006
23,0,0.992,0.008
24,0,0.996,0.004
25,0,0.998,0.002
26,0,0.998,0.002
27,0,0.998,0.002
28,0,1.0,0.0
29,0,0.99,0.01
30,0,0.996,0.004
31,0,0.994,0.006
32,0,0.998,0.002
33,0,0.994,0.006
34,0,0.998,0.002
35,0,0.998,0.002
36,0,1.0,0.0
37,0,1.0,0.0
38,0,1.0,0.0
39,0,1.0,0.0
40,0,1.0,0.0
41,0,1.0,0.0
42,0,1.0,0.0
43,0,1.0,0.0
44,0,1.0,0.0
45,0,1.0,0.0
46,0,1.0,0.0
47,0,1.0,0.0
48,0,1.0,0.0
49,0,1.0,0.0
50,0,1.0,0.0
51,0,1.0,0.0
52,0,1.0,0.0
53,0,1.0,0.0
54,0,0.998,0.002
55,0,0.994,0.006
56,0,0.998,0.002
57,0,0.998,0.002
58,0,0.994,0.006
59,0,0.992,0.008
60,0,0.99,0.01
61,0,0.996,0.004
62,0,0.996,0.004
63,0,0.976,0.024
64,0,0.978,0.022
65,0,0.982,0.018
66,0,0.984,0.016
67,0,0.988,0.012
68,0,0.974,0.026
69,0,0.916,0.084
70,0,0.894,0.106
71,0,0.924,0.076
72,0,0.956,0.044
73,0,0.986,0.014
74,0,0.996,0.004
75,0,1.0,0.0
76,0,1.0,0.0
77,0,1.0,0.0
78,0,1.0,0.0
79,0,1.0,0.0
80,0,1.0,0.0
81,0,0.996,0.004
82,0,0.998,0.002
83,0,0.996,0.004
84,0,1.0,0.0
85,0,1.0,0.0
86,0,1.0,0.0
87,0,0.998,0.002
88,0,0.996,0.004
89,0,0.996,0.004
90,0,1.0,0.0
91,0,1.0,0.0
92,0,1.0,0.0
93,0,1.0,0.0
94,0,0.998,0.002
95,0,1.0,0.0
96,0,1.0,0.0
97,0,1.0,0.0
98,0,1.0,0.0
99,0,1.0,0.0
100,0,1.0,0.0
101,0,1.0,0.0
102,0,1.0,0.0
103,0,1.0,0.0
104,0,1.0,0.0
105,0,1.0,0.0
106,0,0.998,0.002
107,0,1.0,0.0
108,0,1.0,0.0
109,0,1.0,0.0
110,0,0.998,0.002
111,0,1.0,0.0
112,0,0.992,0.008
113,0,0.974,0.026
114,0,0.986,0.014
115,0,0.992,0.008
116,0,0.98,0.02
117,0,0.972,0.028
118,0,0.996,0.004
119,0,0.994,0.006
120,0,1.0,0.0
121,0,1.0,0.0
122,0,0.99,0.01
123,0,1.0,0.0
124,0,1.0,0.0
125,0,0.998,0.002
126,0,0.996,0.004
127,0,0.994,0.006
128,0,0.99,0.01
129,0,0.99,0.01
130,0,0.996,0.004
131,0,0.99,0.01
132,0,0.99,0.01
133,0,0.992,0.008
134,0,0.998,0.002
135,0,0.996,0.004
136,0,0.994,0.006
137,0,0.994,0.006
138,0,0.956,0.044
139,0,0.958,0.042
140,0,0.952,0.048
141,0,0.96,0.04
142,0,0.95,0.05
143,0,0.954,0.046
144,0,0.958,0.042
145,0,0.964,0.036
146,0,0.956,0.044
147,0,0.968,0.032
148,0,0.97,0.03
149,0,0.968,0.032
150,0,0.996,0.004
151,0,0.996,0.004
152,0,1.0,0.0
153,0,1.0,0.0
154,0,1.0,0.0
155,0,1.0,0.0
156,0,0.998,0.002
157,0,0.998,0.002
158,0,1.0,0.0
159,0,0.998,0.002
160,0,0.998,0.002
161,0,1.0,0.0
162,0,1.0,0.0
163,0,1.0,0.0
164,0,1.0,0.0
165,0,1.0,0.0
166,0,0.998,0.002
167,0,0.998,0.002
168,0,1.0,0.0
169,0,1.0,0.0
170,0,0.998,0.002
171,0,1.0,0.0
172,0,1.0,0.0
173,0,0.996,0.004
174,0,1.0,0.0
175,0,1.0,0.0
176,0,1.0,0.0
177,0,1.0,0.0
178,0,1.0,0.0
179,0,1.0,0.0
180,0,1.0,0.0
181,0,1.0,0.0
182,0,1.0,0.0
183,0,1.0,0.0
184,0,1.0,0.0
185,0,1.0,0.0
186,0,1.0,0.0
187,0,0.996,0.004
188,0,0.994,0.006
189,0,0.998,0.002
190,0,0.984,0.016
191,0,0.99,0.01
192,0,0.992,0.008
193,0,0.984,0.016
194,0,0.978,0.022
195,0,0.992,0.008
196,0,0.996,0.004
197,0,0.994,0.006
198,0,0.992,0.008
199,0,0.992,0.008
200,0,0.988,0.012
201,0,0.996,0.004
202,0,0.994,0.006
203,0,0.986,0.014
204,0,1.0,0.0
205,0,0.996,0.004
206,0,1.0,0.0
207,0,0.998,0.002
208,0,0.998,0.002
209,0,0.998,0.002
210,0,0.998,0.002
211,0,1.0,0.0
212,0,0.998,0.002
213,0,0.994,0.006
214,0,0.994,0.006
215,0,0.994,0.006
216,0,0.998,0.002
217,0,1.0,0.0
218,0,0.994,0.006
219,0,1.0,0.0
220,0,1.0,0.0
221,0,0.998,0.002
222,0,1.0,0.0
223,0,0.998,0.002
224,0,0.99,0.01
225,0,0.992,0.008
226,0,0.998,0.002
227,0,1.0,0.0
228,0,0.998,0.002
229,0,1.0,0.0
230,0,0.992,0.008
231,0,0.994,0.006
232,0,0.998,0.002
233,0,0.992,0.008
234,0,0.996,0.004
235,0,0.994,0.006
236,0,0.98,0.02
237,0,1.0,0.0
238,0,0.996,0.004
239,0,1.0,0.0
240,0,1.0,0.0
241,0,0.992,0.008
242,0,0.982,0.018
243,0,0.988,0.012
244,0,0.986,0.014
245,0,0.988,0.012
246,0,0.984,0.016
247,0,0.988,0.012
248,0,0.992,0.008
249,0,0.984,0.016
250,0,0.988,0.012
251,0,0.99,0.01
252,0,0.986,0.014
253,0,0.99,0.01
254,0,0.934,0.066
255,0,0.996,0.004
256,0,0.996,0.004
257,0,0.992,0.008
258,0,0.958,0.042
259,0,0.98,0.02
260,0,0.97,0.03
261,0,0.98,0.02
262,0,0.986,0.014
263,0,0.996,0.004
264,0,1.0,0.0
265,0,0.996,0.004
266,0,0.97,0.03
267,0,0.988,0.012
268,0,0.998,0.002
269,0,0.998,0.002
270,0,0.988,0.012
271,0,0.986,0.014
272,0,0.988,0.012
273,0,0.996,0.004
274,0,0.996,0.004
275,0,0.996,0.004
276,0,0.998,0.002
277,0,0.996,0.004
278,0,1.0,0.0
279,0,1.0,0.0
280,0,1.0,0.0
281,0,1.0,0.0
282,0,1.0,0.0
283,0,1.0,0.0
284,0,1.0,0.0
285,0,1.0,0.0
286,0,1.0,0.0
287,0,1.0,0.0
288,0,1.0,0.0
289,0,1.0,0.0
290,0,0.998,0.002
291,0,1.0,0.0
292,0,1.0,0.0
293,0,1.0,0.0
294,0,1.0,0.0
295,0,1.0,0.0
296,0,1.0,0.0
297,0,1.0,0.0
298,0,1.0,0.0
299,0,1.0,0.0
300,0,1.0,0.0
301,0,1.0,0.0
302,0,1.0,0.0
303,0,0.998,0.002
304,0,1.0,0.0
305,0,1.0,0.0
306,0,1.0,0.0
307,0,0.996,0.004
308,0,0.992,0.008
309,0,0.994,0.006
310,0,0.998,0.002
311,0,1.0,0.0
312,0,0.996,0.004
313,0,1.0,0.0
314,0,0.998,0.002
315,0,0.996,0.004
316,0,0.996,0.004
317,0,0.998,0.002
318,0,0.998,0.002
319,0,0.984,0.016
320,0,0.992,0.008
321,0,0.99,0.01
322,0,1.0,0.0
323,0,0.998,0.002
324,0,1.0,0.0
325,0,0.996,0.004
326,0,0.996,0.004
327,0,0.994,0.006
328,0,1.0,0.0
329,0,1.0,0.0
330,0,1.0,0.0
331,0,0.998,0.002
332,0,1.0,0.0
333,0,1.0,0.0
334,0,1.0,0.0
335,0,1.0,0.0
336,0,1.0,0.0
337,0,1.0,0.0
338,0,1.0,0.0
339,0,1.0,0.0
340,0,1.0,0.0
341,0,1.0,0.0
342,0,0.998,0.002
343,0,1.0,0.0
344,0,0.994,0.006
345,0,0.998,0.002
346,0,0.99,0.01
347,0,0.992,0.008
348,0,0.972,0.028
349,0,0.994,0.006
350,0,0.98,0.02
351,0,0.994,0.006
352,0,0.998,0.002
353,0,0.998,0.002
354,0,0.994,0.006
355,0,1.0,0.0
356,0,1.0,0.0
357,0,0.996,0.004
358,0,0.99,0.01
359,0,0.998,0.002
360,0,0.996,0.004
361,0,0.982,0.018
362,0,0.998,0.002
363,0,0.984,0.016
364,0,0.996,0.004
365,0,0.984,0.016
366,0,0.992,0.008
367,0,0.986,0.014
368,0,0.988,0.012
369,0,0.994,0.006
370,0,0.992,0.008
371,0,0.998,0.002
372,0,0.994,0.006
373,0,0.996,0.004
374,0,0.992,0.008
375,0,0.996,0.004
376,0,1.0,0.0
377,0,0.998,0.002
378,0,0.994,0.006
379,0,0.996,0.004
380,0,0.998,0.002
381,0,1.0,0.0
382,0,1.0,0.0
383,0,1.0,0.0
384,0,1.0,0.0
385,0,0.998,0.002
386,0,0.972,0.028
387,0,0.99,0.01
388,0,0.998,0.002
389,0,0.998,0.002
390,0,0.998,0.002
391,0,0.996,0.004
392,0,0.994,0.006
393,0,0.998,0.002
394,0,0.994,0.006
395,0,0.994,0.006
396,0,0.998,0.002
397,0,0.994,0.006
398,0,1.0,0.0
399,0,1.0,0.0
400,0,0.996,0.004
401,0,0.988,0.012
402,0,1.0,0.0
403,0,1.0,0.0
404,0,0.998,0.002
405,0,0.998,0.002
406,0,0.998,0.002
407,0,0.996,0.004
408,0,0.996,0.004
409,0,1.0,0.0
410,0,1.0,0.0
411,0,1.0,0.0
412,0,0.998,0.002
413,0,1.0,0.0
414,0,1.0,0.0
415,0,0.998,0.002
416,0,0.994,0.006
417,0,0.992,0.008
418,0,0.994,0.006
419,0,0.992,0.008
420,0,0.994,0.006
421,0,0.998,0.002
422,0,0.996,0.004
423,0,0.998,0.002
424,0,1.0,0.0
425,0,0.994,0.006
426,0,0.992,0.008
427,0,0.998,0.002
428,0,1.0,0.0
429,0,1.0,0.0
430,0,1.0,0.0
431,0,1.0,0.0
432,0,0.996,0.004
433,0,0.99,0.01
434,0,0.996,0.004
435,0,0.994,0.006
436,0,0.998,0.002
437,0,1.0,0.0
438,0,0.996,0.004
439,0,0.998,0.002
440,0,0.996,0.004
441,0,0.994,0.006
442,0,0.998,0.002
443,0,1.0,0.0
444,0,0.992,0.008
445,0,0.998,0.002
446,0,0.984,0.016
447,0,0.99,0.01
448,0,0.994,0.006
449,0,0.986,0.014
450,0,0.992,0.008
451,0,0.99,0.01
452,0,0.976,0.024
453,0,0.98,0.02
454,0,0.984,0.016
455,0,0.968,0.032
456,0,0.98,0.02
457,0,0.992,0.008
458,0,0.97,0.03
459,0,0.976,0.024
460,0,0.98,0.02
461,0,0.994,0.006
462,0,0.954,0.046
463,0,0.98,0.02
464,0,0.984,0.016
465,0,0.978,0.022
466,0,0.994,0.006
467,0,0.994,0.006
468,0,0.998,0.002
469,0,0.996,0.004
470,0,1.0,0.0
471,0,0.998,0.002
472,0,0.996,0.004
473,0,0.998,0.002
474,0,1.0,0.0
475,0,1.0,0.0
476,0,0.998,0.002
477,0,1.0,0.0
478,0,0.984,0.016
479,0,1.0,0.0
480,0,0.968,0.032
481,0,0.978,0.022
482,0,0.972,0.028
483,0,0.972,0.028
484,0,0.986,0.014
485,0,0.956,0.044
486,0,0.99,0.01
487,0,0.998,0.002
488,0,1.0,0.0
489,0,0.998,0.002
490,0,0.996,0.004
