,class predicted,prob_class_0,prob_class_1
0,0,0.936,0.064
1,0,0.922,0.078
2,0,0.896,0.104
3,0,0.928,0.072
4,0,0.896,0.104
5,0,0.804,0.196
6,0,0.856,0.144
7,0,0.908,0.092
8,0,0.93,0.07
9,0,0.926,0.074
10,0,0.922,0.078
11,0,0.942,0.058
12,0,0.92,0.08
13,0,0.922,0.078
14,0,0.838,0.162
15,0,0.858,0.142
16,0,0.932,0.068
17,0,0.88,0.12
18,0,0.842,0.158
19,0,0.798,0.202
20,0,0.806,0.194
21,0,0.682,0.318
22,0,0.778,0.222
23,0,0.83,0.17
24,0,0.792,0.208
25,0,0.83,0.17
26,0,0.82,0.18
27,0,0.688,0.312
28,0,0.636,0.364
29,0,0.658,0.342
30,0,0.528,0.472
31,0,0.568,0.432
32,0,0.582,0.418
33,0,0.548,0.452
34,0,0.658,0.342
35,0,0.682,0.318
36,0,0.638,0.362
37,0,0.678,0.322
38,0,0.834,0.166
39,0,0.79,0.21
40,0,0.784,0.216
41,0,0.826,0.174
42,0,0.824,0.176
43,0,0.806,0.194
44,0,0.732,0.268
45,0,0.672,0.328
46,0,0.676,0.324
47,0,0.704,0.296
48,0,0.732,0.268
49,0,0.782,0.218
50,0,0.798,0.202
51,0,0.828,0.172
52,0,0.82,0.18
53,0,0.828,0.172
54,0,0.822,0.178
55,0,0.784,0.216
56,0,0.704,0.296
57,0,0.914,0.086
58,0,0.876,0.124
59,0,0.864,0.136
60,0,0.904,0.096
61,0,0.874,0.126
62,0,0.848,0.152
63,0,0.76,0.24
64,0,0.832,0.168
65,0,0.898,0.102
66,0,0.922,0.078
67,0,0.918,0.082
68,0,0.878,0.122
69,0,0.858,0.142
70,0,0.79,0.21
71,0,0.728,0.272
72,0,0.67,0.33
73,0,0.534,0.466
74,0,0.574,0.426
75,0,0.58,0.42
76,0,0.578,0.422
77,0,0.626,0.374
78,0,0.688,0.312
79,0,0.55,0.45
80,0,0.596,0.404
81,1,0.476,0.524
82,0,0.566,0.434
83,0,0.53,0.47
84,0,0.628,0.372
85,0,0.562,0.438
86,1,0.49,0.51
87,0,0.628,0.372
88,0,0.522,0.478
89,1,0.474,0.526
90,0,0.676,0.324
91,0,0.72,0.28
92,0,0.734,0.266
93,0,0.744,0.256
94,0,0.744,0.256
95,0,0.764,0.236
96,0,0.758,0.242
97,0,0.746,0.254
98,0,0.726,0.274
99,0,0.726,0.274
100,0,0.716,0.284
101,0,0.716,0.284
102,0,0.75,0.25
103,0,0.782,0.218
104,0,0.832,0.168
105,0,0.756,0.244
106,0,0.744,0.256
107,0,0.73,0.27
108,0,0.77,0.23
109,0,0.658,0.342
110,0,0.652,0.348
111,0,0.618,0.382
112,0,0.644,0.356
113,0,0.598,0.402
114,0,0.704,0.296
115,0,0.64,0.36
116,0,0.734,0.266
117,0,0.736,0.264
118,0,0.622,0.378
119,0,0.634,0.366
120,0,0.64,0.36
121,0,0.666,0.334
122,0,0.692,0.308
123,0,0.714,0.286
124,0,0.692,0.308
125,0,0.742,0.258
126,0,0.81,0.19
127,0,0.75,0.25
128,0,0.8,0.2
129,0,0.87,0.13
130,0,0.848,0.152
131,0,0.756,0.244
132,0,0.812,0.188
133,0,0.798,0.202
134,0,0.918,0.082
135,0,0.916,0.084
136,0,0.894,0.106
137,0,0.864,0.136
138,0,0.818,0.182
139,0,0.82,0.18
140,0,0.804,0.196
141,0,0.822,0.178
142,0,0.842,0.158
143,0,0.844,0.156
144,0,0.81,0.19
145,0,0.792,0.208
146,0,0.738,0.262
147,1,0.402,0.598
148,0,0.624,0.376
149,1,0.464,0.536
150,1,0.476,0.524
151,0,0.544,0.456
152,0,0.554,0.446
153,0,0.62,0.38
154,0,0.588,0.412
155,0,0.542,0.458
156,0,0.586,0.414
157,1,0.49,0.51
158,1,0.486,0.514
159,1,0.392,0.608
160,0,0.578,0.422
161,0,0.674,0.326
162,0,0.678,0.322
163,0,0.726,0.274
164,0,0.794,0.206
165,0,0.802,0.198
166,0,0.792,0.208
167,0,0.88,0.12
168,0,0.906,0.094
169,0,0.832,0.168
170,0,0.872,0.128
171,0,0.828,0.172
172,0,0.776,0.224
