,class predicted,prob_class_0,prob_class_1
0,1,0.322,0.678
1,1,0.412,0.588
2,1,0.324,0.676
3,1,0.418,0.582
4,1,0.428,0.572
5,0,0.506,0.494
6,0,0.52,0.48
7,0,0.508,0.492
8,1,0.498,0.502
9,0,0.574,0.426
10,0,0.51,0.49
11,0,0.586,0.414
12,0,0.616,0.384
13,0,0.726,0.274
14,0,0.63,0.37
15,0,0.664,0.336
16,0,0.668,0.332
17,0,0.666,0.334
18,0,0.74,0.26
19,0,0.74,0.26
20,0,0.742,0.258
21,0,0.766,0.234
22,0,0.772,0.228
23,0,0.792,0.208
24,0,0.806,0.194
25,0,0.83,0.17
26,0,0.812,0.188
27,0,0.79,0.21
28,0,0.79,0.21
29,0,0.782,0.218
30,0,0.764,0.236
31,0,0.748,0.252
32,0,0.694,0.306
33,0,0.708,0.292
34,0,0.686,0.314
35,0,0.766,0.234
36,0,0.756,0.244
37,0,0.782,0.218
38,0,0.796,0.204
39,0,0.808,0.192
40,0,0.81,0.19
41,0,0.86,0.14
42,0,0.794,0.206
43,0,0.754,0.246
44,0,0.724,0.276
45,0,0.774,0.226
46,0,0.704,0.296
47,0,0.744,0.256
48,0,0.74,0.26
49,0,0.608,0.392
50,0,0.56,0.44
51,0,0.548,0.452
52,0,0.566,0.434
53,0,0.556,0.444
54,0,0.536,0.464
55,0,0.524,0.476
56,0,0.55,0.45
57,0,0.544,0.456
58,0,0.546,0.454
59,0,0.574,0.426
60,0,0.566,0.434
61,0,0.568,0.432
62,0,0.56,0.44
63,0,0.586,0.414
64,0,0.536,0.464
65,0,0.54,0.46
66,0,0.524,0.476
67,0,0.532,0.468
68,0,0.514,0.486
69,0,0.582,0.418
70,0,0.7,0.3
71,0,0.65,0.35
72,0,0.722,0.278
73,0,0.582,0.418
74,0,0.59,0.41
75,0,0.544,0.456
76,0,0.538,0.462
77,0,0.618,0.382
78,0,0.626,0.374
79,0,0.562,0.438
80,0,0.584,0.416
81,0,0.606,0.394
82,0,0.584,0.416
83,0,0.78,0.22
84,0,0.674,0.326
85,0,0.826,0.174
86,0,0.828,0.172
87,0,0.876,0.124
88,0,0.842,0.158
89,0,0.862,0.138
90,0,0.838,0.162
91,0,0.836,0.164
92,0,0.782,0.218
93,0,0.698,0.302
94,0,0.858,0.142
95,0,0.776,0.224
96,0,0.808,0.192
97,0,0.72,0.28
98,0,0.768,0.232
99,0,0.788,0.212
100,0,0.784,0.216
101,0,0.776,0.224
102,0,0.712,0.288
103,0,0.724,0.276
104,0,0.768,0.232
105,0,0.794,0.206
106,0,0.756,0.244
107,0,0.77,0.23
108,0,0.778,0.222
109,0,0.768,0.232
110,0,0.786,0.214
111,0,0.818,0.182
112,0,0.812,0.188
113,0,0.798,0.202
114,0,0.786,0.214
115,0,0.788,0.212
116,0,0.73,0.27
117,0,0.704,0.296
118,0,0.646,0.354
119,0,0.674,0.326
120,0,0.772,0.228
121,0,0.732,0.268
122,0,0.77,0.23
123,0,0.794,0.206
124,0,0.758,0.242
125,0,0.5,0.5
126,0,0.71,0.29
127,0,0.696,0.304
128,0,0.722,0.278
129,0,0.708,0.292
130,0,0.748,0.252
131,0,0.78,0.22
132,0,0.762,0.238
133,0,0.816,0.184
134,0,0.858,0.142
135,0,0.854,0.146
136,0,0.84,0.16
137,0,0.814,0.186
138,0,0.816,0.184
139,0,0.79,0.21
140,0,0.72,0.28
141,0,0.634,0.366
142,0,0.796,0.204
143,0,0.724,0.276
144,0,0.724,0.276
145,0,0.642,0.358
146,0,0.862,0.138
147,0,0.924,0.076
148,0,0.94,0.06
149,0,0.722,0.278
150,0,0.64,0.36
151,0,0.698,0.302
152,0,0.608,0.392
153,0,0.592,0.408
154,0,0.61,0.39
155,0,0.6,0.4
156,0,0.658,0.342
157,0,0.746,0.254
158,0,0.808,0.192
