,class predicted,prob_class_0,prob_class_1
0,1,0.01,0.99
1,1,0.04,0.96
2,1,0.02,0.98
3,1,0.03,0.97
4,1,0.02,0.98
5,1,0.04,0.96
6,1,0.07,0.93
7,1,0.01,0.99
8,1,0.16,0.84
9,1,0.39,0.61
10,1,0.38,0.62
11,1,0.45,0.55
12,0,0.65,0.35
13,0,0.58,0.42
14,1,0.49,0.51
15,1,0.47,0.53
16,0,0.6,0.4
17,0,0.62,0.38
18,0,0.68,0.32
19,0,0.61,0.39
20,0,0.7,0.3
21,0,0.69,0.31
22,0,0.74,0.26
23,0,0.82,0.18
24,0,0.74,0.26
25,0,0.71,0.29
26,0,0.69,0.31
27,0,0.69,0.31
28,0,0.83,0.17
29,0,0.81,0.19
30,0,0.83,0.17
31,0,0.73,0.27
32,0,0.72,0.28
33,0,0.75,0.25
34,0,0.79,0.21
35,0,0.74,0.26
36,0,0.82,0.18
37,0,0.8,0.2
38,0,0.83,0.17
39,0,0.94,0.06
40,0,0.95,0.05
41,0,0.97,0.03
42,0,0.98,0.02
43,0,0.94,0.06
44,0,0.97,0.03
45,0,0.91,0.09
46,0,0.81,0.19
47,0,0.88,0.12
48,0,0.97,0.03
49,0,0.74,0.26
50,0,0.79,0.21
51,0,0.9,0.1
52,0,0.99,0.01
53,0,0.98,0.02
54,0,0.99,0.01
55,0,0.98,0.02
56,0,0.95,0.05
57,0,0.97,0.03
58,0,0.98,0.02
59,0,0.96,0.04
60,0,0.96,0.04
61,0,0.92,0.08
62,0,0.95,0.05
63,0,0.97,0.03
64,0,0.98,0.02
65,0,0.98,0.02
66,0,0.98,0.02
67,0,0.99,0.01
68,0,0.94,0.06
69,0,0.96,0.04
70,0,0.95,0.05
71,0,0.96,0.04
72,0,0.93,0.07
73,0,0.91,0.09
74,0,0.9,0.1
75,0,0.94,0.06
76,0,0.95,0.05
77,0,0.93,0.07
78,0,0.89,0.11
79,0,0.86,0.14
80,0,0.84,0.16
81,0,0.87,0.13
82,0,0.86,0.14
83,0,0.85,0.15
84,0,0.82,0.18
85,0,0.86,0.14
86,0,0.76,0.24
87,0,0.93,0.07
88,0,0.97,0.03
89,0,0.94,0.06
90,0,0.94,0.06
91,0,0.9,0.1
92,0,0.81,0.19
93,0,0.78,0.22
94,0,0.79,0.21
95,0,0.81,0.19
96,0,0.79,0.21
97,0,0.72,0.28
98,0,0.69,0.31
99,0,0.77,0.23
100,0,0.75,0.25
101,0,0.75,0.25
102,0,0.8,0.2
103,0,0.94,0.06
104,0,0.87,0.13
105,0,0.87,0.13
106,0,0.83,0.17
107,0,0.73,0.27
108,0,0.87,0.13
109,0,0.91,0.09
110,0,0.94,0.06
111,0,0.88,0.12
112,0,0.98,0.02
113,0,0.99,0.01
114,0,0.98,0.02
115,0,0.96,0.04
116,0,0.95,0.05
117,0,0.96,0.04
118,0,0.98,0.02
119,0,0.96,0.04
120,0,0.99,0.01
121,0,0.99,0.01
122,0,0.95,0.05
123,0,0.99,0.01
124,0,0.97,0.03
125,0,0.96,0.04
126,0,0.95,0.05
127,0,0.96,0.04
128,0,0.97,0.03
129,0,0.96,0.04
130,0,0.98,0.02
131,0,0.95,0.05
132,0,0.9,0.1
133,0,0.91,0.09
134,0,0.89,0.11
135,0,0.86,0.14
136,0,0.89,0.11
137,0,0.93,0.07
138,0,0.93,0.07
139,0,0.95,0.05
140,0,0.96,0.04
141,0,0.88,0.12
142,0,0.89,0.11
143,0,0.97,0.03
144,0,0.98,0.02
145,0,0.96,0.04
146,0,0.98,0.02
147,0,0.97,0.03
148,0,0.86,0.14
149,0,0.92,0.08
150,0,0.93,0.07
151,0,0.92,0.08
152,0,0.9,0.1
153,0,0.95,0.05
154,0,0.95,0.05
155,0,0.96,0.04
156,0,0.97,0.03
157,0,0.97,0.03
158,0,0.96,0.04
159,0,0.99,0.01
160,0,0.98,0.02
161,0,1.0,0.0
162,0,0.96,0.04
163,0,0.92,0.08
164,0,0.93,0.07
165,0,0.89,0.11
166,0,0.94,0.06
167,0,0.98,0.02
168,0,0.95,0.05
169,0,0.89,0.11
170,0,0.94,0.06
171,0,0.98,0.02
172,0,0.98,0.02
173,0,0.96,0.04
174,0,0.9,0.1
175,0,0.81,0.19
176,0,0.74,0.26
