,class predicted,prob_class_0,prob_class_1
0,0,0.8,0.2
1,0,0.87,0.13
2,0,0.75,0.25
3,0,0.84,0.16
4,0,0.89,0.11
5,0,0.89,0.11
6,0,0.92,0.08
7,0,0.86,0.14
8,0,0.79,0.21
9,0,0.92,0.08
10,0,0.82,0.18
11,0,0.67,0.33
12,0,0.88,0.12
13,0,0.85,0.15
14,0,0.82,0.18
15,0,0.71,0.29
16,0,0.88,0.12
17,0,0.83,0.17
18,0,0.86,0.14
19,0,0.78,0.22
20,0,0.81,0.19
21,0,0.82,0.18
22,0,0.87,0.13
23,0,0.9,0.1
24,0,0.87,0.13
25,0,0.89,0.11
26,0,0.88,0.12
27,0,0.9,0.1
28,0,0.88,0.12
29,0,0.83,0.17
30,0,0.89,0.11
31,0,0.94,0.06
32,0,0.92,0.08
33,0,0.93,0.07
34,0,0.9,0.1
35,0,0.58,0.42
36,0,0.55,0.45
37,0,0.9,0.1
38,0,0.99,0.01
39,0,0.96,0.04
40,0,0.94,0.06
41,0,0.87,0.13
42,0,0.85,0.15
43,0,0.62,0.38
44,0,0.83,0.17
45,0,0.74,0.26
46,0,0.82,0.18
47,0,0.91,0.09
48,0,0.8,0.2
49,0,0.85,0.15
50,0,0.94,0.06
51,0,0.86,0.14
52,0,0.88,0.12
53,0,0.92,0.08
54,0,0.7,0.3
55,0,0.5,0.5
56,0,0.54,0.46
57,0,0.55,0.45
58,0,0.89,0.11
59,0,0.88,0.12
60,0,0.86,0.14
61,0,0.94,0.06
62,0,0.95,0.05
63,0,0.85,0.15
64,0,0.88,0.12
65,0,0.93,0.07
66,0,0.89,0.11
67,0,0.91,0.09
68,0,0.87,0.13
69,0,0.82,0.18
70,0,0.95,0.05
71,0,0.85,0.15
72,0,0.96,0.04
73,0,0.97,0.03
74,0,0.96,0.04
75,0,0.9,0.1
76,0,0.95,0.05
77,0,0.91,0.09
78,0,0.85,0.15
79,0,0.93,0.07
80,0,0.88,0.12
81,0,0.95,0.05
82,0,0.83,0.17
83,0,0.88,0.12
84,0,0.83,0.17
85,0,0.94,0.06
86,0,0.92,0.08
87,0,0.98,0.02
88,0,0.97,0.03
89,0,0.96,0.04
90,0,0.94,0.06
91,0,0.96,0.04
92,0,0.97,0.03
93,0,0.97,0.03
94,0,0.92,0.08
95,0,0.93,0.07
96,0,0.83,0.17
97,0,0.72,0.28
98,0,0.75,0.25
99,0,0.74,0.26
100,0,0.6,0.4
101,0,0.69,0.31
102,0,0.78,0.22
103,0,0.9,0.1
104,0,0.77,0.23
105,0,0.79,0.21
106,0,0.83,0.17
107,0,0.82,0.18
108,0,0.81,0.19
109,0,0.88,0.12
110,0,0.84,0.16
111,0,0.77,0.23
112,0,0.9,0.1
113,0,0.95,0.05
114,0,0.96,0.04
115,0,0.96,0.04
116,0,0.97,0.03
117,0,0.97,0.03
118,0,0.98,0.02
119,0,0.96,0.04
120,0,0.95,0.05
121,0,0.97,0.03
