,class predicted,prob_class_0,prob_class_1
0,1,0.0,1.0
1,1,0.0521,0.9479
2,1,0.0,1.0
3,1,0.0,1.0
4,1,0.0,1.0
5,1,0.0,1.0
6,1,0.0042,0.9958
7,1,0.001,0.999
8,1,0.017,0.983
9,1,0.0012,0.9988
10,1,0.0012,0.9988
11,1,0.0002,0.9998
12,1,0.0,1.0
13,1,0.0,1.0
14,1,1e-04,0.9999
15,1,0.0,1.0
16,1,0.0,1.0
17,1,0.0,1.0
18,1,0.0,1.0
19,1,0.0,1.0
20,1,1e-04,0.9999
21,1,0.0009,0.9991
22,1,0.005,0.995
23,1,0.0,1.0
24,1,0.0,1.0
25,1,0.0,1.0
26,1,0.0,1.0
27,1,0.0,1.0
28,1,0.0,1.0
29,1,0.0,1.0
30,1,0.0,1.0
31,1,0.0,1.0
32,1,0.0,1.0
33,1,0.0,1.0
34,1,0.0,1.0
35,1,0.001,0.999
36,1,0.0005,0.9995
37,1,0.0,1.0
38,1,0.0002,0.9998
39,1,0.0009,0.9991
40,1,0.0003,0.9997
41,1,0.0005,0.9995
42,1,0.0011,0.9989
43,1,1e-04,0.9999
44,1,1e-04,0.9999
45,1,0.0,1.0
46,1,0.0,1.0
47,1,0.0176,0.9824
48,1,0.0,1.0
49,1,0.0,1.0
50,1,0.0,1.0
51,1,0.0,1.0
52,1,0.0,1.0
53,1,0.0,1.0
54,1,0.0,1.0
55,1,0.0,1.0
56,1,0.0,1.0
57,1,0.0,1.0
58,1,0.0,1.0
59,1,0.0,1.0
60,1,0.0,1.0
61,1,0.0,1.0
62,1,0.0,1.0
63,1,0.0,1.0
64,1,0.0,1.0
65,1,0.0,1.0
66,1,0.0,1.0
67,1,0.0,1.0
68,1,0.0,1.0
69,1,0.0,1.0
70,1,0.0,1.0
71,1,0.0,1.0
72,1,0.0,1.0
73,1,0.0,1.0
74,1,0.0,1.0
75,1,0.0,1.0
76,1,0.0,1.0
77,1,0.0,1.0
78,1,0.0,1.0
79,1,0.0,1.0
80,1,0.0002,0.9998
81,1,0.0616,0.9384
82,1,0.0027,0.9973
83,1,0.0768,0.9232
84,1,0.0598,0.9402
85,1,0.0002,0.9998
86,1,0.0,1.0
87,1,0.0,1.0
88,1,0.0,1.0
89,1,0.0,1.0
90,1,0.0,1.0
91,1,0.0,1.0
92,1,0.0,1.0
93,1,1e-04,0.9999
94,1,0.0,1.0
95,1,0.0,1.0
96,1,0.0,1.0
97,1,0.0,1.0
98,1,0.0,1.0
99,1,0.0,1.0
100,1,0.0,1.0
101,1,0.0,1.0
102,1,0.0,1.0
103,1,0.0,1.0
104,1,0.0,1.0
105,1,1e-04,0.9999
106,1,0.0,1.0
107,1,0.0002,0.9998
108,1,0.0,1.0
109,1,0.0,1.0
110,1,0.0,1.0
111,1,0.0,1.0
112,1,0.0002,0.9998
113,1,0.0,1.0
114,1,0.0,1.0
115,1,0.0,1.0
116,1,0.0,1.0
117,1,0.0,1.0
118,1,0.0,1.0
119,1,0.0,1.0
120,1,1e-04,0.9999
121,1,0.0,1.0
122,1,0.0,1.0
123,1,0.0,1.0
124,1,0.0,1.0
125,1,0.0,1.0
126,1,0.0,1.0
127,1,1e-04,0.9999
128,1,0.0,1.0
129,1,1e-04,0.9999
130,1,0.0003,0.9997
131,1,0.0,1.0
132,1,0.0,1.0
133,1,1e-04,0.9999
134,1,1e-04,0.9999
135,1,0.0,1.0
136,1,0.0,1.0
137,1,0.0,1.0
138,1,0.0,1.0
139,1,0.0,1.0
140,1,0.0,1.0
141,1,0.0,1.0
142,1,0.0,1.0
143,1,0.0,1.0
144,1,0.0,1.0
145,1,0.0,1.0
146,1,0.0,1.0
147,1,0.0,1.0
148,1,0.0,1.0
149,1,1e-04,0.9999
150,1,0.0,1.0
151,1,1e-04,0.9999
152,1,0.0,1.0
153,1,0.0,1.0
154,1,0.0,1.0
155,1,0.0,1.0
156,1,0.0,1.0
157,1,0.0,1.0
158,1,1e-04,0.9999
159,1,0.0,1.0
160,1,0.0,1.0
161,1,0.0,1.0
162,1,0.0,1.0
163,1,1e-04,0.9999
164,1,0.0,1.0
165,1,0.0173,0.9827
166,1,0.0,1.0
167,1,0.0041,0.9959
168,1,0.0,1.0
169,1,0.0,1.0
170,1,0.0,1.0
171,1,0.0,1.0
172,1,0.0006,0.9994
173,1,0.0,1.0
174,1,0.0035,0.9965
175,1,0.0,1.0
176,1,0.0,1.0
177,1,0.0,1.0
178,1,1e-04,0.9999
179,1,0.0,1.0
180,1,0.0016,0.9984
181,1,1e-04,0.9999
182,1,1e-04,0.9999
183,1,0.0,1.0
184,1,0.0,1.0
185,1,0.0,1.0
186,1,0.06,0.94
187,1,0.0018,0.9982
188,1,0.0,1.0
189,1,1e-04,0.9999
190,1,0.0,1.0
191,1,0.0,1.0
192,1,0.0,1.0
193,1,0.0,1.0
194,1,0.0,1.0
195,1,0.0,1.0
196,1,0.0,1.0
197,1,0.0,1.0
198,1,0.0,1.0
199,1,0.0,1.0
200,1,0.0,1.0
201,1,0.0,1.0
202,1,0.0,1.0
203,1,0.0,1.0
204,1,0.0,1.0
205,1,0.0,1.0
206,1,0.0,1.0
207,0,0.9472,0.0528
208,0,0.9639,0.0361
209,0,0.9117,0.0883
210,0,0.9397,0.0603
211,0,0.953,0.047
212,0,0.9559,0.0441
213,0,0.9609,0.0391
214,0,0.9012,0.0988
215,0,0.9275,0.0725
216,0,0.8839,0.1161
217,0,0.9365,0.0635
218,0,0.9282,0.0718
219,0,0.953,0.047
220,0,0.9541,0.0459
221,0,0.8693,0.1307
222,0,0.8822,0.1178
223,0,0.9628,0.0372
224,0,0.9326,0.0674
225,0,0.8831,0.1169
226,0,0.8854,0.1146
227,0,0.8855,0.1145
228,0,0.9617,0.0383
229,0,0.8858,0.1142
230,0,0.9325,0.0675
231,0,0.9673,0.0327
232,0,0.9436,0.0564
233,0,0.8755,0.1245
234,0,0.889,0.111
235,0,0.8618,0.1382
236,0,0.9631,0.0369
237,0,0.9713,0.0287
238,0,0.9341,0.0659
239,0,0.9016,0.0984
240,0,0.8273,0.1727
241,0,0.8952,0.1048
242,0,0.9527,0.0473
243,0,0.9479,0.0521
244,0,0.9723,0.0277
245,0,0.9349,0.0651
246,0,0.9715,0.0285
247,0,0.9027,0.0973
248,0,0.9381,0.0619
249,0,0.924,0.076
250,0,0.8723,0.1277
251,0,0.9251,0.0749
252,0,0.9672,0.0328
253,0,0.9703,0.0297
254,0,0.9823,0.0177
255,0,0.967,0.033
256,0,0.8788,0.1212
257,0,0.901,0.099
258,0,0.9329,0.0671
259,0,0.9561,0.0439
260,0,0.959,0.041
261,0,0.8884,0.1116
262,0,0.9206,0.0794
263,0,0.9402,0.0598
264,0,0.9442,0.0558
265,0,0.9166,0.0834
266,0,0.9018,0.0982
267,0,0.8773,0.1227
268,0,0.8837,0.1163
269,0,0.9532,0.0468
270,0,0.8937,0.1063
271,0,0.9291,0.0709
272,0,0.9348,0.0652
273,0,0.9554,0.0446
274,0,0.8773,0.1227
275,0,0.9024,0.0976
276,0,0.8739,0.1261
277,0,0.8366,0.1634
278,0,0.8893,0.1107
279,0,0.97,0.03
280,0,0.9267,0.0733
281,0,0.9371,0.0629
282,0,0.895,0.105
283,0,0.8553,0.1447
284,0,0.8554,0.1446
285,0,0.9114,0.0886
286,0,0.952,0.048
287,0,0.9691,0.0309
288,0,0.9291,0.0709
289,0,0.9234,0.0766
290,0,0.9003,0.0997
291,0,0.9322,0.0678
292,0,0.9552,0.0448
293,0,0.9561,0.0439
294,0,0.874,0.126
295,0,0.8672,0.1328
296,0,0.9044,0.0956
297,0,0.9624,0.0376
298,0,0.9594,0.0406
299,0,0.8757,0.1243
300,0,0.9274,0.0726
301,0,0.8817,0.1183
302,0,0.8941,0.1059
303,0,0.9536,0.0464
304,0,0.9061,0.0939
305,0,0.8805,0.1195
306,0,0.936,0.064
307,0,0.9276,0.0724
308,0,0.9399,0.0601
309,0,0.9476,0.0524
310,0,0.9297,0.0703
311,0,0.8906,0.1094
312,0,0.9598,0.0402
313,0,0.9576,0.0424
314,0,0.9729,0.0271
315,0,0.9197,0.0803
316,0,0.9033,0.0967
317,0,0.8613,0.1387
318,0,0.8303,0.1697
319,0,0.9211,0.0789
320,0,0.9315,0.0685
321,0,0.9348,0.0652
322,0,0.9674,0.0326
323,0,0.9581,0.0419
324,0,0.9612,0.0388
325,0,0.8881,0.1119
326,0,0.948,0.052
327,0,0.9581,0.0419
328,0,0.9386,0.0614
329,0,0.9522,0.0478
330,0,0.9185,0.0815
331,0,0.9797,0.0203
332,0,0.9578,0.0422
333,0,0.8633,0.1367
334,0,0.8938,0.1062
335,0,0.8848,0.1152
336,0,0.865,0.135
337,0,0.8846,0.1154
338,0,0.9278,0.0722
339,0,0.9058,0.0942
340,0,0.911,0.089
341,0,0.9482,0.0518
342,0,0.7558,0.2442
343,0,0.9114,0.0886
344,0,0.8988,0.1012
345,0,0.8999,0.1001
346,0,0.9389,0.0611
347,0,0.8924,0.1076
348,0,0.8864,0.1136
349,0,0.9155,0.0845
350,0,0.9278,0.0722
351,0,0.9636,0.0364
352,0,0.8338,0.1662
353,0,0.9462,0.0538
354,0,0.8583,0.1417
355,0,0.8812,0.1188
356,0,0.9309,0.0691
357,0,0.8943,0.1057
358,0,0.8817,0.1183
359,0,0.85,0.15
360,0,0.9327,0.0673
361,0,0.9331,0.0669
362,0,0.94,0.06
363,0,0.9661,0.0339
364,0,0.8945,0.1055
365,0,0.9779,0.0221
366,0,0.9366,0.0634
367,0,0.876,0.124
368,0,0.8266,0.1734
369,0,0.9233,0.0767
370,0,0.9009,0.0991
371,0,0.9635,0.0365
372,0,0.8901,0.1099
373,0,0.9368,0.0632
374,0,0.9331,0.0669
375,0,0.9549,0.0451
376,0,0.9232,0.0768
377,0,0.8902,0.1098
378,0,0.8616,0.1384
379,0,0.9175,0.0825
380,0,0.9492,0.0508
381,0,0.952,0.048
382,0,0.932,0.068
383,0,0.8452,0.1548
384,0,0.9124,0.0876
385,0,0.9518,0.0482
386,0,0.8573,0.1427
387,0,0.7865,0.2135
388,0,0.9754,0.0246
