,class predicted,prob_class_0,prob_class_1
0,1,0.0,1.0
1,1,0.1047,0.8953
2,1,0.0,1.0
3,1,1e-04,0.9999
4,1,0.0,1.0
5,1,1e-04,0.9999
6,1,0.0036,0.9964
7,1,0.098,0.902
8,1,0.0139,0.9861
9,1,0.0399,0.9601
10,1,0.0399,0.9601
11,1,0.0877,0.9123
12,1,0.0103,0.9897
13,1,0.0418,0.9582
14,1,0.01,0.99
15,1,0.0065,0.9935
16,1,0.0009,0.9991
17,1,0.053,0.947
18,1,0.0086,0.9914
19,1,1e-04,0.9999
20,1,0.0003,0.9997
21,1,0.0032,0.9968
22,1,0.0023,0.9977
23,1,0.0002,0.9998
24,1,0.0003,0.9997
25,1,0.0907,0.9093
26,1,0.0,1.0
27,1,0.0,1.0
28,1,0.0,1.0
29,1,0.0,1.0
30,1,0.0,1.0
31,1,0.0,1.0
32,1,0.0,1.0
33,1,0.3637,0.6363
34,1,0.0006,0.9994
35,1,0.0269,0.9731
36,1,0.0008,0.9992
37,0,0.7074,0.2926
38,1,0.0004,0.9996
39,1,0.0005,0.9995
40,1,0.0003,0.9997
41,1,0.0007,0.9993
42,1,0.0004,0.9996
43,1,0.0,1.0
44,1,0.0011,0.9989
45,1,0.083,0.917
46,1,0.0009,0.9991
47,1,0.3004,0.6996
48,1,0.0065,0.9935
49,1,0.0005,0.9995
50,1,0.0005,0.9995
51,1,0.0039,0.9961
52,1,0.0059,0.9941
53,1,0.0065,0.9935
54,1,0.0007,0.9993
55,1,0.001,0.999
56,1,0.0034,0.9966
57,1,0.001,0.999
58,1,0.0002,0.9998
59,1,0.0038,0.9962
60,1,0.0014,0.9986
61,1,0.0027,0.9973
62,1,0.0292,0.9708
63,1,0.0005,0.9995
64,1,1e-04,0.9999
65,1,0.0318,0.9682
66,1,0.0026,0.9974
67,1,0.0118,0.9882
68,1,0.0435,0.9565
69,1,0.0292,0.9708
70,1,0.0019,0.9981
71,1,0.0087,0.9913
72,1,0.0142,0.9858
73,1,0.0003,0.9997
74,1,0.0019,0.9981
75,1,0.0044,0.9956
76,1,0.002,0.998
77,1,0.002,0.998
78,1,0.0041,0.9959
79,1,1e-04,0.9999
80,1,0.0017,0.9983
81,1,0.0585,0.9415
82,1,0.042,0.958
83,1,0.0436,0.9564
84,1,0.0251,0.9749
85,1,0.0572,0.9428
86,1,0.4059,0.5941
87,1,0.2522,0.7478
88,1,0.0,1.0
89,1,0.0,1.0
90,1,0.0,1.0
91,1,0.0,1.0
92,1,0.0,1.0
93,1,1e-04,0.9999
94,1,1e-04,0.9999
95,1,0.0,1.0
96,1,0.0,1.0
97,1,0.0,1.0
98,1,1e-04,0.9999
99,1,0.0,1.0
100,1,0.0,1.0
101,1,0.0,1.0
102,1,0.0,1.0
103,1,0.0,1.0
104,1,0.0,1.0
105,1,0.0,1.0
106,1,0.0,1.0
107,1,0.0,1.0
108,1,0.0002,0.9998
109,1,0.0,1.0
110,1,0.0,1.0
111,1,0.0,1.0
112,1,0.0,1.0
113,1,0.0,1.0
114,1,0.0,1.0
115,1,0.0,1.0
116,1,0.0,1.0
117,1,0.0,1.0
118,1,0.0,1.0
119,1,0.0,1.0
120,1,0.0003,0.9997
121,1,0.0011,0.9989
122,1,0.0007,0.9993
123,1,0.0005,0.9995
124,1,0.0013,0.9987
125,1,0.0012,0.9988
126,1,0.0,1.0
127,1,0.0256,0.9744
128,1,0.1054,0.8946
129,1,0.003,0.997
130,1,0.0296,0.9704
131,1,0.0007,0.9993
132,1,0.0012,0.9988
133,1,0.0029,0.9971
134,1,0.0032,0.9968
135,1,0.0,1.0
136,1,0.0006,0.9994
137,1,0.0014,0.9986
138,1,0.013,0.987
139,1,0.0387,0.9613
140,1,0.0096,0.9904
141,1,0.0006,0.9994
142,1,0.0005,0.9995
143,1,0.0076,0.9924
144,1,0.0123,0.9877
145,1,0.0,1.0
146,1,0.0167,0.9833
147,1,0.0152,0.9848
148,1,0.0,1.0
149,1,0.0335,0.9665
150,1,0.087,0.913
151,1,0.0005,0.9995
152,1,0.0393,0.9607
153,1,0.1613,0.8387
154,1,0.0,1.0
155,1,0.1688,0.8312
156,1,0.1245,0.8755
157,1,0.0969,0.9031
158,1,0.0003,0.9997
159,1,0.0008,0.9992
160,1,0.0004,0.9996
161,1,1e-04,0.9999
162,1,0.0002,0.9998
163,1,0.0003,0.9997
164,1,1e-04,0.9999
165,1,0.0193,0.9807
166,1,1e-04,0.9999
167,1,0.0148,0.9852
168,1,0.0012,0.9988
169,1,0.0006,0.9994
170,1,0.0025,0.9975
171,1,0.0004,0.9996
172,1,0.0079,0.9921
173,1,0.0012,0.9988
174,1,0.0137,0.9863
175,1,0.0011,0.9989
176,1,0.0002,0.9998
177,0,0.9692,0.0308
178,1,0.0013,0.9987
179,1,1e-04,0.9999
180,1,0.0102,0.9898
181,1,0.342,0.658
182,1,0.0014,0.9986
183,1,0.3177,0.6823
184,1,0.0873,0.9127
185,1,0.1771,0.8229
186,1,0.0022,0.9978
187,1,0.0002,0.9998
188,1,0.0,1.0
189,1,0.0,1.0
190,1,0.0,1.0
191,1,0.0,1.0
192,1,0.002,0.998
193,1,0.0007,0.9993
194,1,0.0016,0.9984
195,1,0.0002,0.9998
196,1,0.0,1.0
197,1,0.0002,0.9998
198,1,0.0002,0.9998
199,1,0.0025,0.9975
200,1,0.0011,0.9989
201,1,0.0002,0.9998
202,1,0.0,1.0
203,1,0.0,1.0
204,0,0.7102,0.2898
205,1,0.0034,0.9966
206,1,0.0,1.0
207,0,0.9885,0.0115
208,0,0.9957,0.0043
209,0,0.9928,0.0072
210,0,0.9842,0.0158
211,0,0.9844,0.0156
212,0,0.9873,0.0127
213,0,0.9682,0.0318
214,0,0.978,0.022
215,0,0.9814,0.0186
216,0,0.9719,0.0281
217,0,0.9812,0.0188
218,0,0.9878,0.0122
219,0,0.981,0.019
220,0,0.9835,0.0165
221,0,0.979,0.021
222,0,0.9483,0.0517
223,0,0.9926,0.0074
224,0,0.9927,0.0073
225,0,0.9865,0.0135
226,0,0.9808,0.0192
227,0,0.9729,0.0271
228,0,0.9764,0.0236
229,0,0.9614,0.0386
230,0,0.9899,0.0101
231,0,0.9814,0.0186
232,0,0.9699,0.0301
233,0,0.9357,0.0643
234,0,0.9768,0.0232
235,0,0.982,0.018
236,0,0.9884,0.0116
237,0,0.9912,0.0088
238,0,0.9651,0.0349
239,0,0.9718,0.0282
240,0,0.974,0.026
241,0,0.9822,0.0178
242,0,0.9902,0.0098
243,0,0.9944,0.0056
244,0,0.9866,0.0134
245,0,0.9904,0.0096
246,0,0.9799,0.0201
247,0,0.9786,0.0214
248,0,0.9784,0.0216
249,0,0.9728,0.0272
