,class predicted,prob_class_0,prob_class_1
0,1,0.001,0.999
1,1,0.2607,0.7393
2,1,0.0003,0.9997
3,1,0.0005,0.9995
4,1,0.0005,0.9995
5,1,0.0008,0.9992
6,1,0.0069,0.9931
7,1,0.053,0.947
8,1,0.0286,0.9714
9,1,0.0461,0.9539
10,1,0.0461,0.9539
11,1,0.2498,0.7502
12,1,0.0535,0.9465
13,1,0.1226,0.8774
14,1,0.0347,0.9653
15,1,0.0151,0.9849
16,1,0.0035,0.9965
17,1,0.0521,0.9479
18,1,0.0324,0.9676
19,1,0.0011,0.9989
20,1,0.0026,0.9974
21,1,0.0414,0.9586
22,1,0.009,0.991
23,1,0.0089,0.9911
24,1,0.0099,0.9901
25,1,0.2717,0.7283
26,1,0.0004,0.9996
27,1,0.0008,0.9992
28,1,0.0007,0.9993
29,1,1e-04,0.9999
30,1,0.0002,0.9998
31,1,0.0008,0.9992
32,1,1e-04,0.9999
33,0,0.6023,0.3977
34,1,0.0131,0.9869
35,1,0.1256,0.8744
36,1,0.0335,0.9665
37,0,0.7403,0.2597
38,1,0.0018,0.9982
39,1,0.0014,0.9986
40,1,0.0014,0.9986
41,1,0.0017,0.9983
42,1,0.0022,0.9978
43,1,0.0005,0.9995
44,1,0.0038,0.9962
45,1,0.1257,0.8743
46,1,0.0019,0.9981
47,0,0.7252,0.2748
48,1,0.0676,0.9324
49,1,0.0079,0.9921
50,1,0.0079,0.9921
51,1,0.0595,0.9405
52,1,0.0373,0.9627
53,1,0.0676,0.9324
54,1,0.0056,0.9944
55,1,0.0096,0.9904
56,1,0.0644,0.9356
57,1,0.0055,0.9945
58,1,0.0012,0.9988
59,1,0.0294,0.9706
60,1,0.0203,0.9797
61,1,0.0135,0.9865
62,1,0.0603,0.9397
63,1,0.0091,0.9909
64,1,0.001,0.999
65,1,0.1618,0.8382
66,1,0.0137,0.9863
67,1,0.0609,0.9391
68,1,0.2542,0.7458
69,1,0.0603,0.9397
70,1,0.0177,0.9823
