,class predicted,prob_class_0,prob_class_1
0,1,0.2577,0.7423
1,0,0.5104,0.4896
2,1,0.23,0.77
3,1,0.253,0.747
4,1,0.2532,0.7468
5,1,0.2551,0.7449
6,1,0.2347,0.7653
7,0,0.6316,0.3684
8,1,0.2484,0.7516
9,1,0.4629,0.5371
10,1,0.4629,0.5371
11,1,0.2588,0.7412
12,1,0.2569,0.7431
13,1,0.2606,0.7394
14,1,0.2556,0.7444
15,1,0.2392,0.7608
16,1,0.2565,0.7435
17,1,0.2654,0.7346
18,1,0.2591,0.7409
19,1,0.2348,0.7652
20,1,0.2349,0.7651
21,1,0.2442,0.7558
22,1,0.3571,0.6429
23,1,0.2836,0.7164
24,1,0.294,0.706
25,0,0.6179,0.3821
26,1,0.2953,0.7047
27,1,0.2821,0.7179
28,1,0.2901,0.7099
29,1,0.2631,0.7369
30,1,0.2627,0.7373
31,0,0.5675,0.4325
32,1,0.2624,0.7376
33,0,0.6243,0.3757
34,1,0.2504,0.7496
35,1,0.2589,0.7411
36,1,0.26,0.74
37,0,0.6731,0.3269
38,1,0.2541,0.7459
39,1,0.2581,0.7419
40,1,0.2533,0.7467
41,1,0.2616,0.7384
42,1,0.263,0.737
43,1,0.2673,0.7327
44,1,0.2551,0.7449
45,1,0.4072,0.5928
46,1,0.2365,0.7635
47,0,0.5832,0.4168
48,1,0.2463,0.7537
49,1,0.2425,0.7575
50,1,0.2425,0.7575
51,1,0.2595,0.7405
52,1,0.2434,0.7566
53,1,0.2463,0.7537
54,1,0.2419,0.7581
55,1,0.2417,0.7583
56,1,0.2676,0.7324
57,1,0.2423,0.7577
58,1,0.2446,0.7554
59,1,0.2613,0.7387
60,1,0.2431,0.7569
61,1,0.242,0.758
62,1,0.2443,0.7557
63,1,0.2429,0.7571
64,1,0.2404,0.7596
65,1,0.4027,0.5973
66,1,0.2425,0.7575
67,1,0.2691,0.7309
68,1,0.395,0.605
69,1,0.2443,0.7557
70,1,0.2433,0.7567
71,1,0.266,0.734
72,1,0.2478,0.7522
73,1,0.2419,0.7581
74,1,0.2433,0.7567
75,1,0.2442,0.7558
76,1,0.2436,0.7564
77,1,0.2436,0.7564
78,1,0.2758,0.7242
79,1,0.242,0.758
80,0,0.6232,0.3768
81,1,0.2536,0.7464
82,0,0.6372,0.3628
83,1,0.4691,0.5309
84,1,0.2555,0.7445
85,0,0.5669,0.4331
86,0,0.6386,0.3614
87,0,0.6086,0.3914
88,1,0.2293,0.7707
89,1,0.2292,0.7708
90,1,0.2292,0.7708
91,1,0.2526,0.7474
92,1,0.2294,0.7706
93,1,0.2483,0.7517
94,1,0.2299,0.7701
95,1,0.248,0.752
96,1,0.2293,0.7707
97,1,0.2473,0.7527
98,1,0.231,0.769
99,1,0.2267,0.7733
100,1,0.248,0.752
101,1,0.229,0.771
102,1,0.2264,0.7736
103,1,0.2477,0.7523
104,1,0.2289,0.7711
105,1,0.2482,0.7518
106,1,0.2273,0.7727
107,1,0.2479,0.7521
108,1,0.242,0.758
109,1,0.2279,0.7721
110,1,0.2297,0.7703
111,1,0.2296,0.7704
112,1,0.2482,0.7518
113,1,0.2289,0.7711
114,1,0.2291,0.7709
115,1,0.2266,0.7734
116,1,0.2265,0.7735
117,1,0.2269,0.7731
118,1,0.2291,0.7709
119,1,0.2291,0.7709
120,1,0.2351,0.7649
121,1,0.2354,0.7646
122,1,0.2353,0.7647
123,1,0.2572,0.7428
124,1,0.2571,0.7429
125,1,0.2562,0.7438
126,0,0.5982,0.4018
127,0,0.6286,0.3714
128,0,0.6543,0.3457
129,1,0.2502,0.7498
130,1,0.2536,0.7464
131,1,0.2493,0.7507
132,1,0.2491,0.7509
133,1,0.2623,0.7377
134,1,0.2968,0.7032
135,1,0.264,0.736
136,1,0.2369,0.7631
137,1,0.2367,0.7633
138,1,0.2386,0.7614
139,1,0.2399,0.7601
140,1,0.2388,0.7612
141,1,0.2362,0.7638
142,1,0.2351,0.7649
143,1,0.2376,0.7624
144,1,0.2398,0.7602
145,1,0.259,0.741
146,1,0.2399,0.7601
147,1,0.2379,0.7621
148,1,0.3092,0.6908
149,1,0.2572,0.7428
150,1,0.2633,0.7367
151,1,0.2507,0.7493
152,1,0.2622,0.7378
153,1,0.2652,0.7348
154,0,0.501,0.499
155,1,0.2842,0.7158
156,1,0.2761,0.7239
157,1,0.2606,0.7394
158,1,0.2448,0.7552
159,1,0.2646,0.7354
160,1,0.2869,0.7131
161,1,0.2348,0.7652
162,0,0.6143,0.3857
163,1,0.2946,0.7054
164,1,0.2587,0.7413
165,1,0.2539,0.7461
166,1,0.2341,0.7659
167,0,0.6172,0.3828
168,1,0.2386,0.7614
169,1,0.2361,0.7639
170,1,0.2373,0.7627
171,1,0.2379,0.7621
172,1,0.2428,0.7572
173,1,0.2386,0.7614
174,1,0.241,0.759
175,1,0.2367,0.7633
176,1,0.2349,0.7651
177,0,0.6619,0.3381
178,1,0.2761,0.7239
179,1,0.2345,0.7655
180,0,0.5776,0.4224
181,0,0.5895,0.4105
182,1,0.2357,0.7643
183,0,0.6581,0.3419
184,0,0.6563,0.3437
185,0,0.6551,0.3449
186,1,0.2727,0.7273
187,1,0.2522,0.7478
188,1,0.2483,0.7517
189,1,0.2481,0.7519
190,1,0.2267,0.7733
191,1,0.2276,0.7724
192,1,0.2696,0.7304
193,1,0.2602,0.7398
194,1,0.2692,0.7308
195,1,0.2338,0.7662
196,1,0.2614,0.7386
197,1,0.2341,0.7659
198,1,0.2341,0.7659
199,1,0.2734,0.7266
200,1,0.277,0.723
201,0,0.5445,0.4555
202,1,0.4716,0.5284
203,1,0.23,0.77
204,0,0.6569,0.3431
205,1,0.3032,0.6968
206,1,0.304,0.696
207,1,0.2898,0.7102
208,0,0.662,0.338
209,0,0.6587,0.3413
210,0,0.6752,0.3248
211,0,0.6877,0.3123
212,0,0.6551,0.3449
213,0,0.6397,0.3603
214,0,0.6511,0.3489
215,0,0.6532,0.3468
216,0,0.6469,0.3531
217,0,0.6535,0.3465
218,0,0.6713,0.3287
219,0,0.6681,0.3319
220,0,0.6676,0.3324
221,0,0.651,0.349
222,0,0.6424,0.3576
223,0,0.6314,0.3686
224,0,0.6056,0.3944
225,0,0.6368,0.3632
226,0,0.6378,0.3622
227,0,0.6638,0.3362
228,0,0.6521,0.3479
229,0,0.6469,0.3531
230,0,0.6501,0.3499
231,0,0.659,0.341
232,0,0.6544,0.3456
233,0,0.621,0.379
234,1,0.4618,0.5382
235,0,0.5379,0.4621
236,0,0.6935,0.3065
237,0,0.697,0.303
238,0,0.642,0.358
239,0,0.5285,0.4715
240,1,0.2866,0.7134
241,1,0.2645,0.7355
242,0,0.5383,0.4617
243,1,0.2779,0.7221
244,0,0.6513,0.3487
245,0,0.6576,0.3424
246,0,0.6865,0.3135
247,0,0.6625,0.3375
248,0,0.6604,0.3396
249,0,0.6635,0.3365
250,0,0.6122,0.3878
251,0,0.6553,0.3447
252,0,0.659,0.341
253,0,0.6628,0.3372
254,0,0.6677,0.3323
255,0,0.679,0.321
256,0,0.6407,0.3593
257,0,0.6558,0.3442
258,0,0.6626,0.3374
259,0,0.6884,0.3116
260,0,0.6464,0.3536
261,0,0.6774,0.3226
262,0,0.6451,0.3549
263,0,0.6667,0.3333
264,0,0.6372,0.3628
265,0,0.623,0.377
266,0,0.5884,0.4116
267,0,0.5781,0.4219
268,1,0.4126,0.5874
269,0,0.6695,0.3305
270,0,0.6631,0.3369
271,0,0.6789,0.3211
272,0,0.6598,0.3402
273,0,0.6682,0.3318
274,0,0.6702,0.3298
275,0,0.6585,0.3415
276,0,0.668,0.332
277,0,0.6569,0.3431
278,0,0.6584,0.3416
279,0,0.6772,0.3228
280,0,0.6928,0.3072
281,0,0.6923,0.3077
282,0,0.6645,0.3355
283,0,0.6505,0.3495
284,1,0.4869,0.5131
285,1,0.3104,0.6896
286,0,0.6224,0.3776
287,0,0.6618,0.3382
288,0,0.6543,0.3457
289,0,0.6893,0.3107
290,0,0.6603,0.3397
291,0,0.6586,0.3414
292,0,0.6797,0.3203
293,0,0.6574,0.3426
294,0,0.6637,0.3363
295,0,0.6563,0.3437
296,0,0.6604,0.3396
297,0,0.6783,0.3217
298,0,0.6726,0.3274
299,0,0.6361,0.3639
300,0,0.598,0.402
301,1,0.2491,0.7509
302,1,0.2933,0.7067
303,1,0.3189,0.6811
304,0,0.6378,0.3622
305,0,0.6612,0.3388
306,0,0.6722,0.3278
307,0,0.6747,0.3253
308,0,0.6705,0.3295
309,0,0.6706,0.3294
310,0,0.6615,0.3385
311,0,0.6455,0.3545
312,0,0.6862,0.3138
313,0,0.6951,0.3049
314,0,0.6585,0.3415
315,0,0.6604,0.3396
316,0,0.6522,0.3478
317,0,0.6444,0.3556
318,0,0.5315,0.4685
319,0,0.5326,0.4674
320,1,0.3526,0.6474
321,0,0.673,0.327
322,0,0.6952,0.3048
323,0,0.6665,0.3335
324,0,0.6725,0.3275
325,0,0.6297,0.3703
326,0,0.6742,0.3258
327,0,0.6709,0.3291
328,0,0.6627,0.3373
329,0,0.6614,0.3386
330,0,0.6609,0.3391
331,0,0.663,0.337
332,0,0.691,0.309
333,0,0.649,0.351
334,0,0.6326,0.3674
335,1,0.499,0.501
336,0,0.6499,0.3501
337,0,0.5452,0.4548
338,0,0.6551,0.3449
339,0,0.653,0.347
340,0,0.6663,0.3337
341,0,0.6639,0.3361
342,0,0.6606,0.3394
343,0,0.6582,0.3418
344,0,0.6674,0.3326
345,0,0.6594,0.3406
346,0,0.6634,0.3366
347,0,0.667,0.333
348,0,0.704,0.296
349,0,0.6747,0.3253
350,0,0.6727,0.3273
351,0,0.6594,0.3406
352,0,0.6575,0.3425
353,0,0.6657,0.3343
354,0,0.6488,0.3512
355,0,0.6242,0.3758
356,0,0.6653,0.3347
357,0,0.6574,0.3426
358,0,0.6666,0.3334
359,0,0.6542,0.3458
360,0,0.6674,0.3326
361,0,0.6754,0.3246
362,0,0.6821,0.3179
363,0,0.6571,0.3429
364,0,0.6636,0.3364
365,0,0.6688,0.3312
366,0,0.6365,0.3635
367,0,0.6571,0.3429
368,0,0.6383,0.3617
369,0,0.6583,0.3417
370,0,0.6648,0.3352
371,0,0.6632,0.3368
372,0,0.668,0.332
373,0,0.6702,0.3298
374,1,0.3236,0.6764
375,0,0.6602,0.3398
376,0,0.6625,0.3375
377,0,0.6664,0.3336
378,0,0.696,0.304
379,0,0.6928,0.3072
380,0,0.676,0.324
381,0,0.6885,0.3115
382,0,0.6393,0.3607
383,0,0.6389,0.3611
384,1,0.2564,0.7436
385,0,0.6516,0.3484
386,0,0.6444,0.3556
387,0,0.6023,0.3977
388,0,0.6874,0.3126
389,0,0.656,0.344
390,0,0.6649,0.3351
391,0,0.6631,0.3369
392,0,0.6395,0.3605
393,0,0.6525,0.3475
394,0,0.6791,0.3209
395,0,0.661,0.339
396,0,0.6726,0.3274
397,0,0.6671,0.3329
398,0,0.6699,0.3301
399,0,0.6889,0.3111
400,0,0.5547,0.4453
401,0,0.655,0.345
402,0,0.6513,0.3487
403,0,0.6536,0.3464
404,0,0.6721,0.3279
405,0,0.6522,0.3478
406,0,0.6551,0.3449
407,0,0.6551,0.3449
408,0,0.6418,0.3582
409,0,0.6784,0.3216
410,0,0.6955,0.3045
411,0,0.6616,0.3384
412,0,0.6329,0.3671
413,0,0.6436,0.3564
414,0,0.6008,0.3992
415,0,0.6712,0.3288
416,0,0.67,0.33
417,0,0.6498,0.3502
418,0,0.6696,0.3304
419,0,0.6317,0.3683
420,1,0.2368,0.7632
421,1,0.2489,0.7511
422,1,0.2433,0.7567
423,0,0.5161,0.4839
424,1,0.4468,0.5532
425,0,0.6623,0.3377
426,0,0.6818,0.3182
427,0,0.6648,0.3352
428,0,0.6539,0.3461
429,0,0.6699,0.3301
430,0,0.6668,0.3332
431,0,0.6726,0.3274
432,0,0.6704,0.3296
433,0,0.6651,0.3349
434,0,0.6562,0.3438
435,0,0.6909,0.3091
436,0,0.6591,0.3409
437,0,0.6575,0.3425
438,0,0.6887,0.3113
439,0,0.6619,0.3381
440,0,0.6727,0.3273
441,0,0.6671,0.3329
442,0,0.6328,0.3672
443,0,0.6582,0.3418
444,0,0.668,0.332
445,0,0.6414,0.3586
446,0,0.6582,0.3418
447,0,0.5225,0.4775
448,0,0.6878,0.3122
449,0,0.6573,0.3427
450,0,0.6378,0.3622
451,0,0.651,0.349
452,0,0.5883,0.4117
453,0,0.6742,0.3258
454,0,0.655,0.345
455,0,0.6594,0.3406
456,0,0.6107,0.3893
457,0,0.6868,0.3132
458,0,0.6752,0.3248
459,0,0.6645,0.3355
460,0,0.6772,0.3228
461,0,0.6505,0.3495
462,0,0.6645,0.3355
463,0,0.6792,0.3208
464,0,0.6621,0.3379
465,0,0.6876,0.3124
466,0,0.6898,0.3102
467,0,0.6422,0.3578
468,0,0.6509,0.3491
469,1,0.3165,0.6835
470,1,0.2578,0.7422
471,0,0.5869,0.4131
472,0,0.5839,0.4161
473,0,0.6729,0.3271
474,0,0.6428,0.3572
475,0,0.6627,0.3373
476,0,0.6675,0.3325
477,0,0.6635,0.3365
478,0,0.6563,0.3437
479,1,0.4046,0.5954
480,0,0.6549,0.3451
481,0,0.6698,0.3302
482,0,0.5975,0.4025
483,1,0.2785,0.7215
484,0,0.6495,0.3505
485,0,0.6858,0.3142
486,0,0.6563,0.3437
487,0,0.6748,0.3252
488,0,0.6689,0.3311
489,0,0.6631,0.3369
490,0,0.6469,0.3531
491,0,0.6552,0.3448
492,0,0.6725,0.3275
493,0,0.6671,0.3329
494,0,0.6968,0.3032
495,1,0.272,0.728
496,0,0.6526,0.3474
497,0,0.6681,0.3319
498,0,0.6474,0.3526
499,0,0.7036,0.2964
500,0,0.6439,0.3561
501,0,0.6587,0.3413
502,0,0.6697,0.3303
503,0,0.6724,0.3276
504,0,0.6562,0.3438
505,0,0.6434,0.3566
506,0,0.6699,0.3301
507,0,0.6873,0.3127
508,0,0.6869,0.3131
509,0,0.6717,0.3283
510,0,0.6633,0.3367
511,0,0.6793,0.3207
512,0,0.665,0.335
513,0,0.6509,0.3491
514,0,0.686,0.314
515,0,0.6588,0.3412
516,0,0.6651,0.3349
517,0,0.6877,0.3123
518,0,0.645,0.355
519,0,0.6128,0.3872
520,1,0.2505,0.7495
521,1,0.253,0.747
522,1,0.2859,0.7141
523,1,0.4566,0.5434
524,0,0.6606,0.3394
525,0,0.6568,0.3432
526,0,0.6534,0.3466
527,0,0.67,0.33
528,0,0.6803,0.3197
529,0,0.6541,0.3459
530,0,0.6777,0.3223
531,0,0.657,0.343
532,0,0.5898,0.4102
533,1,0.3134,0.6866
534,0,0.5939,0.4061
535,0,0.6816,0.3184
536,0,0.6614,0.3386
537,0,0.6681,0.3319
538,0,0.6584,0.3416
539,0,0.6646,0.3354
540,0,0.6544,0.3456
541,0,0.6774,0.3226
542,0,0.679,0.321
543,0,0.6609,0.3391
544,0,0.6176,0.3824
545,0,0.6407,0.3593
546,1,0.2621,0.7379
547,1,0.2922,0.7078
548,1,0.2383,0.7617
549,1,0.4215,0.5785
550,0,0.6671,0.3329
551,0,0.6643,0.3357
552,0,0.671,0.329
553,0,0.6881,0.3119
554,0,0.6878,0.3122
555,0,0.6526,0.3474
556,0,0.6638,0.3362
557,0,0.6808,0.3192
558,0,0.6723,0.3277
559,0,0.5793,0.4207
560,0,0.6641,0.3359
561,0,0.6697,0.3303
562,0,0.6612,0.3388
563,0,0.6608,0.3392
564,0,0.6765,0.3235
565,0,0.6715,0.3285
566,0,0.6715,0.3285
567,0,0.6653,0.3347
568,0,0.6452,0.3548
569,0,0.6616,0.3384
570,0,0.6613,0.3387
571,0,0.6506,0.3494
572,0,0.6543,0.3457
573,0,0.66,0.34
574,0,0.6603,0.3397
575,0,0.6567,0.3433
576,0,0.6661,0.3339
577,0,0.6776,0.3224
578,0,0.6566,0.3434
579,0,0.704,0.296
580,0,0.6606,0.3394
581,0,0.6696,0.3304
582,0,0.6565,0.3435
583,0,0.66,0.34
584,0,0.6358,0.3642
585,0,0.6462,0.3538
586,0,0.6895,0.3105
587,0,0.6499,0.3501
588,0,0.6163,0.3837
589,0,0.6833,0.3167
590,0,0.576,0.424
591,0,0.6679,0.3321
592,0,0.6596,0.3404
593,0,0.6466,0.3534
594,0,0.6951,0.3049
595,0,0.6662,0.3338
596,0,0.6663,0.3337
597,0,0.6522,0.3478
598,0,0.6816,0.3184
599,0,0.6301,0.3699
600,0,0.656,0.344
601,0,0.6586,0.3414
602,0,0.6642,0.3358
603,0,0.6604,0.3396
604,0,0.6765,0.3235
605,0,0.6889,0.3111
606,0,0.6489,0.3511
607,0,0.6541,0.3459
608,0,0.6606,0.3394
609,0,0.6283,0.3717
610,0,0.624,0.376
611,1,0.3291,0.6709
612,0,0.6857,0.3143
613,0,0.6792,0.3208
614,0,0.6836,0.3164
615,0,0.6899,0.3101
616,0,0.6737,0.3263
617,0,0.6916,0.3084
618,0,0.6888,0.3112
619,0,0.6705,0.3295
620,0,0.6709,0.3291
621,0,0.6547,0.3453
622,0,0.6605,0.3395
623,0,0.661,0.339
624,0,0.6631,0.3369
625,0,0.6515,0.3485
626,0,0.6231,0.3769
627,1,0.3228,0.6772
628,0,0.6595,0.3405
629,0,0.6543,0.3457
630,0,0.6831,0.3169
631,0,0.6593,0.3407
632,0,0.6729,0.3271
633,0,0.6675,0.3325
634,0,0.6527,0.3473
635,0,0.6552,0.3448
636,0,0.6853,0.3147
637,0,0.6863,0.3137
638,0,0.6538,0.3462
639,0,0.6877,0.3123
640,0,0.6694,0.3306
641,0,0.681,0.319
642,0,0.6626,0.3374
643,0,0.6541,0.3459
644,0,0.6452,0.3548
645,1,0.2936,0.7064
646,0,0.597,0.403
647,0,0.6544,0.3456
648,0,0.6594,0.3406
649,0,0.6832,0.3168
650,0,0.6606,0.3394
651,0,0.6478,0.3522
652,0,0.6384,0.3616
653,0,0.6334,0.3666
654,0,0.617,0.383
655,0,0.6721,0.3279
656,0,0.6744,0.3256
657,0,0.6594,0.3406
658,0,0.6455,0.3545
659,0,0.6496,0.3504
660,0,0.6475,0.3525
661,0,0.6576,0.3424
662,0,0.6614,0.3386
663,0,0.6978,0.3022
664,0,0.6781,0.3219
665,0,0.6765,0.3235
666,0,0.6614,0.3386
667,0,0.6746,0.3254
668,0,0.6598,0.3402
669,0,0.5945,0.4055
670,0,0.6342,0.3658
671,0,0.653,0.347
672,0,0.6682,0.3318
673,0,0.7026,0.2974
674,0,0.6499,0.3501
675,0,0.647,0.353
676,0,0.6424,0.3576
677,0,0.6497,0.3503
678,0,0.6839,0.3161
679,0,0.69,0.31
680,0,0.6618,0.3382
681,0,0.6698,0.3302
682,0,0.6995,0.3005
683,0,0.7002,0.2998
684,0,0.6691,0.3309
685,0,0.669,0.331
686,0,0.6619,0.3381
687,0,0.6651,0.3349
688,0,0.6512,0.3488
689,0,0.6681,0.3319
690,0,0.6483,0.3517
691,0,0.6714,0.3286
692,0,0.6687,0.3313
693,0,0.6581,0.3419
694,0,0.6885,0.3115
695,0,0.6867,0.3133
696,0,0.6703,0.3297
697,0,0.681,0.319
698,0,0.6684,0.3316
699,0,0.6949,0.3051
700,0,0.6737,0.3263
701,0,0.6546,0.3454
702,0,0.6827,0.3173
703,0,0.6651,0.3349
704,0,0.69,0.31
705,0,0.6603,0.3397
706,0,0.677,0.323
707,0,0.6552,0.3448
708,0,0.6376,0.3624
709,0,0.6531,0.3469
710,0,0.653,0.347
711,0,0.6669,0.3331
712,0,0.6556,0.3444
713,0,0.6387,0.3613
714,0,0.66,0.34
715,0,0.6483,0.3517
716,0,0.6534,0.3466
717,0,0.6651,0.3349
718,0,0.6793,0.3207
719,0,0.6617,0.3383
720,0,0.6787,0.3213
721,0,0.6693,0.3307
722,0,0.6589,0.3411
723,0,0.6568,0.3432
724,0,0.656,0.344
725,0,0.6288,0.3712
726,0,0.6119,0.3881
727,0,0.5752,0.4248
728,0,0.6164,0.3836
729,0,0.651,0.349
730,0,0.6842,0.3158
731,0,0.6388,0.3612
732,0,0.6566,0.3434
733,0,0.6482,0.3518
734,0,0.6417,0.3583
735,0,0.668,0.332
736,0,0.6821,0.3179
737,0,0.6801,0.3199
738,0,0.6572,0.3428
739,0,0.6604,0.3396
740,0,0.6495,0.3505
741,0,0.6585,0.3415
742,0,0.6906,0.3094
743,0,0.6529,0.3471
744,0,0.6591,0.3409
745,1,0.3788,0.6212
746,0,0.6504,0.3496
747,0,0.6632,0.3368
748,0,0.6631,0.3369
749,0,0.6696,0.3304
750,0,0.655,0.345
751,0,0.6547,0.3453
752,0,0.6539,0.3461
753,0,0.6708,0.3292
754,0,0.6893,0.3107
755,0,0.7001,0.2999
756,0,0.677,0.323
757,0,0.6823,0.3177
758,0,0.6427,0.3573
759,0,0.6689,0.3311
760,0,0.6546,0.3454
761,0,0.6599,0.3401
762,0,0.6353,0.3647
763,0,0.6321,0.3679
764,0,0.6711,0.3289
765,0,0.651,0.349
766,0,0.655,0.345
767,1,0.4616,0.5384
768,0,0.6643,0.3357
769,0,0.6627,0.3373
