,class predicted,prob_class_0,prob_class_1
0,1,0.0,1.0
1,1,0.0,1.0
2,1,0.0,1.0
3,1,0.0,1.0
4,1,0.0,1.0
5,1,0.0,1.0
6,1,0.0,1.0
7,1,1e-04,0.9999
8,1,0.0,1.0
9,1,0.0,1.0
10,1,0.0,1.0
11,1,0.0023,0.9977
12,1,0.0005,0.9995
13,1,0.0114,0.9886
14,1,0.0003,0.9997
15,1,0.0,1.0
16,1,0.0,1.0
17,1,0.0002,0.9998
18,1,0.0,1.0
19,1,0.0,1.0
20,1,0.0,1.0
21,1,1e-04,0.9999
22,1,0.0,1.0
23,1,0.0,1.0
24,1,0.0,1.0
25,1,0.0,1.0
26,1,0.0,1.0
27,1,0.0,1.0
28,1,0.0,1.0
29,1,0.0,1.0
30,1,0.0,1.0
31,1,0.0,1.0
32,1,0.0,1.0
33,1,0.0004,0.9996
34,1,0.0,1.0
35,1,0.0008,0.9992
36,1,0.0007,0.9993
37,1,0.0006,0.9994
38,1,0.0,1.0
39,1,0.0,1.0
40,1,0.0,1.0
41,1,1e-04,0.9999
42,1,0.0009,0.9991
43,1,0.0,1.0
44,1,0.0,1.0
45,1,0.0,1.0
46,1,0.0,1.0
47,1,0.001,0.999
48,1,0.0,1.0
49,1,0.0,1.0
50,1,0.0,1.0
51,1,0.0,1.0
52,1,0.0,1.0
53,1,0.0,1.0
54,1,0.0,1.0
55,1,0.0,1.0
56,1,0.0,1.0
57,1,0.0,1.0
58,1,0.0,1.0
59,1,0.0,1.0
60,1,0.0,1.0
61,1,0.0,1.0
62,1,0.0,1.0
63,1,0.0,1.0
64,1,0.0,1.0
65,1,0.0005,0.9995
66,1,0.0,1.0
67,1,0.0,1.0
68,1,0.0008,0.9992
69,1,0.0,1.0
70,1,0.0,1.0
71,1,0.0,1.0
72,1,0.0002,0.9998
73,1,0.0,1.0
74,1,0.0,1.0
75,1,0.0,1.0
76,1,0.0,1.0
77,1,0.0,1.0
78,1,1e-04,0.9999
79,1,0.0,1.0
80,1,0.0,1.0
81,1,0.0049,0.9951
82,1,1e-04,0.9999
83,1,0.0022,0.9978
84,1,0.0018,0.9982
85,1,0.0004,0.9996
86,1,0.0136,0.9864
87,1,0.0021,0.9979
88,1,0.0,1.0
89,1,0.0,1.0
90,1,0.0,1.0
91,1,0.0,1.0
92,1,0.0,1.0
93,1,0.0,1.0
94,1,0.0,1.0
95,1,0.0,1.0
96,1,0.0,1.0
97,1,0.0,1.0
98,1,0.0,1.0
99,1,0.0,1.0
100,1,0.0,1.0
