,class predicted,prob_class_0,prob_class_1
0,1,0.0,1.0
1,1,0.0006,0.9994
2,1,0.0003,0.9997
3,1,1e-04,0.9999
4,1,0.0,1.0
5,1,0.0,1.0
6,1,0.0003,0.9997
7,1,0.0011,0.9989
8,1,0.0004,0.9996
9,1,0.0,1.0
10,1,0.0,1.0
11,1,0.0021,0.9979
12,1,0.0003,0.9997
13,1,0.0056,0.9944
14,1,0.0004,0.9996
15,1,0.0,1.0
16,1,0.0002,0.9998
17,1,0.0003,0.9997
18,1,0.0002,0.9998
19,1,1e-04,0.9999
20,1,1e-04,0.9999
21,1,0.0031,0.9969
22,1,1e-04,0.9999
23,1,0.0,1.0
24,1,0.0,1.0
25,1,0.0,1.0
26,1,0.0,1.0
27,1,0.0,1.0
28,1,0.0,1.0
29,1,0.0002,0.9998
30,1,1e-04,0.9999
31,1,1e-04,0.9999
32,1,1e-04,0.9999
33,1,0.0012,0.9988
34,1,0.0,1.0
35,1,0.0003,0.9997
36,1,0.0005,0.9995
37,1,0.0025,0.9975
38,1,1e-04,0.9999
39,1,0.0,1.0
40,1,0.0,1.0
41,1,1e-04,0.9999
42,1,1e-04,0.9999
43,1,0.0,1.0
44,1,0.0005,0.9995
45,1,1e-04,0.9999
46,1,0.0004,0.9996
47,1,0.0016,0.9984
48,1,0.0003,0.9997
49,1,1e-04,0.9999
50,1,1e-04,0.9999
51,1,1e-04,0.9999
52,1,0.0003,0.9997
53,1,0.0003,0.9997
54,1,1e-04,0.9999
55,1,0.0,1.0
56,1,1e-04,0.9999
57,1,0.0003,0.9997
58,1,0.0005,0.9995
59,1,0.0002,0.9998
60,1,0.0002,0.9998
61,1,0.0002,0.9998
62,1,0.0006,0.9994
63,1,0.0002,0.9998
64,1,1e-04,0.9999
65,1,0.0015,0.9985
66,1,1e-04,0.9999
67,1,0.0003,0.9997
68,1,0.0009,0.9991
69,1,0.0006,0.9994
70,1,1e-04,0.9999
71,1,1e-04,0.9999
72,1,0.0006,0.9994
73,1,1e-04,0.9999
74,1,1e-04,0.9999
75,1,0.0002,0.9998
76,1,1e-04,0.9999
77,1,1e-04,0.9999
78,1,0.0,1.0
79,1,0.0002,0.9998
80,1,0.0013,0.9987
81,1,0.0009,0.9991
82,1,0.0005,0.9995
83,1,0.0018,0.9982
84,1,0.001,0.999
85,1,0.0014,0.9986
86,1,0.0019,0.9981
87,1,0.0018,0.9982
88,1,0.0,1.0
89,1,0.0,1.0
90,1,0.0,1.0
91,1,0.0,1.0
92,1,0.0,1.0
93,1,0.0,1.0
94,1,0.0,1.0
95,1,0.0,1.0
96,1,0.0,1.0
97,1,0.0,1.0
98,1,0.0,1.0
99,1,1e-04,0.9999
100,1,0.0,1.0
101,1,0.0,1.0
102,1,0.0,1.0
103,1,0.0,1.0
104,1,0.0,1.0
105,1,0.0,1.0
106,1,0.0,1.0
107,1,0.0,1.0
108,1,0.0,1.0
109,1,0.0,1.0
110,1,0.0,1.0
111,1,0.0,1.0
112,1,0.0,1.0
113,1,0.0,1.0
114,1,0.0,1.0
115,1,0.0,1.0
116,1,0.0,1.0
117,1,1e-04,0.9999
118,1,0.0,1.0
119,1,0.0,1.0
120,1,1e-04,0.9999
121,1,0.0,1.0
122,1,1e-04,0.9999
123,1,0.0,1.0
124,1,1e-04,0.9999
125,1,0.0003,0.9997
126,1,0.0006,0.9994
127,1,0.0,1.0
128,1,0.0004,0.9996
129,1,0.0015,0.9985
130,1,0.0026,0.9974
131,1,1e-04,0.9999
132,1,0.0002,0.9998
133,1,0.0006,0.9994
134,1,0.0007,0.9993
135,1,0.0,1.0
136,1,0.0,1.0
137,1,0.0,1.0
138,1,1e-04,0.9999
139,1,1e-04,0.9999
140,1,1e-04,0.9999
141,1,0.0,1.0
142,1,1e-04,0.9999
143,1,1e-04,0.9999
144,1,0.0,1.0
145,1,0.0,1.0
146,1,1e-04,0.9999
147,1,1e-04,0.9999
