,class predicted,prob_class_0,prob_class_1
0,1,0.0,1.0
1,1,0.0002,0.9998
2,1,0.0,1.0
3,1,0.0,1.0
4,1,0.0,1.0
5,1,0.0,1.0
6,1,0.0,1.0
7,1,0.0002,0.9998
8,1,0.0,1.0
9,1,0.0,1.0
10,1,0.0,1.0
11,1,0.002,0.998
12,1,1e-04,0.9999
13,1,0.0026,0.9974
14,1,0.0003,0.9997
15,1,0.0,1.0
16,1,1e-04,0.9999
17,1,1e-04,0.9999
18,1,0.0,1.0
19,1,0.0,1.0
20,1,0.0,1.0
21,1,0.0002,0.9998
22,1,0.0,1.0
23,1,0.0,1.0
24,1,0.0,1.0
25,1,0.0,1.0
26,1,0.0,1.0
27,1,0.0,1.0
28,1,0.0,1.0
29,1,1e-04,0.9999
30,1,1e-04,0.9999
31,1,1e-04,0.9999
32,1,1e-04,0.9999
33,1,0.0002,0.9998
34,1,0.0,1.0
35,1,0.0,1.0
36,1,1e-04,0.9999
37,1,0.0,1.0
38,1,1e-04,0.9999
39,1,0.0,1.0
40,1,0.0,1.0
41,1,0.0,1.0
42,1,0.0,1.0
43,1,0.0002,0.9998
44,1,1e-04,0.9999
45,1,0.0,1.0
46,1,1e-04,0.9999
47,1,0.0004,0.9996
48,1,0.0,1.0
49,1,0.0,1.0
50,1,0.0,1.0
51,1,0.0,1.0
52,1,0.0,1.0
53,1,0.0,1.0
54,1,0.0,1.0
55,1,0.0,1.0
56,1,0.0,1.0
57,1,0.0,1.0
58,1,1e-04,0.9999
59,1,0.0,1.0
60,1,0.0,1.0
61,1,0.0,1.0
62,1,0.0,1.0
63,1,0.0,1.0
64,1,0.0,1.0
65,1,0.0,1.0
66,1,0.0,1.0
67,1,0.0,1.0
68,1,0.0,1.0
69,1,0.0,1.0
70,1,0.0,1.0
71,1,0.0,1.0
72,1,0.0,1.0
73,1,0.0,1.0
74,1,0.0,1.0
75,1,0.0,1.0
76,1,0.0,1.0
77,1,0.0,1.0
78,1,0.0,1.0
79,1,0.0,1.0
80,1,0.0,1.0
81,1,0.0011,0.9989
82,1,0.0,1.0
83,1,0.001,0.999
84,1,0.0006,0.9994
85,1,0.0003,0.9997
86,1,1e-04,0.9999
87,1,0.0002,0.9998
88,1,0.0,1.0
89,1,0.0,1.0
90,1,0.0,1.0
91,1,1e-04,0.9999
92,1,0.0,1.0
93,1,1e-04,0.9999
94,1,1e-04,0.9999
95,1,1e-04,0.9999
96,1,0.0,1.0
97,1,0.0,1.0
98,1,1e-04,0.9999
99,1,0.0,1.0
100,1,1e-04,0.9999
101,1,1e-04,0.9999
102,1,0.0,1.0
103,1,0.0,1.0
104,1,1e-04,0.9999
105,1,1e-04,0.9999
106,1,0.0,1.0
107,1,1e-04,0.9999
108,1,0.0,1.0
109,1,0.0,1.0
110,1,0.0,1.0
111,1,0.0,1.0
112,1,1e-04,0.9999
113,1,1e-04,0.9999
114,1,1e-04,0.9999
115,1,0.0,1.0
116,1,0.0,1.0
117,1,0.0,1.0
118,1,0.0,1.0
119,1,0.0,1.0
120,1,0.0,1.0
121,1,0.0,1.0
122,1,0.0,1.0
123,1,0.0,1.0
124,1,1e-04,0.9999
125,1,1e-04,0.9999
126,1,1e-04,0.9999
127,1,0.0,1.0
128,1,0.0,1.0
129,1,0.0017,0.9983
130,1,0.0011,0.9989
131,1,0.0,1.0
132,1,1e-04,0.9999
133,1,0.0004,0.9996
134,1,0.0005,0.9995
135,1,0.0002,0.9998
136,1,0.0,1.0
137,1,0.0,1.0
138,1,0.0,1.0
139,1,0.0,1.0
140,1,0.0,1.0
141,1,0.0,1.0
142,1,0.0,1.0
143,1,0.0,1.0
144,1,0.0,1.0
145,1,0.0,1.0
146,1,0.0,1.0
147,1,0.0,1.0
148,1,1e-04,0.9999
149,1,0.0002,0.9998
150,1,1e-04,0.9999
151,1,1e-04,0.9999
152,1,0.0,1.0
153,1,1e-04,0.9999
154,1,0.0,1.0
155,1,0.0,1.0
156,1,0.0,1.0
157,1,0.0,1.0
158,1,0.0,1.0
159,1,0.0004,0.9996
160,1,0.0,1.0
161,1,0.0,1.0
162,1,0.0,1.0
163,1,0.0,1.0
164,1,0.0,1.0
165,1,1e-04,0.9999
166,1,0.0,1.0
167,1,0.0,1.0
168,1,0.0,1.0
169,1,0.0,1.0
170,1,0.0,1.0
171,1,0.0,1.0
172,1,0.0,1.0
173,1,0.0,1.0
174,1,0.0,1.0
175,1,1e-04,0.9999
176,1,0.0,1.0
177,1,0.0,1.0
178,1,0.0,1.0
179,1,0.0,1.0
180,1,0.0003,0.9997
181,1,0.0,1.0
182,1,0.0,1.0
183,1,0.0,1.0
184,1,0.0,1.0
185,1,0.0,1.0
186,1,0.0003,0.9997
187,1,1e-04,0.9999
188,1,0.0,1.0
189,1,1e-04,0.9999
190,1,0.0,1.0
191,1,1e-04,0.9999
192,1,0.0,1.0
193,1,0.0,1.0
194,1,0.0,1.0
195,1,0.0,1.0
196,1,0.0,1.0
197,1,0.0,1.0
198,1,0.0,1.0
199,1,0.0,1.0
200,1,1e-04,0.9999
201,1,0.0,1.0
202,1,0.0,1.0
203,1,0.0,1.0
204,1,0.0,1.0
205,1,0.0,1.0
206,1,0.0,1.0
207,0,1.0,0.0
208,0,1.0,0.0
209,0,1.0,0.0
210,0,1.0,0.0
211,0,1.0,0.0
212,0,1.0,0.0
213,0,1.0,0.0
214,0,0.9997,0.0003
215,0,0.9997,0.0003
216,0,1.0,0.0
217,0,1.0,0.0
218,0,0.9999,1e-04
