,class predicted,prob_class_0,prob_class_1
0,1,0.3941,0.6059
1,1,0.4028,0.5972
2,1,0.3759,0.6241
3,1,0.3939,0.6061
4,1,0.3953,0.6047
5,1,0.3866,0.6134
6,1,0.3793,0.6207
7,1,0.4621,0.5379
8,1,0.3855,0.6145
9,1,0.4337,0.5663
10,1,0.4337,0.5663
11,1,0.4707,0.5293
12,1,0.4215,0.5785
13,1,0.4199,0.5801
14,1,0.4187,0.5813
15,1,0.4097,0.5903
16,1,0.4141,0.5859
17,1,0.4281,0.5719
18,1,0.4116,0.5884
19,1,0.3746,0.6254
20,1,0.3888,0.6112
21,1,0.4463,0.5537
22,1,0.4011,0.5989
23,1,0.4047,0.5953
24,1,0.4135,0.5865
25,1,0.4428,0.5572
26,1,0.3584,0.6416
27,1,0.3574,0.6426
28,1,0.3641,0.6359
29,1,0.3743,0.6257
30,1,0.3744,0.6256
31,1,0.3789,0.6211
32,1,0.3594,0.6406
33,1,0.4744,0.5256
34,1,0.391,0.609
35,1,0.4058,0.5942
36,1,0.3995,0.6005
37,1,0.445,0.555
38,1,0.3831,0.6169
39,1,0.3835,0.6165
40,1,0.377,0.623
41,1,0.3897,0.6103
42,1,0.4097,0.5903
43,1,0.3461,0.6539
44,1,0.4123,0.5877
45,1,0.4062,0.5938
46,1,0.3994,0.6006
47,1,0.4368,0.5632
48,1,0.4242,0.5758
49,1,0.4058,0.5942
50,1,0.4058,0.5942
51,1,0.4205,0.5795
52,1,0.4158,0.5842
53,1,0.4242,0.5758
54,1,0.406,0.594
55,1,0.4059,0.5941
56,1,0.4211,0.5789
57,1,0.4063,0.5937
58,1,0.385,0.615
59,1,0.413,0.587
60,1,0.4092,0.5908
61,1,0.4237,0.5763
62,1,0.4305,0.5695
63,1,0.3978,0.6022
64,1,0.3864,0.6136
65,1,0.4334,0.5666
66,1,0.414,0.586
67,1,0.4386,0.5614
68,1,0.4496,0.5504
69,1,0.4305,0.5695
70,1,0.4142,0.5858
71,1,0.4378,0.5622
72,1,0.4257,0.5743
73,1,0.3956,0.6044
74,1,0.4142,0.5858
75,1,0.4145,0.5855
76,1,0.4073,0.5927
77,1,0.4073,0.5927
78,1,0.4308,0.5692
79,1,0.3896,0.6104
80,1,0.4647,0.5353
81,1,0.4144,0.5856
82,1,0.3969,0.6031
83,1,0.4279,0.5721
84,1,0.4171,0.5829
85,1,0.4599,0.5401
86,1,0.449,0.551
87,1,0.4818,0.5182
88,1,0.3726,0.6274
89,1,0.3752,0.6248
90,1,0.3701,0.6299
91,1,0.3621,0.6379
92,1,0.3761,0.6239
93,1,0.3789,0.6211
94,1,0.3808,0.6192
95,1,0.3719,0.6281
96,1,0.372,0.628
97,1,0.3788,0.6212
98,1,0.3876,0.6124
99,1,0.3758,0.6242
100,1,0.3745,0.6255
101,1,0.3651,0.6349
102,1,0.3744,0.6256
103,1,0.379,0.621
104,1,0.3733,0.6267
105,1,0.382,0.618
106,1,0.365,0.635
107,1,0.3697,0.6303
108,1,0.3808,0.6192
109,1,0.3763,0.6237
110,1,0.3865,0.6135
111,1,0.3737,0.6263
112,1,0.3815,0.6185
113,1,0.3665,0.6335
114,1,0.3702,0.6298
115,1,0.379,0.621
116,1,0.3789,0.6211
117,1,0.3804,0.6196
118,1,0.3643,0.6357
119,1,0.3723,0.6277
120,1,0.3879,0.6121
121,1,0.397,0.603
122,1,0.3921,0.6079
123,1,0.4046,0.5954
