,class predicted,prob_class_0,prob_class_1
0,1,0.3593,0.6407
1,1,0.3917,0.6083
2,1,0.3535,0.6465
3,1,0.3702,0.6298
4,1,0.3688,0.6312
5,1,0.375,0.625
6,1,0.3526,0.6474
7,1,0.4157,0.5843
8,1,0.3594,0.6406
9,1,0.3934,0.6066
10,1,0.3934,0.6066
11,1,0.4785,0.5215
12,1,0.4119,0.5881
13,1,0.4333,0.5667
14,1,0.4058,0.5942
15,1,0.3988,0.6012
16,1,0.4022,0.5978
17,1,0.4037,0.5963
18,1,0.3798,0.6202
19,1,0.3687,0.6313
20,1,0.3768,0.6232
21,1,0.3986,0.6014
22,1,0.3716,0.6284
23,1,0.3781,0.6219
24,1,0.3855,0.6145
25,1,0.4227,0.5773
26,1,0.3468,0.6532
27,1,0.3391,0.6609
28,1,0.3478,0.6522
29,1,0.359,0.641
30,1,0.3578,0.6422
31,1,0.3569,0.6431
32,1,0.3538,0.6462
33,1,0.4562,0.5438
34,1,0.3675,0.6325
35,1,0.3961,0.6039
36,1,0.3909,0.6091
37,1,0.456,0.544
38,1,0.3687,0.6313
39,1,0.3655,0.6345
40,1,0.3644,0.6356
41,1,0.3698,0.6302
42,1,0.3589,0.6411
43,1,0.3409,0.6591
44,1,0.3796,0.6204
45,1,0.3802,0.6198
46,1,0.3817,0.6183
47,1,0.4439,0.5561
48,1,0.3982,0.6018
49,1,0.383,0.617
50,1,0.383,0.617
51,1,0.3888,0.6112
52,1,0.3922,0.6078
53,1,0.3982,0.6018
54,1,0.3781,0.6219
55,1,0.365,0.635
56,1,0.3937,0.6063
57,1,0.3825,0.6175
58,1,0.368,0.632
59,1,0.3807,0.6193
60,1,0.3882,0.6118
61,1,0.3775,0.6225
62,1,0.4111,0.5889
63,1,0.3727,0.6273
64,1,0.3484,0.6516
65,1,0.4062,0.5938
66,1,0.3826,0.6174
67,1,0.3948,0.6052
68,1,0.4056,0.5944
69,1,0.4111,0.5889
70,1,0.3877,0.6123
71,1,0.3883,0.6117
72,1,0.4085,0.5915
73,1,0.3737,0.6263
74,1,0.3877,0.6123
75,1,0.3862,0.6138
76,1,0.3886,0.6114
77,1,0.3886,0.6114
78,1,0.3965,0.6035
79,1,0.3719,0.6281
80,1,0.4061,0.5939
81,1,0.4224,0.5776
82,1,0.3994,0.6006
83,1,0.3812,0.6188
84,1,0.3718,0.6282
85,1,0.4525,0.5475
86,1,0.4984,0.5016
87,1,0.4701,0.5299
