,class predicted,prob_class_0,prob_class_1
0,0,0.99,0.01
1,0,0.99,0.01
2,0,0.99,0.01
3,0,1.0,0.0
4,0,1.0,0.0
5,0,1.0,0.0
6,0,1.0,0.0
7,0,1.0,0.0
8,0,1.0,0.0
9,0,1.0,0.0
10,0,0.99,0.01
11,0,1.0,0.0
12,0,1.0,0.0
13,0,1.0,0.0
14,0,0.99,0.01
15,0,1.0,0.0
16,0,1.0,0.0
17,0,0.99,0.01
18,0,1.0,0.0
19,0,0.99,0.01
20,0,0.99,0.01
21,0,0.99,0.01
22,0,0.99,0.01
23,0,0.99,0.01
24,0,0.98,0.02
25,0,0.98,0.02
26,0,0.99,0.01
27,0,1.0,0.0
28,0,1.0,0.0
29,0,1.0,0.0
30,0,1.0,0.0
31,0,1.0,0.0
32,0,1.0,0.0
33,0,1.0,0.0
34,0,1.0,0.0
35,0,0.98,0.02
36,0,0.99,0.01
37,0,1.0,0.0
38,0,0.99,0.01
39,0,1.0,0.0
40,0,1.0,0.0
41,0,1.0,0.0
42,0,1.0,0.0
43,0,1.0,0.0
44,0,1.0,0.0
45,0,1.0,0.0
46,0,1.0,0.0
47,0,1.0,0.0
48,0,1.0,0.0
49,0,0.99,0.01
50,0,1.0,0.0
51,0,1.0,0.0
52,0,1.0,0.0
53,0,1.0,0.0
54,0,1.0,0.0
55,0,0.99,0.01
56,0,1.0,0.0
57,0,1.0,0.0
58,0,1.0,0.0
59,0,1.0,0.0
60,0,1.0,0.0
61,0,0.98,0.02
62,0,0.99,0.01
63,0,0.99,0.01
64,0,0.99,0.01
65,0,0.99,0.01
66,0,0.99,0.01
67,0,0.99,0.01
68,0,0.99,0.01
69,0,0.99,0.01
70,0,0.99,0.01
71,0,0.99,0.01
72,0,0.99,0.01
73,0,1.0,0.0
74,0,0.99,0.01
75,0,0.99,0.01
76,0,1.0,0.0
77,0,1.0,0.0
78,0,1.0,0.0
79,0,1.0,0.0
80,0,1.0,0.0
81,0,1.0,0.0
82,0,1.0,0.0
83,0,0.99,0.01
84,0,0.99,0.01
85,0,1.0,0.0
86,0,1.0,0.0
87,0,1.0,0.0
88,0,1.0,0.0
89,0,1.0,0.0
90,0,1.0,0.0
91,0,1.0,0.0
92,0,1.0,0.0
93,0,1.0,0.0
94,0,1.0,0.0
95,0,1.0,0.0
96,0,0.99,0.01
97,0,1.0,0.0
98,0,1.0,0.0
99,0,1.0,0.0
100,0,1.0,0.0
101,0,1.0,0.0
102,0,1.0,0.0
103,0,1.0,0.0
104,0,1.0,0.0
105,0,1.0,0.0
106,0,1.0,0.0
107,0,1.0,0.0
108,0,1.0,0.0
109,0,1.0,0.0
110,0,1.0,0.0
111,0,0.99,0.01
112,0,1.0,0.0
113,0,1.0,0.0
114,0,1.0,0.0
115,0,1.0,0.0
116,0,1.0,0.0
117,0,1.0,0.0
118,0,0.99,0.01
119,0,1.0,0.0
120,0,1.0,0.0
121,0,1.0,0.0
122,0,1.0,0.0
123,0,1.0,0.0
124,0,1.0,0.0
125,0,1.0,0.0
126,0,0.98,0.02
127,0,0.97,0.03
128,0,0.98,0.02
129,0,0.99,0.01
130,0,0.98,0.02
131,0,0.99,0.01
132,0,1.0,0.0
133,0,1.0,0.0
134,0,1.0,0.0
135,0,1.0,0.0
136,0,1.0,0.0
137,0,1.0,0.0
138,0,1.0,0.0
139,0,0.99,0.01
140,0,0.98,0.02
141,0,0.98,0.02
142,0,0.98,0.02
143,0,0.98,0.02
144,0,0.98,0.02
145,0,0.98,0.02
146,0,0.98,0.02
147,0,0.99,0.01
148,0,0.99,0.01
149,0,0.99,0.01
150,0,0.99,0.01
151,0,0.99,0.01
152,0,0.99,0.01
153,0,1.0,0.0
154,0,1.0,0.0
155,0,1.0,0.0
156,0,1.0,0.0
157,0,1.0,0.0
158,0,1.0,0.0
159,0,1.0,0.0
160,0,1.0,0.0
161,0,1.0,0.0
162,0,0.99,0.01
163,0,1.0,0.0
164,0,0.99,0.01
165,0,0.99,0.01
166,0,1.0,0.0
167,0,0.99,0.01
168,0,0.99,0.01
169,0,1.0,0.0
170,0,1.0,0.0
171,0,1.0,0.0
172,0,1.0,0.0
173,0,1.0,0.0
174,0,1.0,0.0
175,0,1.0,0.0
176,0,1.0,0.0
177,0,1.0,0.0
178,0,1.0,0.0
179,0,1.0,0.0
180,0,1.0,0.0
181,0,1.0,0.0
182,0,1.0,0.0
183,0,0.99,0.01
184,0,1.0,0.0
185,0,0.98,0.02
186,0,1.0,0.0
187,0,1.0,0.0
188,0,0.99,0.01
189,0,1.0,0.0
190,0,1.0,0.0
191,0,1.0,0.0
192,0,1.0,0.0
193,0,1.0,0.0
194,0,1.0,0.0
195,0,1.0,0.0
196,0,0.99,0.01
197,0,0.99,0.01
198,0,1.0,0.0
199,0,0.98,0.02
200,0,0.94,0.06
201,0,0.98,0.02
202,0,0.98,0.02
203,0,0.96,0.04
204,0,0.95,0.05
205,0,0.98,0.02
206,0,0.98,0.02
207,0,1.0,0.0
208,0,0.99,0.01
209,0,0.99,0.01
210,0,1.0,0.0
211,0,1.0,0.0
212,0,1.0,0.0
213,0,0.99,0.01
214,0,0.99,0.01
215,0,0.99,0.01
216,0,0.97,0.03
217,0,0.96,0.04
218,0,0.99,0.01
219,0,1.0,0.0
220,0,0.98,0.02
221,0,1.0,0.0
222,0,1.0,0.0
223,0,0.99,0.01
224,0,0.98,0.02
225,0,0.98,0.02
226,0,1.0,0.0
227,0,1.0,0.0
228,0,0.99,0.01
229,0,0.99,0.01
230,0,1.0,0.0
231,0,1.0,0.0
232,0,1.0,0.0
233,0,1.0,0.0
234,0,1.0,0.0
235,0,1.0,0.0
236,0,1.0,0.0
237,0,1.0,0.0
238,0,1.0,0.0
239,0,1.0,0.0
240,0,1.0,0.0
241,0,1.0,0.0
242,0,1.0,0.0
243,0,1.0,0.0
244,0,1.0,0.0
245,0,1.0,0.0
246,0,1.0,0.0
247,0,1.0,0.0
248,0,1.0,0.0
249,0,1.0,0.0
250,0,1.0,0.0
251,0,1.0,0.0
252,0,1.0,0.0
253,0,0.99,0.01
254,0,0.99,0.01
255,0,1.0,0.0
256,0,1.0,0.0
257,0,1.0,0.0
258,0,1.0,0.0
259,0,1.0,0.0
260,0,1.0,0.0
261,0,1.0,0.0
262,0,1.0,0.0
263,0,1.0,0.0
264,0,1.0,0.0
265,0,1.0,0.0
266,0,1.0,0.0
267,0,1.0,0.0
268,0,1.0,0.0
269,0,1.0,0.0
270,0,0.99,0.01
271,0,1.0,0.0
272,0,1.0,0.0
273,0,1.0,0.0
274,0,1.0,0.0
275,0,1.0,0.0
276,0,0.99,0.01
277,0,0.99,0.01
278,0,1.0,0.0
279,0,0.99,0.01
280,0,0.99,0.01
281,0,1.0,0.0
282,0,1.0,0.0
283,0,1.0,0.0
284,0,1.0,0.0
285,0,1.0,0.0
286,0,0.98,0.02
287,0,1.0,0.0
288,0,1.0,0.0
289,0,1.0,0.0
290,0,1.0,0.0
291,0,1.0,0.0
292,0,1.0,0.0
293,0,1.0,0.0
294,0,1.0,0.0
295,0,1.0,0.0
296,0,1.0,0.0
297,0,1.0,0.0
298,0,1.0,0.0
299,0,1.0,0.0
300,0,1.0,0.0
301,0,1.0,0.0
302,0,1.0,0.0
303,0,1.0,0.0
304,0,1.0,0.0
305,0,1.0,0.0
306,0,1.0,0.0
307,0,1.0,0.0
308,0,0.99,0.01
309,0,1.0,0.0
310,0,0.99,0.01
311,0,1.0,0.0
312,0,1.0,0.0
313,0,1.0,0.0
314,0,1.0,0.0
315,0,0.99,0.01
316,0,1.0,0.0
317,0,1.0,0.0
318,0,1.0,0.0
319,0,0.99,0.01
320,0,1.0,0.0
321,0,1.0,0.0
322,0,1.0,0.0
323,0,1.0,0.0
324,0,1.0,0.0
325,0,1.0,0.0
326,0,1.0,0.0
327,0,1.0,0.0
328,0,1.0,0.0
329,0,0.99,0.01
330,0,0.99,0.01
331,0,0.99,0.01
332,0,0.99,0.01
333,0,0.99,0.01
334,0,1.0,0.0
335,0,0.99,0.01
336,0,1.0,0.0
337,0,1.0,0.0
338,0,1.0,0.0
339,0,1.0,0.0
340,0,1.0,0.0
341,0,1.0,0.0
342,0,1.0,0.0
343,0,1.0,0.0
344,0,1.0,0.0
345,0,1.0,0.0
346,0,1.0,0.0
347,0,1.0,0.0
348,0,1.0,0.0
349,0,1.0,0.0
350,0,1.0,0.0
351,0,1.0,0.0
352,0,1.0,0.0
353,0,1.0,0.0
354,0,1.0,0.0
355,0,1.0,0.0
356,0,1.0,0.0
357,0,1.0,0.0
358,0,1.0,0.0
359,0,1.0,0.0
360,0,1.0,0.0
361,0,1.0,0.0
362,0,1.0,0.0
363,0,1.0,0.0
364,0,1.0,0.0
365,0,1.0,0.0
366,0,1.0,0.0
367,0,1.0,0.0
368,0,1.0,0.0
369,0,1.0,0.0
370,0,1.0,0.0
371,0,1.0,0.0
372,0,1.0,0.0
373,0,1.0,0.0
374,0,1.0,0.0
375,0,1.0,0.0
376,0,1.0,0.0
377,0,1.0,0.0
378,0,1.0,0.0
379,0,1.0,0.0
380,0,1.0,0.0
381,0,0.99,0.01
382,0,1.0,0.0
383,0,0.99,0.01
384,0,1.0,0.0
385,0,1.0,0.0
386,0,0.99,0.01
387,0,1.0,0.0
388,0,0.99,0.01
389,0,0.99,0.01
390,0,0.99,0.01
391,0,0.99,0.01
392,0,0.98,0.02
393,0,1.0,0.0
394,0,0.99,0.01
395,0,1.0,0.0
396,0,1.0,0.0
397,0,1.0,0.0
398,0,1.0,0.0
399,0,0.99,0.01
400,0,1.0,0.0
401,0,1.0,0.0
402,0,1.0,0.0
403,0,1.0,0.0
404,0,1.0,0.0
405,0,0.99,0.01
406,0,1.0,0.0
407,0,1.0,0.0
408,0,1.0,0.0
409,0,1.0,0.0
410,0,1.0,0.0
411,0,0.99,0.01
412,0,1.0,0.0
413,0,1.0,0.0
414,0,1.0,0.0
415,0,1.0,0.0
416,0,1.0,0.0
417,0,1.0,0.0
418,0,0.99,0.01
419,0,1.0,0.0
420,0,0.98,0.02
421,0,0.99,0.01
422,0,1.0,0.0
423,0,1.0,0.0
424,0,1.0,0.0
425,0,1.0,0.0
426,0,1.0,0.0
427,0,1.0,0.0
428,0,0.99,0.01
429,0,1.0,0.0
430,0,1.0,0.0
431,0,1.0,0.0
432,0,1.0,0.0
433,0,1.0,0.0
434,0,1.0,0.0
435,0,1.0,0.0
436,0,1.0,0.0
437,0,1.0,0.0
438,0,1.0,0.0
439,0,1.0,0.0
440,0,1.0,0.0
441,0,1.0,0.0
442,0,1.0,0.0
443,0,1.0,0.0
444,0,1.0,0.0
445,0,1.0,0.0
446,0,0.99,0.01
447,0,1.0,0.0
448,0,1.0,0.0
449,0,0.99,0.01
450,0,1.0,0.0
451,0,1.0,0.0
452,0,1.0,0.0
453,0,1.0,0.0
454,0,1.0,0.0
455,0,1.0,0.0
456,0,1.0,0.0
457,0,1.0,0.0
458,0,1.0,0.0
459,0,1.0,0.0
460,0,1.0,0.0
461,0,1.0,0.0
462,0,1.0,0.0
463,0,1.0,0.0
464,0,1.0,0.0
465,0,1.0,0.0
466,0,1.0,0.0
467,0,1.0,0.0
468,0,1.0,0.0
469,0,0.99,0.01
470,0,0.99,0.01
471,0,0.99,0.01
472,0,0.99,0.01
473,0,0.99,0.01
474,0,0.99,0.01
475,0,1.0,0.0
476,0,1.0,0.0
477,0,1.0,0.0
478,0,1.0,0.0
479,0,0.99,0.01
480,0,0.99,0.01
481,0,0.99,0.01
482,0,1.0,0.0
483,0,1.0,0.0
484,0,1.0,0.0
485,0,1.0,0.0
486,0,1.0,0.0
487,0,1.0,0.0
488,0,1.0,0.0
489,0,0.99,0.01
490,0,0.99,0.01
491,0,0.99,0.01
492,0,1.0,0.0
493,0,1.0,0.0
494,0,1.0,0.0
495,0,1.0,0.0
496,0,1.0,0.0
497,0,1.0,0.0
498,0,1.0,0.0
499,0,1.0,0.0
500,0,1.0,0.0
501,0,1.0,0.0
502,0,1.0,0.0
503,0,1.0,0.0
504,0,1.0,0.0
505,0,1.0,0.0
506,0,1.0,0.0
507,0,1.0,0.0
508,0,1.0,0.0
509,0,1.0,0.0
510,0,1.0,0.0
511,0,1.0,0.0
512,0,1.0,0.0
513,0,1.0,0.0
514,0,1.0,0.0
515,0,1.0,0.0
516,0,1.0,0.0
517,0,1.0,0.0
518,0,1.0,0.0
519,0,1.0,0.0
520,0,1.0,0.0
521,0,1.0,0.0
522,0,1.0,0.0
523,0,1.0,0.0
524,0,1.0,0.0
525,0,1.0,0.0
526,0,1.0,0.0
527,0,1.0,0.0
528,0,1.0,0.0
529,0,1.0,0.0
530,0,1.0,0.0
531,0,1.0,0.0
532,0,1.0,0.0
533,0,1.0,0.0
534,0,1.0,0.0
535,0,1.0,0.0
536,0,1.0,0.0
537,0,1.0,0.0
538,0,1.0,0.0
539,0,0.98,0.02
540,0,1.0,0.0
541,0,1.0,0.0
542,0,1.0,0.0
543,0,1.0,0.0
544,0,1.0,0.0
545,0,1.0,0.0
546,0,0.97,0.03
547,0,0.94,0.06
548,0,0.91,0.09
549,0,0.92,0.08
550,0,0.95,0.05
551,0,1.0,0.0
552,0,1.0,0.0
553,0,1.0,0.0
554,0,0.99,0.01
555,0,0.99,0.01
556,0,0.97,0.03
557,0,0.94,0.06
558,0,0.98,0.02
559,0,0.98,0.02
560,0,0.95,0.05
561,0,0.95,0.05
562,0,0.96,0.04
563,0,0.98,0.02
564,0,0.96,0.04
565,0,0.98,0.02
566,0,1.0,0.0
567,0,1.0,0.0
568,0,1.0,0.0
569,0,1.0,0.0
570,0,1.0,0.0
571,0,1.0,0.0
572,0,1.0,0.0
573,0,1.0,0.0
574,0,1.0,0.0
