	importance
single	0.01575958771485513
MW_modlamp	0.013790405040384812
MoreauBrotoAuto_ResidueVol21	0.011103139976845495
PAAC8	0.010476934834766024
MoreauBrotoAuto_Steric10	0.009367289852638074
tot	0.009157825306190623
QSOSW8	0.008773019451390739
GearyAuto_Mutability21	0.008763212676921301
MoreauBrotoAuto_Hydrophobicity23	0.008246870484446266
GearyAuto_FreeEnergy23	0.0075218764917826695
MoranAuto_Polarizability23	0.007397381678226109
MoreauBrotoAuto_Steric9	0.007346702162520952
LGF	0.006825824101986472
MoreauBrotoAuto_ResidueASA21	0.006789495137280977
GearyAuto_ResidueVol21	0.006711230815113466
formulaH	0.006415384452839878
MoranAuto_FreeEnergy23	0.006202210575164887
_PolarizabilityC1	0.006170784971799338
GearyAuto_ResidueASA24	0.0057140229885089475
MoreauBrotoAuto_Polarizability22	0.005690326048573962
APAAC8	0.005586740015014897
length	0.005444047177029102
GearyAuto_AvFlexibility25	0.005334702650896678
MoreauBrotoAuto_Polarizability24	0.005275244356536628
PAAC1	0.005200864217641448
MoreauBrotoAuto_Polarizability23	0.005111226783638412
GearyAuto_FreeEnergy22	0.00494820476280316
MoreauBrotoAuto_ResidueASA1	0.004935311746960661
GearyAuto_AvFlexibility22	0.004919851536696913
hydrogen	0.004851771115064503
GearyAuto_AvFlexibility27	0.004588058413889685
tausw7	0.004267474636175843
GearyAuto_Mutability22	0.004241004976355795
FLG	0.004210242742511652
MoreauBrotoAuto_Polarizability2	0.004152127613146484
FL	0.00388580268092784
MoreauBrotoAuto_Steric24	0.0038680192584472834
MoranAuto_FreeEnergy24	0.0038446449137411703
_SolventAccessibilityD2001	0.0038441347282166115
_NormalizedVDWVD1100	0.00374519442138779
tausw5	0.0036824765466852336
MoreauBrotoAuto_ResidueASA4	0.0036705963507936237
GearyAuto_AvFlexibility23	0.003666556741080949
GearyAuto_Polarizability21	0.003647779934194301
GearyAuto_Hydrophobicity23	0.003616194785177911
GearyAuto_Polarizability23	0.0036022841624677665
formulaO	0.0035967766938719715
GearyAuto_Steric21	0.0034989777344823256
MoranAuto_Steric30	0.003475430162105984
GearyAuto_Mutability24	0.0034661504512062185
MoreauBrotoAuto_ResidueASA24	0.0034356358642458522
GearyAuto_ResidueASA21	0.0033913733916181264
GearyAuto_Polarizability28	0.003189077131171149
AGS	0.0031476233979335125
MoreauBrotoAuto_Steric12	0.0031081175376340667
MoreauBrotoAuto_ResidueVol10	0.003100961541985428
MoranAuto_Hydrophobicity24	0.003090434589222633
GearyAuto_ResidueVol24	0.002956715181803315
MoranAuto_Mutability24	0.0029451608268811482
GearyAuto_Hydrophobicity24	0.002937656891117435
GearyAuto_AvFlexibility24	0.002926878313543445
MoreauBrotoAuto_FreeEnergy25	0.0029151106574425815
_HydrophobicityD2100	0.0028658855771922253
GearyAuto_ResidueVol22	0.002804854554945229
PAAC24_x	0.0027861178023227333
_PolarizabilityC2	0.002767730756617572
_PolarityD1100	0.0027672778145330867
MoranAuto_Steric23	0.0027660218346495552
MoreauBrotoAuto_Steric11	0.0027568681722415452
MoreauBrotoAuto_Mutability21	0.0027174946129776218
MoreauBrotoAuto_Steric7	0.002686349454581105
MoranAuto_Steric22	0.00268098781002352
QSOSW1	0.002615333738330285
MoranAuto_Polarizability22	0.0025962757129829443
MoranAuto_Hydrophobicity23	0.0025749655145574373
MoreauBrotoAuto_Steric6	0.002529852313230387
GearyAuto_Mutability16	0.002522126252295841
formulaC	0.0024743484202902418
MoreauBrotoAuto_ResidueASA22	0.0024692557141123782
GearyAuto_ResidueASA22	0.0024590426617714938
tausw2	0.002440680908747663
MoranAuto_Polarizability24	0.0024131507211008806
MoranAuto_Hydrophobicity22	0.002391609156034103
TMG	0.0023813168132774637
MoranAuto_AvFlexibility24	0.0023697468133357727
GearyAuto_FreeEnergy29	0.002363886329419959
Gravy	0.0023390385447388824
MoreauBrotoAuto_FreeEnergy24	0.0023341614625507737
GearyAuto_Polarizability24	0.0023265620138726074
MoranAuto_Polarizability21	0.00229981145327037
GearyAuto_Mutability28	0.0022952649344713826
GA	0.002262981740622798
G	0.002256207009358939
GFL	0.0022351245028424233
_HydrophobicityC2	0.002221087603196201
MoreauBrotoAuto_Steric15	0.0022149185804242345
PAAC23_y	0.0022050534283950428
_HydrophobicityT23	0.0021959380063209907
APAAC1	0.002168691684113104
GearyAuto_FreeEnergy21	0.0021362999556245933
PAAC25_x	0.0021287319714043936
GearyAuto_Mutability30	0.0021256114205820374
MoreauBrotoAuto_ResidueASA5	0.002116816066270758
GearyAuto_Steric30	0.002116560481126492
GearyAuto_ResidueVol16	0.0021043300813990895
MoreauBrotoAuto_Steric5	0.002087506745839732
GearyAuto_ResidueASA30	0.002083153328293203
formulaN	0.00205191330746948
MoreauBrotoAuto_Mutability24	0.0020228586735735864
PAAC30_x	0.0020214791811031117
MoreauBrotoAuto_ResidueASA3	0.002014506238380912
GearyAuto_Hydrophobicity30	0.0020045162107086884
CFC	0.0018831238071183721
MoreauBrotoAuto_AvFlexibility21	0.001879568290750917
_PolarizabilityD2075	0.0018696853322765377
MoranAuto_Polarizability19	0.001865725796907964
MoreauBrotoAuto_ResidueASA20	0.0018581275941542883
MoreauBrotoAuto_Polarizability1	0.001847577924265475
_PolarizabilityD1100	0.001847235732663697
GearyAuto_Steric29	0.001834567352416423
global	0.001831478664849027
MoreauBrotoAuto_ResidueASA6	0.0018308127150579478
_ChargeD1075	0.001828929650587109
MoreauBrotoAuto_Mutability29	0.0018282011519716443
MoranAuto_Steric25	0.0018272841070598141
GearyAuto_ResidueASA18	0.0018179522431365823
GearyAuto_ResidueASA29	0.0018055002501134497
GearyAuto_Steric28	0.0017832177541285518
PAAC21_x	0.001757099982593793
GAA	0.001750927436826715
MoreauBrotoAuto_Hydrophobicity26	0.0017498472421375306
GearyAuto_FreeEnergy28	0.001741251254796055
MoreauBrotoAuto_Polarizability4	0.0017400169514209228
MoreauBrotoAuto_Hydrophobicity25	0.0017396428697816337
MoranAuto_ResidueASA23	0.0017310734698909186
MoranAuto_Mutability1	0.0017295752836913392
PAAC23_x	0.0017264184071391186
GearyAuto_Hydrophobicity21	0.0017226404282384357
MoranAuto_Hydrophobicity30	0.0017124482923976524
PAAC37	0.0016927214578173369
GearyAuto_AvFlexibility16	0.0016896670303636954
GearyAuto_AvFlexibility26	0.0016883656243219538
_PolarizabilityD2100	0.0016421597835035032
MoreauBrotoAuto_Hydrophobicity9	0.0016136463660025556
MoreauBrotoAuto_Polarizability9	0.001611005329676668
chargedensity	0.0016096566676852457
GearyAuto_AvFlexibility21	0.0016079715756176782
MoranAuto_AvFlexibility18	0.00160435198481495
_HydrophobicityD3075	0.0016018762201779892
PAAC28_x	0.0015880999057880276
LG	0.0015877470256639244
MoreauBrotoAuto_ResidueASA8	0.0015871254593150955
AMG	0.0015835258938610732
MoranAuto_Hydrophobicity25	0.001578725037629875
_PolarityC1	0.0015786924076765282
MoreauBrotoAuto_FreeEnergy13	0.0015727583399826352
PAAC35	0.0015720484096531653
MoranAuto_FreeEnergy25	0.0015486151570483103
MoreauBrotoAuto_ResidueASA23	0.0015346741352524934
PAAC40	0.0015295280105049418
PAAC24_y	0.0015280183071626787
GearyAuto_FreeEnergy16	0.0015203147219352755
MoreauBrotoAuto_FreeEnergy22	0.0015172084219455132
MoreauBrotoAuto_Steric3	0.0015146547005869372
GearyAuto_FreeEnergy9	0.0015110406344858763
tausw8	0.0015036189677808936
GearyAuto_Steric18	0.0014980164941620282
MoreauBrotoAuto_Steric14	0.0014959535652854755
GearyAuto_Hydrophobicity28	0.0014862572675038927
MoreauBrotoAuto_Steric4	0.0014817040040549475
MoreauBrotoAuto_ResidueASA9	0.0014755357567403395
GearyAuto_Polarizability26	0.0014641685237839152
MoreauBrotoAuto_ResidueVol12	0.0014532886790008862
autocorr_6	0.0014432443516266436
PAAC21_y	0.0014413284134821773
MoreauBrotoAuto_Hydrophobicity2	0.0014199232287337696
MoranAuto_ResidueVol9	0.00141147447552992
TAG	0.0013995765508542483
MoreauBrotoAuto_ResidueASA14	0.0013943855482517961
Instability_index	0.0013939890256331668
MoreauBrotoAuto_Polarizability16	0.0013854109837566654
GearyAuto_Hydrophobicity29	0.0013756367638930826
GC	0.0013700166000636782
GearyAuto_Polarizability18	0.0013685785589126927
_PolarizabilityT13	0.0013638346314162897
MoreauBrotoAuto_AvFlexibility15	0.0013634359766582567
MG	0.001360303702980557
MoreauBrotoAuto_Polarizability5	0.0013592215710847215
MGA	0.0013458160136819483
MoreauBrotoAuto_Steric16	0.0013360648300592864
GearyAuto_ResidueVol26	0.0013329964639805564
MoranAuto_Hydrophobicity27	0.001332014392612097
MoreauBrotoAuto_Hydrophobicity21	0.001326685195942788
MoreauBrotoAuto_ResidueVol8	0.0013265224194453217
AG	0.0013186547087567853
APAAC16	0.0013155861087048616
MoreauBrotoAuto_Steric21	0.0013089101467402488
_PolarityD3075	0.0013053858570902662
_HydrophobicityD3100	0.0012996108034715708
MoranAuto_FreeEnergy26	0.001296197673288897
GearyAuto_AvFlexibility13	0.0012913754979960905
MoreauBrotoAuto_ResidueVol6	0.0012897448738042928
GearyAuto_Mutability18	0.0012692700790059134
GearyAuto_Steric24	0.0012632535871284732
PAAC22_x	0.0012619324722144437
MoreauBrotoAuto_Polarizability28	0.001251154006121936
MoreauBrotoAuto_ResidueVol24	0.001250283891065546
tausw10	0.0012442776005003454
MoreauBrotoAuto_Polarizability21	0.0012311748999314072
_SolventAccessibilityD3050	0.0012116512720922658
MoranAuto_FreeEnergy27	0.0012062377732023702
GearyAuto_Steric16	0.0012031722519936278
MoreauBrotoAuto_FreeEnergy2	0.0011946890899609882
MoreauBrotoAuto_Hydrophobicity5	0.001184263851287067
MoreauBrotoAuto_FreeEnergy14	0.0011833196064864754
_SolventAccessibilityD3075	0.001183098275887638
MoranAuto_FreeEnergy9	0.0011800576665745724
MoreauBrotoAuto_Steric13	0.0011747613861574871
_PolarityD1075	0.0011720617483549603
MoranAuto_Hydrophobicity21	0.0011706976858736305
MoranAuto_Polarizability12	0.0011642820512734534
_HydrophobicityC3	0.0011610154663170835
_PolarizabilityD1001	0.0011604361807970144
GearyAuto_Mutability19	0.0011462938826673989
GearyAuto_Steric26	0.0011429259612075237
PAAC22_y	0.0011393491380843057
_NormalizedVDWVT12	0.0011356454327078093
GearyAuto_Hydrophobicity15	0.0011304821296550297
MoreauBrotoAuto_Mutability28	0.001121897881977083
GearyAuto_ResidueASA17	0.001115041436950953
MoreauBrotoAuto_AvFlexibility30	0.0011092671083131082
Aromacity	0.0011088840771723985
_PolarityC3	0.001108688365636088
MoranAuto_ResidueASA21	0.0010994135678823304
GearyAuto_Polarizability14	0.0010974968453522115
MoreauBrotoAuto_ResidueASA10	0.0010854844261555003
autocorr_4	0.0010788758333306692
GearyAuto_Mutability11	0.0010642952891627704
YP	0.001063922493391054
MoreauBrotoAuto_ResidueVol1	0.0010623226628093418
MoranAuto_Mutability7	0.0010611151366979935
MoreauBrotoAuto_Hydrophobicity3	0.001060595923770983
_SolventAccessibilityD2025	0.0010550912060934448
GST	0.0010534244634668227
_SolventAccessibilityD2050	0.0010507739974404526
MoranAuto_Hydrophobicity10	0.001049794697219271
MoranAuto_Mutability21	0.001048325294791887
_SecondaryStrD3050	0.001046001490626479
FMW	0.0010458080628850204
tausw3	0.0010291435344255873
MoranAuto_ResidueVol21	0.0010248739358858939
_PolarizabilityD2050	0.0010212462676935318
bomanindex	0.0010146482630119023
MoreauBrotoAuto_FreeEnergy15	0.0010121146410567484
_SolventAccessibilityC1	0.0010094059699611339
_NormalizedVDWVC2	0.0010078327869848113
APAAC7	0.0009977150960117792
MoranAuto_ResidueASA9	0.000993627582936876
MoreauBrotoAuto_ResidueVol15	0.0009896172986296578
MoranAuto_FreeEnergy21	0.0009850021695238496
MoreauBrotoAuto_FreeEnergy21	0.0009841034436176132
MoranAuto_AvFlexibility1	0.0009831382887514992
GearyAuto_Polarizability10	0.0009720835854113397
MoranAuto_FreeEnergy1	0.0009705439302969754
_ChargeD3075	0.0009634856612446359
WRL	0.0009632873579882603
MoreauBrotoAuto_Polarizability11	0.0009596998313006283
_ChargeT12	0.0009475109226734518
_ChargeC3	0.0009469201631342015
GearyAuto_Mutability23	0.0009459585030711044
GearyAuto_Steric1	0.0009408283314906959
MoranAuto_Polarizability1	0.0009349479697787865
MoreauBrotoAuto_AvFlexibility8	0.0009345011493630674
autocorr_2	0.0009286954541651774
MoranAuto_Hydrophobicity18	0.0009286223473637204
MoreauBrotoAuto_Mutability23	0.0009284285894140591
PAAC26_x	0.0009281544685264911
GearyAuto_ResidueASA19	0.0009272804584661343
GearyAuto_Hydrophobicity22	0.0009212207525359255
AYC	0.0009202238415203027
MoreauBrotoAuto_ResidueASA7	0.0009186017277107513
MoranAuto_Steric17	0.0009164329941228717
MoreauBrotoAuto_FreeEnergy12	0.0009142200800070233
GL	0.0009137695753398489
MoreauBrotoAuto_Polarizability18	0.0009135705257295478
GearyAuto_Steric13	0.0009109069904413387
MoranAuto_Polarizability9	0.0009049122515143304
SecStruct_helix	0.0009047245191710252
GearyAuto_FreeEnergy14	0.0009024299683459967
FG	0.0009016819256161497
_PolarizabilityT12	0.0009012573230472138
GearyAuto_Hydrophobicity11	0.0008979763309314403
MoreauBrotoAuto_Steric8	0.0008952661979279818
