,class predicted,prob_class_0,prob_class_1
0,0,0.9,0.1
1,0,0.91,0.09
2,0,0.96,0.04
3,0,0.95,0.05
4,0,0.9,0.1
5,0,0.8,0.2
6,0,0.82,0.18
7,0,0.75,0.25
8,0,0.76,0.24
9,0,0.78,0.22
10,0,0.76,0.24
11,0,0.81,0.19
12,0,0.83,0.17
13,0,0.91,0.09
14,0,0.94,0.06
15,0,0.9,0.1
16,0,0.94,0.06
17,0,0.91,0.09
18,0,0.84,0.16
19,0,0.86,0.14
20,0,0.89,0.11
21,0,0.86,0.14
22,0,0.84,0.16
23,0,0.84,0.16
24,0,0.83,0.17
25,0,0.81,0.19
26,0,0.82,0.18
27,0,0.79,0.21
28,0,0.8,0.2
29,0,0.79,0.21
30,0,0.86,0.14
31,0,0.86,0.14
32,0,0.85,0.15
33,0,0.87,0.13
34,0,0.85,0.15
35,0,0.82,0.18
36,0,0.78,0.22
37,0,0.82,0.18
38,0,0.87,0.13
39,0,0.86,0.14
40,0,0.83,0.17
41,0,0.87,0.13
42,0,0.96,0.04
43,0,0.92,0.08
44,0,0.95,0.05
45,0,0.95,0.05
46,0,0.97,0.03
47,0,0.92,0.08
48,0,0.95,0.05
49,0,0.94,0.06
50,0,0.91,0.09
51,0,0.88,0.12
52,0,0.82,0.18
53,0,0.81,0.19
54,0,0.87,0.13
55,0,0.92,0.08
56,0,0.93,0.07
57,0,0.85,0.15
58,0,0.87,0.13
59,0,0.8,0.2
60,0,0.81,0.19
61,0,0.8,0.2
62,0,0.75,0.25
63,0,0.78,0.22
64,0,0.76,0.24
65,0,0.8,0.2
66,0,0.83,0.17
67,0,0.82,0.18
68,0,0.86,0.14
69,0,0.71,0.29
70,0,0.74,0.26
71,0,0.77,0.23
72,0,0.73,0.27
73,0,0.71,0.29
74,0,0.76,0.24
75,0,0.73,0.27
76,0,0.79,0.21
77,0,0.8,0.2
78,0,0.76,0.24
79,0,0.81,0.19
80,0,0.8,0.2
81,0,0.76,0.24
82,0,0.77,0.23
83,0,0.74,0.26
84,0,0.69,0.31
85,0,0.75,0.25
86,0,0.82,0.18
87,0,0.83,0.17
88,0,0.87,0.13
89,0,0.89,0.11
90,0,0.89,0.11
91,0,0.94,0.06
92,0,0.91,0.09
93,0,0.93,0.07
94,0,0.89,0.11
95,0,0.9,0.1
96,0,0.94,0.06
97,0,0.94,0.06
98,0,0.93,0.07
99,0,0.89,0.11
100,0,0.95,0.05
101,0,0.93,0.07
102,0,0.9,0.1
103,0,0.91,0.09
104,0,0.9,0.1
105,0,0.92,0.08
106,0,0.92,0.08
107,0,0.91,0.09
108,0,0.88,0.12
109,0,0.85,0.15
110,0,0.81,0.19
111,0,0.82,0.18
112,0,0.86,0.14
113,0,0.75,0.25
114,0,0.73,0.27
115,0,0.64,0.36
116,0,0.71,0.29
117,0,0.68,0.32
118,0,0.74,0.26
119,0,0.72,0.28
120,0,0.74,0.26
121,0,0.74,0.26
122,0,0.71,0.29
123,0,0.62,0.38
124,0,0.74,0.26
125,0,0.76,0.24
126,0,0.7,0.3
127,0,0.76,0.24
128,0,0.76,0.24
129,0,0.78,0.22
130,0,0.77,0.23
131,0,0.85,0.15
132,0,0.8,0.2
133,0,0.8,0.2
134,0,0.83,0.17
135,0,0.83,0.17
136,0,0.92,0.08
137,0,0.91,0.09
138,0,0.89,0.11
139,0,0.92,0.08
140,0,0.92,0.08
141,0,0.93,0.07
142,0,0.88,0.12
143,0,0.92,0.08
144,0,0.9,0.1
145,0,0.86,0.14
146,0,0.89,0.11
147,0,0.87,0.13
148,0,0.86,0.14
