	importance
_HydrophobicityC2	0.03314922428791378
APAAC8	0.021938541494740185
_HydrophobicityD2100	0.0185853479778363
_PolarizabilityC1	0.01584357777388683
MW_modlamp	0.014055299740534372
PAAC8	0.013531966367216436
_PolarizabilityD1100	0.013101820025426257
MoreauBrotoAuto_ResidueASA21	0.012214088494198621
_NormalizedVDWVC1	0.012208656631048342
GA	0.01195656002260391
single	0.010693498058165343
GearyAuto_ResidueVol22	0.010147952685927233
_PolarizabilityD1075	0.009860452552337876
_PolarizabilityC2	0.009362209894251385
tot	0.009115612248109993
PAAC40	0.00819799714764732
_NormalizedVDWVD2100	0.007731873171356206
_HydrophobicityC3	0.007665468318881084
_HydrophobicityD2075	0.007107190853965475
MoreauBrotoAuto_ResidueASA4	0.007104112830741074
_NormalizedVDWVD1075	0.006900822030786002
MoreauBrotoAuto_ResidueASA5	0.006817548239259821
GearyAuto_Hydrophobicity21	0.0067501699863384244
_PolarityD1100	0.006588439143592893
_PolarityC1	0.006485536597659316
MoreauBrotoAuto_Steric10	0.006413269509225361
_PolarizabilityD2100	0.006344640628370408
_SolventAccessibilityD1075	0.006220539356433217
_HydrophobicityD3100	0.006096589302650463
hydrogen	0.005874865018818431
formulaH	0.005490809365224944
autocorr_0	0.00534610603904938
PAAC26_y	0.0052639506789061265
SecStruct_helix	0.0051424045149850986
MoreauBrotoAuto_Polarizability5	0.005093644121925897
MoreauBrotoAuto_ResidueASA22	0.005055900060631152
MoreauBrotoAuto_ResidueASA6	0.004978870730299052
_PolarizabilityD1050	0.004967972675523048
MoreauBrotoAuto_Steric11	0.004904502458656488
AG	0.004888560635130244
MoreauBrotoAuto_Steric12	0.00479418130312707
GearyAuto_Polarizability22	0.004677042620734239
_NormalizedVDWVD1050	0.004533403510345831
GearyAuto_ResidueASA22	0.0045211430153756045
_HydrophobicityT23	0.004492024787736362
PAAC24_x	0.004481381091612372
GearyAuto_ResidueASA23	0.004379547565337751
PAAC34	0.004271768762442169
MoreauBrotoAuto_Polarizability2	0.0042072773296747005
MoreauBrotoAuto_ResidueASA3	0.003988882854441493
MoreauBrotoAuto_Polarizability21	0.0038401821495523164
QSOSW8	0.0037680381384088317
_SecondaryStrC3	0.0037144618145387477
GearyAuto_Mutability22	0.003709650765905689
MoreauBrotoAuto_Polarizability23	0.003500052040831469
Instability_index	0.003473403350550295
_NormalizedVDWVD1001	0.003367502718485268
_SolventAccessibilityC1	0.003344155364984608
MoreauBrotoAuto_ResidueASA2	0.003327248193060438
MoreauBrotoAuto_FreeEnergy21	0.0032075824594287867
PAAC39	0.0031726145606340976
_ChargeD2001	0.0031586704589507014
MoranAuto_Hydrophobicity23	0.0031098338846452145
MoranAuto_Steric22	0.0030806625012361442
GearyAuto_FreeEnergy19	0.0030781098001826357
autocorr_6	0.0030376401878115388
PAAC1	0.0030187467884516513
formulaC	0.0029868032079267254
GearyAuto_Polarizability23	0.0029406704240334965
_SolventAccessibilityD1001	0.0029392811949597334
MoreauBrotoAuto_Steric9	0.0028343154498123757
_SecondaryStrC2	0.0028286433018898318
MoreauBrotoAuto_Hydrophobicity2	0.0028071617327117904
formulaN	0.002733042346140974
aliphatic_index	0.0027296800492236386
_SecondaryStrT13	0.0027265779148836606
MoranAuto_FreeEnergy6	0.002675045573886752
GearyAuto_Polarizability17	0.0026640552428403414
_PolarizabilityD1001	0.0026613127652708236
PAAC31	0.0026608197983733974
_SolventAccessibilityD1100	0.00263998415178915
GearyAuto_Hydrophobicity22	0.0026369854431990696
GearyAuto_FreeEnergy23	0.0026327851080789654
GearyAuto_ResidueVol24	0.002615114507458535
MoreauBrotoAuto_ResidueASA7	0.0025613165882932333
_NormalizedVDWVD1100	0.0025596102940634285
MoreauBrotoAuto_ResidueASA20	0.002522276589356637
arc_2	0.002474643481845541
GearyAuto_ResidueASA21	0.0024552740999390604
GearyAuto_Mutability1	0.002443983344235229
length	0.002438289789343694
MoreauBrotoAuto_Steric4	0.002431184429569477
GearyAuto_Steric18	0.0024201363758722468
PAAC32	0.002409087069160507
GearyAuto_ResidueASA20	0.002403131201844149
GearyAuto_Polarizability18	0.0023735735637151444
MoreauBrotoAuto_AvFlexibility1	0.00236889855608737
_ChargeT23	0.0022872362518863865
MoreauBrotoAuto_Steric14	0.0022844678749587284
MoreauBrotoAuto_Polarizability14	0.0022840854576559647
PAAC27_x	0.002283168012262286
MoranAuto_ResidueVol4	0.0022568727643918728
GearyAuto_AvFlexibility21	0.002250137141531089
PAAC36	0.002245444248892206
GearyAuto_AvFlexibility22	0.0022184913770474813
MoranAuto_Polarizability23	0.0022042328104025207
PAAC38	0.002184323269949691
GearyAuto_AvFlexibility24	0.0021734693877551036
MoreauBrotoAuto_AvFlexibility2	0.0021469489883525
GearyAuto_Steric17	0.0021456430304023794
MoreauBrotoAuto_Hydrophobicity10	0.002135256871146128
QSOSW14	0.0020922032928706
GearyAuto_AvFlexibility16	0.0020753012978768476
MoreauBrotoAuto_Steric7	0.002042675417403501
MoreauBrotoAuto_Steric13	0.0020205876541109884
MoreauBrotoAuto_Polarizability7	0.0020165625629661233
MoreauBrotoAuto_Hydrophobicity1	0.00199287680587279
