,class predicted,prob_class_0,prob_class_1
0,1,0.3,0.7
1,1,0.33,0.67
2,1,0.42,0.58
3,0,0.51,0.49
4,1,0.48,0.52
5,0,0.51,0.49
6,0,0.62,0.38
7,0,0.58,0.42
8,0,0.59,0.41
9,0,0.55,0.45
10,0,0.67,0.33
11,0,0.65,0.35
12,0,0.71,0.29
13,0,0.79,0.21
14,0,0.71,0.29
15,0,0.66,0.34
16,0,0.7,0.3
17,0,0.59,0.41
18,0,0.69,0.31
19,0,0.68,0.32
20,0,0.76,0.24
21,0,0.8,0.2
22,0,0.81,0.19
23,0,0.92,0.08
24,0,0.93,0.07
25,0,0.96,0.04
26,0,0.91,0.09
27,0,0.94,0.06
28,0,0.95,0.05
29,0,0.88,0.12
30,0,0.96,0.04
31,0,0.93,0.07
32,0,0.96,0.04
33,0,0.95,0.05
34,0,0.96,0.04
35,0,0.96,0.04
36,0,0.97,0.03
37,0,0.97,0.03
38,0,0.94,0.06
39,0,0.97,0.03
40,0,0.94,0.06
41,0,0.96,0.04
42,0,0.94,0.06
43,0,0.96,0.04
44,0,0.93,0.07
45,0,0.95,0.05
46,0,0.94,0.06
47,0,0.95,0.05
48,0,0.96,0.04
49,0,0.96,0.04
50,0,0.98,0.02
51,0,0.96,0.04
52,0,0.94,0.06
53,0,0.96,0.04
54,0,0.92,0.08
55,0,0.95,0.05
56,0,0.93,0.07
57,0,0.93,0.07
58,0,0.92,0.08
59,0,0.89,0.11
60,0,0.92,0.08
61,0,0.92,0.08
62,0,0.97,0.03
63,0,0.97,0.03
64,0,0.94,0.06
65,0,0.94,0.06
66,0,0.91,0.09
67,0,0.93,0.07
68,0,0.91,0.09
69,0,0.94,0.06
70,0,0.9,0.1
71,0,0.89,0.11
72,0,0.94,0.06
73,0,0.92,0.08
74,0,0.91,0.09
75,0,0.88,0.12
76,0,0.84,0.16
77,0,0.84,0.16
78,0,0.84,0.16
79,0,0.86,0.14
80,0,0.82,0.18
81,0,0.64,0.36
82,0,0.74,0.26
83,0,0.73,0.27
84,0,0.75,0.25
85,0,0.75,0.25
86,0,0.89,0.11
87,0,0.83,0.17
88,0,0.92,0.08
89,0,0.94,0.06
90,0,0.96,0.04
91,0,0.91,0.09
92,0,0.91,0.09
93,0,0.87,0.13
94,0,0.91,0.09
95,0,0.93,0.07
96,0,0.9,0.1
97,0,0.94,0.06
98,0,0.89,0.11
99,0,0.92,0.08
100,0,0.9,0.1
101,0,0.9,0.1
102,0,0.93,0.07
103,0,0.93,0.07
104,0,0.92,0.08
105,0,0.9,0.1
106,0,0.92,0.08
107,0,0.96,0.04
108,0,0.96,0.04
109,0,0.94,0.06
110,0,0.92,0.08
111,0,0.98,0.02
112,0,0.96,0.04
113,0,0.96,0.04
114,0,0.95,0.05
115,0,0.96,0.04
116,0,0.95,0.05
117,0,0.97,0.03
118,0,0.94,0.06
119,0,0.95,0.05
120,0,0.94,0.06
121,0,0.95,0.05
122,0,0.94,0.06
123,0,0.97,0.03
124,0,0.97,0.03
125,0,0.93,0.07
126,0,0.95,0.05
127,0,0.95,0.05
128,0,0.97,0.03
129,0,0.96,0.04
130,0,0.93,0.07
131,0,0.93,0.07
132,0,0.93,0.07
133,0,0.88,0.12
134,0,0.9,0.1
135,0,0.86,0.14
136,0,0.9,0.1
137,0,0.94,0.06
138,0,0.95,0.05
139,0,0.93,0.07
140,0,0.98,0.02
141,0,0.96,0.04
142,0,0.94,0.06
143,0,0.97,0.03
144,0,0.98,0.02
145,0,0.98,0.02
146,0,0.95,0.05
147,0,0.93,0.07
148,0,0.95,0.05
149,0,0.93,0.07
150,0,0.95,0.05
151,0,0.92,0.08
152,0,0.94,0.06
153,0,0.86,0.14
154,0,0.96,0.04
155,0,0.9,0.1
156,0,0.95,0.05
157,0,0.99,0.01
158,0,0.98,0.02
159,0,0.95,0.05
160,0,0.93,0.07
161,0,0.93,0.07
162,0,0.87,0.13
163,0,0.9,0.1
164,0,0.85,0.15
165,0,0.88,0.12
166,0,0.87,0.13
167,0,0.84,0.16
168,0,0.85,0.15
169,0,0.89,0.11
170,0,0.88,0.12
171,0,0.88,0.12
172,0,0.91,0.09
173,0,0.89,0.11
174,0,0.88,0.12
175,0,0.88,0.12
176,0,0.87,0.13
177,0,0.85,0.15
178,0,0.83,0.17
179,0,0.82,0.18
180,0,0.91,0.09
181,0,0.86,0.14
182,0,0.92,0.08
183,0,0.95,0.05
184,0,0.9,0.1
185,0,0.94,0.06
186,0,0.93,0.07
187,0,0.89,0.11
188,0,0.92,0.08
189,0,0.92,0.08
190,0,0.91,0.09
191,0,0.85,0.15
192,0,0.96,0.04
193,0,0.89,0.11
194,0,0.82,0.18
195,0,0.82,0.18
196,0,0.87,0.13
197,0,0.74,0.26
198,0,0.79,0.21
199,0,0.84,0.16
200,0,0.89,0.11
201,0,0.85,0.15
202,0,0.86,0.14
203,0,0.84,0.16
204,0,0.78,0.22
205,0,0.76,0.24
206,0,0.76,0.24
207,0,0.73,0.27
208,0,0.79,0.21
209,0,0.7,0.3
210,0,0.76,0.24
211,0,0.77,0.23
212,0,0.76,0.24
213,0,0.72,0.28
214,0,0.71,0.29
215,0,0.83,0.17
216,0,0.82,0.18
217,0,0.8,0.2
218,0,0.82,0.18
219,0,0.76,0.24
220,0,0.74,0.26
221,0,0.78,0.22
222,0,0.75,0.25
223,0,0.71,0.29
224,0,0.71,0.29
225,0,0.85,0.15
226,0,0.87,0.13
227,0,0.81,0.19
228,0,0.86,0.14
229,0,0.78,0.22
230,0,0.78,0.22
231,0,0.85,0.15
232,0,0.91,0.09
233,0,0.89,0.11
234,0,0.93,0.07
235,0,0.94,0.06
236,0,0.91,0.09
237,0,0.91,0.09
238,0,0.88,0.12
239,0,0.91,0.09
240,0,0.93,0.07
241,0,0.94,0.06
242,0,0.93,0.07
243,0,0.94,0.06
244,0,0.91,0.09
245,0,0.92,0.08
246,0,0.94,0.06
247,0,0.98,0.02
248,0,0.98,0.02
249,0,0.96,0.04
250,0,0.98,0.02
251,0,0.95,0.05
252,0,0.9,0.1
253,0,0.86,0.14
254,0,0.81,0.19
255,0,0.85,0.15
256,0,0.89,0.11
257,0,0.93,0.07
258,0,0.88,0.12
259,0,0.87,0.13
260,0,0.85,0.15
261,0,0.86,0.14
262,0,0.87,0.13
263,0,0.84,0.16
264,0,0.84,0.16
265,0,0.87,0.13
266,0,0.89,0.11
267,0,0.85,0.15
268,0,0.86,0.14
269,0,0.84,0.16
270,0,0.88,0.12
271,0,0.82,0.18
272,0,0.85,0.15
273,0,0.85,0.15
274,0,0.95,0.05
275,0,0.93,0.07
276,0,0.89,0.11
277,0,0.83,0.17
278,0,0.95,0.05
279,0,0.88,0.12
280,0,0.84,0.16
