,class predicted,prob_class_0,prob_class_1
0,0,0.91,0.09
1,0,0.98,0.02
2,0,0.99,0.01
3,0,0.99,0.01
4,0,0.99,0.01
5,0,0.98,0.02
6,0,1.0,0.0
7,0,0.97,0.03
8,0,1.0,0.0
9,0,0.99,0.01
10,0,0.98,0.02
11,0,0.98,0.02
12,0,0.99,0.01
13,0,0.97,0.03
14,0,0.98,0.02
15,0,0.98,0.02
16,0,0.98,0.02
17,0,0.97,0.03
18,0,0.97,0.03
19,0,0.97,0.03
20,0,1.0,0.0
21,0,1.0,0.0
22,0,1.0,0.0
23,0,0.98,0.02
24,0,0.97,0.03
25,0,0.98,0.02
26,0,0.99,0.01
27,0,0.99,0.01
28,0,1.0,0.0
29,0,1.0,0.0
30,0,1.0,0.0
31,0,1.0,0.0
32,0,1.0,0.0
33,0,1.0,0.0
34,0,1.0,0.0
35,0,1.0,0.0
36,0,1.0,0.0
37,0,1.0,0.0
38,0,1.0,0.0
39,0,1.0,0.0
40,0,1.0,0.0
41,0,1.0,0.0
42,0,1.0,0.0
43,0,1.0,0.0
44,0,1.0,0.0
45,0,1.0,0.0
46,0,1.0,0.0
47,0,1.0,0.0
48,0,1.0,0.0
49,0,0.99,0.01
50,0,1.0,0.0
51,0,1.0,0.0
52,0,1.0,0.0
53,0,1.0,0.0
54,0,1.0,0.0
55,0,1.0,0.0
56,0,1.0,0.0
57,0,0.99,0.01
58,0,1.0,0.0
59,0,1.0,0.0
60,0,1.0,0.0
61,0,1.0,0.0
62,0,1.0,0.0
63,0,1.0,0.0
64,0,1.0,0.0
65,0,0.99,0.01
66,0,1.0,0.0
67,0,1.0,0.0
68,0,1.0,0.0
69,0,1.0,0.0
70,0,1.0,0.0
71,0,1.0,0.0
72,0,1.0,0.0
73,0,1.0,0.0
74,0,1.0,0.0
75,0,1.0,0.0
76,0,1.0,0.0
77,0,1.0,0.0
78,0,1.0,0.0
79,0,1.0,0.0
80,0,1.0,0.0
81,0,1.0,0.0
82,0,1.0,0.0
83,0,1.0,0.0
84,0,1.0,0.0
85,0,1.0,0.0
86,0,1.0,0.0
87,0,1.0,0.0
88,0,1.0,0.0
89,0,1.0,0.0
90,0,1.0,0.0
91,0,1.0,0.0
92,0,1.0,0.0
93,0,1.0,0.0
94,0,0.99,0.01
95,0,1.0,0.0
96,0,0.98,0.02
97,0,0.99,0.01
98,0,0.97,0.03
99,0,0.98,0.02
100,0,0.96,0.04
101,0,0.96,0.04
102,0,0.96,0.04
103,0,0.96,0.04
104,0,0.99,0.01
105,0,0.98,0.02
106,0,0.97,0.03
107,0,0.99,0.01
108,0,0.99,0.01
109,0,0.99,0.01
110,0,0.99,0.01
111,0,0.99,0.01
112,0,0.98,0.02
113,0,1.0,0.0
114,0,1.0,0.0
115,0,1.0,0.0
116,0,1.0,0.0
117,0,1.0,0.0
118,0,1.0,0.0
119,0,1.0,0.0
120,0,1.0,0.0
121,0,1.0,0.0
122,0,1.0,0.0
123,0,1.0,0.0
124,0,0.98,0.02
125,0,0.98,0.02
126,0,0.99,0.01
127,0,0.95,0.05
128,0,0.98,0.02
129,0,0.97,0.03
130,0,0.98,0.02
131,0,0.98,0.02
132,0,1.0,0.0
133,0,1.0,0.0
134,0,1.0,0.0
135,0,1.0,0.0
136,0,0.99,0.01
137,0,0.99,0.01
138,0,0.99,0.01
139,0,1.0,0.0
140,0,1.0,0.0
141,0,1.0,0.0
142,0,1.0,0.0
143,0,0.99,0.01
144,0,1.0,0.0
145,0,1.0,0.0
146,0,1.0,0.0
147,0,1.0,0.0
148,0,1.0,0.0
149,0,1.0,0.0
150,0,1.0,0.0
151,0,1.0,0.0
152,0,1.0,0.0
153,0,1.0,0.0
154,0,1.0,0.0
155,0,1.0,0.0
156,0,1.0,0.0
157,0,1.0,0.0
158,0,1.0,0.0
159,0,0.99,0.01
160,0,1.0,0.0
161,0,0.99,0.01
162,0,1.0,0.0
163,0,1.0,0.0
164,0,0.99,0.01
165,0,1.0,0.0
166,0,0.98,0.02
167,0,1.0,0.0
168,0,0.99,0.01
169,0,0.97,0.03
170,0,0.99,0.01
171,0,0.98,0.02
172,0,1.0,0.0
173,0,1.0,0.0
174,0,1.0,0.0
175,0,1.0,0.0
176,0,0.98,0.02
177,0,0.96,0.04
178,0,0.99,0.01
179,0,0.98,0.02
180,0,0.98,0.02
181,0,0.99,0.01
182,0,1.0,0.0
183,0,0.98,0.02
184,0,1.0,0.0
185,0,0.97,0.03
186,0,0.98,0.02
187,0,0.94,0.06
188,0,0.8,0.2
189,0,0.88,0.12
190,0,0.92,0.08
191,0,0.93,0.07
192,0,0.91,0.09
193,0,0.93,0.07
194,0,0.94,0.06
195,0,0.93,0.07
196,0,0.97,0.03
197,0,0.94,0.06
198,0,0.99,0.01
199,0,0.95,0.05
200,0,0.95,0.05
201,0,0.95,0.05
202,0,0.97,0.03
203,0,0.94,0.06
204,0,0.98,0.02
205,0,0.98,0.02
206,0,0.94,0.06
207,0,0.99,0.01
208,0,0.98,0.02
209,0,0.98,0.02
210,0,0.97,0.03
211,0,1.0,0.0
212,0,1.0,0.0
213,0,1.0,0.0
214,0,0.99,0.01
215,0,0.99,0.01
216,0,1.0,0.0
217,0,0.99,0.01
218,0,0.98,0.02
219,0,0.99,0.01
220,0,1.0,0.0
221,0,1.0,0.0
222,0,1.0,0.0
223,0,1.0,0.0
224,0,1.0,0.0
225,0,1.0,0.0
226,0,1.0,0.0
227,0,1.0,0.0
228,0,1.0,0.0
229,0,1.0,0.0
230,0,1.0,0.0
231,0,1.0,0.0
232,0,1.0,0.0
233,0,1.0,0.0
234,0,1.0,0.0
235,0,1.0,0.0
236,0,1.0,0.0
237,0,1.0,0.0
238,0,0.99,0.01
239,0,0.99,0.01
240,0,0.98,0.02
241,0,0.99,0.01
242,0,0.99,0.01
243,0,0.96,0.04
244,0,0.95,0.05
245,0,1.0,0.0
246,0,1.0,0.0
247,0,1.0,0.0
248,0,0.99,0.01
249,0,1.0,0.0
250,0,1.0,0.0
251,0,0.99,0.01
