	importance
_SolventAccessibilityD1100	0.013655813249618993
_SolventAccessibilityC1	0.01223983502055122
_PolarizabilityC1	0.011678840790138798
PAAC8	0.009992125714380866
_NormalizedVDWVC1	0.009347758885952134
APAAC8	0.009073698451918999
_ChargeD2001	0.008886905106927977
G	0.00861988823376268
_SolventAccessibilityD1001	0.00857340108667849
QSOSW8	0.00812014378405656
_HydrophobicityT23	0.007904494583436754
tot	0.00744650178849377
GearyAuto_Steric21	0.007406120782749024
length	0.0072101154445959915
_HydrophobicityC2	0.006901294524815341
_SolventAccessibilityC2	0.006785031593486876
_SolventAccessibilityD1075	0.006540300868765357
single	0.006481036865682727
MoreauBrotoAuto_ResidueASA3	0.006411086496342598
_ChargeC2	0.006197623058035433
_HydrophobicityD2100	0.006043272837424758
MW_modlamp	0.005979186602438976
_PolarizabilityD1100	0.005949032251572224
_ChargeC1	0.005784675335856932
_ChargeT12	0.005396071277432762
_PolarityC2	0.005305578657952525
_PolarizabilityC2	0.005176110292622594
MoreauBrotoAuto_ResidueASA1	0.00504945825981711
_NormalizedVDWVD1100	0.004934756198260435
PAAC1	0.004791218561002553
GearyAuto_ResidueVol22	0.004693823391393523
QSOSW14	0.004610047840207691
GearyAuto_Steric22	0.004604576054816611
GearyAuto_Polarizability22	0.004554482705953317
GearyAuto_Mutability21	0.004529219549236359
hydrogen	0.004491630275268554
bomanindex	0.0043941418042923374
GearyAuto_Hydrophobicity21	0.004376792581421475
PAAC25_x	0.0043535647880928756
PAAC14	0.004351017884095469
arc_2	0.004347418495847655
formulaC	0.004312201879447361
GearyAuto_ResidueVol21	0.004163795133661173
formulaO	0.004154517586277491
autocorr_1	0.004069518672261182
GearyAuto_AvFlexibility21	0.004012906426442032
GearyAuto_Polarizability21	0.003940059143608921
MoreauBrotoAuto_Polarizability2	0.003938337755462801
MoreauBrotoAuto_ResidueASA2	0.0038985014487717354
_ChargeD2100	0.0038890842773565064
global	0.003888512211866896
MoreauBrotoAuto_ResidueASA4	0.0038612195142731297
_PolarityC3	0.003856913716963695
QSOSW1	0.0036744279283143976
GearyAuto_ResidueASA22	0.0036543622858696183
GearyAuto_FreeEnergy22	0.0036323865218903526
MoreauBrotoAuto_Polarizability1	0.0036078017776867044
MoreauBrotoAuto_Polarizability3	0.003559240441376044
_ChargeT23	0.0035354948258231583
MoreauBrotoAuto_ResidueASA5	0.003529836233222165
GearyAuto_Hydrophobicity22	0.0035192381188646686
A	0.003479826091480605
AG	0.003457743586715571
_HydrophobicityT13	0.0034419482559830024
PAAC23_x	0.003386069452938434
PAAC21_y	0.0033850200752646733
_ChargeD2075	0.0033034797701520205
GearyAuto_FreeEnergy23	0.003265605331301577
_ChargeC3	0.0032421614135896546
SecStruct_helix	0.0032254055457735173
_HydrophobicityT12	0.0032083482567159026
_PolarityC1	0.003111245497658899
PAAC33	0.0030998001208102865
formulaH	0.003099345846672475
MoreauBrotoAuto_ResidueASA21	0.0030907728501448337
_PolarizabilityD2100	0.003077403844596924
autocorr_5	0.003026588158955197
GearyAuto_FreeEnergy21	0.003024545894164214
PAAC29_y	0.0030068611013801413
autocorr_2	0.002980357307537323
_NormalizedVDWVD1075	0.0029711110214332365
GearyAuto_Mutability18	0.002969892094630229
_PolarityD1100	0.0029596136023076576
tausw2	0.002942630802843655
GA	0.002894915912376958
GearyAuto_FreeEnergy19	0.0028735838261370016
PAAC31	0.002867528855540481
tausw5	0.002862554289527205
GearyAuto_ResidueASA21	0.0028579496761745693
_HydrophobicityD2075	0.002846292095103102
GearyAuto_Mutability22	0.0027921829092011218
PAAC23_y	0.002776317334310873
GearyAuto_AvFlexibility22	0.0027713065875517736
Gravy	0.002683691459157322
_PolarityT13	0.0026547100269934693
MoreauBrotoAuto_Steric10	0.0026071981839004784
GearyAuto_ResidueVol24	0.002598604361886106
PAAC24_x	0.0025581580146363477
PAAC30_x	0.0025576202329991144
_SolventAccessibilityT23	0.0025092662300295644
_NormalizedVDWVC2	0.00250130404296337
MoreauBrotoAuto_Steric9	0.0024968941184252704
_HydrophobicityD3100	0.0024899247463479705
GearyAuto_AvFlexibility18	0.0024441858880874623
PAAC27_x	0.002404705108768761
GearyAuto_Steric18	0.002395991782022381
tausw8	0.0023832835017501943
_SolventAccessibilityD1050	0.0023762251131514214
tausw6	0.0023368288694321873
PAAC21_x	0.002328100150127423
MoreauBrotoAuto_Hydrophobicity23	0.002312204687367656
PAAC22_x	0.002307158055637931
MoreauBrotoAuto_Steric7	0.0022873768805353766
autocorr_6	0.0022803375273121
GearyAuto_ResidueASA19	0.0022767084226171927
PAAC25_y	0.0022762920379576436
GearyAuto_Hydrophobicity23	0.0022642726460104763
MoreauBrotoAuto_Steric8	0.002222488363398838
GearyAuto_Polarizability18	0.0022019782582598417
GearyAuto_ResidueVol19	0.0021851939801424127
PAAC38	0.002180079188123202
PAAC22_y	0.0021557413142334232
autocorr_4	0.002117458716404586
MoreauBrotoAuto_Steric15	0.002105891911410261
PAAC30_y	0.002072925692921078
autocorr_3	0.0020335614236958654
MoreauBrotoAuto_Polarizability21	0.002019199339935413
GearyAuto_Hydrophobicity19	0.0020186967974546903
GearyAuto_Polarizability23	0.0020044795750489364
PAAC32	0.0019901543850885744
