,class predicted,prob_class_0,prob_class_1
0,1,0.054,0.946
1,1,0.166,0.834
2,1,0.244,0.756
3,1,0.49,0.51
4,0,0.574,0.426
5,1,0.416,0.584
6,1,0.398,0.602
7,0,0.622,0.378
8,0,0.8,0.2
9,0,0.826,0.174
10,0,0.93,0.07
11,0,0.954,0.046
12,0,0.962,0.038
13,0,0.976,0.024
14,0,0.974,0.026
15,0,0.978,0.022
16,0,0.984,0.016
17,0,0.988,0.012
18,0,0.98,0.02
19,0,0.974,0.026
20,0,0.99,0.01
21,0,0.996,0.004
22,0,0.996,0.004
23,0,0.998,0.002
24,0,1.0,0.0
25,0,0.998,0.002
26,0,0.998,0.002
27,0,0.998,0.002
28,0,0.998,0.002
29,0,1.0,0.0
30,0,1.0,0.0
31,0,1.0,0.0
32,0,1.0,0.0
33,0,1.0,0.0
34,0,1.0,0.0
35,0,1.0,0.0
36,0,0.998,0.002
37,0,0.998,0.002
38,0,1.0,0.0
39,0,1.0,0.0
40,0,1.0,0.0
41,0,1.0,0.0
42,0,1.0,0.0
43,0,0.998,0.002
44,0,0.998,0.002
45,0,0.998,0.002
46,0,1.0,0.0
47,0,0.998,0.002
48,0,0.998,0.002
49,0,1.0,0.0
50,0,0.998,0.002
51,0,1.0,0.0
52,0,1.0,0.0
53,0,0.998,0.002
54,0,0.998,0.002
55,0,1.0,0.0
56,0,1.0,0.0
57,0,1.0,0.0
58,0,0.998,0.002
59,0,0.998,0.002
60,0,1.0,0.0
61,0,0.996,0.004
62,0,1.0,0.0
63,0,1.0,0.0
64,0,1.0,0.0
65,0,0.998,0.002
66,0,0.998,0.002
67,0,0.998,0.002
68,0,0.998,0.002
69,0,1.0,0.0
70,0,1.0,0.0
71,0,1.0,0.0
72,0,1.0,0.0
73,0,1.0,0.0
74,0,1.0,0.0
75,0,1.0,0.0
76,0,0.998,0.002
77,0,0.994,0.006
78,0,0.996,0.004
79,0,0.998,0.002
80,0,0.99,0.01
81,0,0.988,0.012
82,0,0.998,0.002
83,0,1.0,0.0
84,0,0.996,0.004
85,0,0.996,0.004
86,0,0.996,0.004
87,0,0.998,0.002
88,0,1.0,0.0
89,0,1.0,0.0
90,0,1.0,0.0
91,0,1.0,0.0
92,0,0.998,0.002
93,0,0.998,0.002
94,0,0.998,0.002
95,0,0.998,0.002
96,0,0.998,0.002
97,0,0.998,0.002
98,0,0.998,0.002
99,0,1.0,0.0
100,0,1.0,0.0
101,0,0.996,0.004
102,0,0.998,0.002
103,0,1.0,0.0
104,0,1.0,0.0
105,0,1.0,0.0
106,0,1.0,0.0
107,0,1.0,0.0
108,0,1.0,0.0
109,0,1.0,0.0
110,0,1.0,0.0
111,0,1.0,0.0
112,0,1.0,0.0
113,0,0.998,0.002
114,0,0.998,0.002
115,0,0.998,0.002
116,0,1.0,0.0
117,0,0.998,0.002
118,0,0.996,0.004
119,0,1.0,0.0
120,0,1.0,0.0
121,0,0.996,0.004
122,0,1.0,0.0
123,0,1.0,0.0
124,0,1.0,0.0
125,0,1.0,0.0
126,0,1.0,0.0
127,0,1.0,0.0
128,0,1.0,0.0
129,0,1.0,0.0
130,0,1.0,0.0
131,0,0.998,0.002
132,0,1.0,0.0
133,0,1.0,0.0
134,0,1.0,0.0
135,0,0.998,0.002
136,0,0.998,0.002
137,0,1.0,0.0
138,0,1.0,0.0
139,0,1.0,0.0
140,0,1.0,0.0
141,0,1.0,0.0
142,0,1.0,0.0
143,0,1.0,0.0
144,0,1.0,0.0
145,0,1.0,0.0
146,0,0.998,0.002
147,0,0.998,0.002
148,0,0.998,0.002
149,0,1.0,0.0
150,0,1.0,0.0
151,0,1.0,0.0
152,0,0.996,0.004
153,0,0.996,0.004
154,0,0.99,0.01
155,0,0.996,0.004
156,0,0.996,0.004
157,0,0.998,0.002
158,0,0.994,0.006
159,0,0.986,0.014
160,0,0.992,0.008
161,0,0.998,0.002
162,0,0.992,0.008
163,0,0.994,0.006
164,0,0.998,0.002
165,0,0.998,0.002
166,0,0.996,0.004
167,0,0.996,0.004
168,0,0.998,0.002
169,0,0.996,0.004
170,0,0.996,0.004
171,0,0.996,0.004
172,0,1.0,0.0
173,0,0.994,0.006
174,0,0.996,0.004
175,0,1.0,0.0
176,0,0.99,0.01
177,0,1.0,0.0
178,0,0.998,0.002
179,0,0.99,0.01
180,0,0.996,0.004
181,0,0.994,0.006
182,0,0.998,0.002
183,0,1.0,0.0
184,0,1.0,0.0
185,0,0.998,0.002
186,0,1.0,0.0
187,0,0.998,0.002
188,0,0.998,0.002
189,0,1.0,0.0
190,0,0.998,0.002
191,0,0.996,0.004
192,0,0.998,0.002
193,0,1.0,0.0
194,0,1.0,0.0
195,0,1.0,0.0
196,0,0.998,0.002
197,0,0.996,0.004
198,0,0.996,0.004
199,0,0.996,0.004
200,0,1.0,0.0
201,0,1.0,0.0
