,class predicted,prob_class_0,prob_class_1
0,1,0.4103,0.5897
1,1,0.3661,0.6339
2,1,0.4821,0.5179
3,1,0.4429,0.5571
4,0,0.7411,0.2589
5,0,0.8469,0.1531
6,0,0.9468,0.0532
7,0,0.9545,0.0455
8,0,0.9628,0.0372
9,0,0.9816,0.0184
10,0,0.991,0.009
11,0,0.9951,0.0049
12,0,0.9936,0.0064
13,0,0.9981,0.0019
14,0,0.9981,0.0019
15,0,0.9983,0.0017
16,0,0.9989,0.0011
17,0,0.9973,0.0027
18,0,0.9977,0.0023
19,0,0.9976,0.0024
20,0,0.9984,0.0016
21,0,0.998,0.002
22,0,0.9985,0.0015
23,0,0.9982,0.0018
24,0,0.9979,0.0021
25,0,0.998,0.002
26,0,0.9988,0.0012
27,0,0.9983,0.0017
28,0,0.9987,0.0013
29,0,0.9987,0.0013
30,0,0.9983,0.0017
31,0,0.9979,0.0021
32,0,0.9983,0.0017
33,0,0.9982,0.0018
34,0,0.9971,0.0029
35,0,0.9971,0.0029
36,0,0.9964,0.0036
37,0,0.9955,0.0045
38,0,0.9955,0.0045
39,0,0.9942,0.0058
40,0,0.9938,0.0062
41,0,0.9958,0.0042
42,0,0.9966,0.0034
43,0,0.997,0.003
44,0,0.9962,0.0038
45,0,0.9954,0.0046
46,0,0.9962,0.0038
47,0,0.9983,0.0017
48,0,0.9987,0.0013
49,0,0.9988,0.0012
50,0,0.9987,0.0013
51,0,0.9989,0.0011
52,0,0.9992,0.0008
53,0,0.9994,0.0006
54,0,0.9995,0.0005
55,0,0.9997,0.0003
56,0,0.9998,0.0002
57,0,0.9997,0.0003
58,0,0.9996,0.0004
59,0,0.9997,0.0003
60,0,0.9998,0.0002
61,0,0.9997,0.0003
62,0,0.9997,0.0003
63,0,0.9995,0.0005
64,0,0.9996,0.0004
65,0,0.9996,0.0004
66,0,0.9989,0.0011
67,0,0.999,0.001
68,0,0.9992,0.0008
69,0,0.9992,0.0008
70,0,0.9992,0.0008
71,0,0.9995,0.0005
72,0,0.9996,0.0004
73,0,0.9996,0.0004
74,0,0.9997,0.0003
75,0,0.9996,0.0004
76,0,0.9993,0.0007
77,0,0.9991,0.0009
78,0,0.9991,0.0009
79,0,0.9976,0.0024
80,0,0.9976,0.0024
81,0,0.9981,0.0019
82,0,0.9983,0.0017
83,0,0.9988,0.0012
84,0,0.9986,0.0014
85,0,0.998,0.002
86,0,0.9977,0.0023
87,0,0.9977,0.0023
88,0,0.998,0.002
89,0,0.9985,0.0015
90,0,0.9986,0.0014
91,0,0.9991,0.0009
92,0,0.9986,0.0014
93,0,0.9981,0.0019
94,0,0.9985,0.0015
95,0,0.9977,0.0023
96,0,0.9972,0.0028
97,0,0.9977,0.0023
98,0,0.9981,0.0019
99,0,0.9984,0.0016
100,0,0.9962,0.0038
101,0,0.9984,0.0016
102,0,0.9983,0.0017
103,0,0.9978,0.0022
104,0,0.9983,0.0017
105,0,0.999,0.001
106,0,0.9987,0.0013
107,0,0.999,0.001
108,0,0.9992,0.0008
109,0,0.9993,0.0007
110,0,0.9993,0.0007
111,0,0.9993,0.0007
112,0,0.9989,0.0011
113,0,0.9992,0.0008
114,0,0.9994,0.0006
115,0,0.9994,0.0006
116,0,0.9992,0.0008
117,0,0.9988,0.0012
118,0,0.9981,0.0019
119,0,0.9987,0.0013
120,0,0.9972,0.0028
121,0,0.9972,0.0028
122,0,0.9969,0.0031
123,0,0.9969,0.0031
124,0,0.9961,0.0039
125,0,0.9947,0.0053
126,0,0.9981,0.0019
127,0,0.9978,0.0022
128,0,0.9977,0.0023
129,0,0.9989,0.0011
130,0,0.9989,0.0011
131,0,0.9997,0.0003
132,0,0.9996,0.0004
133,0,0.9997,0.0003
134,0,0.9996,0.0004
135,0,0.9995,0.0005
136,0,0.9991,0.0009
137,0,0.9996,0.0004
138,0,0.9995,0.0005
139,0,0.9997,0.0003
140,0,0.9995,0.0005
141,0,0.9997,0.0003
142,0,0.9996,0.0004
143,0,0.9999,0.0001
144,0,0.9999,0.0001
145,0,0.9999,0.0001
146,0,0.9998,0.0002
147,0,0.9998,0.0002
148,0,0.9997,0.0003
149,0,0.9998,0.0002
150,0,0.9998,0.0002
151,0,0.9999,0.0001
152,0,0.9998,0.0002
153,0,0.9998,0.0002
154,0,0.9997,0.0003
155,0,0.9998,0.0002
156,0,0.9999,0.0001
157,0,0.9999,0.0001
158,0,0.9998,0.0002
