,class predicted,prob_class_0,prob_class_1
0,0,0.9834,0.0166
1,0,0.9711,0.0289
2,0,0.9828,0.0172
3,0,0.9913,0.0087
4,0,0.9912,0.0088
5,0,0.9949,0.0051
6,0,0.9963,0.0037
7,0,0.998,0.002
8,0,0.9989,0.0011
9,0,0.9993,0.0007
10,0,0.9996,0.0004
11,0,0.9998,0.0002
12,0,0.9999,0.0001
13,0,0.9999,0.0001
14,0,0.9997,0.0003
15,0,0.9997,0.0003
16,0,0.9996,0.0004
17,0,0.9994,0.0006
18,0,0.9995,0.0005
19,0,0.9994,0.0006
20,0,0.9982,0.0018
21,0,0.999,0.001
22,0,0.9984,0.0016
23,0,0.9983,0.0017
24,0,0.9972,0.0028
25,0,0.9954,0.0046
26,0,0.9948,0.0052
27,0,0.9928,0.0072
28,0,0.9895,0.0105
29,0,0.9844,0.0156
30,0,0.9898,0.0102
31,0,0.9867,0.0133
32,0,0.9925,0.0075
33,0,0.9953,0.0047
34,0,0.9981,0.0019
35,0,0.9973,0.0027
36,0,0.9977,0.0023
37,0,0.9978,0.0022
38,0,0.9988,0.0012
39,0,0.9993,0.0007
40,0,0.9988,0.0012
41,0,0.999,0.001
42,0,0.9991,0.0009
43,0,0.9996,0.0004
44,0,0.9993,0.0007
45,0,0.9994,0.0006
46,0,0.9995,0.0005
47,0,0.9995,0.0005
48,0,0.9996,0.0004
49,0,0.9996,0.0004
50,0,0.9996,0.0004
51,0,0.9993,0.0007
52,0,0.9998,0.0002
53,0,0.9998,0.0002
54,0,0.9996,0.0004
55,0,0.9997,0.0003
56,0,0.9996,0.0004
57,0,0.9998,0.0002
58,0,0.9998,0.0002
59,0,0.9995,0.0005
60,0,0.9994,0.0006
61,0,0.9994,0.0006
62,0,0.9993,0.0007
63,0,0.9997,0.0003
64,0,0.9997,0.0003
65,0,0.9997,0.0003
66,0,0.9998,0.0002
67,0,0.9996,0.0004
68,0,0.9993,0.0007
69,0,0.9996,0.0004
70,0,0.9997,0.0003
71,0,0.9997,0.0003
72,0,0.9997,0.0003
73,0,0.9997,0.0003
74,0,0.9996,0.0004
75,0,0.9995,0.0005
76,0,0.9992,0.0008
77,0,0.9993,0.0007
78,0,0.9994,0.0006
79,0,0.9995,0.0005
80,0,0.9995,0.0005
81,0,0.9997,0.0003
82,0,0.9998,0.0002
83,0,0.9999,0.0001
84,0,0.9998,0.0002
85,0,0.9996,0.0004
86,0,0.9998,0.0002
87,0,0.9997,0.0003
88,0,0.9998,0.0002
89,0,0.9997,0.0003
90,0,0.9995,0.0005
91,0,0.9995,0.0005
92,0,0.9994,0.0006
93,0,0.9992,0.0008
94,0,0.9993,0.0007
95,0,0.9994,0.0006
96,0,0.9994,0.0006
97,0,0.9994,0.0006
98,0,0.9994,0.0006
99,0,0.9993,0.0007
100,0,0.9994,0.0006
101,0,0.9996,0.0004
102,0,0.9997,0.0003
103,0,0.9998,0.0002
104,0,0.9997,0.0003
105,0,0.9997,0.0003
106,0,0.9996,0.0004
107,0,0.9996,0.0004
108,0,0.998,0.002
109,0,0.9988,0.0012
110,0,0.9994,0.0006
111,0,0.9997,0.0003
112,0,0.9994,0.0006
113,0,0.9994,0.0006
114,0,0.9993,0.0007
115,0,0.999,0.001
116,0,0.9992,0.0008
117,0,0.9986,0.0014
118,0,0.9991,0.0009
119,0,0.9965,0.0035
120,0,0.9969,0.0031
121,0,0.9962,0.0038
122,0,0.9963,0.0037
123,0,0.9967,0.0033
124,0,0.9972,0.0028
125,0,0.9984,0.0016
126,0,0.9984,0.0016
127,0,0.999,0.001
128,0,0.9984,0.0016
129,0,0.998,0.002
130,0,0.9985,0.0015
131,0,0.999,0.001
132,0,0.9992,0.0008
133,0,0.9993,0.0007
134,0,0.9982,0.0018
135,0,0.9987,0.0013
136,0,0.9987,0.0013
137,0,0.9985,0.0015
138,0,0.9996,0.0004
139,0,0.9997,0.0003
140,0,0.9997,0.0003
141,0,0.9995,0.0005
142,0,0.9994,0.0006
143,0,0.9994,0.0006
144,0,0.9995,0.0005
145,0,0.9995,0.0005
146,0,0.9992,0.0008
147,0,0.9992,0.0008
148,0,0.9994,0.0006
149,0,0.9995,0.0005
150,0,0.9994,0.0006
151,0,0.9984,0.0016
152,0,0.9985,0.0015
153,0,0.9984,0.0016
154,0,0.9977,0.0023
155,0,0.9975,0.0025
156,0,0.9968,0.0032
157,0,0.9978,0.0022
158,0,0.9986,0.0014
159,0,0.9992,0.0008
160,0,0.9969,0.0031
161,0,0.9978,0.0022
162,0,0.9986,0.0014
163,0,0.9987,0.0013
164,0,0.9977,0.0023
165,0,0.9987,0.0013
166,0,0.9992,0.0008
167,0,0.9982,0.0018
168,0,0.997,0.003
169,0,0.9975,0.0025
170,0,0.9986,0.0014
171,0,0.999,0.001
172,0,0.9992,0.0008
173,0,0.9993,0.0007
174,0,0.9987,0.0013
175,0,0.9984,0.0016
176,0,0.9987,0.0013
177,0,0.9988,0.0012
178,0,0.9988,0.0012
179,0,0.9994,0.0006
180,0,0.9996,0.0004
181,0,0.9998,0.0002
182,0,0.9996,0.0004
183,0,0.9989,0.0011
184,0,0.9986,0.0014
185,0,0.9986,0.0014
186,0,0.9987,0.0013
187,0,0.9981,0.0019
188,0,0.9979,0.0021
189,0,0.9981,0.0019
190,0,0.9988,0.0012
191,0,0.9992,0.0008
192,0,0.9996,0.0004
193,0,0.9998,0.0002
194,0,0.9998,0.0002
195,0,0.9999,0.0001
196,0,0.9998,0.0002
197,0,0.9997,0.0003
198,0,0.9994,0.0006
199,0,0.9989,0.0011
200,0,0.9994,0.0006
201,0,0.9989,0.0011
202,0,0.9976,0.0024
203,0,0.9976,0.0024
204,0,0.9955,0.0045
205,0,0.9861,0.0139
206,0,0.9809,0.0191
207,0,0.9829,0.0171
208,0,0.9872,0.0128
209,0,0.9917,0.0083
210,0,0.9928,0.0072
211,0,0.993,0.007
212,0,0.9924,0.0076
