,class predicted,prob_class_0,prob_class_1
0,0,0.73,0.27
1,0,0.78,0.22
2,0,0.78,0.22
3,0,0.83,0.17
4,0,0.87,0.13
5,0,0.94,0.06
6,0,0.87,0.13
7,0,0.85,0.15
8,0,0.83,0.17
9,0,0.88,0.12
10,0,0.87,0.13
11,0,0.88,0.12
12,0,0.87,0.13
13,0,0.84,0.16
14,0,0.8,0.2
15,0,0.88,0.12
16,0,0.87,0.13
17,0,0.84,0.16
18,0,0.91,0.09
19,0,0.91,0.09
20,0,0.76,0.24
21,0,0.85,0.15
22,0,0.89,0.11
23,0,0.86,0.14
24,0,0.87,0.13
25,0,0.86,0.14
26,0,0.84,0.16
27,0,0.82,0.18
28,0,0.91,0.09
29,0,0.89,0.11
30,0,0.87,0.13
31,0,0.88,0.12
32,0,0.78,0.22
33,0,0.83,0.17
34,0,0.84,0.16
35,0,0.8,0.2
36,0,0.85,0.15
37,0,0.8,0.2
38,0,0.86,0.14
39,0,0.92,0.08
40,0,0.91,0.09
41,0,0.93,0.07
42,0,0.94,0.06
43,0,0.89,0.11
44,0,0.86,0.14
45,0,0.85,0.15
46,0,0.81,0.19
47,0,0.77,0.23
48,0,0.67,0.33
49,0,0.73,0.27
50,0,0.72,0.28
51,0,0.73,0.27
52,0,0.77,0.23
53,0,0.72,0.28
54,0,0.73,0.27
55,0,0.84,0.16
56,0,0.77,0.23
57,0,0.66,0.34
58,0,0.7,0.3
59,0,0.81,0.19
60,0,0.76,0.24
61,0,0.8,0.2
62,0,0.84,0.16
63,0,0.85,0.15
64,0,0.91,0.09
65,0,0.94,0.06
66,0,0.91,0.09
67,0,0.93,0.07
68,0,0.93,0.07
69,0,0.92,0.08
70,0,0.89,0.11
71,0,0.93,0.07
72,0,0.95,0.05
73,0,0.96,0.04
74,0,0.95,0.05
75,0,0.96,0.04
76,0,0.93,0.07
77,0,0.92,0.08
78,0,0.95,0.05
79,0,0.94,0.06
80,0,0.92,0.08
81,0,0.92,0.08
82,0,0.94,0.06
83,0,0.89,0.11
84,0,0.93,0.07
85,0,0.93,0.07
86,0,0.94,0.06
87,0,0.94,0.06
88,0,0.94,0.06
89,0,0.94,0.06
90,0,0.91,0.09
91,0,0.88,0.12
92,0,0.82,0.18
93,0,0.78,0.22
94,0,0.78,0.22
95,0,0.87,0.13
96,0,0.87,0.13
97,0,0.91,0.09
98,0,0.88,0.12
99,0,0.9,0.1
100,0,0.84,0.16
101,0,0.82,0.18
102,0,0.84,0.16
103,0,0.83,0.17
104,0,0.89,0.11
105,0,0.83,0.17
106,0,0.84,0.16
107,0,0.81,0.19
108,0,0.86,0.14
109,0,0.77,0.23
110,0,0.88,0.12
111,0,0.77,0.23
112,0,0.88,0.12
113,0,0.91,0.09
114,0,0.85,0.15
115,0,0.8,0.2
116,0,0.73,0.27
117,0,0.77,0.23
118,0,0.89,0.11
119,0,0.88,0.12
120,0,0.85,0.15
121,0,0.86,0.14
122,0,0.77,0.23
123,0,0.66,0.34
124,0,0.66,0.34
125,0,0.64,0.36
126,0,0.59,0.41
127,0,0.56,0.44
128,0,0.6,0.4
129,0,0.61,0.39
130,0,0.67,0.33
131,0,0.68,0.32
132,0,0.72,0.28
133,0,0.76,0.24
134,0,0.76,0.24
135,0,0.82,0.18
136,0,0.77,0.23
137,0,0.83,0.17
138,0,0.78,0.22
139,0,0.69,0.31
140,0,0.75,0.25
141,0,0.74,0.26
142,0,0.79,0.21
143,0,0.87,0.13
144,0,0.83,0.17
145,0,0.76,0.24
146,0,0.86,0.14
147,0,0.88,0.12
148,0,0.9,0.1
149,0,0.9,0.1
150,0,0.92,0.08
151,0,0.89,0.11
152,0,0.83,0.17
153,0,0.77,0.23
154,0,0.79,0.21
155,0,0.81,0.19
156,0,0.82,0.18
157,0,0.77,0.23
158,0,0.77,0.23
159,0,0.79,0.21
160,0,0.82,0.18
161,0,0.83,0.17
162,0,0.89,0.11
163,0,0.89,0.11
164,0,0.85,0.15
165,0,0.81,0.19
166,0,0.79,0.21
167,0,0.81,0.19
168,0,0.78,0.22
169,0,0.78,0.22
170,0,0.79,0.21
171,0,0.88,0.12
172,0,0.94,0.06
173,0,0.95,0.05
174,0,0.97,0.03
175,0,0.94,0.06
176,0,0.94,0.06
177,0,0.96,0.04
178,0,0.97,0.03
179,0,0.94,0.06
180,0,0.96,0.04
181,0,0.9,0.1
182,0,0.89,0.11
183,0,0.83,0.17
184,0,0.89,0.11
185,0,0.89,0.11
186,0,0.86,0.14
187,0,0.92,0.08
188,0,0.89,0.11
189,0,0.84,0.16
190,0,0.84,0.16
191,0,0.78,0.22
192,0,0.76,0.24
193,0,0.8,0.2
194,0,0.78,0.22
195,0,0.76,0.24
