,class predicted,prob_class_0,prob_class_1
0,1,0.01,0.99
1,1,0.02,0.98
2,1,0.06,0.94
3,1,0.12,0.88
4,1,0.15,0.85
5,1,0.12,0.88
6,1,0.19,0.81
7,1,0.17,0.83
8,1,0.3,0.7
9,1,0.26,0.74
10,1,0.31,0.69
11,1,0.32,0.68
12,1,0.4,0.6
13,1,0.39,0.61
14,1,0.32,0.68
15,1,0.36,0.64
16,1,0.47,0.53
17,0,0.55,0.45
18,0,0.54,0.46
19,0,0.5,0.5
20,0,0.74,0.26
21,0,0.77,0.23
22,0,0.84,0.16
23,0,0.95,0.05
24,0,0.95,0.05
25,0,0.94,0.06
26,0,0.91,0.09
27,0,0.94,0.06
28,0,0.94,0.06
29,0,0.94,0.06
30,0,0.95,0.05
31,0,0.96,0.04
32,0,0.99,0.01
33,0,0.98,0.02
34,0,0.96,0.04
35,0,0.96,0.04
36,0,0.99,0.01
37,0,0.99,0.01
38,0,1.0,0.0
39,0,1.0,0.0
40,0,0.97,0.03
41,0,0.98,0.02
42,0,0.97,0.03
43,0,0.99,0.01
44,0,0.99,0.01
45,0,0.98,0.02
46,0,0.95,0.05
47,0,0.98,0.02
48,0,0.97,0.03
49,0,0.97,0.03
50,0,0.99,0.01
51,0,0.99,0.01
52,0,0.96,0.04
53,0,0.98,0.02
54,0,0.95,0.05
55,0,0.96,0.04
56,0,0.93,0.07
57,0,0.97,0.03
58,0,0.96,0.04
59,0,0.94,0.06
60,0,0.96,0.04
61,0,0.92,0.08
62,0,0.97,0.03
63,0,0.95,0.05
64,0,0.94,0.06
65,0,0.93,0.07
66,0,0.91,0.09
67,0,0.94,0.06
68,0,0.89,0.11
69,0,0.88,0.12
70,0,0.81,0.19
71,0,0.83,0.17
72,0,0.81,0.19
73,0,0.78,0.22
74,0,0.84,0.16
75,0,0.82,0.18
76,0,0.79,0.21
77,0,0.88,0.12
78,0,0.85,0.15
79,0,0.83,0.17
80,0,0.82,0.18
81,0,0.77,0.23
82,0,0.81,0.19
83,0,0.86,0.14
84,0,0.88,0.12
85,0,0.85,0.15
86,0,0.89,0.11
87,0,0.84,0.16
88,0,0.91,0.09
89,0,0.91,0.09
90,0,0.9,0.1
91,0,0.82,0.18
92,0,0.79,0.21
93,0,0.78,0.22
94,0,0.78,0.22
95,0,0.81,0.19
96,0,0.8,0.2
97,0,0.76,0.24
98,0,0.83,0.17
99,0,0.82,0.18
100,0,0.82,0.18
101,0,0.73,0.27
102,0,0.8,0.2
103,0,0.84,0.16
104,0,0.9,0.1
105,0,0.86,0.14
106,0,0.86,0.14
107,0,0.87,0.13
108,0,0.93,0.07
109,0,0.93,0.07
110,0,0.92,0.08
111,0,0.89,0.11
112,0,0.93,0.07
113,0,0.95,0.05
114,0,0.9,0.1
115,0,0.9,0.1
116,0,0.94,0.06
117,0,0.91,0.09
118,0,0.92,0.08
119,0,0.95,0.05
120,0,0.99,0.01
121,0,0.97,0.03
122,0,0.95,0.05
123,0,0.99,0.01
124,0,0.99,0.01
125,0,0.99,0.01
126,0,0.99,0.01
127,0,0.98,0.02
128,0,0.99,0.01
129,0,0.97,0.03
130,0,0.96,0.04
131,0,0.95,0.05
132,0,0.9,0.1
133,0,0.91,0.09
134,0,0.92,0.08
135,0,0.9,0.1
136,0,0.94,0.06
137,0,0.94,0.06
138,0,0.98,0.02
139,0,0.97,0.03
140,0,0.94,0.06
141,0,0.96,0.04
142,0,0.95,0.05
143,0,0.94,0.06
144,0,0.93,0.07
145,0,0.95,0.05
146,0,0.89,0.11
147,0,0.89,0.11
148,0,0.91,0.09
149,0,0.9,0.1
150,0,0.83,0.17
151,0,0.81,0.19
152,0,0.86,0.14
153,0,0.86,0.14
154,0,0.83,0.17
155,0,0.86,0.14
156,0,0.92,0.08
157,0,0.91,0.09
158,0,0.91,0.09
159,0,0.89,0.11
160,0,0.91,0.09
161,0,0.91,0.09
162,0,0.89,0.11
163,0,0.91,0.09
164,0,0.89,0.11
165,0,0.91,0.09
166,0,0.89,0.11
167,0,0.91,0.09
168,0,0.9,0.1
169,0,0.92,0.08
170,0,0.93,0.07
171,0,0.93,0.07
172,0,0.96,0.04
173,0,0.96,0.04
174,0,0.95,0.05
175,0,0.93,0.07
176,0,0.95,0.05
177,0,0.92,0.08
178,0,0.92,0.08
179,0,0.79,0.21
180,0,0.94,0.06
181,0,0.83,0.17
182,0,0.94,0.06
183,0,0.96,0.04
184,0,0.97,0.03
185,0,0.95,0.05
186,0,0.96,0.04
187,0,0.95,0.05
188,0,0.95,0.05
189,0,0.97,0.03
190,0,0.95,0.05
191,0,0.97,0.03
192,0,0.96,0.04
193,0,0.95,0.05
194,0,0.9,0.1
195,0,0.86,0.14
196,0,0.84,0.16
197,0,0.81,0.19
198,0,0.8,0.2
199,0,0.75,0.25
200,0,0.81,0.19
201,0,0.79,0.21
202,0,0.75,0.25
203,0,0.75,0.25
204,0,0.79,0.21
205,0,0.77,0.23
206,0,0.75,0.25
207,0,0.77,0.23
208,0,0.75,0.25
209,0,0.75,0.25
210,0,0.76,0.24
211,0,0.77,0.23
212,0,0.75,0.25
213,0,0.73,0.27
214,0,0.7,0.3
215,0,0.76,0.24
216,0,0.77,0.23
217,0,0.78,0.22
218,0,0.82,0.18
219,0,0.83,0.17
220,0,0.82,0.18
221,0,0.87,0.13
222,0,0.88,0.12
223,0,0.84,0.16
224,0,0.82,0.18
225,0,0.76,0.24
226,0,0.81,0.19
227,0,0.78,0.22
228,0,0.77,0.23
229,0,0.74,0.26
230,0,0.73,0.27
231,0,0.82,0.18
232,0,0.85,0.15
233,0,0.83,0.17
234,0,0.87,0.13
235,0,0.84,0.16
236,0,0.81,0.19
237,0,0.76,0.24
238,0,0.81,0.19
239,0,0.82,0.18
240,0,0.85,0.15
241,0,0.85,0.15
242,0,0.78,0.22
243,0,0.86,0.14
244,0,0.83,0.17
245,0,0.88,0.12
246,0,0.84,0.16
247,0,0.89,0.11
248,0,0.89,0.11
249,0,0.83,0.17
250,0,0.86,0.14
251,0,0.88,0.12
252,0,0.77,0.23
253,0,0.83,0.17
254,0,0.86,0.14
255,0,0.9,0.1
256,0,0.93,0.07
257,0,0.89,0.11
258,0,0.87,0.13
259,0,0.87,0.13
260,0,0.79,0.21
261,0,0.77,0.23
262,0,0.88,0.12
263,0,0.88,0.12
264,0,0.81,0.19
265,0,0.86,0.14
266,0,0.82,0.18
267,0,0.82,0.18
268,0,0.83,0.17
269,0,0.88,0.12
270,0,0.89,0.11
271,0,0.85,0.15
272,0,0.85,0.15
273,0,0.81,0.19
274,0,0.92,0.08
275,0,0.93,0.07
276,0,0.91,0.09
277,0,0.93,0.07
278,0,0.97,0.03
279,0,0.95,0.05
280,0,0.98,0.02
281,0,0.96,0.04
282,0,0.97,0.03
