,class predicted,prob_class_0,prob_class_1
0,0,0.86,0.14
1,0,0.89,0.11
2,0,0.87,0.13
3,0,0.88,0.12
4,0,0.76,0.24
5,0,0.72,0.28
6,0,0.79,0.21
7,0,0.75,0.25
8,0,0.89,0.11
9,0,0.88,0.12
10,0,0.87,0.13
11,0,0.94,0.06
12,0,0.9,0.1
13,0,0.89,0.11
14,0,0.9,0.1
15,0,0.86,0.14
16,0,0.87,0.13
17,0,0.94,0.06
18,0,0.91,0.09
19,0,0.94,0.06
20,0,0.91,0.09
21,0,0.99,0.01
22,0,0.99,0.01
23,0,0.97,0.03
24,0,0.96,0.04
25,0,0.98,0.02
26,0,0.96,0.04
27,0,0.95,0.05
28,0,0.97,0.03
29,0,0.99,0.01
30,0,0.98,0.02
31,0,0.98,0.02
32,0,0.97,0.03
33,0,0.97,0.03
34,0,0.99,0.01
35,0,0.98,0.02
36,0,0.99,0.01
37,0,1.0,0.0
38,0,0.99,0.01
39,0,0.98,0.02
40,0,0.96,0.04
41,0,0.9,0.1
42,0,0.83,0.17
43,0,0.79,0.21
44,0,0.74,0.26
45,0,0.75,0.25
46,0,0.71,0.29
47,0,0.81,0.19
48,0,0.75,0.25
49,0,0.78,0.22
50,0,0.8,0.2
51,0,0.81,0.19
52,0,0.82,0.18
53,0,0.8,0.2
54,0,0.83,0.17
55,0,0.84,0.16
56,0,0.84,0.16
57,0,0.77,0.23
58,0,0.81,0.19
59,0,0.72,0.28
60,0,0.76,0.24
61,0,0.79,0.21
62,0,0.76,0.24
63,0,0.76,0.24
64,0,0.84,0.16
65,0,0.89,0.11
66,0,0.84,0.16
67,0,0.85,0.15
68,0,0.75,0.25
69,0,0.75,0.25
70,0,0.64,0.36
71,0,0.6,0.4
72,0,0.6,0.4
73,0,0.56,0.44
74,0,0.55,0.45
75,0,0.61,0.39
76,0,0.61,0.39
77,0,0.72,0.28
78,0,0.67,0.33
79,0,0.84,0.16
80,0,0.7,0.3
81,0,0.76,0.24
82,0,0.94,0.06
83,0,0.95,0.05
84,0,0.95,0.05
85,0,0.9,0.1
86,0,0.89,0.11
87,0,0.94,0.06
88,0,0.97,0.03
89,0,0.95,0.05
90,0,0.95,0.05
91,0,0.96,0.04
92,0,0.97,0.03
93,0,0.97,0.03
94,0,0.97,0.03
95,0,0.95,0.05
96,0,0.94,0.06
97,0,0.87,0.13
98,0,0.91,0.09
99,0,0.92,0.08
100,0,0.89,0.11
101,0,0.97,0.03
102,0,0.98,0.02
103,0,0.94,0.06
104,0,0.97,0.03
105,0,0.96,0.04
106,0,0.95,0.05
107,0,0.93,0.07
108,0,0.95,0.05
109,0,0.95,0.05
110,0,0.89,0.11
111,0,0.96,0.04
112,0,0.9,0.1
113,0,0.9,0.1
114,0,0.92,0.08
115,0,0.94,0.06
116,0,0.95,0.05
117,0,0.96,0.04
118,0,0.96,0.04
119,0,0.93,0.07
120,0,0.95,0.05
121,0,0.94,0.06
122,0,0.93,0.07
123,0,0.88,0.12
124,0,0.91,0.09
125,0,0.91,0.09
126,0,0.89,0.11
127,0,0.93,0.07
128,0,0.99,0.01
129,0,0.99,0.01
130,0,1.0,0.0
131,0,1.0,0.0
132,0,0.99,0.01
133,0,0.99,0.01
134,0,0.98,0.02
135,0,0.99,0.01
136,0,0.99,0.01
137,0,1.0,0.0
138,0,1.0,0.0
139,0,1.0,0.0
140,0,1.0,0.0
141,0,0.99,0.01
142,0,0.99,0.01
143,0,0.98,0.02
144,0,0.97,0.03
145,0,0.98,0.02
146,0,0.98,0.02
147,0,0.98,0.02
148,0,0.92,0.08
149,0,0.88,0.12
150,0,0.94,0.06
151,0,0.92,0.08
152,0,0.92,0.08
153,0,0.9,0.1
154,0,0.79,0.21
155,0,0.84,0.16
156,0,0.84,0.16
157,0,0.71,0.29
158,0,0.71,0.29
159,0,0.86,0.14
160,0,0.86,0.14
161,0,0.87,0.13
162,0,0.93,0.07
163,0,0.95,0.05
164,0,0.95,0.05
165,0,0.94,0.06
166,0,0.98,0.02
167,0,0.97,0.03
168,0,0.97,0.03
169,0,0.97,0.03
170,0,0.96,0.04
171,0,0.98,0.02
