,class predicted,prob_class_0,prob_class_1
0,0,0.59,0.41
1,0,0.59,0.41
2,0,0.69,0.31
3,0,0.66,0.34
4,0,0.81,0.19
5,0,0.79,0.21
6,0,0.83,0.17
7,0,0.84,0.16
8,0,0.85,0.15
9,0,0.87,0.13
10,0,0.84,0.16
11,0,0.83,0.17
12,0,0.86,0.14
13,0,0.93,0.07
14,0,0.96,0.04
15,0,0.99,0.01
16,0,0.98,0.02
17,0,0.93,0.07
18,0,0.94,0.06
19,0,0.96,0.04
20,0,0.96,0.04
21,0,0.98,0.02
22,0,0.99,0.01
23,0,0.97,0.03
24,0,0.97,0.03
25,0,0.99,0.01
26,0,0.98,0.02
27,0,1.0,0.0
28,0,0.94,0.06
29,0,0.89,0.11
30,0,0.92,0.08
31,0,0.94,0.06
32,0,0.94,0.06
33,0,0.94,0.06
34,0,0.94,0.06
35,0,0.95,0.05
36,0,0.95,0.05
37,0,0.97,0.03
38,0,0.94,0.06
39,0,0.9,0.1
40,0,0.87,0.13
41,0,0.91,0.09
42,0,0.9,0.1
43,0,0.96,0.04
44,0,0.91,0.09
45,0,0.94,0.06
46,0,0.93,0.07
47,0,0.96,0.04
48,0,0.96,0.04
49,0,0.95,0.05
50,0,0.97,0.03
51,0,0.95,0.05
52,0,0.98,0.02
53,0,0.99,0.01
54,0,0.97,0.03
55,0,0.97,0.03
56,0,0.97,0.03
57,0,0.98,0.02
58,0,0.99,0.01
59,0,1.0,0.0
60,0,1.0,0.0
61,0,0.98,0.02
62,0,0.98,0.02
63,0,0.96,0.04
64,0,0.96,0.04
65,0,0.96,0.04
66,0,0.97,0.03
67,0,0.96,0.04
68,0,0.98,0.02
69,0,0.98,0.02
70,0,0.94,0.06
71,0,0.98,0.02
72,0,0.96,0.04
73,0,0.95,0.05
74,0,0.97,0.03
75,0,0.96,0.04
76,0,0.96,0.04
77,0,0.95,0.05
78,0,0.99,0.01
79,0,0.98,0.02
80,0,0.95,0.05
81,0,0.93,0.07
82,0,0.97,0.03
83,0,0.99,0.01
84,0,0.99,0.01
85,0,0.97,0.03
86,0,0.91,0.09
87,0,0.99,0.01
88,0,0.98,0.02
89,0,0.97,0.03
90,0,0.96,0.04
91,0,0.93,0.07
92,0,0.95,0.05
93,0,0.96,0.04
94,0,0.96,0.04
95,0,0.95,0.05
96,0,0.96,0.04
97,0,0.95,0.05
98,0,0.96,0.04
99,0,0.94,0.06
100,0,0.97,0.03
101,0,1.0,0.0
102,0,0.96,0.04
103,0,0.95,0.05
104,0,0.97,0.03
105,0,0.95,0.05
106,0,0.94,0.06
107,0,0.95,0.05
108,0,0.99,0.01
109,0,1.0,0.0
110,0,0.98,0.02
111,0,1.0,0.0
112,0,1.0,0.0
113,0,1.0,0.0
114,0,0.97,0.03
115,0,0.99,0.01
116,0,1.0,0.0
117,0,0.99,0.01
118,0,0.98,0.02
119,0,0.96,0.04
120,0,0.97,0.03
121,0,0.96,0.04
122,0,0.97,0.03
123,0,0.95,0.05
124,0,0.97,0.03
125,0,0.95,0.05
126,0,0.98,0.02
127,0,0.98,0.02
128,0,0.96,0.04
129,0,0.99,0.01
130,0,0.97,0.03
131,0,0.95,0.05
132,0,0.96,0.04
133,0,0.99,0.01
134,0,0.98,0.02
135,0,0.95,0.05
136,0,0.97,0.03
137,0,0.99,0.01
138,0,0.97,0.03
139,0,0.98,0.02
140,0,0.97,0.03
141,0,0.98,0.02
142,0,0.94,0.06
143,0,0.93,0.07
144,0,0.95,0.05
145,0,0.95,0.05
146,0,0.96,0.04
147,0,0.96,0.04
148,0,0.97,0.03
149,0,0.98,0.02
150,0,0.95,0.05
151,0,0.96,0.04
152,0,0.94,0.06
153,0,0.98,0.02
154,0,0.96,0.04
155,0,0.97,0.03
156,0,0.93,0.07
157,0,0.96,0.04
158,0,0.97,0.03
