,class predicted,prob_class_0,prob_class_1
0,0,0.997,0.003
1,0,0.9865,0.0135
2,0,0.9902,0.0098
3,0,0.9891,0.0109
4,0,0.9993,0.0007
5,0,0.9871,0.0129
6,0,0.9996,0.0004
7,0,0.9995,0.0005
8,0,0.9997,0.0003
9,0,0.9993,0.0007
10,0,0.9991,0.0009
11,0,0.9988,0.0012
12,0,0.9994,0.0006
13,0,0.9999,0.0001
14,0,0.9999,0.0001
15,0,0.9999,0.0001
16,0,0.9999,0.0001
17,0,0.9999,0.0001
18,0,0.9999,0.0001
19,0,1.0,0.0
20,0,1.0,0.0
21,0,1.0,0.0
22,0,1.0,0.0
23,0,0.9999,0.0001
24,0,1.0,0.0
25,0,0.9999,0.0001
26,0,1.0,0.0
27,0,1.0,0.0
28,0,1.0,0.0
29,0,1.0,0.0
30,0,1.0,0.0
31,0,1.0,0.0
32,0,1.0,0.0
33,0,1.0,0.0
34,0,1.0,0.0
35,0,1.0,0.0
36,0,1.0,0.0
37,0,0.9999,0.0001
38,0,0.9999,0.0001
39,0,0.9999,0.0001
40,0,0.9998,0.0002
41,0,0.9999,0.0001
42,0,0.9999,0.0001
43,0,0.9999,0.0001
44,0,0.9999,0.0001
45,0,1.0,0.0
46,0,1.0,0.0
47,0,1.0,0.0
48,0,1.0,0.0
49,0,1.0,0.0
50,0,1.0,0.0
51,0,0.9999,0.0001
52,0,0.9999,0.0001
53,0,1.0,0.0
54,0,1.0,0.0
55,0,1.0,0.0
56,0,1.0,0.0
57,0,1.0,0.0
58,0,0.9999,0.0001
59,0,0.9999,0.0001
60,0,1.0,0.0
61,0,0.9999,0.0001
62,0,0.9998,0.0002
63,0,0.9999,0.0001
64,0,0.9999,0.0001
65,0,1.0,0.0
66,0,1.0,0.0
67,0,0.9999,0.0001
68,0,0.9999,0.0001
69,0,1.0,0.0
70,0,0.9999,0.0001
71,0,0.9999,0.0001
72,0,0.9999,0.0001
73,0,0.9999,0.0001
74,0,1.0,0.0
75,0,0.9999,0.0001
76,0,1.0,0.0
77,0,1.0,0.0
78,0,1.0,0.0
79,0,1.0,0.0
80,0,1.0,0.0
81,0,0.9999,0.0001
82,0,0.9999,0.0001
83,0,1.0,0.0
84,0,0.9999,0.0001
85,0,0.9969,0.0031
86,0,0.9976,0.0024
87,0,1.0,0.0
88,0,0.9999,0.0001
89,0,0.9999,0.0001
90,0,0.9999,0.0001
91,0,0.9999,0.0001
92,0,0.9999,0.0001
93,0,0.9999,0.0001
94,0,1.0,0.0
95,0,0.9999,0.0001
96,0,0.9999,0.0001
97,0,1.0,0.0
98,0,1.0,0.0
99,0,1.0,0.0
100,0,1.0,0.0
101,0,1.0,0.0
102,0,0.9999,0.0001
103,0,0.9999,0.0001
104,0,1.0,0.0
105,0,1.0,0.0
106,0,1.0,0.0
107,0,1.0,0.0
108,0,1.0,0.0
109,0,1.0,0.0
110,0,0.9999,0.0001
111,0,0.9998,0.0002
112,0,0.9999,0.0001
113,0,0.9999,0.0001
114,0,0.9999,0.0001
115,0,0.9999,0.0001
116,0,0.9998,0.0002
117,0,0.9997,0.0003
118,0,0.9988,0.0012
119,0,0.9991,0.0009
120,0,0.9998,0.0002
121,0,0.9997,0.0003
122,0,0.9998,0.0002
123,0,0.9997,0.0003
124,0,0.9999,0.0001
125,0,0.9993,0.0007
126,0,0.9997,0.0003
127,0,0.9996,0.0004
128,0,0.9995,0.0005
129,0,1.0,0.0
130,0,0.9999,0.0001
131,0,1.0,0.0
132,0,1.0,0.0
133,0,1.0,0.0
134,0,1.0,0.0
135,0,1.0,0.0
136,0,0.9995,0.0005
137,0,1.0,0.0
138,0,1.0,0.0
139,0,1.0,0.0
140,0,1.0,0.0
141,0,1.0,0.0
142,0,1.0,0.0
143,0,1.0,0.0
144,0,1.0,0.0
145,0,1.0,0.0
146,0,1.0,0.0
147,0,1.0,0.0
148,0,1.0,0.0
149,0,1.0,0.0
150,0,1.0,0.0
151,0,1.0,0.0
152,0,0.9999,0.0001
153,0,1.0,0.0
154,0,1.0,0.0
155,0,1.0,0.0
156,0,1.0,0.0
157,0,1.0,0.0
158,0,1.0,0.0
