	importance
_NormalizedVDWVC1	0.1858061748289172
_PolarizabilityC1	0.16640671341282223
_SolventAccessibilityD1100	0.0754448130557604
G	0.05083503041168499
MW_modlamp	0.03345348862021882
_HydrophobicityT23	0.03322611768412148
GearyAuto_FreeEnergy19	0.02820849737708213
GearyAuto_ResidueVol21	0.023194627237023924
formulaH	0.021878788832429934
MoreauBrotoAuto_Polarizability21	0.01527392451061568
_SolventAccessibilityD1001	0.01368470278874634
GearyAuto_Polarizability22	0.012627453980782272
_HydrophobicityD3100	0.012578429078554864
MoreauBrotoAuto_Mutability21	0.011941118103214528
GearyAuto_FreeEnergy23	0.01187807353978278
GearyAuto_ResidueASA22	0.011702410819936879
MoranAuto_Steric22	0.011373187533879465
MoranAuto_FreeEnergy8	0.009547552282690053
_PolarityC1	0.009528814251441628
PAAC37	0.009465960491975685
GearyAuto_FreeEnergy22	0.009151183545211211
GearyAuto_ResidueASA23	0.008003064711744083
APAAC8	0.007574513235616732
FN	0.0068202303179137665
HFL	0.00659564730035787
MoreauBrotoAuto_Steric11	0.0054244244269721084
F	0.005385219897919771
QSOSW14	0.005328317777485801
_PolarityT13	0.004704885647336718
MoranAuto_FreeEnergy10	0.004683979023389732
QSOSW8	0.004624873520233247
_PolarizabilityC2	0.004265840373306876
CFC	0.004229619373739593
MoreauBrotoAuto_ResidueVol6	0.0041341378090763905
MoranAuto_Hydrophobicity5	0.004099743351037374
MoranAuto_FreeEnergy4	0.004075580564189274
MoreauBrotoAuto_Polarizability5	0.004052007140767811
PAAC40	0.004013919989294809
MoreauBrotoAuto_Hydrophobicity18	0.0039738685960602595
SecStruct_helix	0.0039544540701948626
MoranAuto_ResidueASA8	0.003858564900008042
GHA	0.0035789354610258678
tot	0.003440781007748518
MoreauBrotoAuto_ResidueVol8	0.003428030909713057
AIM	0.0033841143187941683
GearyAuto_AvFlexibility5	0.003371395373217838
MoranAuto_Hydrophobicity9	0.003334704195599486
single	0.0032419418819211606
AII	0.0031666901061774303
QM	0.002962541867592124
_SolventAccessibilityD3075	0.002959078002608663
_NormalizedVDWVC2	0.002904532096605713
AC	0.0028496428966403747
MoreauBrotoAuto_Steric12	0.002848788443969917
_NormalizedVDWVD2025	0.0027689588865325355
MoranAuto_AvFlexibility18	0.0027555382449914513
PAAC29_y	0.0027550560164606775
autocorr_5	0.0027254363413776127
FWR	0.002595007096614674
GearyAuto_Mutability14	0.002594889813892252
MoreauBrotoAuto_Steric16	0.0025328710152771384
PAAC30_x	0.002509243424595414
PAAC38	0.0024770109586892994
MoranAuto_ResidueVol19	0.0024361691162828212
_PolarityD1100	0.0023182512211448593
GearyAuto_FreeEnergy14	0.0022992844030889255
MoreauBrotoAuto_Mutability18	0.0022569842457392155
AFF	0.0021762197825081265
APAAC14	0.0021051772153321967
GearyAuto_Mutability21	0.0019482517466161634
FS	0.0019405894191719627
MoreauBrotoAuto_ResidueVol9	0.001924285171632047
_ChargeD2001	0.001904468826586802
GearyAuto_FreeEnergy9	0.001854760483206518
PAAC24_x	0.001798290967911955
GearyAuto_AvFlexibility23	0.001738861633882628
MoreauBrotoAuto_Steric18	0.0016531345386004669
SA	0.0015459094599606785
IMA	0.0014117241839828485
TSS	0.0013421133442353403
MoreauBrotoAuto_Steric20	0.0012870299008153755
_PolarizabilityD2100	0.001240601915513617
PAAC8	0.0012150246335213156
HF	0.0012115806661209764
GearyAuto_Polarizability21	0.0011977257155170358
MoreauBrotoAuto_Polarizability8	0.0011831461655236446
GearyAuto_AvFlexibility1	0.0011758770052022343
