,class predicted,prob_class_0,prob_class_1
0,0,0.9973,0.0027
1,0,0.9999,0.0001
2,0,0.9996,0.0004
3,0,0.9996,0.0004
4,0,0.9998,0.0002
5,0,0.9997,0.0003
6,0,0.9998,0.0002
7,0,0.9983,0.0017
8,0,0.9974,0.0026
9,0,0.9995,0.0005
10,0,0.9985,0.0015
11,0,0.9988,0.0012
12,0,0.9984,0.0016
13,0,0.9986,0.0014
14,0,0.9989,0.0011
15,0,0.9997,0.0003
16,0,0.9999,0.0001
17,0,0.9994,0.0006
18,0,0.9995,0.0005
19,0,0.9997,0.0003
20,0,0.9998,0.0002
21,0,0.9999,0.0001
22,0,0.9993,0.0007
23,0,0.9999,0.0001
24,0,0.9995,0.0005
25,0,0.9996,0.0004
26,0,0.9996,0.0004
27,0,0.9998,0.0002
28,0,0.9998,0.0002
29,0,0.9996,0.0004
30,0,0.9976,0.0024
31,0,0.9999,0.0001
32,0,0.9995,0.0005
33,0,0.9989,0.0011
34,0,0.9992,0.0008
35,0,0.9998,0.0002
36,0,1.0,0.0
37,0,1.0,0.0
38,0,0.9999,0.0001
39,0,1.0,0.0
40,0,0.9999,0.0001
41,0,0.9998,0.0002
42,0,0.9998,0.0002
43,0,0.9999,0.0001
44,0,0.9997,0.0003
45,0,0.9998,0.0002
46,0,0.9999,0.0001
47,0,1.0,0.0
48,0,1.0,0.0
49,0,1.0,0.0
50,0,1.0,0.0
51,0,1.0,0.0
52,0,1.0,0.0
53,0,1.0,0.0
54,0,1.0,0.0
55,0,1.0,0.0
56,0,1.0,0.0
57,0,1.0,0.0
58,0,1.0,0.0
59,0,1.0,0.0
60,0,1.0,0.0
61,0,1.0,0.0
62,0,1.0,0.0
63,0,0.9999,0.0001
64,0,0.9999,0.0001
65,0,0.9999,0.0001
66,0,0.9999,0.0001
67,0,1.0,0.0
68,0,0.9999,0.0001
69,0,0.9999,0.0001
70,0,0.9999,0.0001
71,0,0.9999,0.0001
72,0,0.9999,0.0001
73,0,1.0,0.0
74,0,0.9999,0.0001
75,0,0.9999,0.0001
76,0,0.9999,0.0001
77,0,0.9999,0.0001
78,0,0.9999,0.0001
79,0,0.9999,0.0001
80,0,0.9999,0.0001
81,0,0.9999,0.0001
82,0,1.0,0.0
83,0,1.0,0.0
84,0,1.0,0.0
85,0,1.0,0.0
86,0,1.0,0.0
87,0,1.0,0.0
88,0,1.0,0.0
89,0,1.0,0.0
90,0,1.0,0.0
91,0,0.9999,0.0001
92,0,0.9999,0.0001
93,0,0.9999,0.0001
94,0,0.999,0.001
95,0,0.9972,0.0028
96,0,0.9978,0.0022
97,0,0.9992,0.0008
98,0,0.999,0.001
99,0,0.9993,0.0007
100,0,0.9994,0.0006
101,0,0.9996,0.0004
102,0,0.9985,0.0015
103,0,0.9984,0.0016
104,0,0.9982,0.0018
105,0,0.9988,0.0012
106,0,0.9979,0.0021
107,0,0.9976,0.0024
108,0,0.9989,0.0011
109,0,0.998,0.002
110,0,0.9983,0.0017
111,0,0.9994,0.0006
112,0,0.999,0.001
113,0,0.9989,0.0011
114,0,0.9994,0.0006
115,0,0.9999,0.0001
116,0,0.9993,0.0007
117,0,0.9998,0.0002
118,0,0.9998,0.0002
119,0,0.9998,0.0002
120,0,0.9996,0.0004
121,0,0.9994,0.0006
122,0,0.9998,0.0002
123,0,0.9974,0.0026
124,0,0.9998,0.0002
125,0,0.9999,0.0001
126,0,0.9998,0.0002
127,0,0.999,0.001
128,0,0.9996,0.0004
129,0,0.9995,0.0005
130,0,1.0,0.0
131,0,0.9997,0.0003
132,0,0.9999,0.0001
133,0,0.9999,0.0001
134,0,0.9999,0.0001
135,0,0.9999,0.0001
136,0,0.9998,0.0002
137,0,0.9992,0.0008
138,0,0.9997,0.0003
139,0,0.9956,0.0044
140,0,0.9983,0.0017
141,0,0.9811,0.0189
142,0,0.9991,0.0009
143,0,0.9999,0.0001
144,0,0.9999,0.0001
145,0,0.9997,0.0003
146,0,0.9997,0.0003
147,0,0.9999,0.0001
148,0,1.0,0.0
149,0,0.9999,0.0001
150,0,1.0,0.0
151,0,0.9993,0.0007
152,0,0.9994,0.0006
153,0,0.9999,0.0001
154,0,1.0,0.0
155,0,1.0,0.0
156,0,0.9999,0.0001
157,0,0.9999,0.0001
158,0,1.0,0.0
159,0,1.0,0.0
160,0,1.0,0.0
161,0,1.0,0.0
162,0,1.0,0.0
163,0,1.0,0.0
164,0,1.0,0.0
165,0,1.0,0.0
166,0,0.9999,0.0001
167,0,0.9995,0.0005
168,0,0.9992,0.0008
169,0,0.9998,0.0002
170,0,0.9996,0.0004
171,0,0.9999,0.0001
172,0,0.9999,0.0001
173,0,0.9994,0.0006
174,0,1.0,0.0
175,0,0.9999,0.0001
176,0,0.9999,0.0001
177,0,0.9819,0.0181
178,0,0.9999,0.0001
179,0,0.9997,0.0003
180,0,0.9997,0.0003
181,0,0.9998,0.0002
182,0,0.9996,0.0004
183,0,0.9987,0.0013
184,0,0.9967,0.0033
185,0,0.9966,0.0034
186,0,0.9989,0.0011
187,1,0.2708,0.7292
188,1,0.0353,0.9647
189,1,0.0786,0.9214
190,1,0.1066,0.8934
191,0,0.9956,0.0044
192,0,0.9894,0.0106
193,1,0.1502,0.8498
194,0,0.9574,0.0426
195,0,0.9546,0.0454
196,0,0.9671,0.0329
197,0,0.97,0.03
198,0,0.9852,0.0148
199,0,0.99,0.01
200,0,0.9961,0.0039
201,0,0.9975,0.0025
202,0,0.9965,0.0035
203,0,0.9992,0.0008
204,0,0.9989,0.0011
205,0,0.9989,0.0011
206,0,0.9983,0.0017
207,0,0.999,0.001
208,0,0.9994,0.0006
209,0,0.9989,0.0011
210,0,0.9986,0.0014
211,0,0.9983,0.0017
212,0,0.9993,0.0007
213,0,0.9998,0.0002
214,0,0.9999,0.0001
215,0,0.9998,0.0002
216,0,0.9996,0.0004
217,0,0.9996,0.0004
218,0,0.9997,0.0003
219,0,0.9987,0.0013
220,0,0.9851,0.0149
221,0,0.9837,0.0163
222,0,0.9912,0.0088
223,0,0.9999,0.0001
224,0,0.9999,0.0001
225,0,1.0,0.0
226,0,1.0,0.0
227,0,1.0,0.0
228,0,1.0,0.0
229,0,1.0,0.0
230,0,1.0,0.0
231,0,1.0,0.0
232,0,1.0,0.0
233,0,1.0,0.0
234,0,1.0,0.0
235,0,0.9999,0.0001
236,0,0.9999,0.0001
237,0,0.9994,0.0006
238,0,0.9984,0.0016
239,0,0.9994,0.0006
240,0,0.9991,0.0009
241,0,0.9991,0.0009
242,0,0.9988,0.0012
243,0,0.9996,0.0004
244,0,0.9993,0.0007
245,0,0.9997,0.0003
246,0,0.9997,0.0003
247,0,0.9876,0.0124
248,0,0.9899,0.0101
249,0,0.9874,0.0126
250,0,0.904,0.096
251,0,0.987,0.013
252,0,0.9922,0.0078
253,0,0.9999,0.0001
254,0,0.9854,0.0146
255,0,0.9999,0.0001
256,0,1.0,0.0
257,0,1.0,0.0
258,0,1.0,0.0
259,0,1.0,0.0
260,0,1.0,0.0
261,0,1.0,0.0
262,0,1.0,0.0
263,0,1.0,0.0
264,0,1.0,0.0
265,0,1.0,0.0
266,0,1.0,0.0
267,0,1.0,0.0
268,0,1.0,0.0
269,0,0.9999,0.0001
270,0,0.9998,0.0002
271,0,0.9999,0.0001
272,0,0.9999,0.0001
273,0,1.0,0.0
274,0,1.0,0.0
275,0,0.9999,0.0001
276,0,0.9999,0.0001
277,0,0.9999,0.0001
278,0,0.9999,0.0001
279,0,0.9999,0.0001
280,0,0.9999,0.0001
281,0,0.9999,0.0001
282,0,0.9999,0.0001
283,0,1.0,0.0
284,0,1.0,0.0
285,0,0.9999,0.0001
286,0,1.0,0.0
287,0,1.0,0.0
288,0,1.0,0.0
289,0,1.0,0.0
290,0,1.0,0.0
291,0,1.0,0.0
292,0,1.0,0.0
293,0,1.0,0.0
294,0,1.0,0.0
295,0,1.0,0.0
296,0,1.0,0.0
297,0,1.0,0.0
298,0,1.0,0.0
299,0,1.0,0.0
300,0,1.0,0.0
301,0,1.0,0.0
302,0,1.0,0.0
303,0,1.0,0.0
304,0,1.0,0.0
305,0,1.0,0.0
306,0,1.0,0.0
307,0,1.0,0.0
308,0,1.0,0.0
309,0,1.0,0.0
310,0,1.0,0.0
311,0,1.0,0.0
312,0,1.0,0.0
313,0,1.0,0.0
314,0,1.0,0.0
315,0,1.0,0.0
316,0,1.0,0.0
317,0,0.9999,0.0001
318,0,1.0,0.0
319,0,1.0,0.0
320,0,0.9999,0.0001
321,0,0.9999,0.0001
322,0,0.9999,0.0001
323,0,1.0,0.0
324,0,1.0,0.0
325,0,1.0,0.0
326,0,1.0,0.0
327,0,1.0,0.0
328,0,1.0,0.0
329,0,1.0,0.0
330,0,1.0,0.0
331,0,1.0,0.0
332,0,1.0,0.0
333,0,1.0,0.0
334,0,1.0,0.0
335,0,0.9999,0.0001
336,0,1.0,0.0
337,0,1.0,0.0
338,0,0.9999,0.0001
339,0,0.9999,0.0001
340,0,0.9997,0.0003
341,0,0.9998,0.0002
342,0,0.9999,0.0001
343,0,0.9999,0.0001
344,0,0.9999,0.0001
345,0,0.9999,0.0001
346,0,0.9995,0.0005
347,0,0.977,0.023
348,0,0.961,0.039
349,0,0.9973,0.0027
350,0,0.9993,0.0007
351,0,0.9706,0.0294
352,0,0.9861,0.0139
353,0,0.9482,0.0518
354,0,0.9944,0.0056
355,0,0.9833,0.0167
356,0,0.933,0.067
357,0,0.9736,0.0264
358,0,0.9136,0.0864
359,0,0.9921,0.0079
360,0,0.9718,0.0282
361,0,0.9852,0.0148
362,0,0.987,0.013
363,0,0.9996,0.0004
364,0,0.9991,0.0009
365,0,0.9996,0.0004
366,0,0.9998,0.0002
367,0,1.0,0.0
368,0,1.0,0.0
369,0,0.9999,0.0001
370,0,0.9999,0.0001
371,0,0.9999,0.0001
372,0,0.9999,0.0001
373,0,0.9999,0.0001
374,0,0.9999,0.0001
375,0,0.9999,0.0001
376,0,0.9999,0.0001
377,0,0.9998,0.0002
378,0,0.9996,0.0004
379,0,0.9997,0.0003
380,0,0.9999,0.0001
381,0,1.0,0.0
382,0,0.9999,0.0001
383,0,0.9998,0.0002
384,0,0.9996,0.0004
385,0,0.9996,0.0004
386,0,0.9998,0.0002
387,0,0.9999,0.0001
388,0,0.9999,0.0001
389,0,0.9993,0.0007
390,0,0.9998,0.0002
391,0,0.9995,0.0005
392,0,0.9995,0.0005
393,0,0.9991,0.0009
394,0,0.9994,0.0006
395,0,0.9997,0.0003
396,0,0.9934,0.0066
397,0,0.9971,0.0029
398,0,0.9953,0.0047
399,0,0.991,0.009
400,0,0.9989,0.0011
401,0,0.9988,0.0012
402,0,0.999,0.001
403,0,0.9993,0.0007
404,0,0.9995,0.0005
405,0,0.9995,0.0005
406,0,0.9986,0.0014
407,0,0.9987,0.0013
408,0,0.9998,0.0002
409,0,0.9999,0.0001
410,0,0.9999,0.0001
411,0,0.9999,0.0001
412,0,0.9999,0.0001
413,0,0.9999,0.0001
414,0,0.9996,0.0004
415,0,0.9993,0.0007
416,0,0.9996,0.0004
417,0,0.9995,0.0005
418,0,0.9998,0.0002
419,0,0.9998,0.0002
420,0,0.9999,0.0001
421,0,0.9999,0.0001
422,0,0.9999,0.0001
423,0,0.9998,0.0002
424,0,1.0,0.0
425,0,1.0,0.0
426,0,1.0,0.0
427,0,1.0,0.0
428,0,1.0,0.0
429,0,1.0,0.0
430,0,0.9999,0.0001
431,0,1.0,0.0
432,0,1.0,0.0
433,0,1.0,0.0
434,0,1.0,0.0
435,0,1.0,0.0
436,0,0.9999,0.0001
437,0,1.0,0.0
438,0,0.9999,0.0001
439,0,1.0,0.0
440,0,0.9999,0.0001
441,0,0.9999,0.0001
442,0,1.0,0.0
443,0,0.9999,0.0001
444,0,0.9999,0.0001
445,0,1.0,0.0
446,0,1.0,0.0
447,0,0.9999,0.0001
448,0,0.9999,0.0001
449,0,1.0,0.0
450,0,0.9999,0.0001
451,0,0.9999,0.0001
452,0,0.9999,0.0001
453,0,0.9999,0.0001
454,0,0.9999,0.0001
455,0,1.0,0.0
456,0,0.9999,0.0001
457,0,1.0,0.0
458,0,0.9999,0.0001
459,0,0.9999,0.0001
460,0,0.9998,0.0002
461,0,0.9999,0.0001
462,0,1.0,0.0
463,0,1.0,0.0
464,0,1.0,0.0
465,0,1.0,0.0
466,0,1.0,0.0
467,0,1.0,0.0
468,0,1.0,0.0
469,0,0.9999,0.0001
470,0,0.9999,0.0001
471,0,0.9996,0.0004
472,0,0.9992,0.0008
473,0,0.9995,0.0005
474,0,0.9992,0.0008
475,0,0.9999,0.0001
476,0,0.9999,0.0001
477,0,0.9999,0.0001
478,0,0.9999,0.0001
479,0,0.9999,0.0001
480,0,0.9999,0.0001
481,0,1.0,0.0
482,0,1.0,0.0
483,0,1.0,0.0
484,0,0.9999,0.0001
485,0,0.9999,0.0001
486,0,1.0,0.0
487,0,1.0,0.0
488,0,1.0,0.0
489,0,1.0,0.0
490,0,0.9985,0.0015
491,0,0.9993,0.0007
492,0,0.9985,0.0015
493,0,0.9983,0.0017
494,0,0.9986,0.0014
495,0,0.9978,0.0022
496,0,0.9875,0.0125
497,0,0.9987,0.0013
498,0,1.0,0.0
499,0,1.0,0.0
500,0,1.0,0.0
501,0,1.0,0.0
502,0,1.0,0.0
503,0,1.0,0.0
504,0,1.0,0.0
505,0,1.0,0.0
506,0,1.0,0.0
507,0,1.0,0.0
508,0,1.0,0.0
509,0,1.0,0.0
510,0,1.0,0.0
511,0,0.9999,0.0001
512,0,0.9999,0.0001
513,0,0.9999,0.0001
514,0,1.0,0.0
515,0,1.0,0.0
516,0,1.0,0.0
517,0,0.9998,0.0002
518,0,0.9998,0.0002
519,0,1.0,0.0
520,0,1.0,0.0
521,0,1.0,0.0
522,0,1.0,0.0
523,0,1.0,0.0
524,0,1.0,0.0
525,0,1.0,0.0
526,0,1.0,0.0
527,0,1.0,0.0
528,0,1.0,0.0
529,0,1.0,0.0
530,0,1.0,0.0
531,0,1.0,0.0
532,0,1.0,0.0
533,0,1.0,0.0
534,0,1.0,0.0
535,0,1.0,0.0
536,0,1.0,0.0
537,0,1.0,0.0
538,0,1.0,0.0
539,0,1.0,0.0
540,0,1.0,0.0
541,0,1.0,0.0
542,0,1.0,0.0
543,0,1.0,0.0
544,0,1.0,0.0
545,0,1.0,0.0
546,0,1.0,0.0
547,0,0.9998,0.0002
548,0,0.9998,0.0002
549,0,0.9999,0.0001
550,0,0.9998,0.0002
551,0,0.9999,0.0001
552,0,0.9997,0.0003
553,0,0.9715,0.0285
554,0,0.9997,0.0003
555,0,0.9758,0.0242
556,0,0.984,0.016
557,0,0.999,0.001
558,0,0.9999,0.0001
559,0,0.9999,0.0001
560,0,1.0,0.0
561,0,0.9999,0.0001
562,0,1.0,0.0
563,0,1.0,0.0
564,0,1.0,0.0
565,0,1.0,0.0
566,0,1.0,0.0
567,0,1.0,0.0
