,class predicted,prob_class_0,prob_class_1
0,0,0.537,0.463
1,1,0.1385,0.8615
2,1,0.3336,0.6664
3,0,0.6531,0.3469
4,1,0.4076,0.5924
5,0,0.7403,0.2597
6,0,0.9231,0.0769
7,0,0.9786,0.0214
8,0,0.9753,0.0247
9,0,0.9827,0.0173
10,0,0.9984,0.0016
11,0,0.9998,0.0002
12,0,1.0,0.0
13,0,1.0,0.0
14,0,0.9999,0.0001
15,0,0.9999,0.0001
16,0,0.9997,0.0003
17,0,0.9993,0.0007
18,0,0.9998,0.0002
19,0,0.9996,0.0004
20,0,0.9978,0.0022
21,0,0.9995,0.0005
22,0,0.9991,0.0009
23,0,0.9995,0.0005
24,0,0.9927,0.0073
25,0,0.9804,0.0196
26,0,0.9573,0.0427
27,0,0.9718,0.0282
28,0,0.9783,0.0217
29,0,0.9787,0.0213
30,0,0.9921,0.0079
31,0,0.9847,0.0153
32,0,0.9922,0.0078
33,0,0.9987,0.0013
34,0,1.0,0.0
35,0,0.9998,0.0002
36,0,0.9999,0.0001
37,0,0.9999,0.0001
38,0,1.0,0.0
39,0,1.0,0.0
40,0,1.0,0.0
41,0,1.0,0.0
42,0,0.9999,0.0001
43,0,1.0,0.0
44,0,1.0,0.0
45,0,1.0,0.0
46,0,1.0,0.0
47,0,1.0,0.0
48,0,1.0,0.0
49,0,1.0,0.0
50,0,1.0,0.0
51,0,1.0,0.0
52,0,1.0,0.0
53,0,1.0,0.0
54,0,1.0,0.0
55,0,1.0,0.0
56,0,1.0,0.0
57,0,1.0,0.0
58,0,1.0,0.0
59,0,1.0,0.0
60,0,1.0,0.0
61,0,1.0,0.0
62,0,1.0,0.0
63,0,1.0,0.0
64,0,1.0,0.0
65,0,1.0,0.0
66,0,1.0,0.0
67,0,1.0,0.0
68,0,0.9999,0.0001
69,0,1.0,0.0
70,0,1.0,0.0
71,0,1.0,0.0
72,0,1.0,0.0
73,0,1.0,0.0
74,0,1.0,0.0
75,0,1.0,0.0
76,0,1.0,0.0
77,0,1.0,0.0
78,0,1.0,0.0
79,0,1.0,0.0
80,0,1.0,0.0
81,0,1.0,0.0
82,0,1.0,0.0
83,0,1.0,0.0
84,0,1.0,0.0
85,0,1.0,0.0
86,0,1.0,0.0
87,0,1.0,0.0
88,0,1.0,0.0
89,0,1.0,0.0
90,0,1.0,0.0
91,0,1.0,0.0
92,0,1.0,0.0
93,0,1.0,0.0
94,0,1.0,0.0
95,0,1.0,0.0
96,0,1.0,0.0
97,0,1.0,0.0
98,0,1.0,0.0
99,0,1.0,0.0
100,0,1.0,0.0
101,0,1.0,0.0
102,0,1.0,0.0
103,0,1.0,0.0
104,0,1.0,0.0
105,0,1.0,0.0
106,0,1.0,0.0
107,0,1.0,0.0
108,0,0.9998,0.0002
109,0,0.9999,0.0001
110,0,1.0,0.0
111,0,1.0,0.0
112,0,1.0,0.0
113,0,1.0,0.0
114,0,1.0,0.0
115,0,1.0,0.0
116,0,1.0,0.0
117,0,0.9998,0.0002
118,0,1.0,0.0
119,0,0.9999,0.0001
120,0,0.9996,0.0004
121,0,0.9993,0.0007
122,0,0.9998,0.0002
123,0,0.9999,0.0001
124,0,0.9999,0.0001
125,0,1.0,0.0
126,0,1.0,0.0
127,0,1.0,0.0
128,0,0.9999,0.0001
129,0,0.9999,0.0001
130,0,1.0,0.0
131,0,1.0,0.0
132,0,0.9999,0.0001
133,0,0.9999,0.0001
134,0,0.9958,0.0042
135,0,0.9986,0.0014
136,0,0.9991,0.0009
137,0,0.9979,0.0021
138,0,0.999,0.001
139,0,0.9999,0.0001
140,0,1.0,0.0
141,0,0.9999,0.0001
142,0,0.9998,0.0002
143,0,0.9998,0.0002
144,0,0.9999,0.0001
145,0,0.9999,0.0001
146,0,0.9993,0.0007
147,0,0.9994,0.0006
148,0,0.9999,0.0001
149,0,0.9995,0.0005
150,0,0.9993,0.0007
151,0,0.9993,0.0007
152,0,0.9999,0.0001
153,0,0.9999,0.0001
154,0,0.9998,0.0002
155,0,0.9999,0.0001
156,0,0.9998,0.0002
157,0,0.9998,0.0002
158,0,0.9999,0.0001
159,0,1.0,0.0
160,0,0.9996,0.0004
161,0,0.9995,0.0005
162,0,0.9997,0.0003
163,0,0.9999,0.0001
164,0,0.9985,0.0015
165,0,0.9997,0.0003
166,0,0.9997,0.0003
167,0,0.9986,0.0014
168,0,0.9978,0.0022
169,0,0.998,0.002
170,0,0.9984,0.0016
171,0,0.999,0.001
172,0,0.9995,0.0005
173,0,1.0,0.0
174,0,0.9999,0.0001
175,0,0.9986,0.0014
176,0,0.9991,0.0009
177,0,0.9996,0.0004
178,0,0.9999,0.0001
179,0,1.0,0.0
180,0,1.0,0.0
181,0,1.0,0.0
182,0,1.0,0.0
183,0,1.0,0.0
184,0,1.0,0.0
185,0,1.0,0.0
186,0,1.0,0.0
187,0,0.9999,0.0001
188,0,0.9997,0.0003
189,0,0.9999,0.0001
190,0,0.9998,0.0002
191,0,0.9999,0.0001
192,0,1.0,0.0
193,0,1.0,0.0
194,0,1.0,0.0
195,0,1.0,0.0
196,0,1.0,0.0
197,0,1.0,0.0
198,0,1.0,0.0
199,0,1.0,0.0
200,0,1.0,0.0
201,0,0.9999,0.0001
202,0,0.9993,0.0007
203,0,0.9994,0.0006
204,0,0.9994,0.0006
205,0,0.9971,0.0029
206,0,0.9873,0.0127
207,0,0.9758,0.0242
208,0,0.9838,0.0162
209,0,0.9986,0.0014
210,0,0.9993,0.0007
211,0,0.9958,0.0042
212,0,0.9918,0.0082
