,class predicted,prob_class_0,prob_class_1
0,0,0.9747,0.0253
1,0,0.9985,0.0015
2,0,0.9997,0.0003
3,0,1.0,0.0
4,0,1.0,0.0
5,0,1.0,0.0
6,0,1.0,0.0
7,0,1.0,0.0
8,0,0.9999,0.0001
9,0,1.0,0.0
10,0,0.9999,0.0001
11,0,1.0,0.0
12,0,1.0,0.0
13,0,0.9999,0.0001
14,0,0.9999,0.0001
15,0,0.9999,0.0001
16,0,0.9995,0.0005
17,0,0.9997,0.0003
18,0,0.9996,0.0004
19,0,0.9998,0.0002
20,0,0.9996,0.0004
21,0,0.9995,0.0005
22,0,1.0,0.0
23,0,0.9999,0.0001
24,0,0.9999,0.0001
25,0,0.9998,0.0002
26,0,1.0,0.0
27,0,0.9999,0.0001
28,0,0.9999,0.0001
29,0,1.0,0.0
30,0,0.9994,0.0006
31,0,0.9996,0.0004
32,0,0.9983,0.0017
33,0,0.9991,0.0009
34,0,0.999,0.001
35,0,0.9999,0.0001
36,0,0.9999,0.0001
37,0,1.0,0.0
38,0,1.0,0.0
39,0,1.0,0.0
40,0,1.0,0.0
41,0,0.9999,0.0001
42,0,0.9999,0.0001
43,0,1.0,0.0
44,0,1.0,0.0
45,0,1.0,0.0
46,0,1.0,0.0
47,0,1.0,0.0
48,0,1.0,0.0
49,0,1.0,0.0
50,0,0.9999,0.0001
51,0,0.9998,0.0002
52,0,0.9997,0.0003
53,0,0.9998,0.0002
54,0,0.9996,0.0004
55,0,0.9998,0.0002
56,0,0.9999,0.0001
57,0,0.9999,0.0001
58,0,0.9998,0.0002
59,0,0.9998,0.0002
60,0,0.9998,0.0002
61,0,0.9996,0.0004
62,0,0.9999,0.0001
63,0,1.0,0.0
64,0,0.9999,0.0001
65,0,0.9998,0.0002
66,0,0.9996,0.0004
67,0,0.9996,0.0004
68,0,0.9991,0.0009
69,0,0.9991,0.0009
70,0,0.9984,0.0016
71,0,0.9994,0.0006
72,0,0.9999,0.0001
73,0,0.9999,0.0001
74,0,0.9999,0.0001
75,0,1.0,0.0
76,0,0.9996,0.0004
77,0,0.9995,0.0005
78,0,0.9999,0.0001
79,0,1.0,0.0
80,0,1.0,0.0
81,0,1.0,0.0
82,0,1.0,0.0
83,0,0.9997,0.0003
84,0,1.0,0.0
85,0,1.0,0.0
86,0,1.0,0.0
87,0,1.0,0.0
88,0,1.0,0.0
89,0,1.0,0.0
90,0,1.0,0.0
91,0,1.0,0.0
92,0,1.0,0.0
93,0,0.9999,0.0001
94,0,0.9999,0.0001
95,0,0.9999,0.0001
96,0,0.9997,0.0003
97,0,0.9999,0.0001
98,0,0.9994,0.0006
99,0,0.998,0.002
100,0,0.9988,0.0012
101,0,0.9986,0.0014
102,0,0.9985,0.0015
103,0,0.9981,0.0019
104,0,0.9993,0.0007
105,0,0.9982,0.0018
106,0,0.9993,0.0007
107,0,0.9999,0.0001
108,0,0.9977,0.0023
109,0,0.9975,0.0025
110,0,0.9992,0.0008
111,0,0.9993,0.0007
112,0,0.9987,0.0013
113,0,0.9994,0.0006
114,0,0.9955,0.0045
115,0,0.9959,0.0041
116,0,0.9832,0.0168
117,0,0.9766,0.0234
118,0,0.9945,0.0055
119,0,0.9872,0.0128
120,0,0.9927,0.0073
121,0,0.9972,0.0028
122,0,0.9951,0.0049
123,0,0.9423,0.0577
124,0,0.9479,0.0521
125,0,0.9501,0.0499
126,0,0.8084,0.1916
127,0,0.7788,0.2212
128,0,0.7751,0.2249
129,1,0.2936,0.7064
130,1,0.1374,0.8626
131,1,0.1717,0.8283
132,1,0.3996,0.6004
133,1,0.1274,0.8726
134,1,0.0451,0.9549
135,1,0.0643,0.9357
