,class predicted,prob_class_0,prob_class_1
0,0,0.92,0.08
1,0,0.96,0.04
2,0,0.93,0.07
3,0,0.95,0.05
4,0,0.97,0.03
5,0,0.98,0.02
6,0,0.99,0.01
7,0,0.93,0.07
8,0,0.92,0.08
9,0,0.92,0.08
10,0,0.89,0.11
11,0,0.92,0.08
12,0,0.88,0.12
13,0,0.87,0.13
14,0,0.85,0.15
15,0,0.86,0.14
16,0,0.85,0.15
17,0,0.92,0.08
18,0,0.88,0.12
19,0,0.91,0.09
20,0,0.84,0.16
21,0,0.89,0.11
22,0,0.91,0.09
23,0,0.91,0.09
24,0,0.88,0.12
25,0,0.87,0.13
26,0,0.88,0.12
27,0,0.94,0.06
28,0,0.95,0.05
29,0,0.95,0.05
30,0,0.97,0.03
31,0,0.97,0.03
32,0,0.98,0.02
33,0,0.95,0.05
34,0,0.95,0.05
35,0,0.98,0.02
36,0,0.97,0.03
37,0,0.95,0.05
38,0,0.94,0.06
39,0,0.95,0.05
40,0,0.95,0.05
41,0,0.98,0.02
42,0,0.99,0.01
43,0,0.96,0.04
44,0,0.96,0.04
45,0,0.92,0.08
46,0,0.92,0.08
47,0,0.85,0.15
48,0,0.86,0.14
49,0,0.88,0.12
50,0,0.87,0.13
51,0,0.86,0.14
52,0,0.87,0.13
53,0,0.86,0.14
54,0,0.91,0.09
55,0,0.96,0.04
56,0,0.9,0.1
57,0,0.85,0.15
58,0,0.84,0.16
59,0,0.93,0.07
60,0,0.94,0.06
61,0,0.94,0.06
62,0,0.94,0.06
63,0,0.96,0.04
64,0,0.94,0.06
65,0,1.0,0.0
66,0,0.98,0.02
67,0,0.99,0.01
68,0,0.97,0.03
69,0,0.93,0.07
70,0,0.92,0.08
71,0,0.96,0.04
72,0,0.96,0.04
73,0,0.95,0.05
74,0,0.94,0.06
75,0,0.93,0.07
76,0,0.97,0.03
77,0,0.98,0.02
78,0,0.97,0.03
79,0,0.96,0.04
80,0,0.99,0.01
81,0,0.95,0.05
82,0,0.95,0.05
83,0,0.97,0.03
84,0,0.97,0.03
85,0,0.99,0.01
86,0,0.98,0.02
87,0,0.97,0.03
88,0,0.97,0.03
89,0,0.97,0.03
90,0,0.97,0.03
91,0,0.98,0.02
92,0,0.9,0.1
93,0,0.92,0.08
94,0,0.91,0.09
95,0,0.9,0.1
96,0,0.94,0.06
97,0,0.95,0.05
98,0,0.95,0.05
99,0,0.96,0.04
100,0,0.92,0.08
101,0,0.92,0.08
102,0,0.93,0.07
103,0,0.92,0.08
104,0,0.94,0.06
105,0,0.94,0.06
106,0,0.91,0.09
107,0,0.92,0.08
108,0,0.9,0.1
109,0,0.92,0.08
110,0,0.95,0.05
111,0,0.93,0.07
112,0,0.96,0.04
113,0,0.97,0.03
114,0,0.97,0.03
115,0,0.9,0.1
116,0,0.89,0.11
117,0,0.89,0.11
118,0,0.97,0.03
119,0,0.97,0.03
120,0,0.96,0.04
121,0,0.93,0.07
122,0,0.94,0.06
123,0,0.84,0.16
124,0,0.89,0.11
125,0,0.9,0.1
126,0,0.83,0.17
127,0,0.8,0.2
128,0,0.85,0.15
129,0,0.77,0.23
130,0,0.81,0.19
131,0,0.79,0.21
132,0,0.84,0.16
133,0,0.84,0.16
134,0,0.84,0.16
135,0,0.85,0.15
136,0,0.87,0.13
137,0,0.88,0.12
138,0,0.84,0.16
139,0,0.81,0.19
140,0,0.81,0.19
141,0,0.82,0.18
142,0,0.82,0.18
143,0,0.83,0.17
144,0,0.82,0.18
145,0,0.81,0.19
146,0,0.9,0.1
147,0,0.9,0.1
148,0,0.95,0.05
149,0,0.94,0.06
150,0,0.95,0.05
151,0,0.92,0.08
152,0,0.9,0.1
153,0,0.78,0.22
154,0,0.87,0.13
155,0,0.87,0.13
156,0,0.8,0.2
157,0,0.77,0.23
158,0,0.81,0.19
159,0,0.91,0.09
160,0,0.93,0.07
161,0,0.91,0.09
162,0,0.93,0.07
163,0,0.91,0.09
164,0,0.94,0.06
165,0,0.97,0.03
166,0,0.88,0.12
167,0,0.91,0.09
168,0,0.91,0.09
169,0,0.89,0.11
170,0,0.91,0.09
171,0,0.9,0.1
172,0,0.98,0.02
173,0,1.0,0.0
174,0,1.0,0.0
175,0,0.97,0.03
176,0,0.95,0.05
177,0,0.98,0.02
178,0,0.98,0.02
179,0,0.98,0.02
180,0,0.96,0.04
181,0,0.95,0.05
182,0,0.91,0.09
183,0,0.93,0.07
184,0,0.95,0.05
185,0,0.94,0.06
186,0,0.91,0.09
187,0,0.91,0.09
188,0,0.91,0.09
189,0,0.86,0.14
190,0,0.78,0.22
191,0,0.8,0.2
192,0,0.82,0.18
193,0,0.83,0.17
194,0,0.8,0.2
195,0,0.77,0.23
196,0,0.79,0.21
197,0,0.76,0.24
198,0,0.69,0.31
199,0,0.72,0.28
200,0,0.63,0.37
201,0,0.65,0.35
202,0,0.74,0.26
203,0,0.65,0.35
204,0,0.71,0.29
205,0,0.74,0.26
206,0,0.69,0.31
207,0,0.77,0.23
208,0,0.75,0.25
209,0,0.79,0.21
210,0,0.83,0.17
211,0,0.88,0.12
212,0,0.85,0.15
213,0,0.84,0.16
214,0,0.8,0.2
215,0,0.76,0.24
216,0,0.74,0.26
217,0,0.7,0.3
218,0,0.83,0.17
219,0,0.88,0.12
220,0,0.89,0.11
221,0,0.98,0.02
222,0,0.98,0.02
223,0,0.94,0.06
224,0,0.96,0.04
225,0,0.95,0.05
226,0,0.93,0.07
227,0,0.92,0.08
228,0,0.89,0.11
229,0,0.91,0.09
230,0,0.86,0.14
231,0,0.87,0.13
232,0,0.82,0.18
233,0,0.77,0.23
234,0,0.92,0.08
235,0,0.91,0.09
236,0,0.96,0.04
237,0,0.97,0.03
238,0,0.97,0.03
239,0,0.98,0.02
240,0,0.99,0.01
241,0,0.98,0.02
242,0,0.92,0.08
243,0,0.98,0.02
244,0,0.99,0.01
245,0,0.99,0.01
246,0,0.94,0.06
247,0,0.95,0.05
248,0,0.81,0.19
249,0,0.71,0.29
250,0,0.86,0.14
251,0,0.88,0.12
252,0,0.97,0.03
253,0,0.96,0.04
254,0,0.95,0.05
255,0,0.86,0.14
256,0,0.97,0.03
257,0,0.97,0.03
258,0,0.97,0.03
259,0,0.99,0.01
260,0,0.96,0.04
261,0,0.89,0.11
262,0,0.88,0.12
263,0,0.88,0.12
264,0,0.89,0.11
265,0,0.93,0.07
266,0,0.91,0.09
267,0,0.95,0.05
268,0,0.93,0.07
269,0,0.96,0.04
270,0,0.96,0.04
271,0,0.96,0.04
272,0,0.95,0.05
273,0,0.9,0.1
274,0,0.95,0.05
275,0,0.94,0.06
276,0,0.94,0.06
277,0,0.91,0.09
278,0,0.95,0.05
279,0,0.97,0.03
280,0,0.97,0.03
281,0,0.92,0.08
282,0,0.93,0.07
283,0,0.97,0.03
284,0,0.97,0.03
285,0,0.98,0.02
286,0,0.95,0.05
287,0,0.97,0.03
288,0,0.97,0.03
289,0,0.95,0.05
290,0,0.93,0.07
291,0,0.88,0.12
292,0,0.92,0.08
293,0,0.9,0.1
294,0,0.86,0.14
295,0,0.86,0.14
296,0,0.9,0.1
297,0,0.93,0.07
298,0,0.96,0.04
299,0,0.94,0.06
300,0,0.94,0.06
301,0,0.98,0.02
302,0,0.98,0.02
303,0,0.98,0.02
304,0,0.99,0.01
305,0,0.96,0.04
306,0,0.96,0.04
307,0,0.95,0.05
308,0,0.93,0.07
