,class predicted,prob_class_0,prob_class_1
0,0,0.96,0.04
1,0,0.95,0.05
2,0,0.97,0.03
3,0,0.97,0.03
4,0,0.96,0.04
5,0,0.92,0.08
6,0,0.91,0.09
7,0,0.94,0.06
8,0,0.91,0.09
9,0,0.88,0.12
10,0,0.91,0.09
11,0,0.95,0.05
12,0,0.96,0.04
13,0,0.95,0.05
14,0,0.98,0.02
15,0,0.98,0.02
16,0,1.0,0.0
17,0,0.98,0.02
18,0,0.98,0.02
19,0,0.99,0.01
20,0,0.94,0.06
21,0,0.95,0.05
22,0,0.94,0.06
23,0,0.94,0.06
24,0,0.94,0.06
25,0,0.97,0.03
26,0,0.95,0.05
27,0,0.93,0.07
28,0,0.94,0.06
29,0,0.91,0.09
30,0,0.93,0.07
31,0,0.93,0.07
32,0,0.94,0.06
33,0,0.95,0.05
34,0,0.91,0.09
35,0,0.93,0.07
36,0,0.9,0.1
37,0,0.93,0.07
38,0,0.96,0.04
39,0,0.99,0.01
40,0,0.96,0.04
41,0,0.95,0.05
42,0,0.98,0.02
43,0,0.98,0.02
44,0,1.0,0.0
45,0,0.99,0.01
46,0,0.99,0.01
47,0,0.98,0.02
48,0,0.98,0.02
49,0,0.99,0.01
50,0,0.96,0.04
51,0,0.96,0.04
52,0,0.92,0.08
53,0,0.96,0.04
54,0,0.94,0.06
55,0,0.91,0.09
56,0,0.93,0.07
57,0,0.91,0.09
58,0,0.91,0.09
59,0,0.88,0.12
60,0,0.92,0.08
61,0,0.89,0.11
62,0,0.87,0.13
63,0,0.88,0.12
64,0,0.89,0.11
65,0,0.87,0.13
66,0,0.91,0.09
67,0,0.91,0.09
68,0,0.92,0.08
69,0,0.86,0.14
70,0,0.89,0.11
71,0,0.84,0.16
72,0,0.84,0.16
73,0,0.91,0.09
74,0,0.9,0.1
75,0,0.86,0.14
76,0,0.85,0.15
77,0,0.89,0.11
78,0,0.85,0.15
79,0,0.91,0.09
80,0,0.91,0.09
81,0,0.82,0.18
82,0,0.85,0.15
83,0,0.85,0.15
84,0,0.87,0.13
85,0,0.96,0.04
86,0,0.93,0.07
87,0,0.94,0.06
88,0,0.91,0.09
89,0,0.95,0.05
90,0,0.96,0.04
91,0,0.99,0.01
92,0,0.98,0.02
93,0,0.98,0.02
94,0,0.95,0.05
95,0,0.99,0.01
96,0,0.99,0.01
97,0,0.97,0.03
98,0,0.99,0.01
99,0,0.98,0.02
100,0,0.98,0.02
101,0,0.98,0.02
102,0,0.98,0.02
103,0,0.98,0.02
104,0,1.0,0.0
105,0,1.0,0.0
106,0,1.0,0.0
107,0,0.99,0.01
108,0,0.98,0.02
109,0,0.95,0.05
110,0,0.95,0.05
111,0,0.95,0.05
112,0,0.9,0.1
113,0,0.88,0.12
114,0,0.83,0.17
115,0,0.86,0.14
116,0,0.77,0.23
117,0,0.71,0.29
118,0,0.88,0.12
119,0,0.83,0.17
120,0,0.85,0.15
121,0,0.88,0.12
122,0,0.81,0.19
123,0,0.8,0.2
124,0,0.82,0.18
125,0,0.78,0.22
126,0,0.71,0.29
127,0,0.8,0.2
128,0,0.83,0.17
129,0,0.91,0.09
130,0,0.93,0.07
131,0,0.94,0.06
132,0,0.9,0.1
133,0,0.96,0.04
134,0,0.94,0.06
135,0,0.95,0.05
136,0,0.96,0.04
137,0,0.96,0.04
138,0,0.95,0.05
139,0,0.95,0.05
140,0,0.96,0.04
141,0,0.95,0.05
142,0,0.95,0.05
143,0,0.95,0.05
144,0,0.96,0.04
145,0,0.93,0.07
146,0,0.95,0.05
147,0,0.95,0.05
148,0,0.96,0.04
149,0,0.97,0.03
150,0,0.98,0.02
151,0,0.96,0.04
152,0,0.97,0.03
153,0,0.96,0.04
154,0,0.96,0.04
155,0,0.91,0.09
156,0,0.98,0.02
157,0,1.0,0.0
158,0,0.99,0.01
159,0,0.97,0.03
160,0,0.95,0.05
161,0,0.96,0.04
162,0,0.97,0.03
163,0,0.97,0.03
164,0,0.95,0.05
165,0,0.9,0.1
166,0,0.9,0.1
167,0,0.92,0.08
168,0,0.94,0.06
169,0,0.92,0.08
170,0,0.93,0.07
171,0,0.96,0.04
172,0,0.93,0.07
173,0,0.88,0.12
174,0,0.91,0.09
175,0,0.9,0.1
176,0,0.93,0.07
177,0,0.94,0.06
178,0,0.92,0.08
179,0,0.88,0.12
180,0,0.83,0.17
181,0,0.91,0.09
182,0,0.95,0.05
183,0,0.95,0.05
184,0,0.95,0.05
185,0,0.95,0.05
186,0,0.97,0.03
187,0,0.94,0.06
188,0,0.92,0.08
189,0,0.92,0.08
190,0,0.86,0.14
191,0,0.94,0.06
192,0,0.88,0.12
193,0,0.91,0.09
194,0,0.88,0.12
195,0,0.9,0.1
196,0,0.91,0.09
197,0,0.87,0.13
198,0,0.88,0.12
199,0,0.85,0.15
200,0,0.82,0.18
201,0,0.89,0.11
202,0,0.82,0.18
203,0,0.87,0.13
204,0,0.86,0.14
205,0,0.83,0.17
206,0,0.84,0.16
207,0,0.8,0.2
208,0,0.85,0.15
209,0,0.9,0.1
210,0,0.87,0.13
211,0,0.79,0.21
212,0,0.81,0.19
213,0,0.86,0.14
214,0,0.85,0.15
215,0,0.9,0.1
216,0,0.9,0.1
217,0,0.9,0.1
218,0,0.88,0.12
219,0,0.86,0.14
220,0,0.9,0.1
221,0,0.91,0.09
222,0,0.93,0.07
223,0,0.95,0.05
224,0,0.94,0.06
225,0,0.94,0.06
226,0,0.97,0.03
227,0,0.94,0.06
228,0,0.94,0.06
229,0,0.9,0.1
230,0,0.89,0.11
231,0,0.92,0.08
232,0,0.92,0.08
233,0,0.95,0.05
234,0,0.96,0.04
235,0,0.94,0.06
236,0,0.95,0.05
237,0,0.94,0.06
238,0,0.91,0.09
239,0,0.94,0.06
240,0,0.94,0.06
241,0,0.93,0.07
242,0,0.9,0.1
243,0,0.79,0.21
244,0,0.83,0.17
245,0,0.83,0.17
246,0,0.83,0.17
247,0,0.87,0.13
248,0,0.89,0.11
249,0,0.92,0.08
250,0,0.92,0.08
251,0,0.94,0.06
252,0,0.88,0.12
253,0,0.92,0.08
254,0,0.91,0.09
255,0,0.92,0.08
256,0,0.91,0.09
257,0,0.88,0.12
258,0,0.89,0.11
259,0,0.86,0.14
260,0,0.84,0.16
261,0,0.76,0.24
262,0,0.84,0.16
263,0,0.86,0.14
264,0,0.87,0.13
265,0,0.75,0.25
266,0,0.8,0.2
267,0,0.84,0.16
268,0,0.84,0.16
269,0,0.84,0.16
270,0,0.85,0.15
271,0,0.85,0.15
272,0,0.94,0.06
273,0,0.95,0.05
274,0,0.96,0.04
275,0,0.96,0.04
276,0,0.96,0.04
277,0,0.96,0.04
278,0,0.96,0.04
279,0,0.98,0.02
280,0,0.99,0.01
281,0,0.98,0.02
282,0,1.0,0.0
283,0,0.99,0.01
284,0,0.98,0.02
285,0,0.99,0.01
286,0,0.98,0.02
287,0,1.0,0.0
288,0,0.98,0.02
289,0,0.96,0.04
290,0,0.99,0.01
291,0,0.98,0.02
292,0,0.98,0.02
293,0,0.9,0.1
294,0,0.88,0.12
295,0,0.9,0.1
296,0,0.89,0.11
297,0,0.93,0.07
298,0,0.94,0.06
299,0,0.9,0.1
300,0,0.9,0.1
301,0,0.83,0.17
302,0,0.8,0.2
303,0,0.8,0.2
304,0,0.8,0.2
305,0,0.81,0.19
306,0,0.76,0.24
307,0,0.74,0.26
308,0,0.8,0.2
309,0,0.81,0.19
310,0,0.94,0.06
311,0,0.94,0.06
312,0,0.9,0.1
313,0,0.84,0.16
314,0,0.87,0.13
315,0,0.88,0.12
316,0,0.84,0.16
317,0,0.88,0.12
318,0,0.83,0.17
319,0,0.86,0.14
320,0,0.9,0.1
321,0,0.83,0.17
322,0,0.82,0.18
323,0,0.81,0.19
324,0,0.85,0.15
325,0,0.83,0.17
326,0,0.85,0.15
327,0,0.86,0.14
328,0,0.96,0.04
329,0,0.96,0.04
330,0,0.95,0.05
331,0,0.93,0.07
332,0,0.93,0.07
333,0,0.91,0.09
334,0,0.86,0.14
335,0,0.87,0.13
336,0,0.87,0.13
337,0,0.89,0.11
338,0,0.9,0.1
339,0,0.84,0.16
340,0,0.94,0.06
341,0,0.95,0.05
342,0,0.98,0.02
343,0,0.97,0.03
344,0,0.98,0.02
345,0,0.96,0.04
346,0,0.92,0.08
347,0,0.9,0.1
348,0,0.86,0.14
349,0,0.9,0.1
350,0,0.87,0.13
351,0,0.89,0.11
352,0,0.93,0.07
353,0,0.95,0.05
354,0,0.92,0.08
355,0,0.86,0.14
356,0,0.89,0.11
357,0,0.88,0.12
358,0,0.88,0.12
359,0,0.9,0.1
360,0,0.95,0.05
361,0,0.92,0.08
362,0,0.94,0.06
363,0,0.97,0.03
364,0,0.93,0.07
365,0,0.96,0.04
366,0,0.98,0.02
367,0,0.98,0.02
368,0,0.98,0.02
369,0,0.99,0.01
370,0,0.99,0.01
371,0,0.97,0.03
372,0,0.91,0.09
373,0,0.92,0.08
374,0,0.9,0.1
375,0,0.91,0.09
376,0,0.91,0.09
377,0,0.92,0.08
378,0,0.87,0.13
379,0,0.87,0.13
380,0,0.85,0.15
381,0,0.93,0.07
382,0,0.89,0.11
383,0,0.83,0.17
384,0,0.85,0.15
385,0,0.79,0.21
386,0,0.83,0.17
387,0,0.79,0.21
388,0,0.87,0.13
389,0,0.85,0.15
390,0,0.81,0.19
391,0,0.77,0.23
392,0,0.77,0.23
393,0,0.87,0.13
394,0,0.8,0.2
395,0,0.9,0.1
396,0,0.86,0.14
397,0,0.85,0.15
398,0,0.83,0.17
399,0,0.92,0.08
400,0,0.88,0.12
401,0,0.89,0.11
402,0,0.9,0.1
403,0,0.9,0.1
404,0,0.93,0.07
405,0,0.99,0.01
406,0,0.98,0.02
407,0,0.98,0.02
408,0,0.98,0.02
409,0,0.93,0.07
410,0,0.97,0.03
411,0,0.96,0.04
