,class predicted,prob_class_0,prob_class_1
0,1,0.0003,0.9997
1,1,0.0646,0.9354
2,0,0.6584,0.3416
3,0,0.9413,0.0587
4,0,0.919,0.081
5,0,0.9742,0.0258
6,0,0.9733,0.0267
7,0,0.9768,0.0232
8,0,0.9782,0.0218
9,0,0.9555,0.0445
10,0,0.9409,0.0591
11,0,0.9033,0.0967
12,0,0.9486,0.0514
13,0,0.979,0.021
14,0,0.9561,0.0439
15,0,0.9387,0.0613
16,0,0.9815,0.0185
17,0,0.9745,0.0255
18,0,0.972,0.028
19,0,0.952,0.048
20,0,0.9519,0.0481
21,0,0.9852,0.0148
22,0,0.9776,0.0224
23,0,0.992,0.008
24,0,0.9939,0.0061
25,0,0.9944,0.0056
26,0,0.9943,0.0057
27,0,0.9952,0.0048
28,0,0.9916,0.0084
29,0,0.9914,0.0086
30,0,0.9928,0.0072
31,0,0.9923,0.0077
32,0,0.9974,0.0026
33,0,0.9803,0.0197
34,0,0.9878,0.0122
35,0,0.9901,0.0099
36,0,0.9885,0.0115
37,0,0.9925,0.0075
38,0,0.9904,0.0096
39,0,0.9943,0.0057
40,0,0.9847,0.0153
41,0,0.9809,0.0191
42,0,0.9711,0.0289
43,0,0.936,0.064
44,0,0.9005,0.0995
45,0,0.86,0.14
46,0,0.9323,0.0677
47,0,0.9561,0.0439
48,0,0.981,0.019
49,0,0.9672,0.0328
50,0,0.989,0.011
51,0,0.9737,0.0263
52,0,0.9822,0.0178
53,0,0.9687,0.0313
54,0,0.9377,0.0623
55,0,0.9589,0.0411
56,0,0.9707,0.0293
57,0,0.9796,0.0204
58,0,0.9919,0.0081
59,0,0.9941,0.0059
60,0,0.9931,0.0069
61,0,0.993,0.007
62,0,0.9863,0.0137
63,0,0.9828,0.0172
64,0,0.9841,0.0159
65,0,0.9531,0.0469
66,0,0.9471,0.0529
67,0,0.9698,0.0302
68,0,0.9697,0.0303
69,0,0.951,0.049
70,0,0.9699,0.0301
71,0,0.9347,0.0653
72,0,0.9466,0.0534
73,0,0.9577,0.0423
74,0,0.9785,0.0215
75,0,0.9848,0.0152
76,0,0.9852,0.0148
77,0,0.9867,0.0133
78,0,0.9915,0.0085
79,0,0.9846,0.0154
80,0,0.9926,0.0074
81,0,0.9933,0.0067
82,0,0.9944,0.0056
83,0,0.9886,0.0114
84,0,0.9942,0.0058
85,0,0.994,0.006
86,0,0.9901,0.0099
87,0,0.9955,0.0045
88,0,0.9937,0.0063
89,0,0.9873,0.0127
90,0,0.9906,0.0094
91,0,0.9836,0.0164
92,0,0.9903,0.0097
93,0,0.9897,0.0103
94,0,0.9916,0.0084
95,0,0.9874,0.0126
96,0,0.9514,0.0486
