,class predicted,prob_class_0,prob_class_1
0,0,0.9997,0.0003
1,0,0.9995,0.0005
2,0,0.9992,0.0008
3,0,0.9984,0.0016
4,0,0.998,0.002
5,0,0.9976,0.0024
6,0,0.9972,0.0028
7,0,0.9976,0.0024
8,0,0.9978,0.0022
9,0,0.9974,0.0026
10,0,0.9976,0.0024
11,0,0.9974,0.0026
12,0,0.9975,0.0025
13,0,0.9973,0.0027
14,0,0.9977,0.0023
15,0,0.9983,0.0017
16,0,0.9983,0.0017
17,0,0.9986,0.0014
18,0,0.9985,0.0015
19,0,0.9986,0.0014
20,0,0.9985,0.0015
21,0,0.9985,0.0015
22,0,0.9991,0.0009
23,0,0.9994,0.0006
24,0,0.9994,0.0006
25,0,0.9993,0.0007
26,0,0.9993,0.0007
27,0,0.9992,0.0008
28,0,0.9994,0.0006
29,0,0.9991,0.0009
30,0,0.9995,0.0005
31,0,0.9994,0.0006
32,0,0.9994,0.0006
33,0,0.9992,0.0008
34,0,0.9993,0.0007
35,0,0.9992,0.0008
36,0,0.9985,0.0015
37,0,0.9979,0.0021
38,0,0.9982,0.0018
39,0,0.9979,0.0021
40,0,0.998,0.002
41,0,0.9973,0.0027
42,0,0.9966,0.0034
43,0,0.9971,0.0029
44,0,0.9975,0.0025
45,0,0.9978,0.0022
46,0,0.9977,0.0023
47,0,0.998,0.002
48,0,0.9972,0.0028
49,0,0.9959,0.0041
50,0,0.9969,0.0031
51,0,0.9974,0.0026
52,0,0.9974,0.0026
53,0,0.9979,0.0021
54,0,0.995,0.005
55,0,0.9955,0.0045
56,0,0.9959,0.0041
57,0,0.9958,0.0042
58,0,0.9957,0.0043
59,0,0.9961,0.0039
60,0,0.9977,0.0023
61,0,0.9986,0.0014
62,0,0.999,0.001
63,0,0.9994,0.0006
64,0,0.9995,0.0005
65,0,0.9995,0.0005
66,0,0.9995,0.0005
67,0,0.9994,0.0006
68,0,0.9994,0.0006
69,0,0.9993,0.0007
70,0,0.9991,0.0009
71,0,0.9988,0.0012
72,0,0.9987,0.0013
73,0,0.9983,0.0017
74,0,0.9984,0.0016
75,0,0.9983,0.0017
76,0,0.9987,0.0013
77,0,0.9992,0.0008
78,0,0.999,0.001
79,0,0.999,0.001
80,0,0.999,0.001
81,0,0.9991,0.0009
82,0,0.9991,0.0009
83,0,0.9993,0.0007
84,0,0.9996,0.0004
85,0,0.9995,0.0005
86,0,0.9991,0.0009
87,0,0.999,0.001
88,0,0.999,0.001
89,0,0.9988,0.0012
90,0,0.9989,0.0011
91,0,0.9991,0.0009
92,0,0.9991,0.0009
93,0,0.9991,0.0009
94,0,0.9992,0.0008
95,0,0.999,0.001
96,0,0.9989,0.0011
97,0,0.999,0.001
98,0,0.999,0.001
99,0,0.9989,0.0011
100,0,0.9984,0.0016
101,0,0.9982,0.0018
102,0,0.9982,0.0018
103,0,0.9981,0.0019
104,0,0.9976,0.0024
105,0,0.9965,0.0035
106,0,0.9968,0.0032
107,0,0.9966,0.0034
108,0,0.9969,0.0031
109,0,0.997,0.003
110,0,0.994,0.006
111,0,0.9911,0.0089
112,0,0.9915,0.0085
113,0,0.9923,0.0077
114,0,0.9954,0.0046
115,0,0.9968,0.0032
116,0,0.9974,0.0026
117,0,0.9975,0.0025
118,0,0.9979,0.0021
119,0,0.9982,0.0018
120,0,0.9979,0.0021
121,0,0.9975,0.0025
122,0,0.9957,0.0043
123,0,0.9955,0.0045
124,0,0.9971,0.0029
125,0,0.998,0.002
126,0,0.9983,0.0017
127,0,0.9981,0.0019
128,0,0.9984,0.0016
129,0,0.9987,0.0013
130,0,0.9987,0.0013
131,0,0.9984,0.0016
132,0,0.9986,0.0014
133,0,0.9987,0.0013
134,0,0.9986,0.0014
135,0,0.9986,0.0014
136,0,0.9986,0.0014
137,0,0.9987,0.0013
138,0,0.9987,0.0013
139,0,0.9988,0.0012
140,0,0.9987,0.0013
141,0,0.9986,0.0014
142,0,0.9988,0.0012
143,0,0.9986,0.0014
144,0,0.9984,0.0016
145,0,0.9982,0.0018
146,0,0.9983,0.0017
147,0,0.9984,0.0016
148,0,0.9982,0.0018
149,0,0.9979,0.0021
150,0,0.9977,0.0023
151,0,0.998,0.002
152,0,0.9981,0.0019
153,0,0.9983,0.0017
154,0,0.998,0.002
155,0,0.9979,0.0021
