,class predicted,prob_class_0,prob_class_1
0,0,0.9999,0.0001
1,0,0.9999,0.0001
2,0,0.9999,0.0001
3,0,0.9999,0.0001
4,0,0.9999,0.0001
5,0,0.9999,0.0001
6,0,0.9999,0.0001
7,0,0.9999,0.0001
8,0,1.0,0.0
9,0,0.9999,0.0001
10,0,0.9999,0.0001
11,0,0.9999,0.0001
12,0,0.9999,0.0001
13,0,0.9999,0.0001
14,0,0.9999,0.0001
15,0,0.9999,0.0001
16,0,1.0,0.0
17,0,1.0,0.0
18,0,1.0,0.0
19,0,1.0,0.0
20,0,1.0,0.0
21,0,1.0,0.0
22,0,1.0,0.0
23,0,1.0,0.0
24,0,1.0,0.0
25,0,1.0,0.0
26,0,1.0,0.0
27,0,1.0,0.0
28,0,1.0,0.0
29,0,1.0,0.0
30,0,0.9999,0.0001
31,0,0.9999,0.0001
32,0,0.9999,0.0001
33,0,0.9999,0.0001
34,0,1.0,0.0
35,0,1.0,0.0
36,0,1.0,0.0
37,0,1.0,0.0
38,0,1.0,0.0
39,0,1.0,0.0
40,0,1.0,0.0
41,0,1.0,0.0
42,0,1.0,0.0
43,0,1.0,0.0
44,0,1.0,0.0
45,0,1.0,0.0
46,0,1.0,0.0
47,0,1.0,0.0
48,0,1.0,0.0
49,0,1.0,0.0
50,0,1.0,0.0
51,0,0.9999,0.0001
52,0,0.9999,0.0001
53,0,0.9999,0.0001
54,0,0.9999,0.0001
55,0,0.9999,0.0001
56,0,0.9999,0.0001
57,0,0.9999,0.0001
58,0,0.9999,0.0001
59,0,0.9999,0.0001
60,0,0.9999,0.0001
61,0,0.9999,0.0001
62,0,0.9999,0.0001
63,0,0.9999,0.0001
64,0,1.0,0.0
65,0,0.9999,0.0001
66,0,0.9999,0.0001
67,0,0.9999,0.0001
68,0,0.9999,0.0001
69,0,1.0,0.0
70,0,0.9999,0.0001
71,0,0.9999,0.0001
72,0,0.9999,0.0001
73,0,1.0,0.0
74,0,1.0,0.0
75,0,1.0,0.0
76,0,1.0,0.0
77,0,1.0,0.0
78,0,1.0,0.0
79,0,0.9999,0.0001
80,0,1.0,0.0
81,0,1.0,0.0
82,0,1.0,0.0
83,0,1.0,0.0
84,0,1.0,0.0
85,0,1.0,0.0
86,0,1.0,0.0
87,0,0.9999,0.0001
88,0,1.0,0.0
89,0,1.0,0.0
90,0,1.0,0.0
91,0,1.0,0.0
92,0,1.0,0.0
93,0,0.9999,0.0001
94,0,0.9998,0.0002
95,0,0.9985,0.0015
96,0,0.9997,0.0003
97,0,0.9999,0.0001
98,0,0.9987,0.0013
99,0,0.9988,0.0012
100,0,0.9991,0.0009
101,0,0.9994,0.0006
102,0,0.9994,0.0006
103,0,0.9993,0.0007
104,0,0.999,0.001
105,0,0.9992,0.0008
106,0,0.9999,0.0001
107,0,0.9998,0.0002
108,0,0.9999,0.0001
109,0,0.9998,0.0002
110,0,0.9999,0.0001
111,0,0.9998,0.0002
112,0,0.9999,0.0001
113,0,0.9998,0.0002
114,0,0.9999,0.0001
115,0,0.9998,0.0002
116,0,0.9999,0.0001
117,0,0.9997,0.0003
118,0,0.9996,0.0004
119,0,0.9994,0.0006
120,0,0.9997,0.0003
121,0,0.9994,0.0006
122,0,0.999,0.001
123,0,0.999,0.001
124,0,0.999,0.001
125,0,0.998,0.002
126,0,0.9977,0.0023
127,0,0.998,0.002
128,0,0.9953,0.0047
129,0,0.9981,0.0019
130,0,0.999,0.001
131,0,0.9993,0.0007
132,0,0.9993,0.0007
133,0,0.9999,0.0001
134,0,0.9994,0.0006
135,0,0.9998,0.0002
136,0,0.9998,0.0002
137,0,0.9999,0.0001
138,0,0.9997,0.0003
139,0,0.9999,0.0001
140,0,0.9998,0.0002
141,0,0.9994,0.0006
142,0,0.9996,0.0004
143,0,0.9996,0.0004
144,0,0.9998,0.0002
145,0,0.9998,0.0002
146,0,0.9999,0.0001
147,0,0.9996,0.0004
148,0,0.9998,0.0002
149,0,0.9998,0.0002
150,0,0.9998,0.0002
151,0,0.9997,0.0003
152,0,0.9998,0.0002
153,0,0.9998,0.0002
154,0,0.9998,0.0002
155,0,0.9999,0.0001
156,0,0.9997,0.0003
157,0,0.9997,0.0003
158,0,0.9999,0.0001
159,0,0.9999,0.0001
160,0,0.9999,0.0001
161,0,0.9999,0.0001
162,0,0.9999,0.0001
163,0,0.9998,0.0002
164,0,0.9998,0.0002
165,0,0.9999,0.0001
166,0,0.9999,0.0001
167,0,0.9999,0.0001
168,0,0.9999,0.0001
169,0,0.9999,0.0001
170,0,0.9999,0.0001
171,0,0.9999,0.0001
172,0,0.9999,0.0001
173,0,0.9999,0.0001
174,0,0.9999,0.0001
175,0,0.9999,0.0001
176,0,0.9999,0.0001
177,0,0.9999,0.0001
178,0,0.9999,0.0001
179,0,0.9999,0.0001
180,0,0.9999,0.0001
181,0,0.9999,0.0001
182,0,0.9998,0.0002
183,0,0.9996,0.0004
184,0,0.9997,0.0003
185,0,0.9996,0.0004
186,0,0.9991,0.0009
187,0,0.9825,0.0175
188,0,0.9945,0.0055
189,0,0.9979,0.0021
190,0,0.9977,0.0023
191,0,0.9978,0.0022
192,0,0.996,0.004
193,0,0.9959,0.0041
194,0,0.9992,0.0008
195,0,0.9987,0.0013
196,0,0.9942,0.0058
197,0,0.9953,0.0047
198,0,0.9935,0.0065
199,0,0.9982,0.0018
200,0,0.9976,0.0024
201,0,0.9987,0.0013
202,0,0.995,0.005
203,0,0.9979,0.0021
204,0,0.9996,0.0004
205,0,0.9999,0.0001
206,0,0.9999,0.0001
207,0,0.9999,0.0001
208,0,0.9999,0.0001
209,0,0.9999,0.0001
210,0,0.9999,0.0001
211,0,0.9999,0.0001
212,0,0.9999,0.0001
213,0,0.9999,0.0001
214,0,0.9999,0.0001
215,0,1.0,0.0
216,0,0.9999,0.0001
217,0,1.0,0.0
218,0,1.0,0.0
219,0,0.9999,0.0001
220,0,1.0,0.0
221,0,1.0,0.0
222,0,1.0,0.0
223,0,1.0,0.0
224,0,1.0,0.0
225,0,1.0,0.0
226,0,1.0,0.0
227,0,1.0,0.0
228,0,1.0,0.0
229,0,1.0,0.0
230,0,1.0,0.0
231,0,1.0,0.0
232,0,1.0,0.0
233,0,1.0,0.0
234,0,1.0,0.0
235,0,1.0,0.0
236,0,1.0,0.0
237,0,1.0,0.0
238,0,1.0,0.0
239,0,0.9999,0.0001
240,0,0.9999,0.0001
241,0,0.9998,0.0002
242,0,0.9998,0.0002
243,0,0.9999,0.0001
244,0,0.9999,0.0001
245,0,0.9999,0.0001
246,0,0.9999,0.0001
247,0,0.9999,0.0001
248,0,0.9999,0.0001
249,0,0.9999,0.0001
250,0,0.9999,0.0001
251,0,0.9999,0.0001
252,0,0.9999,0.0001
253,0,0.9999,0.0001
254,0,0.9999,0.0001
255,0,0.9999,0.0001
256,0,0.9999,0.0001
257,0,1.0,0.0
258,0,1.0,0.0
259,0,1.0,0.0
260,0,1.0,0.0
261,0,1.0,0.0
262,0,1.0,0.0
263,0,1.0,0.0
264,0,1.0,0.0
265,0,1.0,0.0
266,0,1.0,0.0
267,0,1.0,0.0
268,0,1.0,0.0
269,0,1.0,0.0
270,0,1.0,0.0
271,0,1.0,0.0
272,0,1.0,0.0
273,0,1.0,0.0
274,0,1.0,0.0
275,0,1.0,0.0
276,0,0.9999,0.0001
277,0,1.0,0.0
278,0,1.0,0.0
279,0,0.9999,0.0001
280,0,0.9999,0.0001
281,0,0.9999,0.0001
282,0,0.9998,0.0002
283,0,0.9999,0.0001
284,0,0.9999,0.0001
285,0,0.9999,0.0001
286,0,0.9999,0.0001
287,0,0.9999,0.0001
288,0,0.9999,0.0001
289,0,0.9999,0.0001
290,0,0.9999,0.0001
291,0,0.9995,0.0005
292,0,0.9992,0.0008
293,0,1.0,0.0
294,0,1.0,0.0
295,0,0.9998,0.0002
296,0,0.9999,0.0001
297,0,1.0,0.0
298,0,1.0,0.0
299,0,1.0,0.0
300,0,1.0,0.0
301,0,1.0,0.0
302,0,1.0,0.0
303,0,1.0,0.0
304,0,1.0,0.0
305,0,1.0,0.0
306,0,1.0,0.0
307,0,1.0,0.0
308,0,1.0,0.0
309,0,1.0,0.0
310,0,1.0,0.0
311,0,1.0,0.0
312,0,1.0,0.0
313,0,1.0,0.0
314,0,1.0,0.0
315,0,1.0,0.0
316,0,1.0,0.0
317,0,1.0,0.0
318,0,1.0,0.0
319,0,1.0,0.0
320,0,1.0,0.0
321,0,0.9995,0.0005
322,0,0.9996,0.0004
323,0,1.0,0.0
324,0,0.9997,0.0003
325,0,0.9997,0.0003
326,0,0.9997,0.0003
327,0,0.9999,0.0001
328,0,0.9999,0.0001
329,0,0.9999,0.0001
330,0,1.0,0.0
331,0,1.0,0.0
332,0,0.9999,0.0001
333,0,0.9999,0.0001
334,0,1.0,0.0
335,0,1.0,0.0
336,0,1.0,0.0
337,0,1.0,0.0
338,0,1.0,0.0
339,0,0.9999,0.0001
340,0,0.9999,0.0001
341,0,1.0,0.0
342,0,1.0,0.0
343,0,0.9999,0.0001
344,0,0.9999,0.0001
345,0,0.9999,0.0001
346,0,0.9999,0.0001
347,0,0.9999,0.0001
348,0,0.9999,0.0001
349,0,0.9997,0.0003
350,0,0.9999,0.0001
351,0,0.9999,0.0001
352,0,0.9998,0.0002
353,0,0.9985,0.0015
354,0,0.9992,0.0008
355,0,0.9985,0.0015
356,0,0.9987,0.0013
357,0,0.9997,0.0003
358,0,0.9999,0.0001
359,0,0.9999,0.0001
360,0,1.0,0.0
361,0,1.0,0.0
362,0,0.9999,0.0001
363,0,1.0,0.0
364,0,1.0,0.0
365,0,0.9999,0.0001
366,0,1.0,0.0
367,0,0.9999,0.0001
368,0,0.9999,0.0001
369,0,0.9999,0.0001
370,0,0.9999,0.0001
371,0,0.9999,0.0001
372,0,0.9999,0.0001
373,0,0.9999,0.0001
374,1,0.0029,0.9971
375,0,0.9999,0.0001
376,0,0.9999,0.0001
377,0,0.9999,0.0001
378,0,0.9999,0.0001
379,0,1.0,0.0
380,0,0.9999,0.0001
381,0,0.9999,0.0001
382,0,1.0,0.0
383,0,1.0,0.0
384,0,1.0,0.0
385,0,0.9999,0.0001
386,0,0.9999,0.0001
387,0,0.9999,0.0001
388,0,0.9999,0.0001
389,0,0.9999,0.0001
390,0,0.9998,0.0002
391,0,0.9997,0.0003
392,0,0.9997,0.0003
393,0,0.9998,0.0002
394,0,0.9999,0.0001
395,0,0.9998,0.0002
396,0,0.9999,0.0001
397,0,0.9999,0.0001
398,0,1.0,0.0
399,0,1.0,0.0
400,0,1.0,0.0
401,0,1.0,0.0
402,0,1.0,0.0
403,0,1.0,0.0
404,0,1.0,0.0
405,0,1.0,0.0
406,0,1.0,0.0
407,0,1.0,0.0
408,0,1.0,0.0
409,0,1.0,0.0
410,0,1.0,0.0
