,class predicted,prob_class_0,prob_class_1
0,0,0.9418,0.0582
1,0,0.9307,0.0693
2,0,0.9265,0.0735
3,0,0.9419,0.0581
4,0,0.9675,0.0325
5,0,0.9832,0.0168
6,0,0.9858,0.0142
7,0,0.9875,0.0125
8,0,0.9795,0.0205
9,0,0.9927,0.0073
10,0,0.9918,0.0082
11,0,0.9933,0.0067
12,0,0.9922,0.0078
13,0,0.994,0.006
14,0,0.9928,0.0072
15,0,0.9896,0.0104
16,0,0.9822,0.0178
17,0,0.9703,0.0297
18,0,0.9807,0.0193
19,0,0.9851,0.0149
20,0,0.982,0.018
21,0,0.9745,0.0255
22,0,0.9714,0.0286
23,0,0.9674,0.0326
24,0,0.9756,0.0244
25,0,0.9598,0.0402
26,0,0.9618,0.0382
27,0,0.9822,0.0178
28,0,0.9832,0.0168
29,0,0.9828,0.0172
30,0,0.981,0.019
31,0,0.9829,0.0171
32,0,0.9869,0.0131
33,0,0.9856,0.0144
34,0,0.9775,0.0225
35,0,0.9683,0.0317
36,0,0.9795,0.0205
37,0,0.9811,0.0189
38,0,0.9826,0.0174
39,0,0.9808,0.0192
40,0,0.9802,0.0198
41,0,0.9842,0.0158
42,0,0.9725,0.0275
43,0,0.9777,0.0223
44,0,0.9687,0.0313
45,0,0.9707,0.0293
46,0,0.9812,0.0188
47,0,0.9824,0.0176
48,0,0.9638,0.0362
49,0,0.972,0.028
50,0,0.9828,0.0172
51,0,0.9753,0.0247
52,0,0.9877,0.0123
53,0,0.99,0.01
54,0,0.9906,0.0094
55,0,0.9906,0.0094
56,0,0.9933,0.0067
57,0,0.984,0.016
58,0,0.9869,0.0131
59,0,0.9897,0.0103
60,0,0.9945,0.0055
61,0,0.9926,0.0074
62,0,0.9918,0.0082
63,0,0.9935,0.0065
64,0,0.9894,0.0106
65,0,0.9886,0.0114
66,0,0.9788,0.0212
67,0,0.9784,0.0216
68,0,0.9738,0.0262
69,0,0.9725,0.0275
70,0,0.9707,0.0293
71,0,0.9771,0.0229
72,0,0.9805,0.0195
