,class predicted,prob_class_0,prob_class_1
0,1,0.0455,0.9545
1,1,0.0022,0.9978
2,1,0.0003,0.9997
3,1,0.0009,0.9991
4,1,0.004,0.996
5,1,0.117,0.883
6,0,0.5487,0.4513
7,0,0.8863,0.1137
8,0,0.9537,0.0463
9,0,0.9229,0.0771
10,0,0.9647,0.0353
11,0,0.977,0.023
12,0,0.9379,0.0621
13,0,0.9674,0.0326
14,0,0.9496,0.0504
15,0,0.9258,0.0742
16,0,0.9486,0.0514
17,0,0.8953,0.1047
18,0,0.9075,0.0925
19,0,0.9505,0.0495
20,0,0.9927,0.0073
21,0,0.9915,0.0085
22,0,0.992,0.008
23,0,0.99,0.01
24,0,0.9926,0.0074
25,0,0.9869,0.0131
26,0,0.9908,0.0092
27,0,0.9915,0.0085
28,0,0.9916,0.0084
29,0,0.9928,0.0072
30,0,0.993,0.007
31,0,0.9947,0.0053
32,0,0.9965,0.0035
33,0,0.9928,0.0072
34,0,0.9868,0.0132
35,0,0.988,0.012
36,0,0.9857,0.0143
37,0,0.9915,0.0085
38,0,0.9815,0.0185
39,0,0.9964,0.0036
40,0,0.993,0.007
41,0,0.9936,0.0064
42,0,0.9935,0.0065
43,0,0.9918,0.0082
44,0,0.9855,0.0145
45,0,0.9872,0.0128
46,0,0.9781,0.0219
47,0,0.9839,0.0161
48,0,0.9873,0.0127
49,0,0.99,0.01
50,0,0.9893,0.0107
51,0,0.9855,0.0145
52,0,0.9875,0.0125
53,0,0.9915,0.0085
54,0,0.9852,0.0148
55,0,0.9855,0.0145
56,0,0.989,0.011
57,0,0.9883,0.0117
58,0,0.9868,0.0132
59,0,0.9919,0.0081
60,0,0.9868,0.0132
61,0,0.9879,0.0121
62,0,0.9825,0.0175
63,0,0.9909,0.0091
64,0,0.9774,0.0226
65,0,0.9868,0.0132
66,0,0.9824,0.0176
67,0,0.9728,0.0272
68,0,0.964,0.036
69,0,0.9602,0.0398
70,0,0.956,0.044
71,0,0.9728,0.0272
72,0,0.9731,0.0269
73,0,0.9629,0.0371
74,0,0.9618,0.0382
75,0,0.9814,0.0186
76,0,0.9679,0.0321
77,0,0.9685,0.0315
78,0,0.9637,0.0363
79,0,0.9165,0.0835
80,0,0.9012,0.0988
81,0,0.9766,0.0234
82,0,0.9919,0.0081
83,0,0.9949,0.0051
84,0,0.9947,0.0053
85,0,0.9923,0.0077
86,0,0.9924,0.0076
87,0,0.9944,0.0056
88,0,0.9897,0.0103
89,0,0.9828,0.0172
90,0,0.9844,0.0156
91,0,0.9875,0.0125
92,0,0.9906,0.0094
93,0,0.9935,0.0065
94,0,0.9923,0.0077
95,0,0.9885,0.0115
96,0,0.9903,0.0097
97,0,0.9925,0.0075
98,0,0.9932,0.0068
99,0,0.9933,0.0067
100,0,0.9953,0.0047
101,0,0.9886,0.0114
102,0,0.9889,0.0111
103,0,0.9896,0.0104
104,0,0.9842,0.0158
105,0,0.991,0.009
106,0,0.988,0.012
107,0,0.9924,0.0076
108,0,0.9902,0.0098
109,0,0.9952,0.0048
110,0,0.9928,0.0072
111,0,0.9852,0.0148
112,0,0.9878,0.0122
113,0,0.9878,0.0122
114,0,0.9901,0.0099
115,0,0.9905,0.0095
116,0,0.9847,0.0153
117,0,0.9757,0.0243
118,0,0.9768,0.0232
119,0,0.9824,0.0176
120,0,0.9877,0.0123
121,0,0.9915,0.0085
122,0,0.9874,0.0126
123,0,0.981,0.019
124,0,0.9864,0.0136
125,0,0.9859,0.0141
126,0,0.9836,0.0164
127,0,0.9854,0.0146
128,0,0.9819,0.0181
129,0,0.9812,0.0188
130,0,0.9804,0.0196
131,0,0.9803,0.0197
132,0,0.9848,0.0152
133,0,0.9739,0.0261
134,0,0.9833,0.0167
135,0,0.9874,0.0126
136,0,0.98,0.02
137,0,0.986,0.014
138,0,0.9878,0.0122
139,0,0.9903,0.0097
140,0,0.9881,0.0119
141,0,0.9894,0.0106
142,0,0.9898,0.0102
143,0,0.9929,0.0071
144,0,0.991,0.009
145,0,0.9934,0.0066
146,0,0.9897,0.0103
147,0,0.9898,0.0102
148,0,0.9933,0.0067
149,0,0.9931,0.0069
150,0,0.9922,0.0078
151,0,0.9897,0.0103
152,0,0.9832,0.0168
153,0,0.9846,0.0154
154,0,0.9856,0.0144
155,0,0.9762,0.0238
156,0,0.9921,0.0079
157,0,0.9973,0.0027
158,0,0.9917,0.0083
159,0,0.9874,0.0126
160,0,0.953,0.047
161,0,0.9597,0.0403
162,0,0.9581,0.0419
163,0,0.9641,0.0359
164,0,0.9751,0.0249
165,0,0.946,0.054
166,0,0.9542,0.0458
167,0,0.9692,0.0308
168,0,0.9772,0.0228
169,0,0.9634,0.0366
170,0,0.9693,0.0307
171,0,0.9652,0.0348
172,0,0.9676,0.0324
173,0,0.985,0.015
174,0,0.9911,0.0089
175,0,0.9843,0.0157
176,0,0.9869,0.0131
177,0,0.9879,0.0121
178,0,0.9831,0.0169
179,0,0.9885,0.0115
180,0,0.9847,0.0153
181,0,0.9832,0.0168
182,0,0.981,0.019
183,0,0.9821,0.0179
184,0,0.9831,0.0169
185,0,0.969,0.031
186,0,0.9777,0.0223
187,0,0.977,0.023
188,0,0.9745,0.0255
189,0,0.9749,0.0251
190,0,0.9788,0.0212
191,0,0.981,0.019
192,0,0.993,0.007
193,0,0.9855,0.0145
194,0,0.9902,0.0098
195,0,0.9885,0.0115
196,0,0.9941,0.0059
197,0,0.9942,0.0058
198,0,0.9947,0.0053
199,0,0.9945,0.0055
200,0,0.9947,0.0053
201,0,0.9905,0.0095
202,0,0.9915,0.0085
203,0,0.9887,0.0113
204,0,0.9901,0.0099
205,0,0.9863,0.0137
206,0,0.9931,0.0069
207,0,0.9937,0.0063
208,0,0.9914,0.0086
209,0,0.9902,0.0098
210,0,0.988,0.012
211,0,0.979,0.021
212,0,0.9663,0.0337
213,0,0.9473,0.0527
214,0,0.9769,0.0231
215,0,0.9676,0.0324
216,0,0.9685,0.0315
217,0,0.9728,0.0272
218,0,0.973,0.027
219,0,0.981,0.019
220,0,0.9819,0.0181
221,0,0.9876,0.0124
222,0,0.9612,0.0388
223,0,0.9561,0.0439
224,0,0.965,0.035
225,0,0.9713,0.0287
226,0,0.9751,0.0249
227,0,0.9751,0.0249
228,0,0.977,0.023
229,0,0.9846,0.0154
230,0,0.9827,0.0173
231,0,0.9862,0.0138
232,0,0.9908,0.0092
233,0,0.9883,0.0117
234,0,0.973,0.027
235,0,0.987,0.013
236,0,0.9883,0.0117
237,0,0.9866,0.0134
238,0,0.9894,0.0106
239,0,0.9887,0.0113
240,0,0.9902,0.0098
241,0,0.9859,0.0141
242,0,0.9852,0.0148
243,0,0.9898,0.0102
244,0,0.9862,0.0138
245,0,0.9815,0.0185
246,0,0.987,0.013
247,0,0.982,0.018
248,0,0.9809,0.0191
249,0,0.9704,0.0296
250,0,0.9706,0.0294
251,0,0.9764,0.0236
252,0,0.9554,0.0446
253,0,0.9259,0.0741
254,0,0.93,0.07
255,0,0.965,0.035
256,0,0.9618,0.0382
257,0,0.9687,0.0313
258,0,0.9603,0.0397
259,0,0.9747,0.0253
260,0,0.9676,0.0324
261,0,0.962,0.038
262,0,0.9639,0.0361
263,0,0.9715,0.0285
264,0,0.9824,0.0176
265,0,0.992,0.008
266,0,0.9892,0.0108
267,0,0.9862,0.0138
268,0,0.9792,0.0208
269,0,0.9843,0.0157
270,0,0.9855,0.0145
271,0,0.9718,0.0282
272,0,0.9791,0.0209
273,0,0.9685,0.0315
274,0,0.9775,0.0225
275,0,0.9693,0.0307
276,0,0.964,0.036
277,0,0.9677,0.0323
278,0,0.9814,0.0186
279,0,0.9845,0.0155
280,0,0.9888,0.0112
281,0,0.9808,0.0192
282,0,0.9829,0.0171
283,0,0.9823,0.0177
284,0,0.9852,0.0148
285,0,0.9837,0.0163
286,0,0.9885,0.0115
287,0,0.9911,0.0089
288,0,0.985,0.015
289,0,0.9787,0.0213
290,0,0.9826,0.0174
291,0,0.9846,0.0154
292,0,0.9678,0.0322
293,0,0.9892,0.0108
294,0,0.9862,0.0138
295,0,0.9845,0.0155
296,0,0.9667,0.0333
297,0,0.9704,0.0296
298,0,0.9544,0.0456
299,0,0.9754,0.0246
300,0,0.9785,0.0215
301,0,0.9835,0.0165
302,0,0.9856,0.0144
303,0,0.978,0.022
304,0,0.9861,0.0139
305,0,0.9872,0.0128
306,0,0.9867,0.0133
307,0,0.993,0.007
308,0,0.9945,0.0055
309,0,0.9925,0.0075
310,0,0.9923,0.0077
311,0,0.9891,0.0109
312,0,0.9949,0.0051
313,0,0.9929,0.0071
314,0,0.9925,0.0075
315,0,0.9897,0.0103
316,0,0.995,0.005
317,0,0.9944,0.0056
318,0,0.9933,0.0067
319,0,0.9935,0.0065
320,0,0.9955,0.0045
321,0,0.992,0.008
322,0,0.9902,0.0098
323,0,0.9906,0.0094
324,0,0.9901,0.0099
