,class predicted,prob_class_0,prob_class_1
0,0,1.0,0.0
1,0,1.0,0.0
2,0,0.998,0.002
3,0,1.0,0.0
4,0,1.0,0.0
5,0,1.0,0.0
6,0,0.998,0.002
7,0,1.0,0.0
8,0,0.998,0.002
9,0,1.0,0.0
10,0,0.998,0.002
11,0,0.996,0.004
12,0,0.996,0.004
13,0,0.994,0.006
14,0,0.998,0.002
15,0,0.996,0.004
16,0,0.994,0.006
17,0,0.988,0.012
18,0,0.992,0.008
19,0,0.974,0.026
20,0,0.976,0.024
21,0,0.972,0.028
22,0,0.976,0.024
23,0,0.984,0.016
24,0,0.988,0.012
25,0,0.986,0.014
26,0,0.984,0.016
27,0,0.99,0.01
28,0,0.972,0.028
29,0,0.97,0.03
30,0,0.966,0.034
31,0,0.964,0.036
32,0,0.96,0.04
33,0,0.962,0.038
34,0,0.964,0.036
35,0,0.966,0.034
36,0,0.976,0.024
37,0,0.984,0.016
38,0,0.994,0.006
39,0,1.0,0.0
40,0,0.998,0.002
41,0,0.998,0.002
42,0,1.0,0.0
43,0,1.0,0.0
44,0,0.998,0.002
45,0,0.998,0.002
46,0,0.998,0.002
47,0,1.0,0.0
48,0,1.0,0.0
49,0,1.0,0.0
50,0,1.0,0.0
51,0,1.0,0.0
52,0,1.0,0.0
53,0,0.998,0.002
54,0,1.0,0.0
55,0,1.0,0.0
56,0,0.998,0.002
57,0,0.994,0.006
58,0,0.986,0.014
59,0,1.0,0.0
60,0,0.99,0.01
61,0,0.994,0.006
62,0,0.988,0.012
63,0,0.986,0.014
64,0,0.94,0.06
65,0,0.928,0.072
66,0,0.936,0.064
67,0,0.942,0.058
68,0,0.942,0.058
69,0,0.926,0.074
70,0,0.926,0.074
71,0,0.918,0.082
72,0,0.942,0.058
73,0,0.98,0.02
74,0,0.99,0.01
75,0,0.996,0.004
76,0,1.0,0.0
77,0,1.0,0.0
78,0,0.996,0.004
79,0,1.0,0.0
80,0,1.0,0.0
81,0,1.0,0.0
82,0,0.996,0.004
83,0,1.0,0.0
84,0,0.994,0.006
85,0,0.998,0.002
86,0,1.0,0.0
87,0,0.998,0.002
88,0,0.998,0.002
89,0,1.0,0.0
90,0,1.0,0.0
91,0,1.0,0.0
92,0,1.0,0.0
93,0,1.0,0.0
94,0,1.0,0.0
95,0,1.0,0.0
96,0,1.0,0.0
97,0,1.0,0.0
98,0,1.0,0.0
99,0,1.0,0.0
100,0,1.0,0.0
101,0,1.0,0.0
102,0,1.0,0.0
103,0,1.0,0.0
104,0,1.0,0.0
105,0,0.998,0.002
106,0,1.0,0.0
107,0,0.996,0.004
108,0,0.998,0.002
109,0,0.996,0.004
110,0,0.998,0.002
111,0,0.998,0.002
112,0,0.996,0.004
113,0,0.998,0.002
114,0,0.998,0.002
115,0,0.99,0.01
116,0,0.988,0.012
117,0,0.994,0.006
118,0,0.998,0.002
119,0,1.0,0.0
120,0,0.998,0.002
121,0,1.0,0.0
122,0,1.0,0.0
123,0,1.0,0.0
124,0,1.0,0.0
125,0,1.0,0.0
126,0,1.0,0.0
127,0,1.0,0.0
128,0,0.994,0.006
129,0,0.998,0.002
130,0,0.992,0.008
131,0,0.994,0.006
132,0,0.984,0.016
133,0,0.992,0.008
134,0,1.0,0.0
135,0,1.0,0.0
136,0,0.998,0.002
137,0,1.0,0.0
138,0,0.998,0.002
139,0,0.998,0.002
140,0,0.998,0.002
