,class predicted,prob_class_0,prob_class_1
0,0,1.0,0.0
1,0,0.99,0.01
2,0,1.0,0.0
3,0,1.0,0.0
4,0,0.98,0.02
5,0,1.0,0.0
6,0,0.99,0.01
7,0,1.0,0.0
8,0,0.99,0.01
9,0,1.0,0.0
10,0,1.0,0.0
11,0,1.0,0.0
12,0,1.0,0.0
13,0,1.0,0.0
14,0,1.0,0.0
15,0,1.0,0.0
16,0,0.99,0.01
17,0,1.0,0.0
18,0,1.0,0.0
19,0,0.97,0.03
20,0,0.97,0.03
21,0,0.97,0.03
22,0,0.97,0.03
23,0,0.99,0.01
24,0,0.98,0.02
25,0,0.99,0.01
26,0,0.99,0.01
27,0,0.99,0.01
28,0,0.97,0.03
29,0,0.98,0.02
30,0,0.99,0.01
31,0,0.99,0.01
32,0,0.97,0.03
33,0,0.96,0.04
34,0,0.95,0.05
35,0,0.97,0.03
36,0,0.99,0.01
37,0,0.99,0.01
38,0,1.0,0.0
39,0,0.99,0.01
40,0,0.98,0.02
41,0,0.98,0.02
42,0,1.0,0.0
43,0,1.0,0.0
44,0,1.0,0.0
45,0,0.99,0.01
46,0,1.0,0.0
47,0,1.0,0.0
48,0,1.0,0.0
49,0,1.0,0.0
50,0,1.0,0.0
51,0,1.0,0.0
52,0,1.0,0.0
53,0,1.0,0.0
54,0,1.0,0.0
55,0,1.0,0.0
56,0,0.99,0.01
57,0,1.0,0.0
58,0,1.0,0.0
59,0,0.99,0.01
60,0,0.98,0.02
61,0,0.98,0.02
62,0,0.98,0.02
63,0,0.96,0.04
64,0,0.97,0.03
65,0,0.96,0.04
66,0,0.96,0.04
67,0,0.95,0.05
68,0,0.97,0.03
69,0,0.93,0.07
70,0,0.96,0.04
71,0,0.97,0.03
72,0,0.99,0.01
73,0,0.99,0.01
74,0,0.98,0.02
75,0,0.99,0.01
76,0,1.0,0.0
77,0,1.0,0.0
78,0,1.0,0.0
79,0,1.0,0.0
80,0,1.0,0.0
81,0,1.0,0.0
82,0,0.99,0.01
83,0,0.99,0.01
84,0,1.0,0.0
85,0,1.0,0.0
86,0,0.99,0.01
87,0,0.99,0.01
88,0,1.0,0.0
89,0,1.0,0.0
90,0,1.0,0.0
91,0,1.0,0.0
92,0,1.0,0.0
93,0,1.0,0.0
94,0,1.0,0.0
95,0,1.0,0.0
96,0,1.0,0.0
97,0,1.0,0.0
98,0,1.0,0.0
99,0,1.0,0.0
100,0,1.0,0.0
101,0,1.0,0.0
102,0,1.0,0.0
103,0,1.0,0.0
104,0,1.0,0.0
105,0,1.0,0.0
106,0,1.0,0.0
107,0,1.0,0.0
108,0,1.0,0.0
109,0,1.0,0.0
110,0,1.0,0.0
111,0,1.0,0.0
112,0,1.0,0.0
113,0,0.98,0.02
114,0,1.0,0.0
115,0,0.99,0.01
116,0,0.99,0.01
117,0,1.0,0.0
118,0,1.0,0.0
119,0,0.99,0.01
120,0,1.0,0.0
121,0,1.0,0.0
122,0,0.99,0.01
123,0,1.0,0.0
124,0,1.0,0.0
