,class predicted,prob_class_0,prob_class_1
0,0,1.0,0.0
1,0,1.0,0.0
2,0,0.99,0.01
3,0,0.99,0.01
4,0,0.98,0.02
5,0,0.99,0.01
6,0,1.0,0.0
7,0,0.99,0.01
8,0,1.0,0.0
9,0,1.0,0.0
10,0,1.0,0.0
11,0,1.0,0.0
12,0,1.0,0.0
13,0,1.0,0.0
14,0,1.0,0.0
15,0,0.99,0.01
16,0,0.99,0.01
17,0,0.99,0.01
18,0,0.99,0.01
19,0,0.98,0.02
20,0,0.98,0.02
21,0,0.99,0.01
22,0,0.97,0.03
23,0,1.0,0.0
24,0,0.99,0.01
25,0,1.0,0.0
26,0,0.98,0.02
27,0,0.98,0.02
28,0,1.0,0.0
29,0,1.0,0.0
30,0,1.0,0.0
31,0,1.0,0.0
32,0,0.98,0.02
33,0,0.99,0.01
34,0,1.0,0.0
35,0,1.0,0.0
36,0,0.99,0.01
37,0,1.0,0.0
38,0,1.0,0.0
39,0,1.0,0.0
40,0,1.0,0.0
41,0,1.0,0.0
42,0,1.0,0.0
43,0,0.99,0.01
44,0,0.99,0.01
45,0,0.99,0.01
46,0,0.99,0.01
47,0,0.98,0.02
48,0,0.98,0.02
49,0,0.98,0.02
50,0,0.99,0.01
51,0,0.98,0.02
52,0,1.0,0.0
53,0,1.0,0.0
54,0,1.0,0.0
55,0,1.0,0.0
56,0,1.0,0.0
57,0,1.0,0.0
58,0,1.0,0.0
59,0,1.0,0.0
60,0,1.0,0.0
61,0,1.0,0.0
62,0,0.99,0.01
63,0,1.0,0.0
64,0,1.0,0.0
65,0,1.0,0.0
66,0,0.98,0.02
67,0,0.99,0.01
68,0,1.0,0.0
69,0,0.99,0.01
70,0,0.98,0.02
71,0,0.98,0.02
72,0,0.99,0.01
73,0,1.0,0.0
74,0,1.0,0.0
75,0,1.0,0.0
76,0,1.0,0.0
77,0,1.0,0.0
78,0,1.0,0.0
79,0,0.99,0.01
80,0,1.0,0.0
81,0,1.0,0.0
82,0,1.0,0.0
83,0,1.0,0.0
84,0,1.0,0.0
85,0,1.0,0.0
86,0,1.0,0.0
87,0,1.0,0.0
88,0,1.0,0.0
89,0,1.0,0.0
90,0,1.0,0.0
91,0,1.0,0.0
92,0,1.0,0.0
93,0,0.97,0.03
94,0,0.95,0.05
95,0,0.98,0.02
96,0,0.99,0.01
97,0,0.98,0.02
98,0,0.97,0.03
99,0,0.91,0.09
100,0,0.92,0.08
101,0,0.92,0.08
102,0,0.92,0.08
103,0,0.89,0.11
104,0,0.88,0.12
105,0,0.89,0.11
106,0,0.87,0.13
107,0,0.87,0.13
108,0,0.89,0.11
109,0,0.97,0.03
110,0,0.96,0.04
111,0,0.92,0.08
112,0,0.99,0.01
113,0,0.97,0.03
114,0,0.98,0.02
115,0,0.98,0.02
116,0,0.98,0.02
117,0,0.97,0.03
118,0,0.99,0.01
119,0,0.98,0.02
120,0,0.98,0.02
121,0,0.97,0.03
122,0,0.94,0.06
123,0,0.99,0.01
124,0,1.0,0.0
125,0,0.99,0.01
126,0,0.99,0.01
127,0,0.99,0.01
128,0,0.98,0.02
129,0,0.99,0.01
130,0,0.98,0.02
131,0,1.0,0.0
132,0,0.99,0.01
133,0,0.98,0.02
134,0,0.99,0.01
135,0,0.99,0.01
136,0,0.98,0.02
137,0,1.0,0.0
138,0,0.99,0.01
139,0,0.99,0.01
140,0,0.97,0.03
