,class predicted,prob_class_0,prob_class_1
0,0,0.75,0.25
1,0,0.74,0.26
2,0,0.92,0.08
3,0,0.91,0.09
4,0,0.83,0.17
5,0,0.89,0.11
6,0,0.94,0.06
7,0,0.91,0.09
8,0,0.97,0.03
9,0,0.98,0.02
10,0,0.96,0.04
11,0,0.96,0.04
12,0,0.94,0.06
13,0,0.97,0.03
14,0,0.98,0.02
15,0,0.96,0.04
16,0,0.94,0.06
17,0,0.94,0.06
18,0,0.98,0.02
19,0,0.98,0.02
20,0,0.98,0.02
21,0,1.0,0.0
22,0,0.98,0.02
23,0,0.98,0.02
24,0,1.0,0.0
25,0,0.96,0.04
26,0,0.96,0.04
27,0,0.98,0.02
28,0,0.99,0.01
29,0,0.97,0.03
30,0,0.99,0.01
31,0,0.94,0.06
32,0,0.98,0.02
33,0,0.97,0.03
34,0,1.0,0.0
35,0,1.0,0.0
36,0,1.0,0.0
37,0,0.96,0.04
38,0,0.94,0.06
39,0,0.99,0.01
40,0,0.99,0.01
41,0,0.99,0.01
42,0,1.0,0.0
43,0,0.98,0.02
44,0,0.99,0.01
45,0,0.96,0.04
46,0,0.97,0.03
47,0,0.99,0.01
48,0,0.98,0.02
49,0,1.0,0.0
50,0,0.96,0.04
51,0,1.0,0.0
52,0,0.97,0.03
53,0,0.94,0.06
54,0,0.98,0.02
55,0,1.0,0.0
56,0,0.99,0.01
57,0,0.99,0.01
58,0,1.0,0.0
59,0,0.99,0.01
60,0,0.99,0.01
61,0,1.0,0.0
62,0,1.0,0.0
63,0,0.99,0.01
64,0,1.0,0.0
65,0,0.99,0.01
66,0,0.97,0.03
67,0,0.96,0.04
68,0,0.97,0.03
69,0,0.97,0.03
70,0,0.96,0.04
71,0,0.99,0.01
72,0,0.9,0.1
73,0,1.0,0.0
74,0,0.95,0.05
75,0,0.92,0.08
76,0,0.89,0.11
77,0,0.96,0.04
78,0,0.92,0.08
79,0,0.9,0.1
80,0,0.96,0.04
81,0,0.97,0.03
82,0,0.95,0.05
83,0,0.94,0.06
84,0,0.94,0.06
85,0,0.97,0.03
86,0,0.98,0.02
87,0,0.98,0.02
88,0,1.0,0.0
89,0,1.0,0.0
90,0,1.0,0.0
91,0,0.97,0.03
92,0,0.99,0.01
93,0,0.99,0.01
94,0,1.0,0.0
95,0,0.99,0.01
96,0,0.98,0.02
97,0,0.99,0.01
98,0,0.96,0.04
99,0,0.96,0.04
100,0,0.99,0.01
101,0,0.98,0.02
102,0,0.95,0.05
103,0,0.97,0.03
104,0,0.98,0.02
105,0,0.98,0.02
106,0,0.96,0.04
107,0,0.97,0.03
108,0,0.98,0.02
109,0,0.98,0.02
110,0,0.98,0.02
111,0,0.96,0.04
112,0,1.0,0.0
113,0,0.98,0.02
114,0,1.0,0.0
115,0,0.94,0.06
116,0,1.0,0.0
117,0,0.99,0.01
118,0,1.0,0.0
119,0,1.0,0.0
120,0,1.0,0.0
121,0,1.0,0.0
122,0,1.0,0.0
123,0,1.0,0.0
124,0,0.99,0.01
125,0,1.0,0.0
126,0,0.99,0.01
127,0,1.0,0.0
128,0,1.0,0.0
129,0,1.0,0.0
130,0,0.99,0.01
131,0,0.98,0.02
132,0,1.0,0.0
133,0,1.0,0.0
134,0,0.99,0.01
135,0,1.0,0.0
136,0,1.0,0.0
137,0,1.0,0.0
138,0,1.0,0.0
139,0,1.0,0.0
140,0,1.0,0.0
141,0,0.98,0.02
142,0,1.0,0.0
143,0,1.0,0.0
144,0,0.99,0.01
145,0,1.0,0.0
146,0,1.0,0.0
147,0,1.0,0.0
148,0,1.0,0.0
149,0,0.99,0.01
150,0,0.99,0.01
151,0,0.99,0.01
152,0,0.99,0.01
153,0,0.94,0.06
154,0,1.0,0.0
155,0,0.99,0.01
156,0,1.0,0.0
157,0,0.98,0.02
158,0,1.0,0.0
159,0,0.98,0.02
160,0,1.0,0.0
161,0,0.99,0.01
162,0,0.99,0.01
163,0,0.98,0.02
164,0,0.99,0.01
