,class predicted,prob_class_0,prob_class_1
0,1,0.094,0.906
1,1,0.116,0.884
2,1,0.138,0.862
3,1,0.17,0.83
4,1,0.188,0.812
5,1,0.25,0.75
6,1,0.344,0.656
7,1,0.388,0.612
8,1,0.456,0.544
9,0,0.58,0.42
10,0,0.604,0.396
11,0,0.648,0.352
12,0,0.67,0.33
13,0,0.696,0.304
14,0,0.756,0.244
15,0,0.77,0.23
16,0,0.754,0.246
17,0,0.798,0.202
18,0,0.824,0.176
19,0,0.828,0.172
20,0,0.822,0.178
21,0,0.804,0.196
22,0,0.766,0.234
23,0,0.73,0.27
24,0,0.74,0.26
25,0,0.822,0.178
26,0,0.804,0.196
27,0,0.832,0.168
28,0,0.794,0.206
29,0,0.79,0.21
30,0,0.836,0.164
31,0,0.828,0.172
32,0,0.854,0.146
33,0,0.894,0.106
34,0,0.878,0.122
35,0,0.88,0.12
36,0,0.888,0.112
37,0,0.86,0.14
38,0,0.798,0.202
39,0,0.824,0.176
40,0,0.908,0.092
41,0,0.942,0.058
42,0,0.958,0.042
43,0,0.946,0.054
44,0,0.93,0.07
45,0,0.904,0.096
46,0,0.914,0.086
47,0,0.93,0.07
48,0,0.914,0.086
49,0,0.9,0.1
50,0,0.892,0.108
51,0,0.896,0.104
52,0,0.892,0.108
53,0,0.904,0.096
54,0,0.906,0.094
55,0,0.918,0.082
56,0,0.92,0.08
57,0,0.904,0.096
58,0,0.902,0.098
59,0,0.894,0.106
60,0,0.904,0.096
61,0,0.908,0.092
62,0,0.88,0.12
63,0,0.882,0.118
64,0,0.872,0.128
65,0,0.882,0.118
66,0,0.86,0.14
67,0,0.878,0.122
68,0,0.864,0.136
69,0,0.896,0.104
70,0,0.868,0.132
71,0,0.872,0.128
72,0,0.918,0.082
73,0,0.942,0.058
74,0,0.94,0.06
75,0,0.948,0.052
76,0,0.93,0.07
77,0,0.95,0.05
78,0,0.946,0.054
79,0,0.924,0.076
80,0,0.934,0.066
81,0,0.936,0.064
82,0,0.934,0.066
83,0,0.916,0.084
84,0,0.878,0.122
85,0,0.854,0.146
86,0,0.824,0.176
87,0,0.788,0.212
88,0,0.752,0.248
89,0,0.756,0.244
90,0,0.768,0.232
91,0,0.772,0.228
92,0,0.736,0.264
93,0,0.732,0.268
94,0,0.698,0.302
95,0,0.624,0.376
96,0,0.646,0.354
97,0,0.658,0.342
98,0,0.69,0.31
99,0,0.658,0.342
100,0,0.638,0.362
101,0,0.684,0.316
102,0,0.62,0.38
103,0,0.634,0.366
104,0,0.642,0.358
105,0,0.662,0.338
106,0,0.65,0.35
107,0,0.64,0.36
108,0,0.546,0.454
109,0,0.534,0.466
110,0,0.544,0.456
111,0,0.522,0.478
112,1,0.462,0.538
113,1,0.474,0.526
114,1,0.498,0.502
115,0,0.542,0.458
116,0,0.606,0.394
117,0,0.61,0.39
118,0,0.61,0.39
119,0,0.608,0.392
120,0,0.604,0.396
121,0,0.614,0.386
122,0,0.646,0.354
123,0,0.636,0.364
124,0,0.642,0.358
125,0,0.708,0.292
126,0,0.794,0.206
127,0,0.85,0.15
128,0,0.858,0.142
129,0,0.874,0.126
130,0,0.824,0.176
131,0,0.828,0.172
132,0,0.826,0.174
133,0,0.856,0.144
134,0,0.844,0.156
135,0,0.778,0.222
136,0,0.782,0.218
137,0,0.77,0.23
138,0,0.79,0.21
139,0,0.802,0.198
140,0,0.808,0.192
141,0,0.788,0.212
142,0,0.774,0.226
143,0,0.818,0.182
144,0,0.818,0.182
145,0,0.846,0.154
146,0,0.858,0.142
147,0,0.872,0.128
148,0,0.874,0.126
149,0,0.888,0.112
150,0,0.888,0.112
151,0,0.876,0.124
152,0,0.826,0.174
153,0,0.832,0.168
154,0,0.804,0.196
155,0,0.782,0.218
156,0,0.784,0.216
157,0,0.828,0.172
158,0,0.818,0.182
159,0,0.764,0.236
160,0,0.804,0.196
161,0,0.788,0.212
162,0,0.82,0.18
163,0,0.852,0.148
164,0,0.844,0.156
165,0,0.814,0.186
166,0,0.76,0.24
167,0,0.726,0.274
168,0,0.718,0.282
169,0,0.736,0.264
170,0,0.758,0.242
171,0,0.794,0.206
172,0,0.798,0.202
173,0,0.808,0.192
174,0,0.8,0.2
175,0,0.792,0.208
176,0,0.772,0.228
177,0,0.79,0.21
178,0,0.854,0.146
179,0,0.812,0.188
180,0,0.778,0.222
181,0,0.752,0.248
182,0,0.734,0.266
183,0,0.692,0.308
184,0,0.696,0.304
185,0,0.728,0.272
186,0,0.728,0.272
187,0,0.688,0.312
188,0,0.672,0.328
189,0,0.636,0.364
190,0,0.632,0.368
191,0,0.668,0.332
192,0,0.628,0.372
193,0,0.658,0.342
194,0,0.69,0.31
195,0,0.686,0.314
196,0,0.68,0.32
197,0,0.696,0.304
198,0,0.726,0.274
199,0,0.682,0.318
200,0,0.68,0.32
201,0,0.696,0.304
202,0,0.694,0.306
203,0,0.734,0.266
204,0,0.77,0.23
205,0,0.73,0.27
206,0,0.742,0.258
207,0,0.754,0.246
208,0,0.792,0.208
209,0,0.804,0.196
210,0,0.782,0.218
211,0,0.746,0.254
212,0,0.788,0.212
213,0,0.798,0.202
214,0,0.816,0.184
215,0,0.832,0.168
216,0,0.836,0.164
217,0,0.836,0.164
218,0,0.822,0.178
219,0,0.836,0.164
220,0,0.806,0.194
221,0,0.812,0.188
222,0,0.814,0.186
223,0,0.874,0.126
224,0,0.832,0.168
225,0,0.814,0.186
226,0,0.826,0.174
227,0,0.814,0.186
228,0,0.788,0.212
229,0,0.782,0.218
230,0,0.76,0.24
231,0,0.724,0.276
232,0,0.732,0.268
233,0,0.724,0.276
234,0,0.732,0.268
235,0,0.718,0.282
236,0,0.728,0.272
237,0,0.734,0.266
238,0,0.734,0.266
239,0,0.714,0.286
240,0,0.712,0.288
241,0,0.714,0.286
242,0,0.744,0.256
243,0,0.764,0.236
244,0,0.778,0.222
245,0,0.82,0.18
246,0,0.834,0.166
247,0,0.82,0.18
248,0,0.8,0.2
249,0,0.86,0.14
250,0,0.87,0.13
251,0,0.838,0.162
252,0,0.798,0.202
253,0,0.742,0.258
254,0,0.71,0.29
255,0,0.694,0.306
256,0,0.644,0.356
257,0,0.682,0.318
258,0,0.74,0.26
259,0,0.672,0.328
260,0,0.62,0.38
261,0,0.558,0.442
262,0,0.576,0.424
263,0,0.564,0.436
264,0,0.55,0.45
265,0,0.546,0.454
266,0,0.526,0.474
267,0,0.544,0.456
268,0,0.566,0.434
269,0,0.616,0.384
270,0,0.638,0.362
271,0,0.652,0.348
272,0,0.672,0.328
273,0,0.684,0.316
274,0,0.65,0.35
275,0,0.648,0.352
276,0,0.694,0.306
277,0,0.744,0.256
278,0,0.812,0.188
279,0,0.802,0.198
280,0,0.766,0.234
281,0,0.758,0.242
282,0,0.808,0.192
283,0,0.872,0.128
284,0,0.866,0.134
285,0,0.862,0.138
286,0,0.846,0.154
287,0,0.868,0.132
288,0,0.842,0.158
289,0,0.794,0.206
290,0,0.814,0.186
291,0,0.83,0.17
292,0,0.83,0.17
293,0,0.826,0.174
294,0,0.818,0.182
295,0,0.806,0.194
296,0,0.792,0.208
297,0,0.79,0.21
298,0,0.832,0.168
299,0,0.866,0.134
300,0,0.894,0.106
301,0,0.89,0.11
302,0,0.906,0.094
303,0,0.92,0.08
304,0,0.916,0.084
