,class predicted,prob_class_0,prob_class_1
0,0,0.844,0.156
1,0,0.926,0.074
2,0,0.938,0.062
3,0,0.9,0.1
4,0,0.884,0.116
5,0,0.878,0.122
6,0,0.87,0.13
7,0,0.854,0.146
8,0,0.85,0.15
9,0,0.836,0.164
10,0,0.828,0.172
11,0,0.822,0.178
12,0,0.858,0.142
13,0,0.88,0.12
14,0,0.898,0.102
15,0,0.866,0.134
16,0,0.864,0.136
17,0,0.864,0.136
18,0,0.834,0.166
19,0,0.754,0.246
20,0,0.694,0.306
21,0,0.694,0.306
22,0,0.672,0.328
23,0,0.656,0.344
24,0,0.676,0.324
25,0,0.666,0.334
26,0,0.654,0.346
27,0,0.654,0.346
28,0,0.642,0.358
29,0,0.626,0.374
30,0,0.646,0.354
31,0,0.632,0.368
32,0,0.654,0.346
33,0,0.656,0.344
34,0,0.602,0.398
35,0,0.644,0.356
36,0,0.616,0.384
37,0,0.652,0.348
38,0,0.736,0.264
39,0,0.808,0.192
40,0,0.776,0.224
41,0,0.782,0.218
42,0,0.824,0.176
43,0,0.828,0.172
44,0,0.82,0.18
45,0,0.828,0.172
46,0,0.814,0.186
47,0,0.826,0.174
48,0,0.782,0.218
49,0,0.834,0.166
50,0,0.816,0.184
51,0,0.766,0.234
52,0,0.732,0.268
53,0,0.802,0.198
54,0,0.842,0.158
55,0,0.836,0.164
56,0,0.762,0.238
57,0,0.774,0.226
58,0,0.762,0.238
59,0,0.766,0.234
60,0,0.75,0.25
61,0,0.722,0.278
62,0,0.716,0.284
63,0,0.684,0.316
64,0,0.594,0.406
65,0,0.596,0.404
66,0,0.61,0.39
67,0,0.614,0.386
68,0,0.588,0.412
69,0,0.588,0.412
70,0,0.594,0.406
71,0,0.61,0.39
72,0,0.636,0.364
73,0,0.656,0.344
74,0,0.728,0.272
75,0,0.756,0.244
76,0,0.772,0.228
77,0,0.766,0.234
78,0,0.75,0.25
79,0,0.756,0.244
80,0,0.754,0.246
81,0,0.728,0.272
82,0,0.75,0.25
83,0,0.772,0.228
84,0,0.774,0.226
85,0,0.778,0.222
86,0,0.808,0.192
87,0,0.818,0.182
88,0,0.818,0.182
89,0,0.852,0.148
90,0,0.858,0.142
91,0,0.864,0.136
92,0,0.88,0.12
93,0,0.9,0.1
94,0,0.922,0.078
95,0,0.912,0.088
96,0,0.932,0.068
97,0,0.92,0.08
98,0,0.92,0.08
99,0,0.906,0.094
100,0,0.902,0.098
101,0,0.91,0.09
102,0,0.904,0.096
103,0,0.91,0.09
104,0,0.87,0.13
105,0,0.832,0.168
106,0,0.794,0.206
107,0,0.786,0.214
108,0,0.772,0.228
109,0,0.746,0.254
110,0,0.696,0.304
111,0,0.64,0.36
112,0,0.624,0.376
113,0,0.614,0.386
114,0,0.552,0.448
115,0,0.504,0.496
116,0,0.528,0.472
117,0,0.556,0.444
118,0,0.626,0.374
119,0,0.652,0.348
120,0,0.602,0.398
121,0,0.618,0.382
122,0,0.668,0.332
123,0,0.68,0.32
124,0,0.762,0.238
125,0,0.784,0.216
126,0,0.808,0.192
127,0,0.75,0.25
128,0,0.746,0.254
129,0,0.776,0.224
130,0,0.762,0.238
131,0,0.78,0.22
132,0,0.788,0.212
133,0,0.814,0.186
134,0,0.812,0.188
135,0,0.822,0.178
136,0,0.812,0.188
137,0,0.79,0.21
138,0,0.792,0.208
139,0,0.806,0.194
140,0,0.806,0.194
141,0,0.806,0.194
142,0,0.81,0.19
143,0,0.8,0.2
144,0,0.766,0.234
145,0,0.818,0.182
146,0,0.858,0.142
147,0,0.824,0.176
148,0,0.844,0.156
149,0,0.788,0.212
150,0,0.738,0.262
151,0,0.756,0.244
152,0,0.744,0.256
153,0,0.764,0.236
154,0,0.732,0.268
155,0,0.732,0.268
156,0,0.756,0.244
157,0,0.756,0.244
158,0,0.748,0.252
159,0,0.78,0.22
160,0,0.778,0.222
161,0,0.728,0.272
162,0,0.742,0.258
163,0,0.75,0.25
164,0,0.716,0.284
165,0,0.712,0.288
166,0,0.716,0.284
167,0,0.746,0.254
168,0,0.782,0.218
169,0,0.846,0.154
170,0,0.84,0.16
171,0,0.854,0.146
172,0,0.79,0.21
173,0,0.822,0.178
174,0,0.86,0.14
175,0,0.876,0.124
176,0,0.89,0.11
177,0,0.866,0.134
178,0,0.878,0.122
179,0,0.884,0.116
180,0,0.862,0.138
181,0,0.89,0.11
182,0,0.888,0.112
183,0,0.928,0.072
184,0,0.94,0.06
185,0,0.932,0.068
186,0,0.942,0.058
187,0,0.94,0.06
188,0,0.912,0.088
189,0,0.916,0.084
190,0,0.92,0.08
191,0,0.948,0.052
192,0,0.94,0.06
193,0,0.942,0.058
194,0,0.916,0.084
195,0,0.906,0.094
196,0,0.862,0.138
197,0,0.856,0.144
198,0,0.834,0.166
199,0,0.814,0.186
200,0,0.838,0.162
201,0,0.816,0.184
202,0,0.772,0.228
203,0,0.78,0.22
204,0,0.774,0.226
205,0,0.778,0.222
206,0,0.808,0.192
207,0,0.75,0.25
208,0,0.782,0.218
209,0,0.746,0.254
210,0,0.712,0.288
211,0,0.694,0.306
212,0,0.68,0.32
213,0,0.7,0.3
214,0,0.7,0.3
215,0,0.672,0.328
216,0,0.662,0.338
217,0,0.642,0.358
218,0,0.678,0.322
219,0,0.678,0.322
220,0,0.688,0.312
221,0,0.66,0.34
222,0,0.664,0.336
223,0,0.67,0.33
224,0,0.654,0.346
225,0,0.628,0.372
226,0,0.646,0.354
227,0,0.676,0.324
228,0,0.738,0.262
229,0,0.722,0.278
230,0,0.706,0.294
231,0,0.692,0.308
232,0,0.732,0.268
233,0,0.732,0.268
234,0,0.748,0.252
235,0,0.748,0.252
236,0,0.75,0.25
237,0,0.692,0.308
238,0,0.678,0.322
239,0,0.702,0.298
240,0,0.718,0.282
241,0,0.68,0.32
242,0,0.686,0.314
243,0,0.624,0.376
244,0,0.636,0.364
245,0,0.648,0.352
246,0,0.644,0.356
247,0,0.674,0.326
248,0,0.746,0.254
249,0,0.76,0.24
250,0,0.724,0.276
251,0,0.728,0.272
252,0,0.756,0.244
253,0,0.714,0.286
254,0,0.72,0.28
255,0,0.736,0.264
256,0,0.752,0.248
257,0,0.69,0.31
258,0,0.686,0.314
259,0,0.706,0.294
260,0,0.722,0.278
261,0,0.752,0.248
262,0,0.802,0.198
263,0,0.784,0.216
264,0,0.756,0.244
265,0,0.782,0.218
266,0,0.786,0.214
267,0,0.776,0.224
268,0,0.814,0.186
269,0,0.824,0.176
270,0,0.828,0.172
271,0,0.836,0.164
272,0,0.848,0.152
273,0,0.852,0.148
274,0,0.872,0.128
275,0,0.882,0.118
276,0,0.91,0.09
277,0,0.934,0.066
278,0,0.926,0.074
279,0,0.93,0.07
280,0,0.934,0.066
281,0,0.922,0.078
282,0,0.912,0.088
283,0,0.85,0.15
284,0,0.848,0.152
285,0,0.844,0.156
286,0,0.834,0.166
287,0,0.844,0.156
288,0,0.834,0.166
289,0,0.794,0.206
290,0,0.8,0.2
291,0,0.774,0.226
292,0,0.788,0.212
293,0,0.784,0.216
294,0,0.76,0.24
295,0,0.758,0.242
296,0,0.684,0.316
297,0,0.698,0.302
298,0,0.698,0.302
299,0,0.694,0.306
300,0,0.714,0.286
301,0,0.708,0.292
302,0,0.734,0.266
303,0,0.698,0.302
304,0,0.738,0.262
305,0,0.69,0.31
306,0,0.69,0.31
307,0,0.646,0.354
308,0,0.68,0.32
309,0,0.698,0.302
310,0,0.702,0.298
311,0,0.7,0.3
312,0,0.666,0.334
313,0,0.708,0.292
314,0,0.692,0.308
315,0,0.754,0.246
316,0,0.718,0.282
317,0,0.676,0.324
318,0,0.662,0.338
319,0,0.662,0.338
320,0,0.724,0.276
321,0,0.784,0.216
322,0,0.768,0.232
323,0,0.734,0.266
324,0,0.754,0.246
