,class predicted,prob_class_0,prob_class_1
0,1,0.47,0.53
1,0,0.552,0.448
2,0,0.518,0.482
3,0,0.504,0.496
4,0,0.632,0.368
5,0,0.618,0.382
6,0,0.688,0.312
7,0,0.674,0.326
8,0,0.61,0.39
9,0,0.684,0.316
10,0,0.746,0.254
11,0,0.738,0.262
12,0,0.69,0.31
13,0,0.758,0.242
14,0,0.7,0.3
15,0,0.756,0.244
16,0,0.682,0.318
17,0,0.784,0.216
18,0,0.76,0.24
19,0,0.774,0.226
20,0,0.782,0.218
21,0,0.756,0.244
22,0,0.77,0.23
23,0,0.736,0.264
24,0,0.688,0.312
25,0,0.738,0.262
26,0,0.77,0.23
27,0,0.756,0.244
28,0,0.708,0.292
29,0,0.67,0.33
30,0,0.756,0.244
31,0,0.784,0.216
32,0,0.72,0.28
33,0,0.718,0.282
34,0,0.764,0.236
35,0,0.742,0.258
36,0,0.726,0.274
37,0,0.69,0.31
38,0,0.75,0.25
39,0,0.736,0.264
40,0,0.712,0.288
41,0,0.732,0.268
42,0,0.752,0.248
43,0,0.764,0.236
44,0,0.808,0.192
45,0,0.85,0.15
46,0,0.856,0.144
47,0,0.862,0.138
48,0,0.826,0.174
49,0,0.802,0.198
50,0,0.826,0.174
51,0,0.83,0.17
52,0,0.844,0.156
53,0,0.848,0.152
54,0,0.81,0.19
55,0,0.864,0.136
56,0,0.864,0.136
57,0,0.856,0.144
58,0,0.802,0.198
59,0,0.772,0.228
60,0,0.75,0.25
61,0,0.746,0.254
62,0,0.74,0.26
63,0,0.704,0.296
64,0,0.732,0.268
65,0,0.728,0.272
66,0,0.616,0.384
67,0,0.7,0.3
68,0,0.68,0.32
69,0,0.736,0.264
70,0,0.682,0.318
71,0,0.71,0.29
72,0,0.706,0.294
73,0,0.746,0.254
74,0,0.784,0.216
75,0,0.744,0.256
76,0,0.736,0.264
77,0,0.764,0.236
78,0,0.744,0.256
79,0,0.698,0.302
80,0,0.716,0.284
81,0,0.772,0.228
82,0,0.79,0.21
83,0,0.78,0.22
84,0,0.848,0.152
85,0,0.732,0.268
86,0,0.782,0.218
87,0,0.702,0.298
88,0,0.702,0.298
89,0,0.662,0.338
90,0,0.73,0.27
91,0,0.68,0.32
92,0,0.712,0.288
93,0,0.684,0.316
94,0,0.71,0.29
95,0,0.66,0.34
96,0,0.712,0.288
97,0,0.694,0.306
98,0,0.758,0.242
99,0,0.734,0.266
100,0,0.632,0.368
101,0,0.688,0.312
102,0,0.69,0.31
103,0,0.72,0.28
104,0,0.716,0.284
105,0,0.696,0.304
106,0,0.678,0.322
107,0,0.668,0.332
108,0,0.682,0.318
109,0,0.688,0.312
110,0,0.7,0.3
111,0,0.61,0.39
112,0,0.612,0.388
113,0,0.624,0.376
114,0,0.634,0.366
115,0,0.65,0.35
116,0,0.7,0.3
117,0,0.712,0.288
118,0,0.62,0.38
119,0,0.652,0.348
120,0,0.588,0.412
121,0,0.666,0.334
122,0,0.678,0.322
123,0,0.664,0.336
124,0,0.688,0.312
125,0,0.756,0.244
126,0,0.736,0.264
127,0,0.764,0.236
128,0,0.746,0.254
129,0,0.77,0.23
130,0,0.724,0.276
131,0,0.716,0.284
132,0,0.74,0.26
133,0,0.816,0.184
134,0,0.832,0.168
135,0,0.79,0.21
136,0,0.786,0.214
137,0,0.738,0.262
138,0,0.742,0.258
139,0,0.722,0.278
