,class predicted,prob_class_0,prob_class_1
0,0,0.604,0.396
1,0,0.642,0.358
2,0,0.67,0.33
3,0,0.722,0.278
4,0,0.732,0.268
5,0,0.706,0.294
6,0,0.682,0.318
7,0,0.656,0.344
8,0,0.676,0.324
9,0,0.714,0.286
10,0,0.69,0.31
11,0,0.66,0.34
12,0,0.72,0.28
13,0,0.694,0.306
14,0,0.708,0.292
15,0,0.672,0.328
16,0,0.658,0.342
17,0,0.672,0.328
18,0,0.696,0.304
19,0,0.692,0.308
20,0,0.692,0.308
21,0,0.704,0.296
22,0,0.66,0.34
23,0,0.698,0.302
24,0,0.656,0.344
25,0,0.664,0.336
26,0,0.728,0.272
27,0,0.728,0.272
28,0,0.746,0.254
29,0,0.774,0.226
30,0,0.742,0.258
31,0,0.726,0.274
32,0,0.712,0.288
33,0,0.742,0.258
34,0,0.688,0.312
35,0,0.686,0.314
36,0,0.704,0.296
37,0,0.72,0.28
38,0,0.714,0.286
39,0,0.666,0.334
40,0,0.662,0.338
41,0,0.622,0.378
42,0,0.702,0.298
43,0,0.696,0.304
44,0,0.668,0.332
45,0,0.602,0.398
46,0,0.62,0.38
47,0,0.598,0.402
48,0,0.656,0.344
49,0,0.71,0.29
50,0,0.686,0.314
51,0,0.692,0.308
52,0,0.694,0.306
53,0,0.684,0.316
54,0,0.77,0.23
55,0,0.7,0.3
56,0,0.704,0.296
57,0,0.686,0.314
58,0,0.682,0.318
59,0,0.708,0.292
60,0,0.672,0.328
61,0,0.698,0.302
62,0,0.658,0.342
63,0,0.73,0.27
64,0,0.654,0.346
65,0,0.626,0.374
66,0,0.626,0.374
67,0,0.604,0.396
68,0,0.566,0.434
69,0,0.672,0.328
70,0,0.66,0.34
71,0,0.724,0.276
72,0,0.722,0.278
73,0,0.808,0.192
74,0,0.732,0.268
75,0,0.702,0.298
76,0,0.772,0.228
77,0,0.74,0.26
78,0,0.692,0.308
79,0,0.674,0.326
80,0,0.76,0.24
81,0,0.73,0.27
82,0,0.74,0.26
83,0,0.73,0.27
84,0,0.776,0.224
85,0,0.812,0.188
86,0,0.836,0.164
87,0,0.85,0.15
88,0,0.782,0.218
89,0,0.816,0.184
90,0,0.816,0.184
91,0,0.828,0.172
92,0,0.77,0.23
93,0,0.776,0.224
94,0,0.714,0.286
95,0,0.728,0.272
96,0,0.722,0.278
97,0,0.69,0.31
98,0,0.722,0.278
99,0,0.73,0.27
100,0,0.74,0.26
101,0,0.684,0.316
102,1,0.482,0.518
103,0,0.684,0.316
104,0,0.666,0.334
105,0,0.692,0.308
106,0,0.73,0.27
107,0,0.69,0.31
108,0,0.698,0.302
109,0,0.7,0.3
110,0,0.678,0.322
111,0,0.728,0.272
112,0,0.768,0.232
113,0,0.784,0.216
114,0,0.808,0.192
115,0,0.812,0.188
116,0,0.76,0.24
117,0,0.784,0.216
118,0,0.808,0.192
119,0,0.832,0.168
120,0,0.846,0.154
121,0,0.776,0.224
122,0,0.762,0.238
123,0,0.762,0.238
124,0,0.816,0.184
125,0,0.708,0.292
126,0,0.686,0.314
127,0,0.756,0.244
128,1,0.492,0.508
129,0,0.688,0.312
130,0,0.658,0.342
131,0,0.792,0.208
132,0,0.752,0.248
133,0,0.722,0.278
134,0,0.746,0.254
135,0,0.742,0.258
136,0,0.732,0.268
137,0,0.734,0.266
138,0,0.71,0.29
139,0,0.618,0.382
140,0,0.59,0.41
141,0,0.616,0.384
142,0,0.618,0.382
143,0,0.686,0.314
144,0,0.714,0.286
145,0,0.702,0.298
146,0,0.718,0.282
147,0,0.684,0.316
148,0,0.698,0.302
149,0,0.692,0.308
150,0,0.722,0.278
151,0,0.698,0.302
152,0,0.734,0.266
153,0,0.65,0.35
154,0,0.73,0.27
155,0,0.74,0.26
156,0,0.83,0.17
157,0,0.726,0.274
158,0,0.71,0.29
159,0,0.72,0.28
160,0,0.754,0.246
161,0,0.7,0.3
162,0,0.794,0.206
163,0,0.73,0.27
164,0,0.692,0.308
165,0,0.746,0.254
166,0,0.724,0.276
167,0,0.74,0.26
168,0,0.714,0.286
169,0,0.67,0.33
170,0,0.704,0.296
171,0,0.686,0.314
172,0,0.658,0.342
173,0,0.678,0.322
174,0,0.67,0.33
175,0,0.62,0.38
176,0,0.702,0.298
177,0,0.684,0.316
178,0,0.726,0.274
179,0,0.65,0.35
180,0,0.624,0.376
181,0,0.666,0.334
182,0,0.658,0.342
183,0,0.702,0.298
184,0,0.656,0.344
185,0,0.674,0.326
186,0,0.638,0.362
187,0,0.636,0.364
188,0,0.57,0.43
189,0,0.522,0.478
190,0,0.532,0.468
191,1,0.472,0.528
192,0,0.512,0.488
193,0,0.508,0.492
194,0,0.574,0.426
195,0,0.634,0.366
196,0,0.574,0.426
197,0,0.646,0.354
198,0,0.614,0.386
199,0,0.63,0.37
200,0,0.612,0.388
201,0,0.62,0.38
202,0,0.626,0.374
203,0,0.632,0.368
204,0,0.644,0.356
205,0,0.634,0.366
206,0,0.612,0.388
207,0,0.706,0.294
208,0,0.676,0.324
209,0,0.694,0.306
210,0,0.646,0.354
211,0,0.648,0.352
212,0,0.666,0.334
213,0,0.702,0.298
214,0,0.746,0.254
215,0,0.782,0.218
216,0,0.788,0.212
217,0,0.786,0.214
218,0,0.782,0.218
219,0,0.75,0.25
220,0,0.774,0.226
221,0,0.794,0.206
222,0,0.798,0.202
223,0,0.84,0.16
224,0,0.798,0.202
225,0,0.752,0.248
226,0,0.774,0.226
227,0,0.782,0.218
228,0,0.79,0.21
229,0,0.812,0.188
230,0,0.92,0.08
231,0,0.796,0.204
232,0,0.778,0.222
233,0,0.74,0.26
234,0,0.762,0.238
235,0,0.764,0.236
236,0,0.74,0.26
237,0,0.69,0.31
238,0,0.686,0.314
